Date,Open,High,Low,Close,Volume
20150303,8962.8496,9008.4004,8925.5498,8996.25,177800
20150304,9109.1504,9119.2002,8893.9502,8922.6504,248400
20150305,8929.4004,8957.5498,8849.3496,8937.75,160100
20150309,8891.1504,8891.2998,8740.4502,8756.75,155500
20150310,8769.75,8778.0,8677.3496,8712.0498,163800
20150311,8728.75,8755.5996,8682.3496,8699.9502,172800
20150312,8740.6504,8787.2002,8732.9004,8776.0,173900
20150313,8844.0498,8849.75,8631.75,8647.75,179200
20150316,8656.75,8663.5498,8612.0,8633.1504,163300
20150317,8689.0996,8742.5498,8630.7998,8723.2998,177000
20150318,8742.9004,8747.25,8664.0,8685.9004,156400
20150319,8749.4502,8788.2002,8614.6504,8634.6504,163500
20150320,8627.9004,8627.9004,8553.0,8570.9004,174600
20150323,8591.5498,8608.3496,8540.5498,8550.9004,150700
20150324,8537.0498,8627.75,8535.8496,8542.9502,156700
20150325,8568.9004,8573.75,8516.5498,8530.7998,161000
20150326,8474.9502,8499.4502,8325.3496,8342.1504,280100
20150327,8396.0,8413.2002,8269.1504,8341.4004,193000
20150330,8390.9502,8492.2998,8380.75,8492.2998,134700
20150331,8527.5996,8550.4502,8454.1504,8491.0,167200
20150401,8483.7002,8603.4004,8464.75,8586.25,125500
20150406,8615.7998,8667.5498,8573.75,8659.9004,146900
20150407,8684.4502,8693.5996,8586.8496,8660.2998,148700
20150408,8698.9502,8730.5,8679.7998,8714.4004,148200
20150409,8756.2002,8785.5,8682.4502,8778.2998,152700
20150410,8774.3496,8787.4004,8733.5996,8780.3496,139000
20150413,8801.75,8841.6504,8762.0996,8834.0,121600
20150416,8757.0498,8760.0,8645.6504,8706.7002,142900
20150417,8698.0498,8699.8496,8596.7002,8606.0,150400
20150420,8618.7998,8619.9502,8422.75,8448.0996,148900
20150421,8416.0996,8469.3496,8352.7002,8377.75,407800
20150422,8400.4004,8449.9502,8284.7002,8429.7002,171800
20150423,8478.2002,8504.9502,8361.8496,8398.2998,156000
20150424,8405.7002,8413.2998,8273.3496,8305.25,173600
20150427,8330.5498,8334.4502,8202.3496,8213.7998,171500
20150428,8215.5498,8308.0,8185.1499,8285.5996,174600
20150429,8274.7998,8308.2002,8219.2002,8239.75,160400
20150430,8224.5,8229.4004,8144.75,8181.5,267700
20150504,8230.0498,8346.0,8220.4502,8331.9502,131700
20150505,8338.4004,8355.6504,8280.5996,8324.7998,155500
20150506,8316.5996,8331.9502,8083.0,8097.0,209600
20150507,8077.0,8122.6001,7997.1499,8057.2998,161600
20150508,8131.5,8224.9502,8123.4502,8191.5,183100
