Date,Open,High,Low,Close,Volume
20150303,1215.4389,1232.7405,1195.8448,1201.8138,64532
20150304,1205.9227,1218.0338,1200.3429,1201.9434,215097
20150305,1205.9231,1208.5183,1185.1611,1188.7512,50304
20150309,1185.1611,1192.7306,1154.8832,1158.9924,36288
20150310,1157.5647,1178.4131,1130.6607,1149.1735,157934
20150311,1153.1526,1186.0257,1129.7954,1136.024,55572
20150312,1138.8793,1155.7484,1129.1472,1139.3984,264459
20150313,1146.1892,1171.9254,1134.2511,1140.5662,79198
20150316,1144.502,1151.7686,1107.4765,1110.0286,175362
20150317,1115.9977,1120.2799,1101.724,1105.0978,64091
20150318,1114.4837,1115.5219,1094.4138,1097.2253,56449
20150319,1107.3035,1138.5762,1098.6528,1107.6063,172522
20150320,1114.9164,1114.9164,1090.0021,1101.0319,110965
20150323,1102.1133,1102.9352,1069.2835,1076.5935,56015
20150324,1081.2647,1081.2647,1051.9385,1055.6151,66896
20150325,1057.994,1070.9702,1032.0848,1035.1559,65606
20150326,1038.9623,1072.6572,1022.2663,1053.4957,70491
20150327,1061.4541,1063.7033,1025.856,1038.6592,55394
20150330,1046.7478,1068.5478,1035.5018,1051.6355,129074
20150331,1055.4853,1097.2687,1051.9385,1090.0886,93726
20150401,1095.2358,1110.764,1095.1926,1105.0978,77428
20150406,1109.8989,1193.8118,1103.6703,1162.7986,158371
20150407,1166.1292,1184.9879,1146.2323,1164.3557,80299
20150408,1165.2638,1211.1132,1162.236,1196.277,184364
20150409,1199.5641,1202.3757,1172.5737,1177.7209,36660
20150410,1172.1847,1188.9673,1158.949,1171.7089,41138
20150413,1180.8357,1230.3183,1172.2714,1206.3123,114902
20150415,1208.518,1239.2283,1202.5057,1206.7013,99041
20150416,1211.1134,1221.4944,1175.9479,1196.1907,41936
20150417,1194.2876,1194.2876,1163.5339,1172.6605,29120
20150420,1175.5585,1175.5585,1133.3857,1145.8862,28530
20150421,1143.6369,1195.5418,1122.0098,1181.7869,67662
20150422,1185.161,1205.9231,1159.6845,1178.6298,41494
20150423,1188.6213,1200.0837,1159.2085,1176.8994,33540
20150424,1171.3197,1187.713,1133.1696,1152.9368,53253
20150427,1156.0944,1159.4249,1124.7784,1140.1769,24442
20150428,1148.833,1165.711,1137.4653,1162.7605,54483
20150429,1161.893,1171.4818,1128.0936,1162.6741,70917
20150430,1161.9367,1166.2755,1141.2839,1159.2032,64960
20150504,1160.6349,1209.5768,1160.6349,1198.2091,64768
20150505,1205.3248,1227.8865,1195.4322,1217.1697,130955
20150506,1171.4818,1206.1923,1133.8641,1187.1449,119615
20150507,1156.9901,1200.7254,1156.9901,1194.1304,82223
20150508,1195.7793,1213.1346,1171.612,1181.2443,45530
20150511,1181.9819,1193.176,1149.7878,1153.8663,40388
20150512,1159.3332,1168.6617,1114.2095,1147.792,51291
20150513,1152.2176,1179.2918,1136.7713,1171.3517,44341
20150514,1170.5272,1174.8227,1156.7298,1166.3186,17155
20150515,1167.2734,1180.1597,1154.9511,1173.608,35806
20150518,1175.8206,1175.8206,1155.7753,1163.6719,26202
20150519,1157.5976,1174.953,1157.5976,1166.1885,20326
20150520,1169.8332,1181.8083,1149.2672,1163.325,26739
20150521,1165.1471,1174.953,1156.7299,1165.1906,17305
20150522,1171.482,1218.9053,1161.4592,1212.2668,78691
20150525,1211.3989,1233.7005,1194.3907,1202.1572,159059
20150526,1193.2628,1206.1491,1176.7319,1187.4054,19913
20150527,1187.1016,1187.9259,1167.143,1176.4281,29781
20150528,1180.1593,1206.1922,1155.8619,1164.8431,24756
20150529,1175.7339,1178.988,1155.2547,1159.4199,19747
20150601,1171.4819,1171.4819,1149.0936,1155.6451,13965
20150602,1162.2835,1170.6141,1136.858,1142.5419,18687
20150603,1129.9159,1142.325,1093.383,1099.3273,31168
20150604,1101.2363,1126.3581,1101.2363,1110.5214,28763
20150605,1108.1351,1127.2259,1089.2177,1098.6331,27339
20150608,1098.6331,1107.2674,1080.3666,1094.9885,17036
20150609,1096.1164,1145.4489,1084.7053,1129.1349,30198
20150610,1129.8293,1149.7879,1115.0773,1122.1062,35357
20150611,1129.829,1141.0666,1089.0441,1097.5048,26439
20150612,1093.0358,1114.0358,1086.4408,1096.2899,15827
20150615,1102.0174,1106.3997,1089.0443,1097.4617,9090
20150616,1095.162,1102.0608,1076.1146,1094.4678,12970
20150617,1094.4677,1154.1265,1094.4677,1141.4138,47911
20150618,1132.8663,1153.9531,1128.354,1137.8994,19158
20150619,1137.6391,1167.143,1137.6391,1151.6101,45281
20150622,1159.333,1167.0562,1150.5253,1159.9839,21034
20150623,1159.7673,1188.8373,1154.3004,1163.7156,41223
20150624,1160.2009,1179.2917,1138.3766,1146.0996,30983
20150625,1146.3167,1196.647,1142.0647,1185.583,86784
20150626,1192.3081,1192.3081,1166.2752,1175.647,28280
20150629,1154.1264,1154.1264,1121.108,1146.2297,19343
20150630,1145.4486,1161.9361,1145.4486,1149.1799,89542
20150701,1132.6059,1161.4158,1132.6059,1152.6947,17728
20150702,1156.7298,1189.7048,1140.4592,1181.2875,64315
20150703,1189.705,1215.304,1184.7588,1210.9219,87216
20150706,1203.5894,1230.49,1190.5729,1216.736,65222
20150707,1220.0765,1226.064,1197.5146,1210.8782,70301
20150708,1197.5147,1240.9029,1185.4094,1235.0889,122130
20150709,1240.9031,1240.9031,1197.3413,1205.8888,49897
20150710,1197.9484,1222.9834,1181.027,1193.3927,54848
20150713,1200.9859,1214.6099,1193.176,1209.0562,39834
20150714,1209.6635,1217.4733,1193.1759,1200.7689,21021
20150715,1205.3246,1227.8864,1202.6778,1218.9918,156590
20150716,1218.3413,1246.6304,1218.3413,1239.775,97572
20150717,1241.7706,1253.9193,1217.4732,1225.5,52867
20150720,1228.7544,1232.2254,1205.3682,1209.8805,28142
20150721,1210.5311,1240.7727,1198.8163,1206.1055,41181
20150722,1221.812,1230.4463,1201.8535,1206.3225,14066
20150723,1214.8268,1239.0808,1206.1925,1223.3308,46492
