Date,Open,High,Low,Close,Volume
20230816,795.0,822.9,795.0,818.1,7337822
20230817,819.85,836.45,819.0,822.2,3958662
20230818,824.9,894.0,824.75,871.9,7798779
20230821,879.0,932.0,878.0,923.55,8978809
20230822,945.1,976.95,923.85,960.15,11493000
20230823,965.0,969.7,859.0,890.4,4192309
20230824,907.95,934.0,892.05,895.15,1134578
20230825,895.15,898.85,865.0,874.55,983333
20230828,895.0,899.0,860.0,864.95,995290
20230829,869.1,875.1,852.6,857.15,1218219
20230830,861.85,864.85,840.0,841.7,857053
20230831,820.0,830.75,800.1,811.95,1636383
20230901,803.85,835.85,791.05,824.9,1204025
20230904,830.0,834.9,815.0,817.6,825805
20230905,821.65,825.85,811.5,813.45,684436
20230906,815.05,859.45,809.0,855.95,8646350
20230907,858.9,858.9,833.1,839.4,6099751
20230908,843.8,846.0,831.0,833.0,937304
20230911,843.4,877.0,838.0,874.9,6691473
20230912,880.0,888.75,834.2,852.3,5946118
20230913,852.3,854.9,832.0,836.9,703403
20230914,840.9,855.1,835.0,851.75,4528205
20230915,853.2,859.9,839.05,846.1,7152425
20230918,873.85,873.85,846.2,855.1,6408916
20230920,859.0,860.0,843.95,855.2,4608210
20230921,853.5,857.0,844.65,847.35,771656
20230922,855.0,858.0,835.0,839.1,543417
20230925,838.0,844.0,827.6,830.4,404295
20230926,825.0,837.25,811.65,817.85,584558
20230927,822.6,822.75,812.55,816.2,443309
20230928,817.0,839.65,816.4,830.5,861650
20230929,825.05,825.9,807.2,810.25,1106739
20231003,815.9,816.8,806.7,807.75,506021
20231004,807.7,826.95,801.05,808.1,711980
20231005,812.5,815.5,805.3,807.7,252701
20231006,810.35,815.9,804.5,806.0,265517
20231009,806.0,806.0,772.4,778.9,559255
20231010,778.0,790.3,777.15,786.0,360806
20231011,792.0,807.0,791.2,798.2,655215
20231012,801.1,806.95,792.0,793.7,230980
20231013,792.85,793.7,783.0,785.2,269417
20231016,786.0,786.65,773.0,774.75,312993
20231017,778.0,787.0,771.0,774.9,351835
20231018,775.0,779.45,762.15,764.9,346049
20231019,764.9,765.9,755.55,759.4,356701
20231020,760.95,776.95,759.4,764.35,516923
20231023,768.7,768.7,734.05,735.8,485683
20231025,740.0,750.95,712.65,718.9,455111
20231026,719.95,748.0,686.0,739.1,1134296
20231027,748.0,772.9,742.05,764.5,741463
20231030,764.5,773.35,751.35,759.25,414510
20231031,768.95,772.0,758.05,769.8,327996
20231101,769.8,771.85,742.0,749.95,405088
20231102,755.0,770.0,749.55,752.25,247056
20231103,756.0,772.9,756.0,765.5,351531
20231106,777.05,779.95,767.75,771.85,299026
20231107,784.4,785.0,757.3,762.05,515017
20231108,765.0,768.95,755.5,757.95,338861
20231109,763.95,765.0,748.0,750.2,226089
20231110,748.0,763.0,744.1,760.45,278461
20231113,768.4,768.4,757.0,759.0,179475
