Date,Open,High,Low,Close,Volume
20150303,102.8436,104.8616,101.9211,104.04,10908493
20150304,104.9264,105.0273,100.8977,101.5175,9656926
20150305,101.6545,101.8995,99.4563,100.8184,12558461
20150309,100.1626,100.1626,95.6222,95.961,7975309
20150310,95.997,97.9429,92.2133,93.4673,9985479
20150311,93.5898,95.3483,91.9178,93.5034,11566206
20150312,94.2673,95.0889,93.6331,94.5124,6724218
20150313,95.0961,95.8529,90.5197,91.3989,9152930
20150316,91.5286,92.9484,89.5828,92.2494,10155774
20150317,92.7178,93.6187,91.4061,92.9484,6650031
20150318,92.9845,93.8349,92.1773,92.8403,4567788
20150319,93.698,93.8349,88.408,89.1864,8507137
20150320,88.9341,89.5539,87.0603,87.9035,12267377
20150323,88.2495,89.0567,85.482,85.9432,9837934
20150324,85.5541,86.2315,83.8172,85.2514,9013384
20150325,85.8063,88.2711,85.482,87.7522,8756630
20150326,87.1756,88.5666,85.9144,86.7,14607308
20150327,86.4838,86.4838,84.091,85.7991,7045197
20150330,86.9162,89.3666,86.7,89.1864,5615297
20150331,89.6693,91.2404,88.163,88.6963,8187770
20150401,87.7522,88.7612,86.9162,88.2711,5663060
20150406,88.6459,91.5286,88.3071,90.6638,5353082
20150407,91.5286,92.9556,90.1665,92.3863,8201797
20150408,92.8115,93.5322,91.3845,92.9484,9957941
20150409,93.2439,93.2439,91.1755,92.2494,4112808
20150410,90.8152,92.6241,90.1305,91.9683,6573554
20150413,91.889,95.7087,91.5287,95.3916,10420149
20150415,95.6799,96.4438,92.2782,93.0277,7813182
20150416,92.9989,94.4186,91.2404,92.3574,7010657
20150417,92.2493,93.6331,91.6944,92.6097,6112233
20150420,92.6097,93.3736,91.0962,92.5016,8286932
20150421,92.2494,95.2547,91.5287,93.8637,11180742
20150422,94.534,95.8096,93.0493,95.161,9174702
20150423,95.8745,97.7987,95.1466,96.9627,9486964
20150424,96.8546,96.8546,94.1232,95.1682,7851453
20150427,95.4132,96.2132,92.2782,94.2673,6648955
20150428,93.0061,94.6565,92.2566,94.2601,5830498
20150429,94.5484,98.4474,94.2529,97.6546,7722104
20150430,97.7267,99.3122,96.6744,97.1789,13112048
20150504,97.7267,102.7427,96.7177,101.9932,11619476
20150505,102.3391,104.5012,101.222,103.1247,9925470
20150506,102.2166,102.3391,97.006,97.8204,9298055
20150507,97.0132,97.2942,91.3124,93.6403,6735975
20150508,95.1682,99.3122,94.6997,98.6131,6537756
20150511,99.7446,102.3391,99.2545,101.9283,6250194
20150512,101.9067,101.9427,96.5735,97.0997,6854481
20150513,98.1591,105.2147,98.1591,104.0976,38481851
20150514,102.7715,106.7858,101.6761,106.2957,26280844
20150515,106.375,107.2831,104.9336,106.4759,15502215
20150518,105.957,112.2848,105.957,111.6145,17281278
20150519,110.8434,112.7893,110.0506,110.9947,13493245
20150520,111.7082,113.2217,111.2758,112.4938,14434024
20150521,112.8109,113.1496,111.1316,112.4938,9851602
20150522,113.2793,115.2396,112.4289,114.5549,13381322
20150525,113.8703,115.0955,112.6451,113.337,11963825
20150526,113.8415,115.881,113.1496,114.3748,17826044
20150527,112.6019,114.4468,112.5874,113.9424,11121457
20150528,113.7262,114.0144,103.1175,105.8705,38326555
20150529,105.7985,105.7985,97.8204,101.8058,52597892
20150601,102.195,104.0256,90.4188,91.2476,71545880
20150602,91.9611,94.188,89.5828,91.8169,112566102
20150603,293.7728,293.7728,54.4963,56.2386,89673759
20150604,57.3915,61.1578,56.008,59.723,27138057
20150605,59.9536,62.029,57.5709,59.0569,18109318
20150608,59.7743,60.1586,50.4994,51.1143,27980663
20150609,51.5755,53.2409,50.1151,51.3705,24868857
20150610,51.4986,52.9847,51.2424,51.5499,9294001
20150611,52.1135,52.3698,49.4489,50.1663,10489218
20150612,49.7051,49.7308,47.7067,48.1423,9493008
20150615,48.1423,53.574,47.143,51.473,23764327
20150616,51.473,51.6267,48.0654,49.6027,11264023
20150617,50.1663,51.9342,49.2952,50.8581,13221475
20150618,51.3193,51.9086,50.2688,51.0631,7826482
20150619,51.0631,51.678,49.3208,49.6539,6430158
20150622,49.9357,50.9093,49.4489,50.1407,5395954
20150623,50.2176,51.9598,49.9357,51.4218,8146500
20150624,51.268,51.678,49.5002,49.782,5616487
20150625,48.4241,48.9365,47.1686,48.4241,14788371
20150626,48.5266,49.8076,48.0398,48.3472,8700138
20150629,47.6042,47.6042,46.2207,46.8099,5251014
20150630,46.5025,48.1166,45.9901,46.5537,10729342
20150701,46.7843,47.6555,46.6562,46.9637,8195635
20150702,47.3992,47.6555,46.3231,46.7843,9383950
20150703,46.9381,47.8348,46.3744,46.6306,8627185
20150706,46.1182,46.9381,45.9388,46.5025,8015491
20150707,46.8356,47.9117,46.1438,47.1686,8715245
20150708,46.7843,46.8612,45.7082,45.8363,8641503
20150709,46.1182,46.5281,45.2983,45.5801,6958615
20150710,45.8107,46.3231,45.2471,45.9132,9393005
20150713,46.1182,46.7331,45.6058,46.4513,7490181
20150714,46.6818,47.2199,45.4776,45.8107,7973389
20150715,45.862,46.2207,45.4008,45.657,6202960
