Date,Open,High,Low,Close,Volume
20180618,30.0,31.5,28.5,31.5,7006229
20180619,32.7,33.05,31.0,32.6,2895692
20180620,31.5,32.2,31.0,31.0,1115553
20180621,29.45,30.0,29.45,29.65,2854524
20180622,28.2,29.8,28.2,29.45,1612972
20180625,30.0,30.0,28.5,28.95,365859
20180626,28.8,29.4,27.55,28.8,493868
20180627,28.3,28.3,27.4,27.4,133412
20180628,26.05,26.05,26.05,26.05,61587
20180629,24.75,27.35,24.75,26.8,1158865
20180702,27.2,27.25,22.8,25.2,1369795
20180703,26.95,26.95,24.5,26.35,519628
20180704,26.0,29.95,25.8,29.6,1033451
20180705,29.8,31.95,28.6,29.8,1546192
20180706,29.0,30.9,28.85,30.35,523472
20180709,30.45,31.4,29.55,30.95,616718
20180710,30.55,31.85,30.25,31.1,492511
20180711,31.05,33.4,30.6,31.95,1610144
20180712,31.8,32.9,30.95,31.1,524503
20180713,32.5,32.7,31.2,31.45,770830
20180716,32.4,32.4,30.85,31.1,696778
20180717,31.65,31.85,30.95,31.45,557931
20180718,31.5,31.75,29.55,29.75,497514
20180719,29.8,30.4,28.1,29.7,469529
20180720,29.95,35.6,29.5,35.4,5891772
20180723,37.9,42.45,37.1,42.45,2766587
20180724,45.85,46.65,45.0,46.65,1510186
20180725,50.7,51.3,47.1,51.3,868232
20180726,55.8,56.4,48.0,52.9,6847468
20180727,54.5,54.8,51.15,52.35,1425686
20180730,52.8,57.55,52.8,57.55,2011508
20180731,60.4,60.4,58.6,60.4,3461295
20180801,62.7,63.4,62.3,63.4,1023345
20180802,66.55,66.55,66.55,66.55,162902
20180803,69.85,69.85,69.85,69.85,116347
20180806,73.3,73.3,73.3,73.3,66210
20180807,71.3,73.0,69.65,69.65,1031350
20180808,66.2,66.2,66.2,66.2,71603
20180809,62.9,62.9,62.9,62.9,130477
20180810,61.55,66.0,60.1,66.0,3789655
20180813,62.7,62.7,62.7,62.7,262033
20180814,59.6,59.6,59.6,59.6,117253
20180816,56.65,56.65,56.65,56.65,82087
20180817,53.85,59.45,53.85,54.7,4325129
20180820,54.7,57.4,54.7,57.4,585571
20180821,59.0,60.25,56.0,57.1,2223954
20180823,58.7,59.95,56.55,57.2,946929
20180824,58.5,58.5,54.9,55.55,544872
20180827,55.2,57.4,53.25,55.5,1065753
20180828,56.1,58.25,55.35,58.25,895093
20180829,60.0,61.15,58.0,60.9,3048560
20180830,62.6,62.8,58.7,59.05,927625
20180831,59.0,59.4,56.9,57.4,611779
20180903,57.8,58.6,55.7,55.9,444735
20180904,56.8,56.8,53.25,53.5,528265
20180905,53.5,54.5,51.0,52.25,476641
20180906,53.25,54.85,52.45,54.85,773528
20180907,56.0,57.45,55.0,55.7,470728
20180910,56.0,56.0,53.75,54.05,277861
20180911,54.35,55.4,52.0,52.5,281671
20180912,54.0,54.0,51.2,52.65,248721
20180914,54.4,55.25,53.35,55.25,335372
20180917,55.5,56.2,52.9,53.75,383467
20180918,53.4,54.75,53.15,53.3,190458
20180919,54.0,54.2,51.4,51.8,242903
20180921,52.5,52.8,49.25,49.25,871518
20180924,48.8,48.8,46.8,46.8,298844
20180925,44.55,46.65,44.5,44.55,554878
20180926,46.45,46.75,44.6,45.2,757920
20180927,45.95,45.95,42.95,42.95,370953
20180928,42.95,43.3,40.85,40.85,241990
20181001,38.85,40.75,38.85,39.2,715774
20181003,40.0,40.0,37.25,37.25,610429
20181004,35.4,35.4,35.4,35.4,103762
20181005,33.65,33.65,33.65,33.65,80519
20181008,32.75,33.1,32.0,32.0,1125121
20181009,30.4,32.1,30.4,30.4,1129990
20181010,29.1,31.9,29.1,31.9,310963
20181011,32.9,33.45,32.05,33.45,351022
20181012,35.1,35.1,35.1,35.1,170930
20181015,35.9,36.85,35.25,36.85,2501987
20181016,37.6,38.65,37.3,38.65,1241610
20181017,40.55,40.55,39.1,39.35,2436836
20181019,39.5,39.5,37.4,37.4,633110
20181022,37.45,38.85,35.55,35.75,421538
20181023,35.75,35.75,34.0,35.25,498569
20181024,35.55,37.0,35.55,37.0,856135
20181025,36.9,37.95,35.5,36.2,539990
20181026,36.7,37.3,35.5,36.2,276450
20181029,38.0,38.0,37.9,38.0,1008595
20181030,39.9,39.9,38.45,39.3,3882939
20181031,39.3,40.5,37.35,39.65,2857119
20181101,38.3,41.4,38.0,41.05,1500492
20181102,41.95,42.8,41.1,41.3,948252
20181105,41.85,43.35,41.85,43.35,664924
20181106,45.0,45.5,42.5,43.1,1558886
20181107,44.15,45.25,44.0,45.05,1009337
20181109,45.9,46.35,43.6,45.25,728245
20181112,45.25,45.9,43.0,43.1,488369
20181113,42.5,42.7,41.45,42.1,435533
20181114,42.35,43.8,42.3,42.7,412768
20181115,42.9,44.2,41.25,43.35,367324
20181116,44.4,44.4,41.7,42.35,499103
20181119,42.4,42.75,40.7,41.25,294550
20181120,41.25,42.85,41.0,41.45,364290
20181121,43.0,43.5,41.2,43.5,595503
20181122,44.5,45.65,43.8,45.65,1334318
20181126,46.6,47.9,46.2,47.9,1426646
20181127,48.9,50.25,48.6,49.45,1095967
20181128,50.0,50.0,47.0,48.4,1512866
20181129,48.6,49.7,46.9,47.45,628832
20181130,48.0,48.55,46.4,46.75,345988
20181203,47.0,47.5,45.3,46.05,317022
20181204,46.9,46.9,45.0,45.1,331553
20181205,44.4,47.35,44.4,46.8,1337441
20181206,46.9,47.75,44.85,45.2,650624
20181207,45.6,46.4,43.5,44.45,469921
20181210,43.0,43.0,40.4,41.3,362344
20181211,40.95,45.0,39.8,43.35,910217
20181212,45.4,45.75,44.15,44.8,444342
20181213,45.55,45.8,44.0,44.3,205559
20181214,44.0,45.6,43.8,44.15,269581
20181217,44.3,45.9,44.15,44.65,200093
20181218,44.9,46.8,43.9,44.25,1217941
20181219,44.65,44.75,44.0,44.15,341189
20181220,43.95,44.65,43.6,43.95,369104
20181221,43.95,44.25,42.35,42.5,443037
20181224,42.5,43.2,42.0,42.15,174059
20181226,42.2,42.4,40.15,41.55,517905
20181227,41.75,42.7,41.25,41.45,212220
20181228,42.0,42.55,41.55,41.7,233894
20181231,41.75,42.3,41.7,41.85,211687
20190101,41.85,41.85,41.15,41.4,105166
20190102,41.1,42.5,40.55,41.15,288827
20190103,41.5,42.15,40.75,40.95,211035
20190104,40.95,41.3,40.4,40.55,169984
20190107,41.0,42.25,41.0,41.1,292864
20190108,41.1,41.5,40.5,40.75,259216
20190109,41.2,41.2,40.5,40.65,160411
20190110,40.95,40.95,40.5,40.65,82567
20190111,40.65,41.35,39.5,39.75,346640
20190114,40.5,40.95,39.5,39.6,269872
20190115,40.1,40.1,38.5,38.75,228070
20190116,39.3,39.35,38.55,39.15,167243
20190117,39.75,40.25,39.15,39.65,221463
20190118,39.65,40.15,38.35,38.75,180157
20190121,39.0,39.1,37.5,37.95,113138
20190122,38.0,38.9,36.55,37.75,243342
20190123,37.75,38.35,37.55,37.95,113541
20190124,37.7,38.2,37.0,37.35,119053
20190125,38.05,38.05,34.7,35.1,250182
20190128,35.45,36.0,31.6,32.5,770899
20190129,33.0,35.75,32.25,34.9,542956
20190130,35.95,38.2,34.2,37.3,529540
20190131,38.0,39.85,35.0,35.6,733194
20190201,36.4,37.0,35.5,35.75,352935
20190204,35.95,36.3,33.0,33.85,251417
20190205,34.3,34.35,32.6,32.95,192834
20190206,33.4,34.0,33.0,33.1,345009
20190207,33.5,37.8,33.5,34.4,1211335
20190208,34.75,34.75,33.0,33.9,190270
20190211,33.0,35.2,32.6,32.85,198956
20190212,33.0,33.4,31.85,32.1,216299
20190214,32.55,33.75,31.65,31.95,418342
20190215,32.05,32.5,30.8,31.0,438733
20190218,31.45,31.45,30.15,30.25,238514
20190219,30.25,31.5,30.2,30.8,200552
20190220,31.15,31.65,30.55,30.95,220599
20190221,31.0,31.8,30.35,30.85,320492
20190222,31.1,32.95,30.75,32.7,788757
20190225,33.4,33.5,32.3,32.95,493358
20190226,32.75,33.25,30.55,32.9,602009
20190227,33.25,34.5,32.55,32.9,918227
20190228,33.0,33.5,32.65,33.05,305906
20190301,33.1,35.3,33.1,34.2,1019350
20190305,34.25,37.4,34.1,36.25,1423360
20190306,36.75,37.45,35.0,35.4,976586
20190307,36.0,36.45,34.95,35.6,816819
20190308,35.6,35.95,34.7,35.0,552247
20190311,35.4,36.25,35.15,36.15,515567
20190312,36.5,40.7,36.4,39.1,3374322
20190313,39.3,41.6,38.4,39.75,2123795
20190314,40.2,40.3,38.25,38.55,791109
20190315,38.9,39.6,37.3,37.8,886002
20190318,38.25,38.45,36.45,37.4,591667
20190319,37.4,38.0,37.0,37.1,514591
20190320,37.0,37.25,36.2,36.45,458645
20190322,36.6,37.0,35.35,36.0,505496
20190325,35.55,35.7,34.7,35.15,426556
20190326,35.05,36.25,34.9,35.95,480545
20190327,36.1,36.7,35.15,35.55,366621
20190328,35.6,36.4,35.25,35.85,498011
20190401,37.55,39.2,37.55,38.7,780251
20190402,38.95,39.4,37.6,37.75,785107
20190403,37.75,38.45,36.85,37.25,368043
20190404,37.3,37.7,36.45,36.95,425277
20190405,37.0,37.25,36.35,36.65,258016
20190408,36.95,37.4,36.1,36.25,680431
20190409,36.5,37.25,36.0,37.0,434729
20190410,36.9,38.1,36.35,36.95,446323
20190411,37.0,37.3,35.7,36.0,592636
20190412,36.35,37.45,36.2,37.0,716786
20190415,37.3,37.75,37.15,37.45,598604
20190416,37.6,44.9,37.6,44.5,10783405
20190418,44.9,48.05,41.3,45.0,7207777
20190422,44.4,46.95,43.65,44.75,2596859
20190423,44.6,46.15,43.85,44.2,1041669
20190424,44.4,45.45,44.3,44.7,867612
20190425,44.75,45.1,43.5,43.8,599113
20190426,43.55,44.0,42.5,43.0,648948
20190430,42.95,43.0,39.65,40.05,958201
20190502,40.0,44.0,39.3,41.8,1313437
20190503,41.9,43.65,41.5,41.9,432762
20190506,41.4,41.55,39.95,40.2,482271
20190507,40.5,41.65,39.1,39.45,752888
20190508,39.85,40.0,37.8,38.05,793079
20190509,38.25,39.5,37.45,39.15,704888
20190510,39.7,40.0,38.7,39.1,389550
20190513,39.35,40.0,37.65,37.8,388130
20190514,37.6,37.95,37.15,37.7,551588
20190515,38.1,39.85,37.1,37.5,991433
20190516,37.5,37.5,35.6,36.6,750015
20190517,37.0,37.85,36.6,37.4,605735
20190520,41.0,43.9,41.0,43.1,2765726
20190521,44.1,45.2,43.1,43.35,2839782
20190522,44.2,44.25,42.45,43.95,1366431
20190523,46.0,47.4,43.05,43.4,3296384
20190524,44.0,44.3,41.5,42.3,836545
20190527,42.55,44.0,42.3,43.15,728280
20190528,43.5,46.6,43.05,45.0,2795602
20190529,45.2,46.0,44.2,44.7,1087465
20190530,44.9,45.2,44.25,44.6,775453
20190531,44.8,45.0,41.95,43.3,733078
20190603,43.55,45.1,42.05,44.1,1032570
20190604,43.9,46.15,43.6,45.2,1564837
20190606,45.65,45.9,44.15,44.35,1090829
20190607,44.45,44.75,43.0,43.25,958801
20190610,43.95,44.1,42.8,42.9,572040
20190611,42.9,43.15,42.0,42.55,373551
20190612,42.95,43.7,42.95,43.15,1005299
20190613,43.3,43.7,42.1,43.4,878605
20190614,43.2,44.1,42.5,42.6,735206
20190617,42.3,43.05,41.35,41.65,463842
20190618,41.65,42.3,40.3,40.8,507146
20190619,40.8,41.9,38.6,39.75,716297
20190620,40.9,42.0,40.3,40.95,1318472
20190621,41.25,42.15,40.6,41.25,544866
20190624,41.6,41.65,40.45,41.15,329432
20190625,40.75,41.95,40.75,41.35,420526
20190626,41.5,41.8,41.1,41.5,337225
20190627,41.6,43.25,41.4,42.35,520763
20190628,42.8,45.75,42.6,44.4,1669966
20190701,44.95,46.1,44.45,45.5,1373074
20190702,45.75,52.15,45.65,50.2,9097156
20190703,50.75,54.0,50.5,52.0,5384608
20190704,52.5,53.4,50.25,51.05,2307705
20190705,51.45,52.2,46.8,47.6,1917892
20190708,47.0,47.0,44.0,44.85,1441111
20190709,44.7,51.8,43.25,49.6,5877043
20190710,50.2,53.0,48.1,49.1,3006518
20190711,49.55,50.7,48.25,49.45,1433624
20190712,49.75,50.8,49.0,49.55,1510070
