Date,Open,High,Low,Close,Volume
20150303,315.5301,321.7458,315.0556,319.3734,2016305
20150304,322.5525,325.7789,313.2526,315.0557,1846535
20150305,315.8148,318.2821,310.5007,316.0521,1770268
20150309,314.6286,318.7566,306.9895,308.4129,1825760
20150310,308.4603,311.1649,298.6386,301.3431,1215285
20150311,302.6242,302.6242,286.7766,292.0907,4828130
20150312,290.9045,296.0764,288.4847,294.4157,3431277
20150313,296.9305,300.1569,289.4337,290.6199,4356123
20150316,291.0469,298.686,287.5832,297.31,1629195
20150317,299.208,304.4747,294.4632,303.2411,5158959
20150318,303.7155,304.5696,296.9305,300.4891,3069180
20150319,300.0146,306.1829,294.653,296.9305,1470026
20150320,296.9305,300.5366,290.8571,292.4229,2049167
20150323,292.5652,295.3647,287.1087,288.3424,1387396
20150324,288.4848,293.2296,283.7399,291.4265,2447607
20150325,294.3208,299.3978,293.4193,298.686,2456872
20150326,297.5473,299.4927,287.5357,288.6745,3406327
20150327,292.0907,292.0907,280.3236,289.4337,3371344
20150330,290.3826,294.1785,287.5357,292.8025,3039118
20150331,295.1275,299.3503,289.4811,292.4704,2590770
20150401,292.7076,296.1239,290.4775,295.08,1026200
20150406,297.7371,307.3216,295.5545,304.8543,2039045
20150407,306.515,308.9823,300.4891,307.369,1913068
20150408,307.7486,308.4129,301.7701,302.8615,1317175
20150409,303.3834,304.19,296.0764,300.5366,1503986
20150410,300.7263,307.3216,297.4998,303.4783,2127407
20150413,304.1426,314.7235,303.241,313.9169,2405161
20150415,313.6322,316.574,307.7012,309.1246,1576904
20150416,311.2598,315.4353,305.3762,310.7853,1676768
20150417,310.8802,315.0556,304.6171,306.2777,1471127
20150420,307.9384,308.3655,292.5652,297.4998,2002115
20150421,297.9269,304.2849,294.4157,298.4014,1679188
20150422,300.2518,302.0074,289.1964,297.6897,2317579
20150423,298.9233,303.5257,297.2151,302.3395,1069160
20150424,302.7191,302.7191,296.9779,300.1569,1316393
20150427,300.584,306.942,289.0066,290.3352,2330507
20150428,291.3315,294.9376,283.2654,290.4775,2539436
20150429,292.2806,299.3029,290.1454,296.8831,1566799
20150430,297.0728,303.5732,292.9448,301.3431,2916537
20150504,308.9348,334.9839,304.6645,329.4799,6375610
20150505,331.7574,333.7502,320.702,325.2096,4219216
20150506,322.9795,326.6805,312.2562,314.2965,2247751
20150507,315.3403,315.3403,299.3028,306.3252,1709602
20150508,309.5517,323.3591,309.5517,317.9974,2097977
20150511,320.3699,327.3922,319.8479,326.4907,2266220
20150512,325.8738,325.8738,316.1469,317.8076,1550748
20150513,319.2786,326.4432,317.4755,323.0744,3022877
20150514,321.129,322.6474,313.8695,316.9062,3075816
20150515,318.7092,321.3663,310.3583,312.2088,1663198
20150518,313.9169,323.1693,312.6833,322.0305,1370344
20150519,321.0341,327.2973,318.2347,322.505,1685421
20150520,323.4066,326.8703,321.2714,325.5417,1660453
20150521,326.4432,333.086,326.0162,330.6187,2609479
20150522,330.8566,337.7584,330.1426,332.1894,2369700
20150525,330.9518,333.4745,324.0025,326.43,1420555
20150526,326.5728,333.427,326.5252,328.6672,1576396
20150527,326.5251,328.3339,319.9566,322.6221,2585896
20150528,323.5741,324.2405,305.1535,317.0055,3394601
20150529,317.1007,318.6239,307.0574,308.295,3711024
20150601,310.1513,310.1513,293.4443,296.5858,3889157
20150602,302.8212,305.5819,291.4928,294.3011,7395219
20150603,296.0622,296.8238,274.1669,282.9727,24022178
20150604,286.5425,301.1553,286.5425,296.2526,6343813
20150605,296.0622,300.4888,293.8727,296.3478,2533852
20150608,296.7761,298.8229,283.9246,287.6372,2647500
20150609,288.8748,296.3954,286.7329,291.8259,2724447
20150610,292.2543,299.1561,291.3499,297.9185,2282770
20150611,304.6299,304.9155,288.018,289.6364,3718393
20150612,288.4465,298.0137,285.5906,297.0618,2854243
20150615,295.2055,301.774,293.3015,295.1578,3154460
20150616,295.1103,299.8701,288.6845,298.1566,4130581
20150617,297.0142,299.8701,293.5871,296.0622,4251580
20150618,297.2998,298.6326,294.4915,296.0622,2616024
20150619,296.9666,298.2041,288.4464,289.9696,3438440
20150622,291.3024,299.3941,289.4937,296.1098,3121416
20150623,296.1098,303.1068,296.1098,300.8697,2683470
20150624,301.6788,302.726,294.8723,296.5858,2241106
20150625,295.8717,301.2504,293.3014,297.5377,5190167
20150626,296.0622,300.2033,294.1583,296.2526,2127770
20150629,291.8736,292.7303,286.3997,291.9211,1890624
20150630,290.3504,294.539,290.3504,293.1111,2632153
20150701,293.9679,297.6806,291.7783,296.3478,2854143
20150702,297.4426,303.678,296.919,300.8697,8669541
20150703,304.5823,310.1037,303.6779,305.3915,5189498
20150706,301.7264,305.6771,301.06,304.7251,2853145
20150707,306.3435,318.6239,306.1531,317.0531,7877450
20150708,313.5784,313.5784,303.5828,305.2487,6546522
20150709,307.8666,307.8666,297.5854,300.0129,3521086
20150710,303.44,306.1055,300.0605,301.8692,2531442
20150713,303.6779,306.5338,298.5373,305.9626,1890469
20150714,306.8194,307.2478,298.9181,300.7268,1960113
20150715,300.7268,305.3439,299.9652,304.2967,2112588
20150716,309.3897,313.1976,307.2478,311.1985,3075862
20150717,313.864,314.816,304.7251,313.4832,2556255
20150720,312.2457,314.6256,309.961,313.0072,1847655
20150721,314.6256,315.3396,305.5819,307.1526,1927178
20150722,306.9146,309.7706,304.6299,308.9138,1703725
20150723,310.0562,317.3387,309.3898,315.4348,3000343
20150724,314.5304,314.5304,306.5339,308.3426,2337434
20150727,306.7242,307.2002,297.7281,298.8705,2359169
20150728,298.8229,301.8692,297.2046,298.3945,2415757
20150729,299.5845,301.1076,298.4421,299.5845,2000338
20150730,300.822,304.5823,299.9653,303.0592,3092912
20150731,304.4395,310.8177,302.25,309.3898,3265863
