Date,Open,High,Low,Close,Volume
20150303,56.5,57.5,55.7,57.1,6875563
20150304,57.9,59.35,56.0,56.6,13880606
20150305,58.3,60.15,56.6,59.4,24828195
20150309,58.15,58.15,54.5,54.95,17949958
20150310,55.0,55.45,51.9,52.25,11832317
20150311,52.8,53.25,50.65,51.55,11185937
20150312,51.8,53.1,51.8,52.8,5831158
20150313,53.3,53.3,49.7,50.0,7207712
20150316,50.15,51.05,49.4,50.4,4749638
20150317,50.9,51.1,49.55,50.45,4967676
20150318,50.7,50.9,49.85,50.15,3976763
20150319,50.5,50.85,47.75,48.05,5218422
20150320,48.1,48.1,46.5,47.5,7351440
20150323,47.9,47.9,46.6,46.75,3762662
20150324,46.65,47.3,45.75,46.1,4575468
20150325,46.1,46.75,45.85,46.45,3297809
20150326,46.0,47.5,45.9,46.35,4091037
20150327,46.55,47.1,44.65,46.0,6177625
20150330,46.2,47.8,46.2,47.5,3645315
20150331,47.8,48.75,46.9,47.3,5860485
20150401,46.7,48.0,46.7,47.75,3015649
20150406,47.9,47.95,46.65,47.35,3414042
20150407,47.45,48.95,47.05,48.65,4573142
20150408,48.7,49.5,48.1,48.55,3876456
20150409,49.3,50.25,48.9,49.35,6722073
20150410,49.4,50.45,48.7,49.8,4018572
20150413,49.6,50.2,48.8,49.5,3240431
20150415,49.5,50.15,48.5,48.85,3032189
20150416,48.85,49.3,47.7,48.05,3422646
20150417,48.0,48.65,47.05,47.5,2773109
20150420,47.5,47.5,45.15,45.55,3382155
20150421,46.25,46.25,44.9,45.05,3229734
20150422,45.35,45.7,44.3,45.35,2714408
20150423,45.9,45.9,44.05,44.4,3220619
20150424,44.25,44.5,43.05,43.65,3968464
20150427,43.75,44.0,41.8,42.15,3718096
20150428,42.2,42.7,41.3,42.45,5475322
20150429,42.9,43.3,42.1,42.85,2566960
20150430,43.0,43.2,42.2,42.95,4269018
20150504,43.3,45.05,43.1,44.85,4344402
20150505,44.55,45.45,44.2,44.55,3012449
20150506,44.3,44.4,41.9,42.05,3864400
20150507,42.1,42.35,39.8,40.45,4653215
20150508,41.0,42.15,41.0,41.8,3506710
20150511,42.0,44.3,41.6,43.4,7612364
20150512,42.7,42.7,40.05,40.3,5855277
20150513,40.5,41.5,40.15,41.1,4862916
20150514,40.65,41.5,40.4,41.15,3311023
20150515,41.6,42.15,40.8,41.1,3673391
20150518,41.7,42.2,41.5,41.9,2757496
20150519,42.25,42.45,41.5,41.85,2630727
20150520,42.0,42.35,41.5,41.7,2005494
20150521,41.7,41.95,40.8,41.15,2364853
20150522,41.2,41.35,40.2,40.35,3231189
20150525,40.4,40.8,40.15,40.35,1932577
20150526,40.75,40.75,40.15,40.2,1469144
20150527,40.05,40.8,39.45,39.9,2664012
20150528,40.0,40.15,38.3,38.55,6011485
20150529,38.65,39.2,38.5,38.95,3815975
20150601,39.15,39.15,37.05,37.35,5623193
20150602,37.45,37.6,36.05,36.25,6884916
20150603,36.5,36.5,29.6,32.4,31902963
20150604,33.15,33.45,31.0,31.9,10704799
20150605,32.0,32.6,31.05,31.5,5022277
20150608,31.9,31.9,29.8,30.45,6466856
20150609,30.3,31.6,29.9,30.8,4663460
20150610,30.95,31.35,30.35,30.7,3989497
20150611,31.0,31.1,29.2,29.4,5789287
20150612,29.55,29.7,28.4,29.2,3822456
20150615,29.75,30.35,29.05,29.7,5307229
20150616,29.7,29.75,28.1,29.1,8943406
20150617,29.4,29.9,29.0,29.4,7976379
20150618,29.5,29.5,26.5,27.45,28540653
20150619,27.7,28.45,26.85,27.5,14496297
20150622,27.6,28.4,26.8,28.0,12069164
20150623,28.0,30.0,27.85,29.7,17027319
20150624,30.05,30.9,29.4,29.75,14904735
20150625,29.7,31.05,29.35,30.7,18551263
20150626,30.95,30.95,29.15,29.75,13253922
20150629,29.0,29.15,27.5,28.9,8305620
20150630,28.75,29.4,28.6,29.2,7178794
20150701,29.35,30.45,29.05,29.9,7436755
20150702,30.2,30.2,29.3,29.45,5694224
20150703,29.6,29.75,28.7,28.9,5539235
20150706,28.65,30.15,28.2,29.9,7566838
20150707,30.15,31.15,30.05,30.55,10695236
20150708,30.25,30.45,29.45,29.95,8213942
20150709,30.05,30.4,29.8,29.9,3961924
20150710,30.1,30.25,28.15,28.5,45818730
20150713,28.65,28.85,28.15,28.5,6796336
20150714,28.85,29.3,28.6,28.7,7832071
20150715,28.9,29.05,27.8,28.05,7233942
20150716,29.0,29.6,28.65,29.3,46385293
20150717,29.55,30.5,29.25,30.05,22065409
20150720,30.05,30.25,28.95,29.1,12837038
20150721,29.0,29.25,27.85,28.05,11169883
20150722,28.4,28.85,27.95,28.65,9333990
20150723,28.8,29.1,28.25,28.45,9304355
20150724,28.6,28.6,27.6,27.85,10112541
20150727,27.9,27.9,26.95,27.05,11769076
20150728,27.1,27.35,26.65,26.9,10715474
20150729,27.0,27.15,26.3,26.6,11329770
20150730,27.0,27.35,26.5,27.05,13482479
20150731,27.5,27.7,27.1,27.4,9191454
20150803,27.4,28.1,27.35,27.95,8355002
20150804,28.25,29.05,27.6,28.45,15909967
20150805,28.65,29.5,28.25,28.65,16196119
20150806,28.55,29.35,28.1,28.9,6574266
20150807,28.7,29.0,28.25,28.4,5726924
20150810,28.55,28.9,27.4,27.7,12166021
20150811,27.7,27.9,26.85,27.05,8906711
20150812,26.85,27.05,25.55,25.95,7564942
20150813,26.4,26.75,25.65,25.95,8372934
20150814,26.2,27.1,25.85,26.95,7280070
20150817,27.1,27.1,26.1,26.65,4155760
