Date,Open,High,Low,Close,Volume
20150303,244.2859,244.6709,237.1854,240.3934,1657278
20150304,241.3345,242.7461,233.5495,234.9611,3325192
20150305,235.2605,236.116,230.1703,233.8489,1196807
20150309,234.9183,235.2605,223.7541,225.6362,1477604
20150310,226.5345,227.6039,221.1449,222.0004,1755355
20150311,223.1553,225.679,219.1345,222.2998,1390394
20150312,223.2836,229.8709,223.2836,225.8928,1700626
20150313,229.2721,229.9137,217.2952,219.0062,1480291
20150316,220.6316,222.1287,218.279,219.5622,976672
20150317,222.1287,222.9414,217.4235,221.316,1014172
20150318,222.3854,222.3854,214.7287,216.183,1030832
20150319,219.6905,219.6905,214.0443,215.3275,1354373
20150320,217.4662,221.1449,207.8847,218.3217,1780884
20150323,219.0489,221.5726,215.7553,219.1345,1117431
20150324,218.0651,221.1449,215.4559,216.7391,662042
20150325,218.0651,218.5784,210.9217,212.8466,1470418
20150326,211.2639,215.5414,209.9379,213.9587,1416055
20150327,214.9425,216.3541,211.3495,214.2581,769766
20150330,216.3114,220.6316,213.7449,219.9472,789976
20150331,220.375,221.316,217.2952,218.4073,1383023
20150401,218.1079,223.6258,216.7819,222.642,1346375
20150406,225.5935,226.2351,221.7438,223.7114,2100720
20150407,223.7113,225.4651,217.509,222.5137,1385846
20150408,222.6848,227.8605,219.5195,220.4177,1722699
20150409,222.4281,222.4281,216.9102,219.1345,1162924
20150410,219.1773,221.8293,218.4501,220.9738,771330
20150413,222.257,222.5993,217.7229,220.375,1109353
20150415,222.7703,224.1391,220.375,222.3854,2877879
20150416,223.1981,223.1981,213.8732,216.012,3346874
20150417,214.2154,214.6859,210.2374,211.1784,1579668
20150420,210.6651,216.6536,208.5692,212.205,1651654
20150421,211.3067,212.1194,204.6766,205.3183,1187332
20150422,205.9171,208.398,202.0246,207.072,2817535
20150423,208.6119,211.2212,201.9819,203.2651,1605610
20150424,203.6073,203.6073,198.2177,199.6292,1431828
20150427,200.5703,200.5703,195.6512,196.8917,1045609
20150428,196.6778,198.4315,191.6732,197.2339,3076993
20150429,196.7633,206.6015,195.2235,203.8639,4216759
20150430,201.5114,206.0027,198.0466,198.8165,2718627
20150504,200.442,207.8847,198.4743,206.4304,1225037
20150505,206.1738,206.1738,201.7252,204.6339,1425990
20150506,204.6339,204.805,192.1009,194.0258,1784868
20150507,192.4859,198.8593,190.1761,197.961,1204512
20150508,199.1159,205.2755,198.1749,199.5009,1726625
20150511,200.1425,204.805,197.2339,204.035,966021
20150512,204.805,204.805,194.6674,195.7795,1408233
20150513,197.405,202.1102,195.0523,201.1691,1485322
20150514,200.6559,203.2223,197.7472,201.0836,1388619
20150515,200.998,202.709,198.7738,200.7842,688530
20150518,201.4258,207.7992,199.8431,205.9171,1454344
20150519,206.7726,207.842,202.8374,204.4628,1281230
20150520,204.7194,206.8582,203.1795,204.2917,1327514
20150521,204.2917,206.6871,201.383,206.3449,1900169
20150522,206.3449,209.2963,205.4038,206.6871,1215616
20150525,206.6015,206.7726,197.79,198.731,1474372
20150526,199.5437,200.0998,193.4269,194.0258,2058074
20150527,193.0847,197.1483,192.4859,194.7102,1051814
20150528,195.1807,198.5599,193.1703,196.7206,1925339
20150529,197.1483,205.1472,196.5495,203.2651,3367891
20150601,203.2651,206.2166,203.2223,205.2327,896412
20150602,204.5056,205.4038,195.9506,197.8755,1281246
20150603,196.9344,197.4905,191.8443,193.1703,1280160
20150604,193.1703,196.5922,189.1495,195.9079,1682455
20150605,195.3945,195.8223,188.3795,189.7483,2306031
20150608,189.235,192.7853,188.3795,190.8177,1452746
20150609,190.4327,193.983,189.4061,193.1275,1635006
20150610,192.9992,194.9668,190.3472,193.2131,1326034
20150611,194.368,199.2443,188.3795,189.8339,2285209
20150612,188.2084,189.4917,183.7599,186.8824,2071964
20150615,186.9252,188.0373,184.0165,184.487,1311042
20150616,184.487,189.0639,183.3321,187.8234,1211923
20150617,187.4385,191.6304,185.2142,189.9622,1548357
20150618,189.6627,192.0581,188.6362,190.0477,1018469
20150619,190.3899,195.0524,189.5772,193.8547,1392473
20150622,194.924,197.4905,192.7425,195.4373,1162719
20150623,195.4373,197.9183,194.1969,197.3194,1256867
20150624,196.6778,198.9876,193.1702,194.1968,1613338
20150625,194.1969,195.5657,191.9726,193.8547,2082661
20150626,193.7691,196.5922,192.5286,194.1968,1388968
20150629,191.6304,195.2662,188.4223,194.5818,980547
20150630,194.1968,197.4905,192.4859,196.6778,1597249
20150701,196.7633,205.1472,195.9078,203.7356,2913864
20150702,203.8211,206.9437,201.7252,205.1899,2573710
20150703,204.5055,207.8847,204.4628,207.3287,1396131
20150706,202.8374,211.0501,202.7518,210.2374,1515391
20150707,210.0235,211.9056,208.398,210.2801,2317825
20150708,209.2963,209.2963,202.8374,206.1738,1262638
20150709,204.8905,209.2963,204.8905,207.1576,634397
20150710,207.1576,209.168,204.1206,206.9865,1117210
20150713,206.1738,212.5044,205.8316,212.0339,882744
20150714,212.5044,217.1669,210.8362,215.8836,1491806
20150715,216.1402,220.1183,214.0443,218.3217,1257139
20150716,218.1506,218.9634,214.6004,217.5518,821358
20150717,219.5195,219.5195,213.916,214.3865,6722087
20150720,213.8732,215.9264,209.9379,215.0281,2520171
20150721,214.7287,216.6108,206.3021,207.1148,1874950
20150722,206.4304,211.6061,204.5056,210.9218,928326
20150723,211.7345,211.82,207.7992,209.1252,609596
20150724,207.5426,210.1946,204.4628,205.4466,1229746
20150727,202.8373,206.7298,198.6026,200.2281,2260013
20150728,196.5495,203.3506,195.1379,196.9344,3148609
20150729,197.02,200.9552,193.983,199.8003,1599267
20150730,199.7575,201.7252,196.5067,197.6616,2314400
20150731,198.0466,200.5275,197.5333,198.731,1135189
20150803,197.8327,198.9876,195.4801,196.4212,1027084
20150804,197.1911,197.961,193.3414,195.9934,985064
20150805,196.7633,198.9021,195.8223,196.4639,741013
20150806,196.9345,199.4582,195.0096,197.0628,1552864
20150807,197.8755,198.1749,195.0096,195.4801,1059600
20150810,195.8223,197.1055,192.4859,193.8974,833181
20150811,193.3842,193.7691,189.235,190.4327,1663784
20150812,189.9622,192.3148,187.5668,190.9888,1937108
20150813,191.4593,193.1703,175.376,190.005,1686056
20150814,190.4755,194.3679,189.1067,193.598,754609
20150817,193.213,194.7957,189.4489,193.598,1935464
20150818,193.4269,195.6512,192.5714,194.2824,930090
20150819,193.8119,198.731,192.7425,197.6188,2290638
20150820,195.1379,197.1911,189.9194,191.5876,1763388
20150821,189.235,203.5217,188.9784,194.2396,3353922
20150824,191.1598,191.1598,179.2257,181.4928,3420210
20150825,182.22,184.7864,172.8951,177.6003,5337022
20150826,177.087,177.5148,168.8743,169.5587,13203158
20150827,174.5205,180.509,171.3552,179.5679,9588672
20150828,181.3645,182.1344,175.2477,176.3171,2305680
20150831,176.2315,180.9367,173.1517,177.2581,2519792
20150901,177.087,179.3541,174.1356,177.6003,2862960
20150902,178.8408,183.5032,178.0708,179.5679,3979719
20150903,181.5783,189.4917,181.5783,186.8824,3757279
20150904,185.5136,186.583,179.3113,180.9367,4209879
20150907,181.3645,182.6905,176.6593,177.0015,2205149
20150908,177.5575,179.3113,175.4188,178.413,2767023
