Date,Open,High,Low,Close,Volume
20150303,1298.8354,1359.8528,1298.7872,1351.528,261983
20150304,1366.6378,1375.1552,1323.5213,1364.6167,314313
20150305,1371.4501,1398.7348,1335.0225,1355.5702,229156
20150309,1355.5705,1355.5705,1306.0058,1311.9247,156149
20150310,1318.7575,1336.6585,1291.8097,1307.016,106063
20150311,1311.7801,1330.5473,1287.2383,1296.4775,130472
20150312,1299.2684,1325.2538,1274.8229,1310.1919,117807
20150313,1314.6673,1352.1055,1314.1379,1330.451,173201
20150316,1331.8946,1376.1178,1310.8176,1369.7659,160844
20150317,1377.2248,1408.9847,1361.826,1396.5214,283042
20150318,1408.792,1423.132,1381.363,1386.7043,198184
20150319,1401.2371,1408.0222,1384.1061,1392.8159,141486
20150320,1383.9613,1392.8156,1353.1639,1361.0557,391071
20150323,1362.5476,1375.3958,1301.3856,1306.1978,225885
20150324,1303.2143,1318.5168,1283.8696,1304.2249,175387
20150325,1299.3165,1387.8111,1299.3165,1372.1718,338946
20150326,1367.6002,1372.5085,1326.2161,1335.0703,414179
20150327,1335.0704,1342.1443,1267.9897,1303.0699,172279
20150330,1318.517,1345.561,1282.9555,1290.1737,197216
20150331,1287.7191,1327.9964,1282.907,1317.7466,188491
20150401,1300.231,1341.4707,1300.231,1337.7654,132827
20150406,1342.4811,1376.0697,1328.141,1358.1205,231232
20150407,1361.826,1371.4021,1337.7655,1348.9296,149342
20150408,1350.2768,1368.5628,1324.2915,1330.0178,305178
20150409,1330.066,1340.6526,1305.5243,1318.132,199931
20150410,1318.0358,1350.7582,1313.7049,1343.2512,180183
20150413,1347.3894,1359.3235,1332.1831,1347.0526,178785
20150415,1353.8376,1356.0512,1326.2643,1335.4073,110697
20150416,1339.6902,1352.2017,1305.6205,1325.3983,192463
20150417,1328.045,1328.045,1255.9596,1268.7599,282557
20150420,1266.5461,1271.5026,1219.0506,1231.6583,170718
20150421,1238.5397,1242.4856,1174.2981,1177.474,259560
20150422,1177.0411,1233.6315,1169.4379,1215.3936,471038
20150423,1218.4253,1258.3658,1218.4253,1248.8378,518336
20150424,1255.9594,1259.4241,1227.0868,1246.672,370654
20150427,1241.523,1246.1427,1104.1856,1133.0582,450290
20150428,1130.8446,1145.714,1104.8593,1123.6265,476845
20150429,1121.2209,1137.4377,1112.0779,1121.2209,372241
20150430,1121.2205,1130.7485,1087.5358,1094.4171,548858
20150504,1100.0473,1164.5296,1100.0473,1156.4452,224235
20150505,1162.5085,1169.3417,1138.5442,1155.6272,80767
20150506,1156.8304,1181.4684,1108.7093,1129.9308,175887
20150507,1135.6571,1145.0889,1103.3678,1125.1187,201421
20150508,1134.6944,1148.9863,1127.765,1141.3832,80236
20150511,1141.5276,1238.5397,1140.469,1203.6038,438636
