Date,Open,High,Low,Close,Volume
20150303,768.2521,779.5003,765.7988,776.0749,1617826
20150304,781.8147,785.24,770.6129,774.6862,1600601
20150305,774.8716,779.0838,766.5396,772.0017,694150
20150309,770.7055,770.7055,748.8109,752.3289,626456
20150310,752.6528,757.2817,742.4693,747.9777,691298
20150311,757.2818,759.087,746.8668,748.9498,942306
20150312,754.3193,754.5044,745.4319,748.1166,979686
20150313,751.6344,757.9297,745.802,748.3942,837992
20150316,752.653,773.8068,748.9499,770.1038,1287189
20150317,777.0467,779.4538,761.9104,769.6869,1384999
20150318,773.8065,773.8065,749.8754,753.7636,1172762
20150319,762.8364,784.916,760.7071,772.8347,2037801
20150320,773.9457,774.8715,745.8022,749.8293,1245311
20150323,755.4301,755.4301,745.7095,751.3567,759196
20150324,749.5515,758.6703,747.6536,752.9305,755974
20150325,753.3934,756.6799,742.9322,748.4868,834390
20150326,743.3953,755.3378,729.5087,734.2301,1516627
20150327,734.1374,734.1374,711.0857,720.3897,1557785
20150330,722.1949,749.644,722.1486,747.5148,847421
20150331,747.9313,756.3558,742.5155,751.0789,947718
20150401,749.8755,764.5953,743.858,760.707,898480
20150406,767.4652,769.687,758.2074,763.2992,687263
20150407,763.1603,776.5377,760.059,773.205,769528
20150408,778.5744,790.6094,777.6486,783.9901,982733
20150409,791.5352,792.461,778.5744,789.8226,1019655
20150410,789.6837,797.738,780.6112,795.655,802074
20150413,796.1642,801.3022,789.1283,798.062,805167
20150415,797.6917,798.9415,773.0199,776.7692,1279621
20150416,773.0198,774.7325,750.431,761.2162,1366075
20150417,761.2162,768.0207,754.5044,756.1708,685338
20150420,757.2817,758.4852,740.6178,748.9035,920198
20150421,753.0694,756.2633,733.2115,737.3775,652649
20150422,740.6179,746.1725,712.1041,727.1479,1779318
20150423,734.2299,749.8755,726.7312,728.0273,1275295
20150424,733.6744,733.6744,708.2619,714.0943,1123939
20150427,717.4735,717.4735,685.5807,689.5152,1625216
20150428,686.8767,711.5948,675.8137,708.6323,2052761
20150429,706.4568,706.4568,694.3292,698.4026,1445757
20150430,693.6812,713.6316,691.7371,705.8552,2260678
20150504,712.7058,723.491,707.29,721.5469,1071772
20150505,722.1023,726.5923,711.5948,723.3984,952716
20150506,721.1766,721.1766,694.4681,704.3738,1616619
20150507,697.3843,716.0386,680.3038,708.9102,1718402
20150508,715.6221,716.9182,696.8752,703.0316,1127201
20150511,710.9932,718.5845,696.0882,714.3723,976348
20150512,715.4368,715.4831,698.0323,702.0594,1137027
20150513,702.7074,717.4735,702.6611,705.9013,839420
20150514,705.4384,743.3951,698.958,737.3313,1975784
20150515,742.4694,757.2818,726.7313,731.6379,1503598
20150518,737.7013,757.2814,705.4382,709.8356,6759860
20150519,701.7352,721.4541,694.329,717.2419,3903935
20150520,718.0753,720.2046,707.4289,713.9556,1793967
