Date,Open,High,Low,Close,Volume
20181105,71.6073,75.1877,71.6073,75.1877,1636701
20181106,76.5801,78.9172,75.2872,77.6741,2528961
20181107,78.967,81.5528,78.0719,80.8566,488994
20181109,83.5419,83.5419,76.8287,79.514,1926334
20181112,79.3648,79.3648,75.5855,75.5855,1494059
20181113,72.1046,77.5746,72.1046,76.5303,915107
20181114,76.6298,78.2211,75.0882,77.873,640666
20181115,78.5692,79.5637,75.0882,78.967,662627
20181116,78.967,79.3151,77.0773,78.42,445033
20181119,78.0222,78.5194,76.779,77.3757,1332624
20181120,80.5583,88.0174,79.6632,80.4588,3819027
20181121,81.4533,96.5207,81.2544,96.5207,7785820
20181122,105.9689,114.7706,104.4274,110.9416,17594459
20181126,113.4777,114.0745,101.4437,103.5323,7818868
20181127,99.9519,104.676,97.7142,100.4989,4647882
20181128,100.8967,102.0404,93.5868,98.4601,4517227
20181129,99.3552,101.1454,97.565,98.9076,2006532
20181130,98.5595,100.847,97.1174,98.2114,1745738
20181203,98.4601,99.206,95.7748,96.9683,1065560
20181204,96.9683,97.3164,94.6808,95.6754,1044937
20181205,94.6311,105.223,93.6863,104.7754,6794511
20181206,103.3831,110.0963,102.5874,103.7312,4175920
20181207,104.4274,107.9083,98.7087,99.6038,1674014
20181210,94.5814,97.4655,93.4874,94.3327,965256
20181211,90.5037,98.1617,90.5037,95.6256,1521664
20181212,97.1672,101.394,96.9683,97.5153,1142024
20181213,99.0568,101.3443,97.9628,98.4103,966517
20181214,99.206,100.2503,97.565,98.3109,513487
20181217,99.0071,100.2503,98.2114,99.1563,584085
20181218,98.5595,107.8088,97.8634,105.6705,3127798
20181219,107.8585,107.8585,101.9907,102.4383,1107432
20181220,101.4934,104.1787,100.9962,102.2393,657144
20181221,103.0847,103.3334,98.8579,99.1065,763820
20181224,100.1508,100.5983,97.5153,97.7639,415118
20181226,97.3164,102.6372,95.9737,99.9519,1298911
20181227,100.6978,101.7421,99.1065,99.5541,455898
20181228,100.1011,102.1896,99.8027,100.6481,618916
20181231,100.9464,101.8415,99.5541,100.2503,394322
20190101,100.6978,102.9355,100.0016,101.2945,501670
20190102,100.6978,101.9907,98.8579,99.9022,379628
20190103,101.7421,102.6372,100.2005,100.3,560741
20190104,100.4492,101.1951,99.3054,100.3,360516
20190107,100.9464,102.4383,99.9519,101.0956,787978
20190108,101.0956,101.3443,99.7033,100.5486,385585
20190109,100.9464,102.1896,99.3552,100.6978,563962
20190110,100.8967,101.1454,99.206,99.8524,336970
20190111,99.9519,101.0459,97.8136,98.4601,533121
20190114,98.5098,99.6535,96.9683,97.5153,457526
20190115,98.1617,98.659,97.2169,97.8633,341359
20190116,97.9628,99.8524,97.6644,98.5098,363370
20190117,98.9574,100.4492,97.2666,97.9628,509916
20190118,98.5595,98.9574,96.471,98.0623,378266
20190121,98.2612,98.2612,96.471,97.2169,440885
20190122,97.2169,97.8633,94.7803,96.3715,462224
20190123,96.3715,96.9185,95.2775,96.2721,323343
20190124,96.7196,99.4546,95.4267,98.9076,715971
20190125,98.1617,98.9574,92.9403,97.565,1095182
20190128,97.4158,97.4158,87.8184,88.0671,1186589
20190129,89.4097,95.8743,88.4152,93.1393,1667154
20190130,95.1781,96.1726,93.5371,94.1835,455516
20190131,94.7803,95.4764,90.5037,91.9458,572228
20190201,91.548,92.7912,91.4983,91.9458,285635
20190204,92.3933,96.6699,83.5419,95.4764,1260974
20190205,94.6311,97.4655,93.5371,95.8245,879131
20190206,96.8688,97.3661,92.3933,95.8743,383885
20190207,96.6699,102.8361,96.5704,97.3661,798768
20190208,97.4655,98.1617,94.283,94.9294,252817
20190211,93.5371,96.2224,93.4873,94.283,239324
20190212,94.283,95.2278,93.0398,93.4873,178252
20190214,97.4655,97.4655,93.736,95.6754,389712
20190215,96.0234,96.9683,94.0841,96.3715,358062
20190218,95.4764,96.6202,93.6862,94.9294,343653
20190219,94.7803,95.8245,93.8354,94.5813,316209
20190220,94.8797,96.9185,93.4873,95.2278,414982
20190221,96.0234,99.3552,95.3273,98.2114,426183
20190222,98.8082,102.4383,97.7142,101.6426,932312
20190225,101.6426,103.3334,99.7033,100.2503,344984
20190226,98.9573,100.847,95.6256,100.0016,581121
20190227,101.4437,102.8858,96.6699,99.2557,548376
20190228,100.2005,101.9907,99.206,101.4437,464224
20190301,101.5432,108.3061,101.5432,105.4219,1269475
20190305,104.5268,114.0745,104.5268,110.0465,2046300
20190306,110.7925,113.3783,100.0514,112.4832,1096455
20190307,112.9307,117.0581,112.4832,114.5717,1018859
20190308,114.5717,115.3674,112.881,114.1242,463357
20190311,115.1187,118.1521,114.8701,116.6105,669356
20190312,117.804,121.5336,116.8592,119.3953,1551133
20190313,119.3456,119.3456,117.4559,118.1024,468422
20190314,118.0029,118.2515,114.9695,116.5608,643626
20190315,116.3619,117.3565,115.3674,115.8646,659518
20190318,115.7652,118.5996,115.3674,116.1133,244883
20190319,116.5608,118.351,115.4668,117.3565,285002
20190320,117.1575,117.257,115.3674,116.0138,204846
20190322,116.2127,117.1576,114.522,115.5663,389292
20190325,114.5717,115.8646,112.6821,114.7209,225454
20190326,115.0193,116.1133,114.1242,115.5165,153241
20190327,115.5166,117.7543,114.3728,114.8701,273625
20190328,115.3674,116.8592,114.7209,116.2625,123587
20190401,128.7938,136.7501,128.2965,132.7719,1017473
20190402,132.8217,136.6507,128.0976,131.5785,1784606
20190403,131.5785,132.8714,127.4014,127.7992,415786
20190404,128.197,133.2692,127.7495,130.1364,501350
20190405,131.8768,132.2746,128.3959,129.3905,313703
20190408,129.9872,136.2528,129.291,132.3244,1111499
20190409,132.4736,132.7222,128.5948,130.5839,308999
20190410,130.4845,132.7222,128.5451,129.0921,338994
20190411,129.2413,131.5785,127.4511,129.6391,388571
20190412,129.7883,131.5785,129.0424,129.4402,230302
20190415,130.1364,131.479,128.8932,129.3407,298257
20190416,129.9872,143.9606,129.5894,140.8775,3175557
20190418,141.0764,145.701,131.7276,140.3305,2284428
20190422,138.9381,151.4694,137.7944,144.7065,2627799
20190423,145.6015,150.624,145.2037,146.795,1012260
20190424,148.7841,152.9612,148.1874,150.3754,988450
20190425,151.6186,151.8175,144.4081,145.3529,499126
20190426,146.2978,146.9939,141.5239,142.4688,293719
20190430,142.2201,146.1983,129.8877,133.2692,804450
20190502,131.2801,135.3577,129.4899,130.4844,662221
20190503,130.9818,133.6173,130.8326,132.026,274700
20190506,130.4845,132.1752,128.744,129.0424,309542
20190507,129.838,136.6506,129.7883,134.0648,904522
20190508,132.3244,133.9654,128.1473,130.2358,309514
20190509,133.9654,134.0648,130.385,131.5287,380930
20190510,132.573,133.667,129.7386,130.3353,232537
20190513,130.6834,134.6616,120.3401,122.5281,532402
20190514,118.898,121.3346,112.5826,117.3067,835593
20190515,118.5002,121.5833,117.2073,118.3013,469929
20190516,118.351,119.2461,112.4335,114.1739,419323
20190517,114.4225,117.257,113.428,114.9198,478070
20190520,129.291,132.1752,125.462,129.5894,1909809
20190521,131.1309,133.3687,128.3959,130.5342,832157
20190522,131.2304,133.2692,129.291,132.9708,766826
20190523,139.2365,145.1043,132.7719,135.1091,2298249
20190524,137.1479,138.1425,132.1752,135.2583,538701
20190527,136.2528,146.6458,135.7556,142.4688,2739690
20190528,145.2038,164.4979,140.8278,162.3597,7666645
20190529,161.7132,173.5483,159.2269,166.8351,6101639
20190530,167.0341,171.7581,163.1056,170.2166,2433004
20190531,169.0729,171.8576,163.3542,163.951,1269835
20190603,166.0892,179.267,165.7411,177.6757,4940331
20190604,178.1232,183.1457,176.9298,180.7091,2395791
20190606,178.9189,178.9189,165.8903,169.421,1884457
20190607,170.0674,173.051,167.1832,168.9734,1044187
20190610,170.6641,172.6035,168.5756,169.7193,585996
20190611,170.6641,170.7636,164.7963,165.3931,461658
20190612,165.5919,171.3603,163.752,168.675,1088194
20190613,169.0231,171.0122,165.4925,167.8297,461180
20190614,174.5429,179.0183,172.1062,173.0013,2435871
20190617,173.051,173.8467,165.7909,166.4373,498593
20190618,166.4373,168.0783,163.7023,164.498,405246
20190619,165.1941,167.4319,156.641,160.6192,699957
20190620,156.7405,159.6247,154.5525,157.4864,676637
20190621,157.4864,161.9619,155.6465,158.5804,683080
20190624,159.7241,161.6138,156.6908,157.8345,275114
20190625,158.481,165.3433,155.0498,161.3154,826013
20190626,159.923,164.1001,159.2269,161.3651,554210
20190627,161.6635,169.968,161.6635,166.5368,983387
20190628,168.3767,170.316,167.0838,169.1723,868765
20190701,168.874,173.6975,167.581,171.062,743786
20190702,171.957,179.7145,170.8133,174.5926,1576370
20190703,173.7472,177.6757,172.3052,173.2997,631985
20190704,174.0456,176.532,172.6035,173.1505,473313
20190705,173.9461,174.4434,165.2936,166.4373,469789
20190708,165.0947,165.2936,162.2105,162.5586,327217
20190709,162.4592,166.4871,157.7351,163.5034,863251
20190710,164.2493,165.7909,162.2105,162.3597,383523
20190711,163.7521,164.3985,162.2105,163.0061,165980
20190712,163.1553,165.393,162.2105,162.3099,277761
20190715,162.111,163.9509,159.4258,162.2602,235989
20190716,163.0061,176.7806,160.1717,171.2111,1773978
20190717,173.0511,180.0129,172.8024,174.5429,2390851
20190718,173.8964,173.8964,168.0783,169.0231,499924
20190719,169.1723,170.9625,162.6083,163.3542,540401
20190722,161.5143,166.686,158.0334,163.7023,438196
20190723,164.846,165.9898,160.6192,162.6083,272935
20190724,162.7078,163.8515,158.7296,160.4203,346275
20190725,161.8624,163.6029,157.6853,159.4755,278894
20190726,161.2685,162.2646,158.5292,160.2226,274778
20190729,160.4716,160.9198,157.5829,159.077,267937
20190730,160.0731,160.8202,153.7977,156.9354,320824
20190731,157.4833,160.9697,147.9706,152.453,569728
20190801,149.0662,155.1922,149.0662,152.1541,610162
20190802,150.5106,157.1346,149.4149,153.2997,527332
20190805,150.4608,151.3573,146.4266,149.0165,489051
20190806,149.3651,155.1425,148.7176,153.9471,415635
20190807,154.4452,163.3105,153.8973,156.3378,901026
20190808,162.3144,166.2489,157.9813,160.1727,1353872
20190809,161.1688,162.2645,155.8397,157.035,496456
20190813,156.9354,157.3339,150.909,152.1044,352156
20190814,153.8973,155.9891,150.9588,152.8514,310914
20190816,153.0008,154.246,150.8592,152.5526,275742
20190819,152.702,154.0468,150.909,152.204,234600
20190820,152.5028,158.828,152.0546,154.5448,490947
20190821,154.3954,157.035,149.9129,151.5067,384147
20190822,151.5067,152.4032,144.783,145.7293,289216
20190823,141.994,148.12,140.45,146.0282,353163
20190826,149.4149,150.8592,143.1395,147.4227,320649
20190827,147.8211,150.411,146.6258,147.6219,552020
20190828,148.2196,149.3153,145.4803,146.5262,232974
20190829,145.9286,146.6258,142.6912,143.2889,158967
20190830,142.8905,143.8368,138.4578,139.9022,606027
20190903,139.3543,142.3924,136.5652,138.657,339958
20190904,138.4578,139.7029,134.9715,135.4197,294187
20190905,136.0672,138.9558,135.6189,136.615,351954
20190906,136.3162,138.408,135.2703,136.9138,325892
20190909,137.4617,137.4617,133.0789,134.2742,639225
20190911,132.78,141.3465,132.78,136.9637,853048
20190912,137.9597,139.5037,136.5154,137.5115,297367
20190913,139.5037,144.2352,138.0594,142.6912,1503990
20190916,141.9441,143.8367,139.9519,140.2508,714126
20190917,141.2967,143.2391,137.8103,138.9558,426875
20190918,140.4002,140.948,137.4617,137.8103,227492
20190919,138.8064,139.3543,133.2283,134.7224,246618
20190920,136.366,137.4617,127.6003,132.8298,1877757
20190923,137.1629,139.4539,133.5769,134.8221,497130
20190924,132.531,136.366,131.2361,132.5808,491534
20190925,133.4773,135.0711,130.5388,130.9373,420526
20190926,131.8835,136.7644,129.6921,132.1824,1027867
20190927,132.4812,135.4695,131.3855,131.9832,455998
20190930,131.9832,133.0291,128.198,128.696,630386
20191001,130.3894,135.8679,128.0486,129.8913,971007
20191003,129.4929,132.3816,127.6003,128.1482,401737
20191004,129.2937,130.8874,126.903,127.3513,349316
20191007,127.4011,131.4353,127.2019,129.5925,402366
20191009,131.0368,137.8601,130.7878,135.5193,1712612
20191010,137.4617,142.3924,136.2664,137.9597,1889479
20191011,138.5076,141.4461,136.5652,137.1131,699218
20191014,162.3642,162.3642,148.2196,150.162,7049507
20191015,154.1962,155.0927,149.5145,150.9588,1819063
20191016,151.5067,151.7059,147.4227,147.8211,729488
20191017,145.6297,152.951,145.4803,148.2196,1786496
20191018,149.2157,152.8514,149.0164,150.411,1207003
20191022,148.9168,152.2538,147.5223,147.8709,698922
20191023,148.5184,148.9666,146.1776,146.4764,583127
20191024,147.2235,147.7713,144.4842,145.1317,806140
20191025,145.2313,148.867,144.1854,146.1776,712618
20191027,147.4227,148.369,146.7254,147.7713,203853
20191029,148.4188,151.1083,146.4266,147.3231,1021416
20191030,147.9207,149.8133,146.0281,146.327,1306351
20191031,146.4764,148.4686,146.327,146.5262,702046
20191101,146.8748,147.8211,146.2274,146.2772,381934
20191104,146.0282,148.3192,146.0282,147.3231,806625
20191105,147.4725,148.2694,145.9285,146.1776,458786
20191106,146.6258,148.5682,146.1277,147.1238,918476
20191107,147.3729,148.1199,146.5262,146.7752,385595
20191108,146.8748,148.12,146.0282,146.2274,557647
20191111,146.7254,147.9207,146.0282,147.4227,616045
