Date,Open,High,Low,Close,Volume
20150303,628.1318,628.1318,608.3393,611.0977,6817671
20150304,629.9708,633.8422,588.5954,593.0475,10097232
20150305,593.2894,602.0,584.0949,596.9672,6914112
20150309,590.3859,590.3859,570.2063,572.5775,6043383
20150310,572.8679,575.6746,561.3505,566.6252,5791801
20150311,566.4317,573.6421,561.3505,565.0767,5816344
20150312,568.6094,574.4164,563.9637,565.3187,4512080
20150313,570.545,571.9484,545.9617,551.6721,6749149
20150316,551.1881,555.3498,541.1225,550.317,6445254
20150317,556.4145,566.964,548.8169,561.4473,5627580
20150318,565.4638,566.964,557.2372,562.5603,5847672
20150319,569.0933,576.4006,540.5419,545.4295,7705218
20150320,544.897,545.8649,533.9604,538.3641,8160665
20150323,541.8968,543.9292,534.8799,537.3479,4191424
20150324,536.1382,547.8007,533.525,540.1063,6309451
20150325,541.8485,548.9138,536.0898,544.1229,5578540
20150326,541.9936,543.397,520.2171,526.7984,9233047
20150327,530.3794,533.5249,509.1836,528.8309,10655577
20150330,534.7348,547.2684,531.6861,545.4295,6631597
20150331,549.6396,555.0595,539.332,542.1872,5970862
20150401,539.7675,553.6077,537.3963,551.3333,3753262
20150406,553.5593,553.5593,544.026,550.7526,4305263
20150407,552.6399,554.5755,537.1543,539.9127,6754389
20150408,543.7356,545.8649,533.3797,538.0254,5750765
20150409,541.9935,558.4469,537.2511,553.7529,9653162
20150410,554.9627,556.3177,547.22,549.7847,4938698
20150413,551.672,553.269,543.9293,547.8007,4596222
20150415,548.6718,555.0595,523.9433,532.5087,8869483
20150416,534.2508,538.5094,525.5886,533.0894,7288785
20150417,532.3151,532.6538,514.7003,516.5392,6618167
20150420,516.9263,520.9429,490.6977,501.586,7836613
20150421,501.586,515.5714,499.9407,506.3769,7204472
20150422,510.0063,527.4759,503.5701,522.7334,6947536
20150423,525.7821,531.0569,518.3297,520.8945,5464184
20150424,520.701,520.943,503.183,510.2967,6533254
20150427,512.3775,523.3625,505.5541,507.3447,7839080
20150428,507.0544,522.1043,502.4087,517.7974,6322607
20150429,518.6685,541.8968,518.0394,534.2025,9301407
20150430,545.1875,563.6734,541.0258,549.5428,15658642
20150504,553.027,557.4791,544.7035,550.075,4309985
20150505,550.7042,555.7854,544.4132,547.6555,5385676
20150506,545.9134,547.704,523.7982,525.8306,7698992
20150507,522.2979,527.2823,506.4736,510.3934,5848608
20150508,518.5234,530.3795,516.3457,523.411,10010992
20150511,527.9598,534.2508,525.6369,533.3797,6700085
20150512,535.2187,536.0898,512.8615,515.2327,4943428
20150513,520.701,546.0585,517.991,540.5418,7971625
20150514,539.4771,540.8321,529.8954,537.9769,4929250
20150515,540.5418,549.0588,539.09,543.9776,5825462
20150518,545.1874,551.5268,540.687,549.2524,3944770
20150519,547.8007,552.5432,540.6386,543.397,6047850
20150520,544.6551,548.6233,538.6061,540.2998,4763209
20150521,541.9935,553.6077,541.9935,552.1075,6157883
20150522,552.9302,558.1082,545.623,550.3655,4265332
20150525,549.8331,551.43,542.1871,544.026,3426379
20150526,544.8972,548.575,540.2515,546.107,2475418
20150527,543.9293,560.8666,543.2034,559.2213,4120709
20150528,560.3343,566.9641,552.0593,556.1726,8272414
20150529,556.9952,568.4158,556.2209,566.5769,3421723
20150601,568.0286,569.9643,558.5437,559.8503,3142413
20150602,563.2863,563.6734,530.7667,535.3155,6978299
20150603,535.4606,536.1865,521.2332,533.1862,5114150
20150604,541.9936,541.9936,528.4438,538.5094,7432416
20150605,538.1222,539.332,528.4921,530.7666,7028734
20150608,529.4116,539.574,526.5081,535.7994,6286247
20150609,534.2992,545.8649,532.7506,540.7354,5252618
20150610,540.929,549.446,540.8805,546.3489,7919473
20150611,549.6396,551.8656,527.5243,529.1696,7608358
20150612,529.4116,534.7347,523.4109,533.7185,5518696
20150615,536.0898,537.1544,527.8146,532.3635,5896234
20150616,532.3151,536.1381,522.685,533.4282,6283177
20150617,535.3154,539.4772,529.9923,531.5892,4522392
20150618,533.9605,536.9608,529.7988,532.3635,5579425
20150619,536.1865,537.5415,530.6214,533.8152,6783585
20150622,538.6544,557.3823,538.6544,553.7529,7325101
20150623,557.0918,560.8665,548.0909,552.9301,6608481
20150624,553.6078,558.8342,548.9621,553.1238,5427984
20150625,549.8331,559.318,548.8169,551.7204,5953158
20150626,549.8331,551.3817,541.9936,547.3167,4432487
20150629,536.1865,549.0589,528.4438,544.6068,5390158
20150630,543.0098,547.8007,535.2187,540.9774,5479844
20150701,540.8322,561.8344,538.9449,560.0439,7663185
20150702,561.4472,567.7867,557.5759,565.2219,9886455
20150703,563.141,569.5772,562.3183,567.1092,4422432
20150706,556.9952,566.964,555.0595,565.4155,4973984
20150707,566.4801,571.7548,562.657,567.3511,4969526
20150708,559.4147,566.1896,556.4144,558.1082,6414143
20150709,561.8157,563.3279,552.596,557.7668,3602432
20150710,560.2058,568.7913,556.8887,564.0107,6853759
20150713,564.0107,569.2303,556.2545,567.7669,5161182
20150714,568.4011,573.3281,564.7914,569.6695,4566647
20150715,570.3036,575.0842,567.3279,569.767,3307716
20150716,573.0841,598.4992,572.6938,593.8162,14142842
20150717,589.7674,595.0358,583.9136,587.4258,5847889
20150720,585.3771,588.6942,575.9135,585.2795,4688323
20150721,582.0598,586.3526,568.5474,570.4011,4375934
20150722,568.6451,579.0356,564.8889,575.4745,5900119
20150723,575.6207,583.9624,567.2304,569.5231,5569255
20150724,573.3281,579.2794,561.0839,566.3035,13673495
20150727,563.4254,565.3278,540.2542,542.2542,9829067
20150728,544.986,550.2544,537.0346,547.5714,8129213
20150729,549.5716,554.3034,548.3032,553.3765,4635380
20150730,557.474,561.718,549.3762,551.9129,6484751
20150731,553.8642,565.1815,553.1812,559.5228,6283549
20150803,561.9619,568.4987,559.4253,562.6449,4355574
20150804,564.7913,570.2061,557.718,565.962,5903968
20150805,567.8157,575.1329,562.4497,566.2547,3419273
20150806,565.8645,572.2061,564.8401,570.4987,3125993
20150807,570.645,570.645,561.9619,566.1571,2298504
20150810,568.5474,570.4499,556.8399,561.8644,2402572
20150811,563.6205,566.6937,552.5471,557.3277,3168648
20150812,555.5228,555.913,542.4494,544.2543,4787034
20150813,549.7666,557.5229,546.3519,553.7179,5982710
20150814,551.3764,560.2546,541.3274,556.1082,7528941
20150817,555.8643,557.8156,546.4007,547.7178,4466163
20150818,553.1813,553.4252,541.9616,547.669,2952439
20150819,547.23,548.0592,539.3273,540.4981,4135059
20150820,536.5956,539.5224,516.5952,520.4001,8909772
20150821,514.1561,516.0098,501.7656,512.4975,10454764
20150824,494.3509,494.3509,463.5211,470.3017,17627734
20150825,477.0823,493.9119,471.7163,490.6923,14248966
20150826,487.3264,489.6679,476.7408,483.5214,6910566
20150827,493.3753,499.5218,484.3507,496.8388,11302689
20150828,503.4243,516.0099,490.0094,495.7656,10015309
20150831,494.3509,505.278,489.7654,495.3753,6111825
20150901,487.8142,488.7898,465.5211,468.3992,8843551
20150902,471.2773,476.1067,453.277,455.2282,11537443
20150903,459.521,477.5701,457.3258,475.0335,8651466
20150904,471.326,471.6187,451.2281,456.5941,8969600
20150907,458.2038,460.6917,435.862,438.8864,9743637
20150908,441.2279,464.0089,439.0328,462.3503,12602488
20150909,472.3993,482.9361,463.5211,474.3993,11672474
20150910,466.1552,475.131,460.5942,470.8383,8384392
20150911,476.1066,481.6677,463.0332,469.5211,7212180
20150914,468.3016,485.8629,467.5699,484.1068,5537347
20150915,484.9849,486.3508,469.1309,470.1553,9567400
20150916,475.5701,484.8873,474.1554,482.2043,7293528
20150918,487.8142,507.717,487.8142,504.8389,18814281
20150921,498.107,517.083,496.3509,515.1318,7516002
20150922,518.0587,521.6685,492.8875,497.2778,7358434
20150923,486.5947,502.3023,484.9849,499.2291,7602683
20150924,497.5705,505.5707,493.8631,501.4243,6911468
20150928,501.9608,509.2781,492.6924,494.351,6526803
20150929,487.7166,500.9852,473.1798,492.2045,19935063
20150930,496.3997,497.5705,479.5213,483.5702,12199436
20151001,487.8142,491.1801,478.936,484.1556,8137042
20151005,492.2046,502.3511,489.3264,500.7413,9558125
20151006,504.7413,505.9121,492.6923,494.0582,8226452
20151007,490.985,497.3753,482.9361,484.6922,11251639
20151008,487.8142,488.2532,472.3993,479.5214,9941551
20151009,482.9361,487.0825,474.8871,478.497,10368020
20151012,485.6678,485.6678,473.2773,475.1798,5566595
20151013,475.131,480.1067,473.1797,478.9359,7268043
20151014,477.7652,484.6922,476.1554,483.4239,5645540
20151015,484.8873,489.7655,483.4727,486.5459,5251039
20151016,482.4482,495.1314,479.4238,492.6923,5875167
20151019,489.7654,496.3997,488.9361,494.3021,4242869
20151020,492.3021,500.7901,492.3021,496.9851,5729459
20151021,496.8876,502.2047,492.6924,499.2779,6245542
20151023,502.6926,514.644,502.6926,512.8391,11628906
20151026,515.9611,519.7173,506.5463,508.3512,8015119
20151027,504.6438,515.6196,503.0828,509.0829,13011580
20151028,483.619,483.619,464.9357,471.131,33157058
20151029,473.1797,474.5456,455.6672,457.5209,22054683
20151030,460.4966,466.7406,453.6672,463.8138,16103533
20151102,466.1553,468.1553,461.5698,466.5943,10316509
20151103,469.2773,471.7163,461.8137,463.082,9337442
20151104,468.3016,468.3992,459.1307,460.9844,6319148
20151105,460.4966,460.4966,450.7403,452.4964,8078032
20151106,450.7403,456.1063,448.3012,453.8135,9185858
20151109,441.9597,455.6185,435.0327,453.6184,9643857
20151110,451.7159,461.96,450.9842,456.9355,7040567
