Date,Open,High,Low,Close,Volume
20150303,1594.9385,1638.7665,1588.0711,1633.9053,325920
20150304,1633.9439,1650.4951,1628.1568,1637.4548,421933
20150305,1638.9208,1650.9582,1624.7231,1634.7926,237799
20150309,1628.1182,1658.6358,1614.0362,1628.0026,334555
20150310,1635.8344,1663.6128,1629.1214,1642.9719,401075
20150311,1651.2668,1658.2114,1611.1426,1619.0903,338536
20150312,1624.2602,1630.4332,1594.9387,1599.3755,475656
20150313,1604.1979,1608.7504,1551.7277,1561.0643,828945
20150316,1550.9563,1588.7657,1550.9563,1562.9164,371543
20150317,1574.1049,1587.2224,1564.6139,1579.6605,256565
20150318,1581.8983,1585.3706,1563.3021,1567.3531,634025
20150319,1574.1821,1579.5063,1559.3284,1562.8007,500745
20150320,1570.2469,1570.2469,1548.8344,1557.0135,579513
20150323,1552.3452,1575.4938,1550.9949,1567.739,420806
20150324,1569.4751,1574.7993,1558.6724,1564.8453,1002496
20150325,1567.9319,1570.2467,1549.5288,1556.2418,722561
20150326,1557.9009,1568.3178,1535.5239,1546.5581,1046160
20150327,1550.1847,1560.2158,1527.8077,1556.2805,439910
20150330,1566.3886,1576.9597,1541.9283,1564.8453,235638
20150331,1570.2467,1570.2467,1547.0209,1556.0488,263684
20150401,1564.1124,1570.2468,1545.5163,1558.5182,208545
20150406,1566.3886,1579.6605,1538.3403,1571.327,281023
20150407,1574.0662,1618.8588,1563.9967,1616.1968,374689
20150408,1613.7275,1642.0073,1606.5128,1620.0161,243842
20150409,1621.2895,1625.8036,1603.6581,1619.2834,219282
20150410,1625.0316,1625.0316,1603.0791,1619.4374,156593
20150413,1631.9763,1631.9763,1604.9696,1616.7754,250008
20150415,1621.1738,1632.208,1589.5374,1601.1117,190435
20150416,1595.3244,1616.2354,1581.8211,1611.1813,252040
20150417,1592.3535,1604.9696,1574.1048,1593.6268,178998
20150420,1593.3953,1607.3231,1543.703,1560.2543,257106
20150421,1563.0706,1585.9106,1527.8076,1534.3278,260092
20150422,1539.459,1562.5304,1499.2576,1530.6625,326374
20150423,1537.067,1556.8204,1522.7149,1536.334,145385
20150424,1535.9098,1549.3745,1513.147,1542.3528,269572
20150427,1547.8695,1550.9174,1520.1298,1531.2411,228380
20150428,1531.6657,1543.24,1499.8363,1535.6395,217394
