Date,Open,High,Low,Close,Volume
20150303,144.8146,150.1656,144.2179,147.7039,2472640
20150304,148.6936,150.5137,145.0334,146.227,933390
20150305,146.6944,156.546,146.4855,152.0852,3075300
20150309,151.8763,152.0703,145.4362,146.2767,1599670
20150310,146.7044,146.8038,143.3376,144.924,922780
20150311,145.0135,149.1909,144.2178,145.0483,398460
20150312,146.5055,148.3703,146.5055,147.1619,2048440
20150313,151.6774,155.5564,145.7993,149.2854,2585500
20150316,149.6583,149.6583,142.348,144.4317,1027980
20150317,144.9539,148.6936,144.4168,146.1772,1134190
20150318,146.6447,146.6447,140.8362,142.7011,1227020
20150319,143.2232,145.0135,139.2597,140.2146,1059700
20150320,140.9854,145.8689,133.2772,137.2357,7859730
20150323,137.7529,139.6625,130.6564,132.8097,553620
20150324,133.2772,136.5097,130.4277,133.4115,600420
20150325,134.968,138.0662,133.4761,136.7434,1528320
20150326,137.2556,140.2444,136.7633,137.176,646920
20150327,138.1408,138.7674,134.2668,134.9034,697550
20150330,135.8532,140.2394,135.3659,139.1901,529100
20150331,139.9808,144.1184,138.7525,140.692,985290
20150401,140.4384,143.9692,138.847,141.985,448110
20150406,143.8101,143.8101,140.2494,141.8905,295280
20150407,142.6265,145.7098,141.249,142.348,420600
20150408,143.1636,145.2125,141.1346,144.7748,445590
20150409,145.0135,146.2021,143.7553,145.6749,443770
20150410,145.8788,145.8788,142.2286,144.7002,243060
20150413,145.67,145.67,142.2287,143.0641,168320
20150415,143.1238,145.4263,140.3439,141.4031,233200
20150416,141.3335,143.7205,138.2502,142.6862,242640
20150417,142.9746,143.2531,140.3389,141.4479,210050
20150420,141.8308,141.8308,125.1761,133.1678,535080
20150421,134.2718,139.0459,132.4815,133.8292,420840
20150422,134.2718,135.7289,130.3431,131.7455,284090
20150423,132.6804,135.7637,131.7853,135.4255,186120
20150424,134.421,137.1064,130.7907,135.2913,208550
20150427,134.6696,136.5992,130.5917,131.8897,144050
20150428,132.1732,132.5611,128.6125,131.83,348190
20150429,132.2925,140.2394,131.4173,138.1706,310230
20150430,137.9518,145.2125,136.7583,142.716,1146680
20150504,142.2435,145.8937,141.234,144.3272,530200
20150505,146.0081,147.3011,142.7508,143.5912,386410
20150506,143.6211,144.9389,139.7421,143.1088,298140
20150507,143.815,143.815,134.9432,137.2308,253110
