Date,Open,High,Low,Close,Volume
20150303,1172.8237,1193.9177,1172.8237,1186.7457,15529
20150304,1182.9914,1190.4586,1174.8912,1178.8147,10883
20150305,1177.4645,1180.4176,1172.866,1177.4645,6322
20150309,1173.6678,1178.6881,1118.8235,1121.186,79417
20150310,1126.4172,1161.0113,1126.4172,1158.7332,12288
20150311,1159.8301,1172.824,1159.8301,1162.4036,9889
20150312,1166.074,1177.0429,1145.866,1162.6567,16247
20150313,1158.5225,1171.1367,1143.2926,1150.6333,6684
20150316,1151.7721,1154.1768,1122.1983,1126.1639,28183
20150317,1129.7924,1159.8725,1129.7924,1146.4989,14349
20150318,1137.3858,1146.0766,1132.3233,1142.4061,130173
20150319,1147.4688,1162.6987,1141.1406,1153.1642,18984
20150320,1143.63,1149.7472,1063.1354,1095.9998,69591
20150323,1114.689,1114.689,1085.0731,1100.0076,21093
20150324,1098.6152,1104.4793,1070.1384,1098.4886,4769
20150325,1093.6372,1100.8935,1084.2293,1095.7466,100963
20150326,1095.7466,1105.3232,1093.5106,1097.3918,9936
20150327,1102.0746,1109.5419,1093.2152,1096.9277,25403
20150330,1096.8856,1105.4919,1084.2292,1089.2917,13368
20150331,1098.6155,1100.1342,1088.4482,1093.7217,21577
20150401,1098.8263,1122.0718,1084.2715,1096.8013,24626
20150406,1096.8016,1099.7125,1086.4656,1088.9125,8751
20150407,1101.0625,1118.8237,1080.8546,1110.4283,15434
20150408,1110.4281,1118.8235,1096.8435,1108.9937,9934
20150409,1105.9984,1113.7609,1093.4264,1097.2233,8992
20150410,1100.8091,1109.542,1095.0294,1096.6747,9240
20150413,1117.8532,1137.3862,1084.2295,1087.267,8867
20150415,1088.4904,1101.1046,1073.2605,1092.4138,13236
20150416,1090.178,1096.042,1088.4482,1091.4857,3400
20150417,1091.106,1095.5779,1080.0106,1086.381,9479
20150420,1085.9592,1091.8233,1080.8966,1090.8951,35437
20150421,1085.9169,1095.1982,1069.084,1071.573,12521
20150422,1072.5432,1074.7792,1065.7088,1069.2103,21414
20150423,1067.4808,1075.7496,1067.4808,1071.7839,9079
20150424,1067.776,1075.6651,1055.7524,1069.0416,16555
20150427,1064.0215,1068.2824,1049.8041,1060.3511,10924
20150428,1057.5668,1105.3236,1057.2293,1099.6704,14070
20150429,1094.3544,1095.7044,1066.2994,1083.0059,22320
20150430,1077.4794,1095.1983,1072.459,1091.0638,3581
20150504,1088.4482,1102.0749,1088.4482,1096.6326,11319
20150505,1093.5106,1101.9059,1078.5761,1088.4902,23719
20150506,1093.5106,1093.5106,1062.3338,1078.4073,6258
20150507,1073.8932,1088.3637,1073.2604,1081.4448,15845
20150508,1086.6764,1096.9281,1078.2389,1093.4686,39487
20150511,1093.595,1099.7122,1078.7026,1092.5403,58450
20150512,1073.2606,1109.7953,1073.2606,1093.553,21418
20150513,1099.5434,1101.1043,1088.4479,1095.8308,134719
20150514,1096.0841,1101.1044,1093.1731,1096.0419,50945
20150515,1097.4342,1101.9483,1094.3544,1097.8982,72933
20150518,1101.4419,1106.3356,1094.3965,1101.0621,41722
20150519,1104.606,1106.167,1092.6668,1098.2778,37807
20150520,1096.042,1103.6358,1093.5107,1099.0795,47121
20150521,1085.0731,1113.5499,1085.0731,1099.9655,21935
20150522,1085.1574,1128.9485,1085.1574,1118.4015,14696
20150525,1097.8137,1121.3546,1097.8137,1109.2045,3496
20150526,1096.928,1119.1188,1096.928,1103.0874,3571
20150527,1088.4481,1134.0111,1088.4481,1123.8438,6637
20150528,1128.6108,1130.4249,1107.8544,1117.178,2540
20150529,1118.6124,1135.6985,1114.0139,1123.5062,4717
20150601,1101.1047,1122.1987,1093.764,1115.9548,4642
20150602,1115.8702,1126.4172,1112.8748,1119.8781,5407
20150603,1106.3779,1122.1983,1100.3028,1114.2249,9297
20150604,1113.8875,1147.5112,1107.0108,1126.4595,16377
20150605,1111.314,1139.0315,1101.1046,1104.564,32066
20150608,1113.8876,1129.4549,1113.8876,1119.4987,5309
20150609,1119.4562,1138.2298,1105.3233,1128.1047,5421
20150610,1115.153,1157.5096,1114.6045,1136.7954,4350
20150611,1138.3144,1142.4911,1101.9484,1120.3424,3721
20150612,1113.8031,1134.8548,1110.3436,1129.0751,3103
20150615,1139.0314,1139.0314,1116.2922,1120.4688,2306
20150616,1126.0376,1128.8219,1106.6733,1113.8875,2188
20150617,1107.8543,1131.3109,1107.8543,1124.2233,3405
20150618,1128.105,1134.0113,1123.0847,1126.2909,2447
20150619,1123.1265,1130.5938,1110.5124,1117.0936,39982
20150622,1122.325,1151.7299,1117.9796,1142.533,8438
20150623,1140.3392,1187.3365,1139.9595,1182.4005,118942
20150624,1189.6989,1260.6589,1184.8051,1222.4368,49240
20150625,1218.0915,1240.0714,1202.3554,1231.4229,20779
20150626,1204.8867,1223.4071,1192.2303,1210.1179,8368
20150629,1206.5744,1223.4496,1170.2928,1200.7103,211165
20150630,1213.3242,1243.6995,1195.9428,1231.5072,15348
20150701,1223.4497,1236.9498,1214.8855,1227.8794,20881
20150702,1223.4495,1252.981,1223.4495,1247.37,9193
20150703,1244.5435,1274.075,1228.2168,1243.0669,13611
20150706,1244.5434,1285.1282,1244.5434,1272.6406,10730
20150707,1265.6372,1297.6156,1263.9497,1269.7716,10874
20150708,1270.6998,1286.7312,1246.1043,1269.0967,28302
20150709,1281.5152,1284.9648,1261.1628,1267.2858,5260
20150710,1267.2856,1289.5354,1245.3378,1251.4176,11641
