Date,Open,High,Low,Close,Volume
20150303,429.4696,434.5165,416.8524,420.2397,275370
20150304,420.259,426.9461,413.4555,418.5945,222140
20150305,416.0565,424.3256,414.887,421.3994,126620
20150309,425.6844,425.6844,402.7794,409.0782,248670
20150310,412.4849,417.2406,402.4785,405.9337,146290
20150311,407.8263,408.3503,396.9561,401.1003,132080
20150312,401.8088,410.0585,398.9991,401.7603,124050
20150313,405.691,408.2581,395.9806,398.6642,254450
20150316,403.1675,403.1675,387.5416,388.716,772690
20150317,391.1327,399.8677,389.3954,391.5113,311950
20150318,392.1131,398.8972,388.3327,392.8846,402020
20150319,393.6562,398.5235,390.6475,391.6665,196410
20150320,395.5002,402.6822,378.6271,390.2106,352100
20150323,392.3945,392.3945,384.4505,387.5417,454590
20150324,388.2211,392.1033,381.6262,385.1202,220910
20150325,383.4897,385.3095,380.5538,383.1937,222560
20150326,383.3683,391.1328,382.2037,384.0041,200550
20150327,386.2799,388.2162,382.5919,384.499,148840
20150330,388.124,395.015,384.499,388.1871,243450
20150331,391.2298,407.5351,387.2409,398.7468,377010
20150401,403.5558,403.5558,394.2579,401.8137,129230
20150406,403.5558,414.8142,403.2647,411.5969,127490
20150407,414.9112,423.6462,408.6317,421.3363,184490
20150408,421.3315,439.6604,415.9401,435.7005,188240
20150409,440.8251,456.0627,427.0529,437.2,535180
20150410,439.6604,446.2601,434.6912,438.8936,324510
20150413,438.8936,438.8936,428.9843,432.2599,300820
20150415,432.3812,435.7539,424.8109,432.4783,383270
20150416,434.0554,446.9395,424.6168,444.9935,104480
20150417,444.5083,446.9444,431.0516,439.607,187220
20150420,434.1136,445.8718,430.7992,442.4021,190990
20150421,437.234,441.6015,401.7409,424.4615,1257380
20150422,418.3131,426.9461,406.8557,415.3868,172560
20150423,411.6114,421.0889,411.6114,414.8773,772240
20150424,408.8162,413.4555,399.8677,401.7991,289690
20150427,408.9909,408.9909,385.7947,387.7552,417010
20150428,379.8258,407.5302,379.8258,388.9781,208460
20150429,395.6944,395.6944,383.8585,387.202,634980
20150430,386.6779,407.6322,383.4654,392.5207,490360
20150504,393.5494,412.4849,380.4178,406.9188,325870
20150505,413.4555,426.5579,412.4849,416.3817,320210
20150506,419.7544,424.1558,399.8144,415.9207,162130
20150507,423.0639,423.0639,396.9658,405.7444,121770
