Date,Open,High,Low,Close,Volume
20150303,162.978,168.2296,161.6873,166.6274,4600689
20150304,176.2405,176.8636,159.4176,160.5747,10089085
20150305,161.1087,164.6247,159.0615,163.8236,4903762
20150309,161.9098,162.7999,158.6165,160.2632,3673996
20150310,160.2632,162.7109,156.6582,160.0851,4343844
20150311,160.6637,161.1532,156.2577,157.4593,5397609
20150312,158.8835,161.7763,158.1714,160.0851,3287802
20150313,161.9988,161.9988,157.3258,159.3285,3943207
20150316,159.7736,163.7791,157.6373,162.5774,2505846
20150317,163.334,163.779,158.9725,162.3549,8351223
20150318,162.4439,164.8917,161.2423,162.2214,5675528
20150319,164.1796,164.2241,155.5011,157.1033,3985822
20150320,156.5692,156.5692,152.6083,153.6764,4641618
20150323,154.611,154.7445,150.4275,151.0061,3823894
20150324,150.2495,151.0506,147.0006,149.4484,4820887
20150325,149.5374,150.2495,145.799,147.6237,3645828
20150326,146.244,149.0033,142.3276,143.3067,5071690
20150327,145.0869,145.1759,138.3221,143.2622,5769981
20150330,144.7753,146.6,140.3248,145.8435,3858765
20150331,146.6891,149.4484,144.3748,145.5319,3106448
20150401,144.8644,151.6736,144.2413,150.3385,2949846
20150406,151.3176,152.2077,147.9797,149.9825,3290047
20150407,150.8725,153.1868,148.6918,151.3621,4180773
20150408,152.1187,153.0978,148.7363,150.294,3861270
20150409,151.3176,154.611,148.5583,152.8753,6614147
20150410,152.9198,155.9906,152.1187,155.056,3006064
20150413,155.7681,158.3494,154.967,156.2577,3611426
20150415,155.7681,161.0642,155.4121,158.8835,5417127
20150416,158.1269,158.839,153.6764,157.6818,3639137
20150417,157.2368,158.8835,154.2549,158.0824,4959230
20150420,157.9934,162.7999,157.6373,159.7736,4825832
20150421,157.5928,161.0197,155.3676,160.3521,3869287
20150422,160.8417,161.5538,157.6374,160.0851,4312011
20150423,161.1088,161.8654,157.7709,159.7291,2881464
20150424,159.373,160.0406,153.6764,155.0115,3767395
20150427,154.2549,154.789,149.8044,152.0742,3785253
20150428,151.3176,155.5011,150.027,154.3885,3662553
20150429,154.1659,155.5901,152.0297,152.9643,2612681
20150430,152.2077,152.6083,149.0033,150.4275,7842228
20150504,151.3176,152.9198,150.4275,151.9407,3008312
20150505,151.8517,153.6764,150.5165,151.3176,2534193
20150506,150.7835,151.1396,142.9506,144.3303,5258349
20150507,143.6627,143.7517,134.5392,136.5864,4557160
20150508,138.0106,139.0342,127.0178,129.154,10251402
20150511,130.0441,152.2077,127.9969,151.0506,41425174
20150512,148.3802,148.3802,139.7462,140.9924,14873892
20150513,141.2594,146.155,138.9897,144.5973,10010370
20150514,144.1077,147.1786,141.0814,146.4665,5794416
20150515,146.5111,148.5138,141.9715,142.5501,5242230
20150518,143.4847,145.0869,140.9479,144.1968,4664516
20150519,144.5528,145.5319,141.9715,142.9951,5172399
20150520,143.6182,144.7753,141.6155,142.194,6020396
20150521,142.4166,143.2622,137.432,139.3457,9769684
