Date,Open,High,Low,Close,Volume
20150303,30.8898,31.094,30.409,30.7055,19086210
20150304,30.8982,31.6068,30.6713,30.889,26097885
20150305,31.0328,31.1682,29.9619,30.218,24376671
20150309,30.1897,30.1964,28.9244,29.0552,17811090
20150310,29.1859,29.363,27.6676,27.9708,32164803
20150311,28.0893,29.1437,27.7941,28.2985,38426553
20150312,28.5617,29.0003,28.4276,28.5541,20495079
20150313,28.7979,28.975,27.9341,28.083,22500522
20150316,28.1737,28.2395,27.3744,27.5317,11763873
20150317,27.735,28.4858,27.6254,28.3942,27175302
20150318,28.4221,28.6039,27.6591,27.7894,12434202
20150319,28.002,28.1905,27.3015,27.3685,16199865
20150320,27.4989,27.5107,26.5718,26.9189,15232635
20150323,27.1108,27.4166,26.6979,26.8886,20835441
20150324,27.0771,27.5495,26.8949,27.4208,23075019
20150325,27.4988,27.4988,26.7566,26.913,11144727
20150326,26.9033,27.0855,26.3601,26.6659,11206899
20150327,26.9084,26.9923,25.9974,26.1619,17418456
20150330,26.7397,27.6144,26.7397,27.3972,44026785
20150331,27.5748,28.4854,27.2555,28.2622,36140247
20150401,28.3002,30.3247,28.258,29.4744,57692745
20150406,29.5992,30.4427,29.5992,30.3158,23404095
20150407,30.4934,30.5684,29.4478,30.2492,16399251
20150408,30.366,31.42,30.0931,31.0623,21605661
20150409,31.3284,31.6743,30.7127,31.1631,13617351
20150410,31.2011,31.2011,30.3668,30.6553,10212444
20150413,30.7793,30.8898,28.9328,29.0484,22594671
20150415,29.169,29.2534,27.6718,28.0463,31522194
20150416,28.2479,28.6414,27.676,27.8287,19918404
20150417,27.9202,28.0885,26.9936,27.072,13110966
20150420,27.1446,27.6971,26.1492,26.3205,18779310
20150421,26.571,26.792,26.1492,26.3862,11051964
20150422,26.5794,26.9877,26.4023,26.8084,12318372
20150423,27.1336,27.4988,26.8662,26.9569,15151257
20150424,27.0349,27.1387,26.1682,26.28,12249567
20150427,26.4023,26.4529,25.0948,25.1349,12447864
20150428,24.9683,25.4609,24.6646,25.1568,12513897
20150429,25.2112,25.7275,24.8924,25.3188,14457663
20150430,25.3057,26.2336,24.9852,26.0189,11784564
20150504,26.3078,26.781,26.1492,26.4339,9386982
20150505,26.5102,28.3761,26.1914,27.6043,30648519
20150506,27.735,28.3424,25.7443,26.5149,32678316
20150507,26.2504,27.2036,24.9852,25.3483,35901459
20150508,25.7401,26.4866,25.7401,26.1905,20133630
20150511,26.5288,26.9839,26.2762,26.3947,11096118
20150512,26.5119,26.8654,25.9894,26.4946,18304902
20150513,26.765,26.9075,26.5794,26.7258,15410835
20150514,26.722,26.9506,26.4444,26.5153,7010487
20150515,26.781,27.4137,26.4993,26.6338,10490337
20150518,26.824,27.0771,26.5292,26.6983,6051672
20150519,26.8156,27.0349,26.5857,26.8717,8670123
20150520,27.1193,27.2049,26.7397,26.8245,5335011
20150521,27.0349,27.5385,26.8245,27.1593,12054933
20150522,27.223,27.2795,26.7903,26.948,4779918
20150525,27.0657,27.3706,26.9084,27.0999,5633595
20150526,27.0961,27.9881,27.0961,27.8232,16580421
20150527,27.6676,28.1146,27.4246,27.9383,8275707
20150528,28.005,28.4436,27.9459,28.1429,8401536
20150529,28.2749,30.603,26.8519,30.1922,84869631
20150601,30.2403,30.8303,30.0404,30.4373,22627737
20150602,30.1559,30.2403,28.9337,29.2947,23190651
20150603,29.3795,29.3795,26.6764,27.4508,24557346
20150604,27.7519,28.1399,27.0155,27.9181,18543294
20150605,27.8194,28.6376,27.4314,28.0252,15275700
20150608,28.0472,28.4605,27.6254,27.7578,8058699
20150609,27.649,28.0387,27.1446,27.2939,8142849
20150610,27.3302,27.9881,27.3302,27.5929,6222150
20150611,27.7941,27.9472,26.8962,27.0514,8519544
20150612,27.1446,27.4989,26.7654,27.4082,8975538
20150615,27.4145,27.9122,27.2247,27.5689,7584984
20150616,27.2972,27.5832,27.1825,27.5014,5414607
20150617,27.6591,28.1425,27.4449,27.8573,13570920
20150618,27.87,28.6115,27.87,28.4132,12617847
20150619,28.576,28.8907,28.5111,28.7296,11836044
20150622,28.9328,29.0155,28.4301,28.7194,7175916
20150623,28.7135,29.0442,28.4702,28.6325,7694577
20150624,28.722,28.9581,28.0682,28.3605,7587063
20150625,28.2749,28.5815,28.0446,28.4175,6584886
20150626,28.4651,29.3959,28.2998,29.0471,15173235
20150629,28.5646,28.6629,27.6212,28.1146,9170766
20150630,28.2407,28.6326,28.1062,28.3955,11378862
20150701,28.5026,29.0838,28.4765,28.789,9997515
20150702,28.8468,29.3124,28.6798,28.8185,9492714
20150703,28.8881,29.1353,28.6844,28.8312,6734277
20150706,28.646,28.7641,26.9084,28.5423,8270658
20150707,28.6292,29.6498,28.595,29.1256,14410341
20150708,28.8822,29.3411,28.4617,28.7565,8962668
20150709,28.9328,29.2264,28.7477,28.9113,5673393
20150710,29.0585,29.2702,28.6798,29.0109,4535784
20150713,29.1015,29.2365,28.8599,29.1007,4255911
20150714,29.1437,29.7089,29.0594,29.4411,9681408
20150715,29.6498,29.9451,29.5233,29.7169,6866046
20150716,29.9257,31.0231,29.692,30.8586,24660603
20150717,31.2525,31.3622,30.6705,30.7768,14044833
20150720,30.9067,31.0362,30.603,30.8152,5303826
20150721,30.9565,31.4208,30.4723,30.5815,12587157
20150722,30.603,31.0332,30.1981,30.8919,5129982
20150723,31.1846,31.9683,31.0535,31.7063,18236295
20150724,31.8767,31.9611,30.8447,30.9687,13132845
20150727,32.9733,33.1323,30.9151,31.0543,40279536
20150728,31.3622,31.7924,31.1091,31.6456,12994542
20150729,31.832,33.336,31.4259,33.1479,27314100
20150730,33.53,33.5806,32.9822,33.1247,14478750
20150731,33.2281,33.8675,33.0113,33.6157,19211247
20150803,33.6228,35.0399,33.5807,34.7882,20486565
20150804,35.0062,35.0906,34.3318,34.8088,16490925
20150805,34.9219,35.0231,33.9349,34.1108,10469547
20150806,34.1964,34.247,33.1083,33.5794,10861389
20150807,33.6566,34.1121,33.2369,33.447,12000879
20150810,33.6166,33.9378,33.1169,33.2425,5712597
20150811,33.2183,33.455,32.1619,32.3257,11398761
20150812,32.4292,32.4542,31.5065,31.6486,10953360
20150813,31.9031,32.5607,31.6944,31.8866,12544983
20150814,32.0304,32.7313,31.8073,32.6197,11867130
20150817,32.794,32.794,32.0389,32.1708,7882083
20150818,32.2425,32.4716,31.3987,31.4963,12560724
20150819,31.8178,31.8183,30.8586,30.9269,26581401
20150820,30.9579,31.2205,30.5031,30.7382,13040478
20150821,30.5455,30.6295,30.0789,30.3869,15330051
20150824,29.7734,29.7734,26.4813,26.9195,20647935
20150825,27.2373,28.5329,25.0474,28.292,29554767
20150826,28.0425,28.8231,27.2912,28.5525,13196007
20150827,28.8062,29.4086,28.8062,29.0187,12168684
20150828,29.2134,30.3334,29.2134,29.4875,16223328
20150831,29.5698,29.6122,28.4922,28.586,12774465
20150901,28.3484,28.3484,27.2449,27.3323,12255012
20150902,27.6607,28.6365,27.4265,27.7875,18747630
20150903,28.0001,28.5092,27.7464,28.009,7975539
20150904,28.0026,28.0026,27.2505,27.3896,15925536
20150907,27.3892,27.5334,26.5581,26.7808,16773471
20150908,26.8971,27.9653,26.7783,27.7506,13866336
20150909,28.4239,28.7637,28.0667,28.4332,23537052
20150910,28.0425,29.4849,27.788,28.8651,37580499
20150911,29.4001,29.7645,28.2122,28.3662,54376938
20150914,29.2728,29.2728,27.4401,27.8626,14214090
20150915,27.8728,28.3806,27.2034,27.6844,11272899
20150916,27.9708,28.611,27.2925,27.4045,10171392
20150918,27.9619,28.3794,27.4834,27.6883,13291344
20150921,27.8728,28.4074,27.7468,28.0523,9001212
20150922,28.2801,28.3425,27.6692,27.855,9080445
20150923,27.7201,29.4001,27.5674,29.0832,22769439
20150924,29.5248,30.291,28.8312,29.8277,45326292
20150928,30.0874,30.711,29.8392,30.1166,11624745
20150929,29.7565,30.0619,29.0628,29.2245,9061635
20150930,29.5274,29.6534,28.6365,28.9025,7614486
20151001,29.0183,29.3925,28.7879,29.1214,7382925
20151005,29.423,30.2885,29.423,30.1332,9730083
20151006,30.8001,31.2239,29.8532,30.2541,18573786
20151007,30.2401,30.9274,29.8112,30.6385,10532973
20151008,30.6652,30.8001,30.291,30.6296,5093979
20151009,30.7237,31.1552,30.6219,30.7377,7844793
20151012,30.8765,31.0037,30.5455,30.7199,4172223
20151013,30.5481,30.7479,30.0517,30.2414,4650525
20151014,30.151,30.5086,29.9906,30.1968,3386955
20151015,30.4666,30.4666,29.9639,30.1141,2798169
20151016,30.291,30.4959,29.7119,30.3292,6246306
20151019,30.4666,30.6346,30.1637,30.2554,2439591
20151020,30.4896,31.9456,30.2401,31.733,15788388
20151021,31.971,32.0448,30.5456,31.3143,10940028
20151023,31.5383,31.635,30.6996,30.9477,4580829
20151026,31.1565,31.1565,30.4183,30.5723,8727213
20151027,30.4514,31.2583,30.4437,30.9605,7597887
20151028,30.9656,31.2786,30.5456,30.851,8467767
20151029,30.8396,31.5637,30.6983,31.0101,31515660
20151030,31.9455,32.2968,31.4365,31.6605,23721390
20151102,31.6656,31.8654,31.1183,31.3347,3293103
20151103,31.5892,32.2001,30.6728,32.0207,11755029
20151104,32.2001,32.5819,31.649,31.9736,7079688
20151105,31.817,31.9532,31.4365,31.5714,3305280
20151106,31.6057,32.1237,31.4619,31.6796,8562015
20151109,31.2723,33.091,30.9274,32.8492,11813043
20151110,32.9128,32.9128,31.5637,31.803,5994417
20151113,32.2001,32.2001,31.1463,31.4555,3767379
20151116,31.4365,32.167,31.1857,31.7776,4003890
20151117,31.8272,32.3019,31.775,31.9226,4960758
20151118,31.9456,32.0207,31.1883,31.3232,4275975
20151119,31.4657,31.8819,31.3232,31.7648,2664156
20151120,31.8183,32.251,31.5332,31.8908,8867463
20151123,32.1237,32.1797,31.6312,31.8412,4149420
20151124,31.971,32.4037,31.7674,31.9481,6782490
20151126,31.9481,32.8708,31.7674,32.5654,15326388
20151127,32.601,33.0147,32.3032,32.4521,3939540
20151130,32.1237,32.4534,31.7712,31.9163,7236141
20151201,31.9519,32.223,31.4365,31.5116,4438302
20151202,31.6897,31.6897,30.851,31.0152,6123315
20151203,30.8001,31.5676,30.7759,31.1412,5696559
20151204,30.8765,31.5383,30.8128,31.2048,3926439
20151207,31.5485,31.5485,30.8765,31.1514,3788235
20151208,31.0012,31.3092,30.8026,30.9236,3471864
20151209,30.851,31.1794,30.1675,30.4781,6490077
20151210,30.5201,30.7046,30.0008,30.3406,7385664
20151211,30.4183,30.7874,29.6292,29.8099,6885648
20151214,29.8074,30.4832,29.4765,30.1905,3628944
20151215,30.2656,30.3572,29.8125,29.969,4976697
20151216,30.347,30.9426,30.0874,30.417,6116022
20151217,30.5456,30.9656,30.5443,30.6639,10445721
20151218,30.6728,31.8055,30.5468,31.4008,32125863
20151221,31.131,32.1708,31.131,32.0181,13544388
20151222,31.9456,32.5565,31.8437,32.3337,12566730
20151223,32.4521,32.6328,31.8947,32.3834,5534331
20151224,32.7092,33.9667,32.433,33.5276,20373309
