Date,Open,High,Low,Close,Volume
20150303,299.6063,300.12,294.2134,298.9643,2293482
20150304,301.3185,306.797,299.0072,300.6765,3694564
20150305,300.8049,301.2329,294.5131,297.8088,3879220
20150309,296.8243,296.8243,290.2758,293.9995,3823862
20150310,292.8011,327.2558,291.6882,314.9719,12896222
20150311,316.7267,337.2712,310.0926,333.4619,14318713
20150312,333.3763,342.3217,331.3219,340.524,18411651
20150313,341.5085,344.7186,333.3335,342.6213,12653947
20150316,342.3217,342.3217,330.5942,332.4775,15605904
20150317,335.7304,335.9015,324.4309,330.8938,13158523
20150318,330.3374,334.1039,326.5709,327.213,4777244
20150319,327.855,329.5243,325.0729,326.9562,4636137
20150320,326.1429,331.9638,323.2324,325.5009,7256601
20150323,328.711,333.7615,323.5749,328.069,3546841
20150324,326.8278,339.4112,326.6566,337.1428,8101985
20150325,331.279,340.2244,331.2362,338.1272,11374656
20150326,333.8471,345.4034,333.8471,342.1077,12656646
20150327,343.2633,346.2594,317.6684,322.2909,9357286
20150330,325.2869,336.3295,323.2325,333.3335,5166621
20150331,333.0339,338.7264,329.567,336.672,6709861
20150401,336.672,346.559,336.458,344.3761,6096908
20150406,344.3761,350.197,341.0804,343.0921,4825167
20150407,344.1193,350.9675,339.1544,346.4734,4691848
20150408,348.3994,361.9673,348.3994,358.8,6392808
20150409,358.8428,359.9557,346.9014,348.5706,5176227
20150410,348.3994,354.3059,343.6913,352.6367,5103339
20150413,350.1971,365.5198,349.2554,364.407,4307880
20150415,363.8078,363.8078,350.2399,355.376,3883730
20150416,356.2319,362.0529,354.7767,357.8156,3429760
20150417,359.4849,363.5509,345.7458,347.5006,6165372
20150420,345.6601,348.913,341.3373,344.3761,3642501
20150421,340.3957,350.9247,337.2712,340.9521,4315761
20150422,339.8393,343.5202,334.8744,341.8937,4659581
20150423,343.9482,344.8898,339.8393,342.2789,6374398
20150424,342.4073,345.1466,338.0845,341.6797,8213565
20150427,341.5085,345.5746,328.8394,334.7032,16825758
20150428,332.9911,350.5394,328.1973,343.0493,5756976
20150429,337.2712,344.5474,328.6254,331.5787,12480808
20150430,331.6643,332.1351,318.2676,326.2286,9124401
20150504,319.8084,337.3568,319.8084,336.3296,5025010
20150505,335.5591,335.5591,327.427,331.3219,2710648
20150506,336.6719,346.6873,330.423,334.0183,15076384
20150507,333.7615,342.8353,329.8667,336.9716,8782001
20150508,339.8392,342.4073,337.3568,340.6524,6371723
20150511,339.8392,344.7613,337.8704,339.1544,4799566
20150512,339.4112,341.8509,332.9483,335.1739,6930590
20150513,338.9833,342.4073,325.8862,327.4698,6440531
20150514,326.999,335.7304,326.0573,330.423,5484794
20150515,332.1351,338.1272,331.2791,335.5591,4322623
20150518,337.2712,342.2361,335.5592,340.2245,4866514
20150519,341.4658,346.6874,338.2129,340.6953,6042689
20150520,340.0533,345.703,339.7108,342.8781,5645720
20150521,343.2633,344.7185,336.8432,339.3684,2829064
20150522,338.5552,341.2945,334.4035,338.0416,3589617
20150525,338.0416,350.1115,335.816,342.3217,5979086
20150526,344.1193,348.3566,340.8665,342.8781,6978361
20150527,342.5357,353.6211,342.5357,349.8974,5615442
20150528,352.6795,353.3215,342.3644,344.9753,8018965
20150529,344.7613,372.3679,344.3761,364.3214,75197864
