Date,Open,High,Low,Close,Volume
20150303,163.5696,164.7945,160.2235,164.1671,5711361
20150304,165.0933,166.5273,160.4327,161.8667,5368972
20150305,163.1214,163.5397,158.9687,161.538,3148335
20150309,159.5363,160.104,153.5313,154.5172,3937045
20150310,155.3538,157.0866,152.4857,154.816,3388863
20150311,155.294,157.0866,152.7247,154.099,4336518
20150312,155.3239,158.3114,154.7562,157.7737,2993826
20150313,158.5803,159.148,151.4699,152.2168,3625519
20150316,153.0533,155.5928,150.3347,154.816,4775821
20150317,155.5928,158.8193,154.3081,158.2218,3152625
20150318,158.7596,159.0285,153.4119,153.9795,4190058
20150319,155.8616,156.4293,150.5139,152.7247,2782710
20150320,151.1711,152.6052,146.391,146.8392,5179126
20150323,147.1678,147.3471,140.7147,141.4914,5466642
20150324,140.4159,144.8973,139.2209,143.4035,4632145
20150325,143.9412,144.1205,140.5055,141.4018,3697993
20150326,140.4159,146.0923,139.908,140.9238,7407238
20150327,141.6109,142.5371,136.2333,139.1014,4480102
20150330,140.4159,143.3437,138.7429,142.6566,4548237
20150331,143.3736,144.5985,139.2209,140.625,5933668
20150401,140.8939,141.0134,137.1893,137.8466,5019112
20150406,137.6374,142.4474,135.9943,140.4756,7298490
20150407,138.9221,140.5653,136.6515,139.5196,4446670
20150408,140.4159,143.045,139.8184,140.9537,5247312
20150409,141.342,142.2383,137.7271,139.0117,3581359
20150410,139.4001,141.7902,138.8026,140.1769,3367534
20150413,140.4159,146.0624,140.4159,144.9869,6016558
20150415,144.5985,145.674,137.6076,138.8624,6140497
20150416,139.2508,140.3263,136.9503,138.6234,3803406
20150417,138.4441,141.6109,138.0557,140.3262,3632844
20150420,141.3719,141.3719,134.5602,137.3686,3135909
20150421,137.3686,139.43,135.0383,135.6358,4397890
20150422,135.6955,138.5039,132.9768,137.9063,5182029
20150423,139.4001,140.3263,137.7271,139.4001,3146893
20150424,139.9976,140.8043,138.1752,139.8184,4282333
20150427,140.7744,140.9537,134.5005,135.2175,3938541
20150428,135.337,142.5669,134.2615,139.191,6003312
20150429,139.1014,140.3562,136.8607,138.713,2819844
20150430,138.3246,145.3155,134.7993,142.2383,10635402
20150504,143.9412,147.5861,142.3578,146.4807,4249645
20150505,146.6898,148.7811,144.5985,146.4807,3511611
20150506,145.4948,145.7935,136.7412,137.2491,4722240
20150507,136.2333,139.2806,133.903,136.6516,4260034
20150508,138.474,139.7288,137.4283,138.235,2197642
20150511,138.7429,142.4475,136.1736,140.2367,4653870
20150512,140.2366,140.2964,132.3793,133.0067,5113764
20150513,134.142,136.5321,132.708,136.0839,4054597
