Date,Open,High,Low,Close,Volume
20150303,23389.7807,23910.3166,23075.1472,23711.2773,49786
20150304,23751.0092,23927.1098,23436.0141,23584.0293,25358
20150305,23751.0072,24292.8552,23610.1267,24118.3809,93844
20150309,24021.9331,24342.5266,23602.0008,23762.6133,50051
20150310,23800.6806,24170.0404,23730.2862,23981.4766,41472
20150311,24097.7982,24224.2294,23707.6674,23876.002,54289
20150312,23805.1971,24738.9822,23805.1971,24644.7461,26685
20150313,24784.1323,24878.0985,23954.8331,24035.0273,43832
20150316,24201.6468,24208.8255,23570.3937,23681.5625,44890
20150317,23782.6652,24102.3098,23782.6652,24024.1934,31973
20150318,24101.4084,24825.4072,23934.4285,24668.8145,51794
20150319,24812.1271,25239.2381,24799.4839,24977.3008,49526
20150320,25127.304,25277.2153,24253.1682,24715.0938,294706
20150323,24902.4354,24970.1205,24220.6998,24295.4297,38060
20150324,24472.5707,24472.5707,23669.7324,23784.6035,31885
20150325,23778.1025,23861.5016,23164.008,23273.9121,35335
20150326,23299.4246,23299.4246,22876.8748,23081.8281,37290
20150327,23081.8247,23173.0358,22280.7926,22768.6816,37390
20150330,23062.8639,23152.4487,22847.9308,23027.418,15688
20150331,23387.9731,23387.9731,22811.8079,22957.5195,29465
20150401,23017.7066,23216.3842,22758.5226,23092.3906,16121
20150406,23073.7008,23082.7316,22730.5303,22887.4863,16783
20150407,23118.8531,23118.8531,22622.159,22840.3887,22236
20150408,23028.5429,23471.098,22834.2907,23320.7793,26541
20150409,23480.0858,23569.4449,23087.2459,23202.3887,19940
20150410,23204.6482,23624.5347,23105.4452,23542.4902,19246
20150413,23570.3956,24003.8741,23435.0694,23877.9844,22720
20150415,24199.7974,24199.7974,23615.5503,23787.3613,16172
20150416,23841.3165,23922.3679,23249.8889,23696.418,16311
20150417,23525.2399,23747.3518,22989.8932,23095.8711,13387
20150420,23285.8361,23285.8361,21999.0366,22284.5898,23979
20150421,22521.919,22521.919,21854.4527,21930.4473,25005
20150422,21935.8219,22120.7276,20915.387,21332.7441,36581
20150423,21506.8547,21719.0786,21193.4401,21421.5137,16777
20150424,21493.3052,21511.3668,19380.1438,19830.1934,48109
20150427,19890.3434,19958.0744,18453.4527,18901.832,68844
20150428,19054.9927,19777.4569,18627.5641,19617.1602,35316
20150429,19596.8383,19845.1853,19280.7602,19525.7207,26659
20150430,19867.7657,20635.384,19664.5727,20322.7383,51345
20150504,20572.1695,20834.0628,20161.268,20511.709,26605
20150505,20725.6922,20725.6922,20238.9319,20339.1738,32148
20150506,20229.0016,20404.1992,19506.5373,19626.1055,21560
20150507,19777.459,19822.613,17879.3641,18907.0254,25196
20150508,18964.6873,19777.4597,18964.6873,19514.4375,28261
20150511,19822.6049,20093.5289,19633.004,19970.7559,29896
20150512,20007.7446,20007.7446,19267.6244,19404.9844,12424
20150513,19389.2701,20492.067,19389.2701,20391.8691,35527
20150514,20499.0188,20716.6612,20093.5358,20584.9473,27743
20150515,20662.4762,20900.8894,20560.4281,20652.2266,24846
20150518,20770.844,20905.403,20465.2414,20756.2148,16022
20150519,20761.8164,21185.3611,20599.2619,20937.7812,21741
20150520,21130.2704,21155.4208,20906.3065,21002.2129,13008
20150521,21077.893,21267.5399,20951.8234,21110.8555,20691
20150522,21040.1425,21132.0767,20761.768,20902.7402,10461
20150525,20414.3099,21472.9017,20414.3099,21188.6113,16485
20150526,21307.9992,21307.9992,20816.0462,20893.4395,13637
