Date,Open,High,Low,Close,Volume
20150303,71.72,72.364,70.6803,71.8396,9442494
20150304,72.088,72.6677,70.2709,70.8919,10777344
20150305,70.8459,71.8488,70.6619,71.4302,7745406
20150309,71.3106,71.8396,69.4106,70.2939,10691736
20150310,70.7355,71.5452,70.0777,70.3123,8797860
20150311,70.3123,71.0115,68.7436,69.084,3598278
20150312,69.222,69.7925,68.8172,68.9598,3971940
20150313,69.3646,69.4566,66.8942,67.2944,5221908
20150316,68.0857,68.5457,67.4692,67.7775,2856366
20150317,68.3617,69.5578,68.0535,69.0656,6329616
20150318,68.9506,71.95,68.5457,71.0714,8524572
20150319,71.49,71.7568,68.9184,69.3186,4517646
20150320,69.3186,69.3186,66.5032,66.8942,5789646
20150323,66.9816,67.7176,65.6107,65.8223,4267110
20150324,66.2455,68.4997,66.0293,68.1593,12425196
20150325,68.0857,69.5624,67.345,68.8862,8616528
20150326,68.3525,71.2278,68.0857,70.1375,16437222
20150327,69.4658,70.9149,68.3157,68.969,10540140
20150330,69.2818,71.3014,69.107,70.7815,7203846
20150331,70.8459,75.0691,70.7815,74.5998,15727752
20150401,74.6136,75.2623,73.2841,73.9926,6395814
20150406,74.2502,75.0553,73.6062,73.7994,5115972
20150407,74.1582,74.1582,72.7781,73.2105,5338818
20150408,72.9805,76.5504,72.7551,75.4141,13900224
20150409,76.1824,76.8264,74.4342,74.6964,6251700
20150410,74.9679,76.3296,74.3238,75.4509,8098518
20150413,75.2301,76.2652,74.7103,75.2991,5826048
20150415,74.9081,75.7775,73.2289,73.827,7068102
20150416,73.6982,74.2318,72.8241,73.689,8001768
20150417,73.6062,74.9679,73.0219,73.4084,6567684
20150420,74.0662,74.7885,73.1461,73.9282,7801080
20150421,74.3422,75.3175,73.1093,73.5279,9105102
20150422,73.9374,75.0369,73.7902,74.0708,11554200
20150423,74.7102,74.954,73.5141,73.8408,5109906
20150424,74.0432,74.0432,71.2922,71.812,4140084
20150427,71.8948,71.95,66.2823,67.3772,7453998
20150428,67.8097,71.306,67.5337,70.3997,10898772
20150429,70.2387,70.3859,68.7528,69.5532,6079548
20150430,69.5624,72.0558,69.1484,70.3629,12239616
20150504,71.306,72.9069,70.2939,72.1064,6247296
20150505,72.226,72.4239,70.6619,71.5176,5669406
20150506,70.8735,70.9379,67.9661,68.8401,9049056
20150507,68.1087,69.6038,66.2777,67.161,7835052
20150508,68.5365,69.774,67.8373,68.8264,6661260
20150511,69.2634,69.3738,68.5457,69.0794,4596036
20150512,69.1438,69.1898,66.5216,66.7884,6562188
20150513,67.1564,67.9247,64.7366,67.7039,5709978
20150514,67.8557,69.8937,67.1656,69.6222,8644740
20150515,69.9075,70.8367,69.7418,70.5745,5713560
20150518,71.7384,73.1461,71.0575,72.9437,9579510
20150519,72.6769,73.2611,71.4532,72.1616,4082520
20150520,72.6861,73.2381,72.1064,72.4055,3304956
20150521,72.5941,72.5941,71.1771,71.4854,3487548
20150522,71.306,72.226,70.8735,71.9776,3380910
20150525,72.134,74.1582,72.042,72.8517,5917968
20150526,72.9713,73.3117,71.306,71.927,3009906
20150527,72.0328,73.7764,71.3704,73.3209,5004018
20150528,73.5693,75.8005,73.1921,75.2347,17573184
20150529,76.0076,78.6666,76.0076,78.2203,14055870
20150601,78.3077,80.1755,77.2129,79.1956,7888962
20150602,79.3796,79.9501,77.6637,77.9075,6693198
20150603,77.9489,78.2893,76.6148,77.2128,6242430
20150604,77.7327,79.9869,77.1484,79.7431,9076686
20150605,79.7707,80.631,78.5746,78.731,6505038
20150608,78.8046,79.1174,77.2819,77.5671,5678730
