Date,Open,High,Low,Close,Volume
20150303,933.8996,963.3866,933.0194,954.4304,747818
20150304,957.6651,966.0271,943.6038,947.3227,455000
20150305,948.8631,988.4724,948.423,972.9587,810556
20150309,970.4281,973.0688,948.753,967.9416,358904
20150310,972.6288,973.597,931.4791,948.8852,313578
20150311,951.9437,968.6677,941.8214,948.4229,198510
20150312,951.5039,974.8294,950.2277,966.7535,504848
20150313,969.988,975.5553,942.7896,949.2811,218480
20150316,952.384,954.9366,935.242,946.4426,145822
20150317,955.0247,976.5017,948.4231,964.2448,421918
20150318,968.2279,990.233,961.6263,966.7535,494498
20150319,972.5848,985.6999,946.2226,971.3745,325996
20150320,985.3917,985.3917,915.5694,938.9388,1115574
20150323,941.3814,941.3814,915.8554,925.4056,101134
20150324,926.4178,949.8533,926.4178,945.6724,207346
20150325,926.7699,955.0245,926.7699,951.2177,251918
20150326,953.5503,972.6288,944.0221,965.4991,311924
20150327,971.7485,971.7485,915.4153,947.9829,350044
20150330,956.3449,957.2471,928.6183,951.5697,308498
20150331,956.785,956.785,946.2225,949.9854,188924
20150401,948.6432,974.9614,942.4157,958.3475,491816
20150406,950.6675,977.0297,950.6675,975.5773,317168
20150407,976.9416,1011.7978,959.3155,994.2377,317256
20150408,1001.2354,1012.018,991.289,994.0837,277230
20150409,1000.7954,1011.82,977.822,1002.5117,329644
20150410,1002.5558,1008.0571,994.6339,1002.5117,306598
20150413,1002.5114,1021.0398,998.8366,1016.7267,554704
20150415,1022.2725,1046.4782,1019.2797,1031.8447,414936
20150416,1044.8058,1045.2459,1007.9472,1025.0671,323720
20150417,1024.5609,1024.5609,1010.0375,1011.7759,227748
20150420,1025.4412,1025.4412,946.2226,955.0247,524974
20150421,955.0246,963.6946,895.8307,910.7942,477392
20150422,910.794,932.9972,900.6717,909.3637,566608
20150423,912.1145,951.5038,912.1145,946.9487,321414
20150424,955.0246,960.2399,931.1049,941.6895,382882
20150427,944.022,944.022,883.0677,911.6744,192502
20150428,915.8553,937.4204,900.6937,922.0388,315738
20150429,922.4568,954.3423,917.6157,946.9266,201080
20150430,945.7825,974.8293,945.7825,967.2816,302576
20150504,971.7486,994.634,969.108,989.5287,119988
20150505,990.2327,1044.9815,990.1887,1032.0205,172740
20150506,1036.8838,1058.4489,983.6754,989.0446,448292
20150507,988.0323,1007.749,964.1126,984.2255,222604
20150508,988.9127,1011.358,966.7754,969.7241,187348
20150511,981.4308,1011.7979,972.2546,1004.8442,305220
20150512,1005.6363,1005.6363,989.3525,1000.0909,103266
20150513,1016.6391,1016.6391,992.0373,1004.5803,191092
20150514,1004.8005,1018.8397,984.0715,993.8859,102350
