Date,Open,High,Low,Close,Volume
20150303,71.2783,73.4501,70.7523,72.7799,10184646
20150304,76.1818,76.7078,70.43,71.0238,17957933
20150305,71.0323,72.3387,70.4554,72.0503,9197754
20150309,71.6007,71.6007,68.9199,69.4374,6793689
20150310,69.5138,70.5827,68.6145,68.8945,7929719
20150311,68.5466,69.8276,68.4364,69.0896,6560040
20150312,69.7004,70.2009,69.0557,69.2593,6681311
20150313,70.0737,70.2433,67.2487,67.5456,7523193
20150316,67.868,68.3261,66.8415,67.5541,6843075
20150317,68.2073,68.3685,66.7312,67.6219,7543195
20150318,67.9528,69.0472,67.4692,68.0122,8967996
20150319,68.7163,68.886,66.0016,66.3579,7619764
20150320,66.0016,66.0779,64.3982,64.6782,9457492
20150323,65.272,65.4756,63.9825,64.7969,6861817
20150324,64.6273,65.1108,63.5583,63.7026,7205958
20150325,63.8298,64.1692,62.8118,63.1087,5298627
20150326,62.8457,63.4481,61.429,61.658,8413118
20150327,61.9719,62.5827,58.7906,61.6156,12757696
20150330,62.2519,63.5753,61.0981,63.2953,9186825
20150331,63.711,63.9571,62.0992,62.4046,7546325
20150401,62.184,65.1193,61.955,64.6442,7775651
20150406,65.1532,65.8149,63.728,65.3314,9591332
20150407,65.8149,65.8319,63.9316,65.0684,9805256
20150408,65.289,65.6877,64.1692,64.4237,7001446
20150409,65.1957,66.324,64.1437,66.1373,9983989
20150410,66.2561,67.4183,65.8319,66.6378,9503747
20150413,67.1384,68.0631,66.5954,67.8171,7834794
20150415,68.1225,69.8107,67.6559,68.6824,15257144
20150416,68.7078,68.8011,66.8839,67.7831,9723809
20150417,67.868,69.0132,67.1978,68.343,8011105
20150420,68.1225,69.3865,65.4926,66.1034,10339300
20150421,66.307,66.9857,65.6623,66.4342,7466724
20150422,66.7397,67.1214,64.5933,66.0101,7488376
20150423,66.307,66.9518,65.4332,65.8319,6187889
20150424,65.815,65.9846,63.0493,63.8213,10160948
20150427,64.2285,65.7471,63.3038,64.8478,9354464
20150428,64.6442,66.324,64.2116,65.255,8467737
20150429,65.1532,66.0864,64.8139,65.1532,5243432
20150430,65.0514,65.8913,63.9656,64.1946,9705935
20150504,64.6442,65.9931,64.0589,65.8234,5176014
20150505,65.8234,66.3833,65.1532,65.3653,5561567
20150506,64.9666,65.6538,62.0992,62.3452,7447714
