Date,Open,High,Low,Close,Volume
20150303,113.0265,117.0731,111.7097,115.1507,298125
20150304,118.8033,118.8033,113.6705,114.3722,292365
20150305,114.3722,115.218,110.1141,113.1803,73855
20150309,110.6427,113.1322,108.2205,109.201,115060
20150310,110.1525,112.3537,109.1913,109.5278,143040
20150311,112.5555,112.6132,108.9991,110.0468,151630
20150312,111.8731,114.9008,110.7869,113.3629,153620
20150313,114.3241,116.6598,111.306,111.9404,118785
20150316,111.8827,114.7663,111.1137,113.0746,1787290
20150317,114.7278,114.7278,110.9888,111.8635,113200
20150318,111.5367,114.1799,110.7292,112.7574,49055
20150319,114.0742,114.0742,111.4982,112.7285,65950
20150320,112.5651,113.0361,107.317,108.6531,83185
20150323,108.6146,111.6904,108.6146,111.0272,57615
20150324,110.6235,110.71,108.8646,109.7585,30445
20150325,109.7681,109.8065,104.8275,106.4904,74325
20150326,106.3078,108.0379,104.1932,105.2409,61670
20150327,105.7311,106.8845,104.5392,105.8848,96670
20150330,107.6919,111.4982,106.5,111.354,61525
20150331,113.411,114.9585,111.9115,113.2476,81095
20150401,115.3141,116.1119,111.9115,114.9969,115625
20150406,116.3042,116.3042,113.9012,114.6221,74695
20150407,114.5548,115.9197,113.9973,114.8528,386240
20150408,115.8236,117.8421,113.5359,114.5644,156950
20150409,114.5548,116.2657,111.9884,113.0553,69840
20150410,113.4302,115.343,110.0949,111.2483,130555
20150413,112.4402,114.7663,111.9115,113.238,125165
20150415,114.1895,120.1489,114.1895,117.9478,521205
20150416,120.7256,122.0521,117.6498,119.9375,149945
20150417,120.3412,120.8122,117.4576,118.7552,90960
20150420,118.6399,120.1585,117.1885,118.4284,126000
20150421,119.7645,120.1682,116.4964,117.3134,194190
20150422,118.9955,118.9955,112.4786,114.0261,160525
20150423,115.3237,115.3237,112.6516,113.4014,170715
20150424,114.3818,116.4964,103.4722,113.0169,394660
20150427,116.1119,118.9763,111.5174,117.7171,531890
20150428,116.7847,118.1016,114.3818,115.8139,501145
20150429,115.343,117.6594,113.4206,114.8816,2309830
20150430,114.7663,117.5537,112.5748,113.0842,96250
20150504,113.2283,117.2461,109.374,115.5256,251200
20150505,116.3618,117.2461,113.9108,115.2661,106055
20150506,113.4302,117.0731,111.8827,112.8919,62820
20150507,112.0749,115.1507,109.5758,110.9023,57420
20150508,112.3441,115.1411,111.4982,112.2768,203715
20150511,113.3725,116.7848,111.8346,112.8535,535905
20150512,113.9781,113.9781,111.5271,112.6036,509790
20150513,112.7477,113.3821,109.9603,110.6427,666420
20150514,110.3544,111.4982,108.9895,110.6235,59055
