Date,Open,High,Low,Close,Volume
20150303,679.3379,696.9819,674.7147,690.5659,2346080
20150304,694.4342,705.2848,681.2249,685.9897,1975785
20150305,688.7731,704.247,684.0555,697.7366,1863532
20150309,697.7366,700.5672,688.8203,692.736,886869
20150310,698.2084,710.3327,684.0555,688.2542,2224099
20150311,692.5472,695.8023,672.1671,677.1677,1656569
20150312,678.5359,686.8861,670.8462,679.5266,1970544
20150313,684.0555,686.5559,661.5052,664.0999,1031988
20150316,666.2701,667.8269,644.9936,654.4761,2758251
20150317,658.9578,675.5639,657.3067,670.4216,1832519
20150318,673.6768,680.0927,668.0628,671.7426,1470026
20150319,675.5638,685.7538,665.7511,670.2328,1697308
20150320,673.5351,677.8282,654.5703,660.2786,1874430
20150323,663.7697,672.0727,654.8062,661.694,825791
20150324,661.1751,673.6297,659.0522,670.1386,976875
20150325,674.0542,677.8755,666.4116,671.2708,1175071
20150326,670.3744,676.7432,657.7312,661.3638,2634979
20150327,667.072,668.959,648.3902,654.8062,2072818
20150330,655.8441,670.799,655.8441,662.5432,1612745
20150331,665.185,677.1678,660.7033,672.2143,2267378
20150401,673.6767,676.0356,664.0999,669.5252,1693796
20150406,673.6767,697.3591,671.365,694.104,2457940
20150407,698.2082,702.6427,681.6022,687.0746,1652776
20150408,690.6602,703.9639,683.6781,695.0948,2259141
20150409,699.8124,699.9539,674.9033,678.819,1409699
20150410,669.9027,675.5167,654.8063,661.5526,2038210
20150413,662.3545,674.2429,651.9757,672.1672,1497566
20150415,673.1578,676.5073,651.1265,653.7684,1604656
20150416,656.1272,656.1272,634.9922,640.5118,1787533
20150417,640.6535,650.0887,634.1431,641.9744,2231820
20150420,641.4082,645.2767,621.3583,622.7264,1915626
20150421,622.7263,627.6798,608.5734,615.7442,2144141
20150422,618.0087,630.2746,608.5735,619.6127,1969424
20150423,622.7264,631.0294,619.8958,626.4533,3600202
20150424,626.9251,626.9251,599.1383,601.6387,1623284
20150427,602.7236,603.6199,586.1647,592.9581,1502771
20150428,589.703,599.1383,583.806,595.9775,1434089
20150429,596.921,603.8558,590.2691,593.713,1272786
20150430,591.1184,606.1204,584.9854,600.0818,2844112
20150504,605.7428,642.6346,603.8558,635.6526,3045985
20150505,636.5018,637.4926,620.0374,624.8965,2220174
20150506,624.6135,624.6135,595.4586,600.3177,3640420
20150507,600.0819,606.2149,585.363,592.345,1896392
20150508,597.2511,623.6227,597.204,617.7256,2770332
20150511,629.7557,634.9451,625.038,628.4819,2078211
20150512,627.6799,636.7849,617.3011,626.5948,2714276
20150513,627.444,640.6533,623.151,638.3889,1858476
20150514,640.9837,656.6462,639.7099,647.2581,2412197
20150515,646.173,647.9185,634.662,644.7577,1187367
20150518,644.7105,651.0321,639.757,646.8334,864835
20150519,644.8993,654.712,640.5591,644.1445,848057
20150520,645.2766,651.6926,642.6347,649.664,884919
20150521,649.5697,649.5697,631.5955,636.2659,1596030
20150522,637.8227,642.0685,630.1802,635.8413,1181691
20150525,638.2002,639.2381,620.0845,622.9151,1333330
20150526,624.6134,627.9157,615.2724,621.83,989654
20150527,620.6507,631.8315,616.1218,623.7643,1529286
20150528,627.444,628.3875,603.6671,607.6299,2667994
20150529,610.319,622.7264,604.9882,613.7158,3757040
20150601,609.0453,634.7563,609.0453,624.7078,2655528
20150602,628.3876,630.0859,603.2426,605.0825,1725187
20150603,605.9316,607.2054,595.4585,599.2798,1140795
20150604,602.6294,607.5357,589.9861,594.8453,965314
20150605,594.3263,600.931,584.9854,587.4858,1161230
20150608,584.8911,586.5894,574.6066,579.9847,1535540
20150609,573.6632,575.5502,554.5096,558.5196,1880172
20150610,556.6797,566.115,552.7169,559.2744,1518836
20150611,561.3973,565.1714,538.9885,541.9135,2025695
20150612,541.6776,552.9055,539.5075,548.8012,1768081
20150615,548.8483,559.1327,539.3187,552.6224,1358401
20150616,550.0749,558.5667,543.1872,557.0098,1586626
20150617,558.5667,582.8153,557.7175,578.2864,3226832
20150618,583.4758,587.4385,568.0963,572.7667,2134429
20150619,572.7196,579.9848,565.1714,572.3894,2017997
20150622,577.4373,582.6266,572.7196,578.8525,1609442
20150623,583.5701,595.8359,577.909,594.7509,1700335
20150624,596.3077,598.3834,581.5415,586.6365,1350706
20150625,583.0984,584.9854,566.1149,576.2578,1916121
20150626,577.4372,586.6366,577.4372,584.325,2088582
20150629,575.5501,579.2299,566.2092,576.4465,1359591
20150630,572.9083,583.0984,572.295,580.6453,2352929
20150701,584.0419,601.214,581.9189,599.0439,1789439
20150702,599.044,600.8838,589.7974,590.9768,1018273
20150703,590.8824,602.8652,590.6466,595.8831,1062854
20150706,591.59,618.905,588.1461,616.7821,2193898
20150707,617.9144,621.4526,607.7243,609.9888,1151563
20150708,606.6865,618.7164,596.0246,609.7057,1553260
20150709,610.4606,617.9144,601.3555,604.941,1165623
20150710,606.9695,613.7629,598.1948,611.4041,1329511
20150713,616.1217,627.3497,615.131,623.9058,1334312
20150714,626.2644,633.7183,622.9621,628.3402,966237
20150715,629.3312,634.9923,625.6514,632.7278,790552
20150716,634.1902,643.4839,627.9629,641.4081,1342722
20150717,641.6441,648.8621,640.2288,646.5033,1180811
20150720,646.8334,652.4003,641.5969,644.5218,756355
20150721,644.4275,649.8528,622.8208,625.0853,1019824
20150722,626.5005,641.5969,626.0287,636.5018,1412682
20150723,636.8792,638.672,625.7928,635.1809,759001
20150724,636.8793,647.0694,633.8128,639.8042,1177924
20150727,638.5303,649.8526,634.9921,637.2094,807908
