Date,Open,High,Low,Close,Volume
20150303,169.3288,173.1824,169.1021,172.117,5328335
20150304,173.1823,173.1823,167.7421,168.4448,4497793
20150305,168.6488,170.0995,164.1152,164.9993,4971903
20150309,164.0699,167.3567,161.4404,161.9844,4555473
20150310,162.7551,168.5581,162.3698,168.0594,4533632
20150311,167.2887,168.0594,165.9286,167.4247,3136497
20150312,167.6741,168.7621,164.5686,165.3393,2979075
20150313,166.3593,167.5154,164.7952,165.5206,2770431
20150316,166.382,166.382,163.6845,165.2033,2446877
20150317,166.8353,167.0167,163.0498,164.0245,2003857
20150318,164.2059,165.8153,163.6845,165.2713,1296884
20150319,166.1553,167.5154,164.5686,165.6339,2412424
20150320,165.906,168.1954,164.8406,166.9487,2118984
20150323,166.8354,167.9007,164.6139,167.2887,2544068
20150324,166.6313,169.1021,166.1779,167.7647,1960112
20150325,168.3767,168.3767,163.2538,164.0245,1851588
20150326,162.6871,163.2085,158.6749,159.7176,3834991
20150327,160.103,160.6924,157.0428,157.7682,2344094
20150330,159.1056,163.1858,157.1562,162.8911,2451097
20150331,163.2085,165.906,163.0045,164.5232,3477225
20150401,164.5232,165.1353,162.3018,164.5686,1428949
20150406,165.0446,165.294,162.6191,163.5485,1248881
20150407,163.5485,164.2965,161.5764,163.0271,1859700
20150408,165.5886,173.4997,165.5206,172.4343,6874570
20150409,173.7943,176.5371,171.7769,175.4264,3309241
20150410,174.0664,176.8999,174.0437,176.3559,3579563
20150413,176.5372,179.3933,173.9984,177.8746,2909461
20150415,177.5799,177.5799,174.0891,174.9731,4149634
20150416,174.9731,175.0185,173.001,173.9304,2034424
20150417,173.205,174.6104,171.8449,172.457,2106426
20150420,173.1143,173.5223,167.9914,168.6714,3400318
20150421,168.6714,171.6863,168.6714,169.7368,1820148
20150422,169.6688,172.6837,169.3062,171.913,2165103
20150423,173.1823,174.9504,172.6836,174.2024,2812629
20150424,174.0891,174.4744,169.6235,170.5755,2896474
20150427,171.0516,172.2756,168.0594,171.2102,2202533
20150428,170.9156,171.3689,168.1047,168.8301,3455021
20150429,168.1954,170.0315,167.5834,168.1728,2453973
20150430,166.926,167.9234,162.8458,164.4552,4879254
20150504,165.9286,168.3767,164.6139,167.6514,1970167
20150505,167.2434,167.2434,163.8885,165.2033,2200905
20150506,164.1832,165.0219,159.6496,160.0803,3280440
