Date,Open,High,Low,Close,Volume
20150303,240.2533,244.2188,238.8859,240.7091,680214
20150304,241.8942,245.5862,239.0682,240.8002,1965940
20150305,240.2533,247.7285,239.9798,243.1249,2185705
20150309,242.4867,252.4688,242.4867,250.0986,2571153
20150310,252.879,253.8818,241.484,242.3044,1742218
20150311,242.3044,247.0448,237.0171,243.8541,2494857
20150312,245.6318,249.2326,244.9025,247.2271,1102968
20150313,246.1332,251.7395,246.1332,248.3666,1111320
20150316,248.868,250.1898,245.7685,247.2727,518940
20150317,247.9563,258.8956,247.9563,258.2574,2206776
20150318,260.6276,261.6304,255.7961,258.9868,2059236
20150319,261.5393,261.6305,249.0504,251.0559,1142423
20150320,251.0102,251.0102,241.3017,242.4867,1261421
20150323,242.7603,248.321,242.7603,245.3128,516056
20150324,245.3127,247.9108,241.8031,242.9426,792812
20150325,242.4867,245.5862,242.4867,244.4923,727019
20150326,243.3984,244.7658,238.2478,239.524,980013
20150327,251.6028,251.6028,239.6152,241.3928,535684
20150330,244.1277,246.7713,241.8486,242.5323,763718
20150331,243.3072,245.6318,241.0737,242.0765,664099
20150401,242.9425,244.7657,241.2561,242.9881,642177
20150406,243.3984,249.6884,243.3984,248.8224,966604
20150407,249.8708,251.2382,247.136,250.0531,799464
20150408,251.2838,261.1747,250.5089,259.2147,1270528
20150409,259.8072,260.4909,253.5172,255.158,768529
20150410,255.2493,258.4399,252.6056,255.5228,759749
20150413,257.9841,261.5849,256.0697,258.531,789775
20150415,260.7189,260.7189,250.0075,251.0103,1225694
20150416,250.6912,253.6084,248.002,251.7396,964375
20150417,251.0558,252.4233,246.589,248.8224,721933
20150420,249.3694,249.7796,242.5323,245.1304,999987
20150421,245.2672,247.5462,242.9426,244.8114,837487
20150422,247.0447,249.7796,237.1538,241.803,989682
20150423,242.2589,248.1843,241.5296,247.0903,973607
20150424,248.0475,250.8735,244.2188,246.2243,1047375
20150427,246.2243,248.7768,238.9315,240.1622,1036665
20150428,238.9771,240.5268,231.5475,236.1967,1454703
20150429,237.0171,237.0171,230.0434,232.7326,1525998
20150430,232.7326,238.0654,228.3569,229.6331,1894843
20150504,229.9522,239.8431,229.9522,238.339,869369
20150505,240.5267,243.3983,238.43,241.2104,1529164
20150506,246.1332,247.4094,238.1111,239.8431,2211439
20150507,239.7064,239.9343,228.8127,234.4647,1294036
20150508,237.9288,240.0254,235.3763,237.792,1176148
20150511,238.0199,239.2506,233.234,234.4647,743636
20150512,235.5585,239.4328,231.1373,237.6096,1377638
20150513,237.245,240.5268,232.687,238.2934,973860
20150514,238.658,242.6691,237.5185,240.5268,901956
20150515,241.484,243.3983,239.8431,241.4384,654285
20150518,242.3044,242.9425,239.2961,242.2133,611396
20150519,242.3044,242.3044,239.9343,241.3017,388069
20150520,241.5752,243.4895,240.1622,240.7547,327602
20150521,240.2989,241.1194,235.2851,236.1511,1200444
20150522,237.0171,242.3956,234.8748,241.803,1209831
20150525,242.7147,245.7686,240.6636,244.6746,769674
20150526,246.5889,248.6401,241.803,246.7257,2286721
20150527,242.7602,246.9536,242.1221,245.5406,1071111
20150528,246.589,248.9591,242.5779,247.6829,1156685
20150529,247.9564,250.9191,244.8113,245.9964,2726402
20150601,246.1332,250.1899,243.6263,248.5946,830901
20150602,248.5945,249.3693,242.1677,243.1704,783535
20150603,244.5379,244.5379,234.3735,238.3846,528323
20150604,237.2906,238.8403,230.6359,233.1428,670834
20150605,235.1027,237.3817,230.727,235.0116,777601
20150608,236.0143,236.7436,227.9011,229.2685,651661
20150609,228.8127,232.4135,226.8527,231.3196,626390
20150610,232.8693,233.2795,229.0406,231.0005,880066
20150611,232.2768,234.7381,228.6304,229.1773,856895
20150612,229.9066,231.3196,227.9011,229.7243,516031
20150615,231.0461,235.6953,229.5876,233.6442,543540
20150616,233.3707,235.1027,230.4991,233.8721,507671
20150617,234.3279,251.5572,234.2823,241.9854,3092463
20150618,242.5323,244.7658,239.9798,244.0365,1735985
20150619,244.4467,248.1387,243.1705,245.4951,1046888
20150622,247.0448,249.415,245.5406,246.3155,901263
20150623,247.0448,248.0476,244.9025,245.9053,380642
20150624,245.8597,251.1926,244.5835,249.3238,1726985
20150625,249.7796,255.9329,249.1415,252.2865,2277126
20150626,252.2865,254.52,247.9564,251.3293,1399841
20150629,249.821,254.3915,245.4334,252.1977,1527665
20150630,254.3915,257.3623,251.4665,256.0369,2917308
20150701,257.4994,259.9674,257.3166,258.2307,1617534
20150702,258.7335,258.8249,253.3404,254.3459,1481635
20150703,255.6255,262.7097,254.7114,261.0186,1458887
20150706,258.5963,263.5781,237.6637,261.7957,704734
20150707,262.3441,266.4118,261.43,263.6238,761051
20150708,262.3442,267.6459,260.0589,261.9785,970113
20150709,261.9785,266.4118,259.2819,262.4355,885522
20150710,260.9273,261.8414,256.951,258.0022,1096786
20150713,257.408,262.4812,256.5396,261.8414,724763
20150714,263.3497,271.5765,263.2583,270.7081,1508597
20150715,273.7245,273.7702,266.0005,267.0974,736368
20150716,267.6916,269.2912,264.5379,266.1833,661066
20150717,267.326,269.017,264.6751,266.9603,545409
20150720,268.1943,274.2273,266.4575,273.496,893701
20150721,274.2273,278.3407,273.3132,276.284,1376048
20150722,274.1359,275.1414,269.9768,272.9476,785059
20150723,275.05,277.6094,270.9366,272.8105,431071
20150724,274.0445,276.3297,270.5709,271.0737,452880
20150727,269.6568,274.5015,268.24,270.8909,889816
20150728,271.1194,275.5071,267.4631,269.1541,985921
20150729,271.2565,275.2328,264.3551,265.6348,2824890
20150730,269.3826,270.4795,266.1833,267.0974,1446644
20150731,267.6916,270.0682,264.7208,268.1029,988467
20150803,269.6111,269.6111,263.7152,265.909,1001944
20150804,266.5489,268.9713,265.3606,267.0974,1208518
20150805,269.1997,282.3169,267.7372,280.3059,1556315
20150806,282.8197,289.2184,279.8032,282.317,1922508
20150807,281.3572,285.9276,276.7867,282.5455,836126
20150810,284.0995,286.9332,278.3407,279.1177,446877
20150811,281.3115,281.3115,273.7703,274.1359,813838
20150812,274.2274,276.6954,270.1139,272.7648,924412
20150813,273.3132,275.37,265.5435,266.9146,1239094
20150814,268.5599,272.3076,266.0004,269.3826,380032
20150817,271.8506,278.3407,268.2857,276.8781,806063
20150818,281.0373,282.3627,275.5528,277.061,699944
20150819,276.9695,280.5802,271.2108,271.8963,1308815
20150820,274.1359,278.0665,269.7025,272.0792,742592
20150821,269.6569,275.3242,268.24,272.9933,1240658
20150824,265.0863,268.3771,246.3932,249.9581,2071080
20150825,254.4829,257.0423,234.6471,249.9124,3664616
20150826,250.0038,255.9454,248.7241,251.4207,2052224
20150827,257.2252,263.0297,254.5744,260.0589,2427487
20150828,260.5159,263.2125,252.2891,256.2197,2725408
20150831,256.4025,258.4135,247.9014,249.5925,1898280
20150901,250.0039,251.9692,245.2049,246.896,2407723
20150902,249.4555,259.6476,248.9984,256.0826,2279831
20150903,259.6018,261.3386,254.4372,260.6073,1573375
20150904,257.0424,264.4008,255.9912,261.6585,2082650
20150907,260.5159,261.887,252.2891,253.2032,1669030
20150908,252.7918,255.9455,248.7242,250.918,1201253
20150909,252.0149,254.8943,250.0953,251.5579,1113157
20150910,249.5468,257.2709,245.6619,255.854,1373008
20150911,258.6877,259.876,256.4025,257.5908,690493
20150914,258.6878,259.6476,256.0827,257.4995,419284
20150915,256.7225,260.5159,256.174,258.0479,553832
20150916,259.6018,260.4702,249.0898,250.3695,2462779
20150918,251.7864,254.5744,246.4847,251.6036,3991475
20150921,252.2891,256.2654,250.0952,255.077,2478500
20150922,256.0369,256.8139,250.0954,254.0717,2699724
20150923,249.5926,254.4373,249.5926,252.1521,1033941
20150924,252.7462,253.2489,249.9125,251.2379,2438025
20150928,252.9289,252.9289,249.7753,250.9636,682398
20150929,250.0953,251.6036,248.5871,251.1465,1076987
20150930,254.1172,254.1172,251.1921,252.289,2843891
20151001,253.6602,255.6712,251.6035,254.7572,1383806
20151005,257.2709,262.1156,251.0551,251.4664,2503267
20151006,252.7461,254.8485,251.375,253.1117,2333198
20151007,253.4775,258.0479,250.5524,255.5799,2288521
20151008,255.9455,255.9455,252.1063,253.9344,700744
20151009,254.3001,257.408,253.386,255.8083,1003106
20151012,256.0369,259.2362,254.2087,255.0314,886526
20151013,255.6712,255.6712,247.2616,247.7186,2078106
20151014,248.4042,250.6437,247.5815,249.364,602902
20151015,249.5469,250.9637,247.7187,248.45,623919
20151016,248.6328,249.6383,247.8101,249.2269,450580
20151019,251.375,251.6493,248.2214,249.0441,652060
20151020,249.5469,249.5469,246.4847,247.7644,805956
20151021,248.4956,248.4956,245.7076,247.0331,648268
20151023,247.9928,249.2726,239.4918,240.3145,1925488
20151026,241.32,245.8905,241.32,243.7881,990157
20151027,243.9708,247.9928,242.3255,247.7186,2279056
20151028,249.2726,249.8211,245.6619,248.5871,3333211
20151029,249.8211,251.1008,247.7187,249.0441,1596428
20151030,249.0898,249.8668,245.2963,246.576,1920432
20151102,246.5761,247.9015,242.3713,247.5816,1524569
20151103,249.2269,249.2269,245.8905,246.9874,657613
20151104,246.8046,247.8101,245.0678,246.8503,707656
20151105,247.585,248.7329,242.7178,244.5086,2012396
20151106,242.0289,246.5288,242.0289,245.7941,894416
20151109,238.8148,247.2635,238.8148,244.8758,2257719
20151110,245.886,245.886,241.0647,243.0391,756444
20151113,244.8299,246.6206,241.0647,245.7023,1156537
20151116,246.0697,246.1156,238.8607,239.5954,2004956
20151117,240.2841,244.2789,239.3658,242.4881,2120115
20151118,242.7636,247.9523,242.6259,247.0798,978997
20151119,248.136,252.0848,248.136,251.6256,1217423
20151120,252.544,255.299,251.9471,253.3705,1678426
20151123,251.8552,256.1255,251.2124,252.3603,646537
20151124,252.4981,255.2531,251.6716,252.7277,568036
20151126,253.3706,257.8245,252.4522,256.9521,646172
20151127,258.0541,258.3755,252.4522,253.1869,811983
20151130,253.7378,254.7939,249.4216,250.294,2118028
20151201,252.5898,256.8142,251.7633,255.7581,872615
20151202,257.0439,261.2682,254.3348,260.7172,800977
20151203,260.5795,260.6713,253.646,254.243,884186
20151204,247.8145,250.9828,246.3452,249.5135,1506058
20151207,251.5797,256.0796,248.8706,253.6919,855569
20151208,252.8195,255.7582,249.8349,252.6358,1208271
20151209,252.3603,253.2786,246.8502,247.8604,992370
20151210,249.9726,250.5236,244.3248,247.4472,1073991
20151211,249.3298,249.3298,244.7381,246.1156,839877
20151214,243.3606,246.0697,240.5137,244.1871,1235627
20151215,244.0493,251.0746,243.636,250.294,616027
20151216,251.0287,251.0287,243.8198,247.6768,1058453
20151217,248.8706,253.4623,245.886,253.0031,889839
20151218,252.544,255.6663,250.4777,251.6256,1234650
20151221,253.0032,256.2174,250.2481,254.7939,965806
20151222,255.7582,256.447,252.8195,255.3909,717391
20151223,256.1255,257.1357,253.646,256.6306,761905
20151224,256.2173,256.2173,253.0031,254.1052,263389
20151228,255.1153,255.7582,253.1868,254.5643,608324
20151229,255.2072,255.6664,253.9215,254.6562,275161
20151230,253.4623,254.9317,251.7175,252.544,367883
20151231,250.9828,254.8398,250.9828,254.3347,717614
20160101,253.8756,256.1255,253.2327,253.8296,124367
20160104,253.6918,258.054,253.0031,254.2888,554107
20160105,254.2888,256.6765,251.5338,253.4164,629235
20160106,253.7378,257.9622,251.9011,253.3705,750275
20160107,252.544,252.544,244.233,245.8401,910959
20160108,246.8043,249.6971,246.1156,247.0798,579211
20160111,245.1973,245.7023,240.2841,241.6157,1259036
20160112,242.4423,242.4423,232.5242,234.0853,1520863
20160113,234.9577,236.8403,228.6671,235.8761,1266564
20160114,234.9119,240.4219,231.6058,238.5852,1136944
20160115,237.4832,239.9627,229.1263,229.8609,390418
20160118,229.1263,231.4221,224.9937,227.1059,813644
20160119,227.1059,233.2588,226.3713,229.1722,852044
20160120,227.7488,231.3303,227.1978,228.8967,948030
20160121,229.1263,230.9629,219.4378,220.7693,1598807
20160122,221.5959,225.0856,219.4837,221.2744,1104880
20160125,222.2387,222.652,217.0501,217.8766,1288751
20160127,216.7287,218.2898,212.5961,217.5092,2994537
20160128,216.7287,224.9937,216.7287,223.6162,2276163
20160129,225.7284,232.019,223.2948,230.1823,1975624
20160201,230.4119,231.8813,227.7947,230.5497,1161891
20160202,230.4579,231.7895,219.9429,221.4581,1141536
20160203,220.7235,227.5192,218.9786,223.5703,1841938
20160204,225.4529,228.1161,224.9019,227.06,933205
20160205,226.0957,231.4221,226.0039,230.7793,570371
20160208,229.7691,232.57,228.9885,230.4578,1355234
20160209,229.5855,230.9171,227.4733,228.8967,562650
20160210,228.6671,229.1263,220.9531,223.0652,2019507
20160211,223.6162,225.8202,217.647,219.6214,814826
20160212,221.5959,228.9885,218.5653,227.5651,1768414
20160215,227.5651,231.1466,221.4122,228.5753,587206
