Date,Open,High,Low,Close,Volume
20150303,806.9708,819.0843,799.0548,808.9327,754516
20150304,811.9896,817.9437,786.3483,793.6255,270110
20150305,796.1578,825.8141,792.964,808.7731,1166766
20150309,809.3891,822.6203,792.9869,803.9369,643736
20150310,807.564,819.4037,797.2071,804.3702,352058
20150311,807.5638,820.7039,799.8988,809.1607,501972
20150312,811.214,823.9662,807.5868,821.0005,151164
20150313,830.3764,834.4827,806.3321,809.1152,275896
20150316,817.1453,818.9703,796.4087,812.1265,143212
20150317,813.4497,831.2206,813.2443,821.2287,223370
20150318,823.3503,829.464,814.4306,821.9587,265376
20150319,833.3421,846.0259,825.814,836.034,467244
20150320,833.114,846.1856,816.803,824.1259,323112
20150323,817.8296,831.289,805.3283,823.0993,193710
20150324,829.0078,836.764,824.5137,830.5134,180638
20150325,831.4031,836.7641,818.514,821.2059,209228
20150326,821.2058,829.829,810.7577,823.989,217200
20150327,832.6578,832.6578,805.3512,818.6281,140264
20150330,823.0765,828.1865,819.0615,825.8369,138064
20150331,825.6771,837.2202,799.7164,814.613,392544
20150401,807.6096,825.3577,807.6096,822.3237,136006
20150406,823.9434,862.4966,817.1681,856.4969,432418
20150407,864.5497,884.5791,843.1971,882.9594,503404
20150408,889.5295,898.3579,875.0891,886.7007,401488
20150409,894.2517,894.2517,872.0551,882.3892,399102
20150410,882.8454,890.5789,874.017,884.3282,118882
20150413,889.6663,891.0579,872.6253,881.7732,271886
20150415,880.6097,893.5444,871.8954,877.1879,338338
20150416,875.7735,879.0128,848.6265,865.3253,343912
20150417,862.3141,876.4351,856.246,863.911,432288
20150420,862.0403,866.2606,807.5639,832.6121,473784
20150421,834.6653,834.6653,805.739,811.6703,287870
20150422,809.0012,822.9396,800.7202,820.3618,356776
20150423,826.2703,832.6122,810.7578,817.0312,211648
20150424,816.6891,819.8372,803.0015,810.3472,175572
20150427,806.6516,808.4994,771.064,793.5572,465446
20150428,788.4014,808.8186,782.493,804.0508,181234
20150429,800.264,808.9784,792.599,803.2981,155312
20150430,799.3515,809.4802,783.839,786.3255,341696
20150504,789.3139,823.5327,789.3139,813.7004,147716
20150505,813.7005,816.6662,794.5608,797.7546,165138
20150506,797.5265,797.5265,775.6265,783.2687,333450
20150507,779.7327,791.3443,764.0377,787.1012,568372
20150508,790.6827,793.8081,772.3871,785.9833,369032
20150511,786.1658,800.3325,780.189,789.9755,219268
20150512,789.3139,805.2371,782.9264,794.9258,527612
20150513,802.9787,805.2828,784.1127,796.0437,254000
20150514,796.0665,815.7765,788.8349,804.3931,323802
20150515,812.5372,823.259,804.8265,818.9703,163648
20150518,820.7951,830.3764,820.7951,828.0723,195660
20150519,828.6656,829.4641,815.0922,820.9322,303456
20150520,824.9014,825.6542,793.8764,813.7004,1733214
20150521,818.7422,843.1288,815.6169,840.1176,510674
20150522,840.1174,855.379,825.8596,845.4099,435806
