Date,Open,High,Low,Close,Volume
20150303,140.7102,141.7037,135.7429,136.6461,5781561
20150304,141.1166,142.6068,137.0073,139.1749,8764606
20150305,139.4909,140.7554,136.8718,139.22,5560556
20150309,139.0846,141.2973,134.2527,136.3751,6088574
20150310,136.5557,136.917,129.7821,130.8659,8941746
20150311,130.9562,132.2206,125.6277,131.0014,9714297
20150312,132.3109,135.4268,131.0014,134.9752,5863912
20150313,137.2782,146.9419,131.1368,142.1552,24833117
20150316,145.2259,149.2901,143.3293,148.3869,15502205
20150317,149.3353,151.1867,147.0322,149.0191,9395915
20150318,148.116,149.8771,147.2128,148.5676,5060431
20150319,149.2449,150.9609,147.2129,148.0708,4412152
20150320,148.116,148.8385,143.1939,144.4131,5534666
20150323,144.6389,145.7227,140.8908,143.9164,4464757
20150324,142.6972,146.5355,142.5165,144.5938,5077957
20150325,144.8195,149.4707,143.6003,149.0643,7036974
20150326,145.9033,148.0708,142.1101,143.8712,10373418
20150327,143.0133,143.51,136.5558,139.9426,6078680
20150330,140.7102,144.5486,138.362,144.0519,4581106
20150331,144.5034,145.0453,141.0263,142.9229,4058426
20150401,141.794,145.3162,141.0715,144.2325,3098216
20150406,144.1873,152.8575,141.2973,151.2319,7646511
20150407,151.7286,152.1802,145.3614,146.2645,7451287
20150408,147.2129,149.4707,142.381,146.1742,10759078
20150409,147.1677,147.3483,141.9746,143.8712,5155153
20150410,144.2776,146.3097,142.3359,143.0584,4803517
20150413,144.1421,145.542,140.7553,141.6133,4584338
20150415,142.1552,142.6971,137.5492,138.4975,4768674
20150416,139.0846,139.3104,134.2527,135.5623,5257987
20150417,135.4719,137.0976,132.3109,132.898,4896793
20150420,133.5753,134.9752,129.737,132.0852,5235207
20150421,132.627,133.3044,124.7245,125.447,9659999
20150422,125.5373,126.6663,120.2991,123.5504,8921517
20150423,124.86,126.2147,122.0602,123.0085,4741588
20150424,123.2343,123.6407,117.4994,118.3573,6105912
20150427,118.6734,119.0799,110.2742,111.945,7946480
20150428,112.1256,116.6413,111.8095,115.693,6264725
20150429,116.2801,121.8344,115.7382,120.7958,7701687
20150430,120.5701,125.0406,117.0478,123.2343,8382062
20150504,124.4536,126.8017,123.8665,124.9051,4282176
20150505,126.2599,127.7952,123.0085,125.8083,7284056
20150506,125.447,125.447,117.4542,118.8541,9279235
20150507,117.8606,118.3122,114.519,116.5059,7871289
20150508,118.3122,123.0988,116.6865,120.0733,9618803
20150511,120.6603,121.0216,116.1446,117.6348,6409011
20150512,117.5896,120.3894,112.8933,113.3449,9107904
20150513,114.6996,115.6027,111.8547,112.8933,11645939
20150514,112.3514,115.1963,110.5451,114.6544,8970751
20150515,114.6996,114.6996,112.3514,112.8933,5894746
20150518,113.2546,114.1577,108.7388,110.9064,5330974
20150519,110.8612,113.7513,110.7257,112.1708,3760223
20150520,113.3449,114.6093,109.5968,111.3128,8544269
20150521,111.5386,113.7513,110.229,112.1256,7989333
20150522,113.3449,113.5255,110.4548,111.2676,4914974
20150525,111.8547,112.7127,108.9194,109.5517,4067429
20150526,109.7323,110.1839,105.2166,105.5778,5952773
20150527,104.765,109.2807,103.9522,107.8357,7445557
20150528,108.3776,108.3776,105.352,107.8357,4886136
20150529,108.3776,109.6871,104.3134,106.3455,21110393
20150601,107.4293,110.1839,106.1649,106.7067,5768042
20150602,107.6551,107.7905,100.4299,102.1459,6011361
20150603,103.4103,103.8618,92.8435,99.8428,21170190
20150604,100.6105,101.6491,96.5915,100.3847,14101729
20150605,98.2172,99.617,96.0045,96.8624,7193486
20150608,97.5398,100.7008,96.727,99.2558,9687681
20150609,99.2106,101.0621,97.1334,100.0686,7025198
