Date,Open,High,Low,Close,Volume
20170321,600.0,648.9,558.3,641.6,85728445
20170322,641.55,657.45,625.1,638.55,15817671
20170323,637.9,648.0,628.15,634.85,4690121
20170324,635.45,640.45,612.6,616.9,4865013
20170327,615.0,623.0,602.35,614.4,3535098
20170328,617.2,633.4,615.1,628.8,2981122
20170329,632.9,637.0,622.4,628.25,2407007
20170330,624.2,635.0,622.2,631.85,1324054
20170331,634.4,652.3,630.0,637.85,2075789
20170403,638.0,643.0,633.0,634.25,992545
20170405,636.0,645.1,628.3,632.15,820437
20170406,632.0,668.4,630.2,664.4,5166823
20170407,665.9,761.35,664.0,751.2,16504569
20170410,769.0,806.9,759.05,774.1,14333464
20170411,778.9,791.1,768.35,778.55,4283589
20170412,779.0,782.9,755.0,762.2,2435513
20170413,756.9,806.9,756.0,783.25,6262741
20170417,785.9,789.7,766.6,774.05,2786771
20170418,774.9,774.9,725.1,730.15,4750180
20170419,735.0,752.0,722.0,732.8,2052184
20170420,740.0,765.0,732.4,756.3,3218061
20170421,760.0,765.0,739.0,743.2,1237439
20170424,748.0,748.0,724.15,726.3,1249610
20170425,731.0,739.9,721.15,734.8,1519949
20170426,736.45,753.95,731.0,747.9,2080565
20170427,749.0,749.7,736.1,740.1,614735
20170428,743.85,747.0,735.0,736.5,516172
20170502,737.25,762.9,737.25,752.3,1808851
20170503,753.0,762.0,746.8,756.85,1083002
20170504,762.2,793.0,762.2,773.25,2607954
20170505,778.0,814.4,766.1,808.9,4332891
20170508,823.65,824.5,770.2,780.15,3972924
20170509,782.9,793.0,775.6,780.05,1199297
20170510,781.9,795.0,780.0,790.85,1251054
20170511,789.7,790.5,756.0,761.8,1038372
20170512,763.9,768.0,736.7,751.8,1137225
20170515,755.5,761.45,744.0,752.15,617269
20170516,752.1,757.9,741.0,750.4,600525
20170517,751.7,756.9,742.9,744.9,458274
20170518,739.95,748.0,724.5,727.45,698857
20170519,730.0,738.65,713.65,722.9,686573
20170522,729.4,734.5,720.1,721.55,361363
20170523,724.95,725.0,691.55,708.4,1362902
20170524,710.4,722.9,701.0,714.2,748251
20170525,720.0,720.0,705.5,712.4,508214
20170526,714.0,732.0,709.45,714.9,790476
20170529,715.0,719.75,710.0,714.8,307830
20170530,715.0,742.85,710.0,727.85,912185
20170531,731.8,750.8,726.4,745.15,883930
20170601,749.9,782.0,745.0,776.85,1557053
20170602,783.85,794.6,776.85,779.65,738963
20170605,782.7,811.0,775.3,789.75,1662267
20170606,792.8,800.5,772.55,775.35,761302
20170607,777.0,784.5,771.25,774.3,335268
20170608,776.95,799.8,768.05,790.25,1170440
20170609,789.95,811.0,783.15,802.35,1485266
20170612,804.0,823.0,797.0,804.1,1211793
20170613,807.7,815.0,795.1,798.65,679152
20170614,802.0,807.0,792.0,798.55,406225
20170615,800.0,807.0,793.0,797.95,376579
20170616,802.4,812.0,796.95,800.1,579782
20170619,804.8,806.25,791.0,796.4,302416
20170620,796.0,836.7,796.0,822.05,1759720
20170621,825.8,838.8,813.3,817.8,1466750
20170622,819.95,824.0,800.0,803.9,674073
20170623,805.8,809.25,789.8,801.6,799811
20170627,803.9,807.0,794.7,804.6,472470
20170628,802.4,822.9,797.0,818.05,842867
20170629,825.0,826.45,813.0,815.5,443572
20170630,810.9,820.0,805.0,815.1,365653
20170703,811.6,847.9,808.0,840.05,1577531
20170704,843.0,843.0,829.0,836.2,590080
20170705,834.9,854.95,830.85,846.05,795100
20170706,847.55,909.0,847.55,880.3,3412326
20170707,882.8,910.0,882.0,895.45,2129887
20170710,901.05,944.0,901.05,934.6,645059
20170711,946.0,954.9,907.5,913.95,1185183
20170712,914.0,934.4,905.0,910.3,1206562
20170713,915.0,933.7,910.25,915.15,1139296
20170714,920.0,921.9,872.5,891.35,1325017
20170717,894.9,917.7,886.05,911.7,951306
20170718,908.9,920.0,901.05,910.65,509382
20170719,914.2,924.95,907.45,911.7,524342
20170720,914.8,918.8,905.1,909.2,504126
20170721,912.5,921.0,907.0,914.75,648124
20170724,937.0,964.0,911.0,916.55,2518684
20170725,917.5,933.3,905.65,925.65,1018767
20170726,930.0,932.9,893.0,909.6,1512281
20170727,907.9,915.0,892.4,896.9,534158
20170728,894.0,908.0,888.1,898.55,501864
20170731,904.0,925.5,897.0,919.7,925153
20170801,921.0,930.0,913.1,916.05,388020
20170802,914.5,919.0,902.25,906.8,230945
20170803,905.95,909.9,895.0,898.1,242241
20170804,898.9,922.4,894.25,911.35,649179
20170807,921.0,933.0,915.0,923.8,418558
20170808,923.0,927.65,900.0,902.3,372966
20170809,901.0,910.9,882.4,889.25,358608
20170810,888.8,894.85,871.1,880.8,359649
20170811,867.9,903.4,860.0,890.1,495041
20170814,899.85,911.55,892.0,902.45,262198
20170816,903.9,917.45,903.0,907.8,241073
20170817,909.95,941.8,906.3,920.8,674395
20170818,917.2,931.8,908.0,926.25,401717
20170821,929.85,948.9,923.15,927.1,693305
20170822,937.0,968.0,932.0,958.05,1103036
20170823,977.0,999.0,967.55,989.5,2107260
20170824,990.8,1019.0,986.0,994.6,1441084
20170828,999.5,1057.0,990.2,1046.15,1489836
20170829,1049.0,1068.2,1026.0,1032.85,1703113
20170830,1044.9,1059.0,1041.5,1050.9,599048
20170831,1055.8,1055.8,1032.0,1039.8,495126
20170901,1045.8,1054.0,1037.0,1048.4,338544
20170904,1045.0,1049.35,1007.4,1020.65,498521
20170905,1026.0,1094.7,1026.0,1077.7,1667985
20170906,1067.0,1103.0,1061.05,1066.6,1476806
20170907,1071.0,1090.0,1070.0,1076.2,510790
20170908,1081.6,1088.0,1055.0,1070.85,503514
20170911,1079.95,1099.0,1060.25,1088.8,698741
20170912,1096.0,1099.0,1085.0,1088.45,379312
20170913,1095.0,1113.3,1085.0,1091.5,677114
20170914,1093.0,1104.9,1080.4,1089.75,360997
20170915,1103.35,1119.8,1080.1,1087.75,1564001
20170918,1092.5,1099.0,1086.9,1089.5,360118
20170919,1089.55,1094.95,1073.05,1077.55,297636
20170920,1080.5,1094.0,1070.4,1084.75,342872
20170921,1085.0,1088.0,1065.0,1069.05,281126
20170922,1067.95,1067.95,1028.8,1039.15,367612
20170925,1042.0,1047.6,982.05,1029.0,541800
20170926,1060.5,1218.0,1054.25,1116.05,6738985
20170927,1116.0,1153.6,1069.05,1076.75,2905722
20170928,1077.75,1087.0,1021.3,1043.95,1545452
20170929,1049.25,1094.8,1048.9,1078.45,1633060
20171003,1095.45,1109.65,1078.8,1100.95,903689
20171004,1107.5,1128.7,1087.85,1099.35,1449647
20171005,1105.0,1118.0,1092.35,1104.0,1044277
20171006,1110.0,1120.0,1100.0,1105.25,635948
20171009,1108.5,1126.8,1105.05,1116.75,773906
20171010,1124.4,1202.9,1120.1,1184.65,3365543
20171011,1201.0,1244.0,1190.0,1213.1,2717138
20171012,1234.0,1279.8,1223.0,1268.65,2057518
20171013,1285.0,1288.65,1220.0,1229.9,2507878
20171016,1250.0,1275.0,1225.05,1232.45,2410127
20171017,1234.0,1241.55,1210.0,1220.0,793647
20171018,1217.4,1225.45,1132.15,1159.7,2368299
20171019,1165.0,1177.7,1162.0,1167.4,340842
20171023,1170.0,1175.0,1117.1,1126.4,1135187
20171024,1127.0,1148.5,1085.5,1092.9,1475872
20171025,1100.0,1160.0,1070.7,1143.7,1641798
20171026,1160.5,1170.0,1132.55,1143.1,868267
20171027,1148.5,1153.4,1132.55,1136.2,432640
