Date,Open,High,Low,Close,Volume
20150303,545.3507,557.1568,538.0159,545.1747,1999645
20150304,545.1747,554.7891,539.2077,542.3832,1453640
20150305,542.0072,551.8936,542.0072,550.5498,1404490
20150309,552.2135,562.6278,552.2135,554.7171,1170590
20150310,556.7088,556.7088,545.6306,549.8779,1110320
20150311,553.3253,565.0194,538.7997,554.7891,1548505
20150312,555.1091,560.7082,546.3425,549.1581,1841340
20150313,553.3493,554.1652,537.272,540.1595,970535
20150316,542.3111,543.6869,527.9375,529.9931,1089025
20150317,537.5119,552.3495,536.0721,549.9019,1772035
20150318,551.0937,552.5415,543.9109,548.2382,852305
20150319,555.1091,556.7088,545.6786,547.8622,1389765
20150320,550.0219,554.3092,539.3516,548.1662,1539650
20150323,548.7102,555.0851,548.4702,553.2934,948465
20150324,559.7483,563.9076,553.9892,561.7399,2612275
20150325,563.9076,571.9063,560.5482,561.604,1969915
20150326,555.109,558.6364,536.1521,551.2217,2686595
20150327,549.494,549.494,537.5439,546.3745,1219560
20150330,553.1574,553.1574,539.5916,547.9583,1409625
20150331,552.5495,562.3079,552.5495,558.1086,1400455
20150401,566.4672,570.5945,560.1803,565.2914,1413925
20150406,564.7074,591.0231,564.5474,588.3596,2183820
20150407,586.7839,592.6949,583.1365,589.4794,1164730
20150408,587.9037,603.9491,585.848,600.7736,2219855
20150409,600.7096,602.1414,588.5436,598.342,1549295
20150410,599.2619,609.1482,592.9189,607.4845,1077135
20150413,604.7009,609.1321,596.9422,607.1565,1317300
20150415,604.701,607.9005,596.9663,600.4777,1468240
20150416,596.7022,598.5019,586.0159,588.7515,1167935
20150417,586.368,591.903,579.1051,583.4484,1292220
20150420,583.9045,594.4547,566.3393,570.6266,1514980
20150421,572.0504,578.1454,552.2297,553.8294,1936100
20150422,558.3165,573.506,557.9886,571.1544,1698220
20150423,572.5782,575.1058,561.348,564.5155,858435
20150424,561.588,571.2504,555.1651,557.3727,931160
20150427,560.7082,562.2839,536.7281,541.6073,2723495
20150428,541.8312,548.838,534.4484,545.8705,1383945
