Date,Open,High,Low,Close,Volume
20150303,53.4175,53.5347,52.7204,53.2807,3359598
20150304,53.5477,53.7888,52.538,52.7725,7404129
20150305,52.766,53.1699,51.8019,52.4924,9178192
20150309,52.3556,52.3556,50.0821,50.271,5812066
20150310,50.1603,50.2254,49.0594,49.9714,5855271
20150311,49.9649,51.2677,49.0138,50.714,5800781
20150312,50.7075,51.5674,50.6814,51.3133,8464139
20150313,51.5934,51.5934,50.258,50.4534,3740648
20150316,50.2971,50.4144,49.0529,49.7108,7838732
20150317,49.5089,49.8737,49.0333,49.4502,5526237
20150318,49.333,50.1342,49.333,49.7369,14694221
20150319,49.9518,51.5153,49.9518,50.7987,9341339
20150320,50.6814,50.8052,48.8704,49.1896,10044624
20150323,49.587,50.2906,49.0073,49.9909,5313560
20150324,49.9062,51.0072,49.8411,50.8117,8180795
20150325,51.1244,51.1244,49.3786,49.5349,11719823
20150326,50.2906,50.4274,49.5219,49.6652,9324678
20150327,49.8932,49.8932,48.4861,49.4112,9574603
20150330,49.3786,49.7629,48.7141,49.5154,4061443
20150331,49.6913,50.8117,49.3004,50.5251,13178969
20150401,50.6684,50.688,49.4112,50.1342,7902113
20150406,50.4144,52.766,49.7043,52.1016,4468029
20150407,52.1146,53.1438,51.5283,52.1341,6348162
20150408,52.1016,54.0363,51.6065,53.4696,4326739
20150409,53.6455,53.8083,51.4697,51.7498,6062983
20150410,51.7954,52.3491,51.3524,52.0038,7157841
20150413,51.639,51.854,50.1212,51.4957,12430324
20150415,51.4632,52.5055,50.8704,51.4436,4965010
20150416,51.3068,51.8996,51.0593,51.6325,6747884
20150417,51.6977,51.9517,50.4209,50.6619,5543037
20150420,50.7336,51.1765,49.8672,50.1798,2718734
20150421,50.2906,50.5772,48.8444,48.9942,5610594
20150422,49.0007,49.3134,48.1799,48.9877,7226305
20150423,48.9877,49.3786,48.4145,48.9356,4023869
20150424,48.8574,49.0463,47.7435,47.965,5325730
20150427,48.1409,48.2581,46.9227,47.0986,4741981
20150428,46.9813,47.4438,46.0367,46.6295,4812760
20150429,46.6426,48.0757,46.395,47.6653,5379367
20150430,47.6132,47.6262,46.6556,46.9422,9796293
20150504,47.1637,48.0887,46.864,47.7891,3677934
20150505,47.8542,48.7858,47.4373,48.6425,6669308
20150506,48.675,48.675,47.1181,47.6718,4830082
20150507,47.1181,48.193,46.5579,47.9519,4535587
20150508,48.206,48.6555,47.4243,48.0887,3918904
20150511,48.3558,48.8574,47.6197,48.6034,4786392
20150512,48.7271,49.2222,47.307,47.8477,5202178
20150513,48.5838,49.8346,48.206,49.3004,7954828
20150514,49.3004,52.2449,48.5643,49.9453,5441741
20150515,49.9388,50.1342,49.1245,49.5284,6751025
20150518,49.7369,51.7107,49.5805,51.4176,3947304
20150519,51.3329,51.5934,50.258,51.0593,4231560
20150520,51.3264,51.7498,50.6554,51.3459,3726920
20150521,51.3785,51.4957,50.2971,51.1309,3469928
20150522,51.6,52.082,51.1635,51.7368,4303923
20150525,51.4632,51.9778,50.1864,50.4013,2413241
20150526,50.4078,51.5674,50.4078,50.5903,6206466
20150527,50.4209,50.6684,48.2646,49.6326,13656803
20150528,48.4666,50.1603,48.206,49.5023,9987413
20150529,49.8606,51.6456,49.0203,50.6619,22796863
20150601,50.8052,51.1765,49.8281,50.9811,4967848
20150602,50.5772,50.9681,50.258,50.6814,3888478
20150603,50.3166,51.854,48.5317,48.8444,5321005
20150604,48.7271,49.9583,48.1018,48.7467,5674989
20150605,48.7467,50.6554,48.4731,50.3101,6384732
20150608,50.4209,51.0202,49.8997,50.3362,4206125
20150609,50.6684,51.3003,49.2483,50.9094,6719729
20150610,50.9681,51.7237,50.4404,51.5283,8020257
20150611,51.854,52.1146,50.8117,51.411,9324918
20150612,51.3459,51.8214,50.8182,51.613,6984487
20150615,51.4632,52.1146,51.0593,51.7368,4070200
20150616,51.6065,52.8898,51.411,51.9582,4957042
20150617,51.9257,52.3752,51.5478,52.1146,5949767
20150618,52.1797,52.6032,51.7563,52.0429,2826883
20150619,51.9713,52.4794,51.0918,51.6,4296717
20150622,51.7107,52.5706,51.3654,52.297,3738840
20150623,52.297,53.222,51.639,52.6097,4764680
20150624,52.4794,52.8312,51.5934,52.0169,4873896
20150625,51.9192,54.4467,50.9746,53.7757,11837519
20150626,53.0722,53.2872,51.8149,52.0495,4686189
20150629,51.5934,52.0494,51.1505,51.7433,4464184
20150630,51.854,52.1146,50.6228,51.0984,6080050
20150701,51.0723,52.2709,50.6489,50.8313,9241707
20150702,50.8378,51.4632,50.1733,50.3623,4444547
20150703,50.2906,50.7792,49.9193,50.1929,2852526
20150706,49.7369,50.5121,49.6457,50.3297,2768963
20150707,50.4209,50.7726,50.03,50.0886,2332788
20150708,49.7434,49.8476,48.2842,48.5187,4105544
20150709,48.649,48.8965,47.6523,47.8347,4046221
20150710,47.9324,47.9519,46.6621,47.0204,7367222
20150713,47.2679,48.7662,47.1246,48.5643,6150076
20150714,48.8574,49.3134,48.0822,48.6099,5956413
20150715,48.5969,48.9812,48.0887,48.6946,5038557
20150716,48.9291,48.9747,48.4014,48.4666,4299459
20150717,48.8183,48.8183,48.2386,48.4405,2927859
20150720,48.4405,48.5968,47.8933,48.2711,4671320
20150721,48.4405,48.5382,47.3722,47.5546,4357880
20150722,47.4113,48.447,47.0204,48.1083,3064131
20150723,48.8574,49.118,47.9585,48.2321,7957441
20150724,47.0334,47.3722,46.5253,47.0464,9102704
20150727,46.9031,46.9422,45.8022,46.1214,5919234
20150728,46.0237,46.2126,45.5481,45.8543,7682849
20150729,45.6003,46.3429,44.9619,45.1573,8973584
20150730,45.3136,45.8739,44.7013,45.3136,10595136
20150731,45.7306,46.4667,45.5156,46.2452,8429590
20150803,46.2517,46.3168,45.3788,46.1475,7690358
20150804,46.0888,46.1344,44.7143,44.9423,9632917
20150805,44.9228,45.3136,44.558,44.9423,5936098
20150806,44.9423,45.0726,44.571,44.6817,8073121
20150807,44.6883,45.1638,44.3691,44.5384,19411403
20150810,44.8707,45.1182,44.4407,44.8251,5268002
20150811,44.8642,45.0791,44.5189,44.8707,4265864
20150812,44.558,44.5971,43.9196,44.0759,12906217
20150813,43.8414,44.2257,42.975,43.2616,7903532
20150814,43.3398,44.0368,42.6037,43.9261,5493319
20150817,43.9261,45.027,43.203,44.9553,4056003
20150818,45.2029,45.2159,42.8252,42.962,5482621
20150819,42.9945,43.2616,42.773,42.9815,3746686
20150820,42.734,42.8512,41.4832,41.7308,8590779
20150821,41.0468,41.5614,39.8025,40.5647,4890680
20150824,39.7374,40.6559,34.552,35.6138,22088895
20150825,35.9656,36.9883,33.881,36.5454,15682189
20150826,36.3369,37.7049,35.8939,36.832,15321816
20150827,37.3982,37.9908,36.6279,36.9966,12069017
20150828,38.083,38.5175,37.1809,38.0632,13296873
20150831,37.925,39.5908,37.7933,38.9916,17206391
20150901,39.1101,39.3801,37.8591,38.5044,11728511
20150902,38.7809,39.0706,37.7472,38.636,5892077
20150903,38.7282,38.9653,37.8394,38.7875,4092419
20150904,38.7151,38.9587,36.3513,36.9834,13417705
20150907,37.0756,37.1349,35.818,36.3579,8081233
20150908,36.1275,39.2418,36.0814,38.8797,10341525
20150909,38.9258,39.2089,38.32,38.6953,5530621
20150910,37.7999,38.636,37.7999,38.478,7066103
20150911,38.5834,39.0706,37.2863,37.5497,8554481
20150914,37.6418,38.5768,37.4114,38.3727,3409907
20150915,38.3727,38.5044,37.892,38.1883,5437335
20150916,38.32,38.7151,38.2805,38.5834,6636471
20150918,38.6887,38.8797,37.4706,37.8262,9213787
20150921,37.7801,38.5702,37.306,38.3398,2165721
20150922,38.3398,38.5241,37.8789,38.1949,5731346
20150923,37.8986,38.1159,37.5694,37.8328,2503534
20150924,37.7933,39.8871,37.306,38.8138,6329282
20150928,38.8007,39.0443,38.2542,38.4649,3145155
20150929,37.9645,38.6097,37.4641,38.3068,4000088
20150930,38.3068,41.0327,37.5958,39.808,4765352
20151001,40.1965,40.6903,38.4517,38.6163,4515544
20151005,39.3735,39.5052,38.478,39.3603,2709715
20151006,39.3998,40.8747,39.3735,40.6442,3933011
20151007,40.6706,41.5594,40.4533,41.2236,3348931
20151008,40.9734,41.2829,40.0385,40.2294,2761257
20151009,40.4401,41.1776,40.427,41.0327,1883236
20151012,40.822,42.1191,40.585,41.994,4488115
20151013,41.994,42.3495,41.0854,41.5265,4286093
20151014,41.5989,42.343,41.2961,41.724,2837731
20151015,41.8755,43.0343,41.6714,42.7775,5301778
20151016,42.9026,43.0343,42.2969,42.9158,2232121
20151019,42.9158,43.4557,42.4285,42.896,3865379
20151020,42.9289,43.2911,42.6853,42.8631,3471822
20151021,42.8368,43.1265,41.6187,42.0137,3473870
20151023,42.4022,43.4359,42.3495,42.9619,4386707
20151026,42.9289,43.673,42.5141,43.3306,3597555
20151027,42.9289,43.6005,41.6253,41.9611,7826502
20151028,42.1718,42.6063,41.5133,41.757,7806289
20151029,42.1388,43.0277,40.2953,41.2171,12300841
20151030,41.2961,41.7438,40.2294,40.6179,5262786
20151102,40.822,41.0854,39.5052,40.8944,5111373
20151103,40.9734,41.5265,39.5052,40.4467,5594839
20151104,39.2418,40.3743,39.1101,39.5973,8135366
20151105,39.6237,40.0977,38.5966,38.8204,4091939
20151106,38.7809,38.9719,37.576,37.9447,4670936
20151109,37.2534,37.8657,37.0427,37.339,3222099
20151110,37.1349,37.4114,36.3645,37.0163,5194952
20151113,36.8715,37.3521,36.753,37.1349,4660541
20151116,37.069,38.9784,36.483,38.8007,8666289
20151117,38.8468,40.5586,38.5966,40.3084,6734897
20151118,40.2887,41.1512,39.9002,40.6772,7328423
20151119,40.5586,42.0862,40.0714,41.8623,7512966
20151120,42.5997,47.393,42.5997,46.0301,49411244
20151123,46.063,48.4202,45.2993,47.6564,25761667
20151124,47.7354,47.7354,46.6359,46.8531,15171155
20151126,46.8861,48.7165,46.4252,48.4333,21785146
20151127,48.3675,48.8284,47.5642,48.5058,9580619
20151130,48.0712,48.723,47.5313,47.7617,12180575
20151201,47.9329,48.4926,46.9453,47.2482,8971238
20151202,47.4062,48.0515,47.1692,47.4655,4681960
20151203,47.3272,47.9,46.7149,47.1231,5626370
20151204,46.5173,47.6696,46.2671,46.886,7869905
20151207,46.9453,47.7815,46.5108,47.1165,4916936
20151208,47.0112,47.1165,44.5092,44.7199,11900554
20151209,44.7199,45.1149,43.9429,44.3511,8638001
20151210,44.3577,45.7601,44.2194,45.2532,9188128
20151211,45.2532,45.8984,44.2129,44.6013,6784183
20151214,44.2129,45.2861,44.1075,44.8186,4448541
20151215,44.6672,45.2663,44.417,44.8713,5689874
