Date,Open,High,Low,Close,Volume
20150303,350.899,363.6308,347.7937,355.3085,380778
20150304,361.7675,378.5362,361.7675,374.4993,467901
20150305,374.1888,381.0826,365.6648,374.1733,773802
20150309,375.4309,375.4309,364.0966,367.8385,234273
20150310,370.742,378.2257,367.8851,372.7759,443274
20150311,378.0394,378.0394,351.9548,356.0849,410010
20150312,356.6283,363.0097,353.3833,360.9447,355839
20150313,360.836,360.836,343.6327,349.1446,292296
20150316,349.3464,350.6506,331.8946,334.5186,487122
20150317,338.4778,346.7069,336.9718,345.4648,316836
20150318,344.6729,354.967,342.1887,351.9238,860658
20150319,354.6253,358.0412,343.1978,350.635,583482
20150320,350.4487,350.4487,335.357,340.3565,677874
20150323,349.3463,349.3463,336.6611,339.3007,203598
20150324,344.6884,351.3337,338.5088,345.3871,872874
20150325,344.6884,344.8126,336.9251,341.0241,1466277
20150326,338.5088,342.9649,329.3327,333.4317,777348
20150327,336.9251,337.2356,326.0565,328.1992,720297
20150330,329.224,333.3852,319.846,324.2866,735903
20150331,322.9513,332.2361,318.3089,323.2463,1029132
20150401,325.746,338.1672,323.2462,335.0464,376752
20150406,330.7766,349.3929,330.2021,347.1571,736683
20150407,346.5827,359.2833,343.1358,354.1751,374163
20150408,352.8398,367.885,344.9989,364.5002,801918
20150409,364.5002,366.736,350.899,362.5749,412428
20150410,363.3202,376.8748,357.4978,371.5803,562536
20150413,374.7787,384.4362,372.6361,380.7565,625263
20150415,384.4362,384.4362,369.8724,374.1887,435222
20150416,372.6362,374.0025,366.7671,372.4033,486099
20150417,371.9839,371.9839,358.6622,363.2891,235272
20150420,363.3203,365.8045,353.1504,361.9539,187071
20150421,361.9228,366.4255,353.3056,357.3425,1098882
20150422,356.6438,356.6438,345.3094,350.3556,448194
20150423,352.1411,353.6782,334.0061,338.4933,651801
20150424,339.4094,353.6783,335.3725,349.688,479079
20150427,350.0761,355.2154,346.241,349.2221,197199
20150428,350.899,352.3119,337.2512,341.0086,649416
20150429,341.2726,342.8097,316.7407,335.5277,1415148
20150430,338.4778,339.7199,321.0881,326.6,650832
20150504,329.783,330.9941,317.0513,327.2367,650958
20150505,329.6333,342.2397,326.6452,338.9558,1853046
20150506,338.9402,340.5121,330.2714,335.5007,1524756
20150507,336.17,336.17,326.5207,327.1277,441423
20150508,327.2522,342.0841,327.2522,336.6058,331833
20150511,339.2827,348.6208,337.7419,344.6209,333075
20150512,347.967,353.7722,343.1112,348.0916,459054
20150513,348.5274,348.5274,336.2011,337.8197,536637
20150514,339.594,352.2782,339.594,349.7725,343512
20150515,349.8659,364.9935,348.6208,362.9391,194613
20150518,362.9391,379.8098,358.0366,373.1798,275022
20150519,370.4407,377.3508,358.021,360.3089,352860
20150520,361.6941,368.0906,359.5308,364.0286,229572
20150521,366.9078,366.9078,355.2196,360.8692,297153
20150522,365.6938,365.6938,345.5392,351.6401,445206
20150525,357.8654,357.8654,343.0179,344.6676,247311
20150526,348.5896,351.8579,333.1195,339.0181,597861
20150527,338.3489,355.7176,336.5124,352.8851,563904
20150528,354.1303,354.8462,338.0377,341.2437,961893
20150529,345.477,346.9089,322.7855,326.8476,1986024
20150601,333.6798,341.7728,326.8475,340.3098,503976
20150602,342.3643,344.8856,332.2325,334.2713,435501
20150603,338.0375,340.8389,329.9446,338.6134,157440
20150604,336.2011,351.1109,334.707,349.7413,244047
20150605,349.5234,352.8696,345.1345,349.041,1108323
20150608,350.1149,356.5115,346.7532,354.3637,419715
20150609,351.7491,355.671,345.6793,349.0566,181962
20150610,348.6052,353.2276,346.1462,349.399,322773
20150611,351.4221,355.8266,345.6792,350.0681,310890
20150612,350.1771,372.2771,348.1383,350.037,254550
20150615,345.8194,357.0873,345.8194,350.2082,585177
20150616,362.4721,362.4721,347.9982,350.2393,143142
20150617,350.2394,354.5037,346.3329,350.4572,226806
20150618,350.7996,351.7022,347.2355,349.2432,449100
20150619,350.1615,353.2275,341.8974,349.0721,1060587
20150622,345.0412,362.0053,345.0412,360.2466,229488
20150623,357.9899,362.3166,353.2898,356.169,94959
20150624,355.1574,364.1842,355.1574,361.8808,160884
20150625,360.7135,362.0053,355.0951,360.0443,688842
20150626,359.0327,375.0163,357.3363,373.2421,669525
20150629,359.5463,379.6854,359.5463,374.8763,347271
20150630,375.0786,393.0699,375.0786,385.1015,977757
20150701,382.8603,389.0545,366.9856,375.2809,487620
20150702,378.7049,383.763,369.787,371.7947,313938
20150703,373.4756,382.5491,368.5887,380.5414,388263
20150706,380.3702,383.1716,371.0321,377.5221,202941
20150707,376.6349,381.1483,373.5533,378.0045,152055
20150708,372.246,375.0941,359.8264,362.9858,267798
20150709,364.1531,366.332,354.7373,356.2314,425457
20150710,358.5813,365.2891,357.3362,363.9662,338664
20150713,364.1531,370.4096,363.4372,367.4525,347454
20150714,367.8571,375.421,367.2813,374.6272,439389
20150715,374.6428,375.1097,367.8727,374.1759,235020
20150716,374.456,378.8138,367.6081,376.1525,286158
20150717,379.0316,387.5293,376.0123,385.9262,203781
20150720,387.5293,387.5449,376.6349,381.444,155259
20150721,383.4829,385.6152,377.2887,379.5765,396276
20150722,379.4363,385.8795,378.6581,379.7787,234225
20150723,379.7787,387.5293,378.9694,384.6345,245205
20150724,382.8915,385.6306,376.0124,382.5491,957297
20150727,382.8603,390.642,374.5338,382.2689,384600
20150728,379.7476,382.7825,369.787,374.2382,432786
20150729,377.5687,397.4899,376.6349,388.6654,1779150
20150730,395.311,420.835,391.2645,410.9211,1021440
20150731,413.349,435.1534,412.4308,428.3366,1883304
20150803,428.3367,454.1408,426.0333,429.1148,904785
20150804,427.0604,440.1182,412.7421,415.0766,705528
20150805,418.3474,443.8906,417.3506,438.7197,1147182
20150806,440.3082,446.6785,429.8729,431.5239,499578
20150807,435.0127,446.6317,431.5238,436.7415,353403
20150810,441.9903,443.579,433.3462,437.2399,384129
20150811,441.9904,445.3546,426.0882,435.2775,527637
20150812,435.1685,437.2244,421.5403,422.1944,213507
20150813,428.9072,432.0222,398.7538,403.146,379971
20150814,406.5103,414.843,400.3114,402.1649,257037
20150817,402.4607,413.8461,402.4607,404.174,134043
20150818,411.9615,411.9615,402.4607,406.2455,308361
20150819,406.1988,409.8122,393.1469,396.698,248838
20150820,398.7539,413.0518,398.7539,408.7686,653820
20150821,408.6753,420.9952,393.5207,407.071,429420
20150824,401.8378,403.0682,374.4256,380.64,492621
20150825,382.2131,407.585,382.2131,391.9787,893838
20150826,389.4088,407.1333,378.4751,384.0354,783714
20150827,394.7978,408.0522,386.5897,389.1284,763224
20150828,396.8226,411.4009,392.5083,407.2579,812211
20150831,411.2139,428.6269,410.404,415.0298,1532688
20150901,412.3354,420.5279,408.7999,416.3538,560922
20150902,418.0359,439.1713,400.7475,411.6656,1114248
20150903,412.4288,415.0922,399.0342,406.1832,1932603
20150904,405.2642,405.2642,379.4096,380.4064,2618973
20150907,389.0506,389.0506,357.2618,364.2862,1198257
20150908,365.6723,380.0326,359.785,362.2458,457911
20150909,368.8186,379.3006,359.0062,363.0714,638463
20150910,367.8217,383.1476,362.9,376.497,1687365
20150911,381.5901,387.8202,374.1141,380.9827,899229
20150914,380.0949,392.4927,375.0486,389.1596,352437
20150915,395.5765,400.9032,390.9819,397.1652,411066
20150916,398.7227,401.059,381.5901,384.2846,337758
20150918,392.4927,392.4927,364.769,370.1736,919317
20150921,370.1892,378.1014,364.0215,367.6038,538140
20150922,367.884,373.1172,362.9,366.2019,511152
20150923,370.0646,370.0646,359.785,364.3485,372870
20150924,361.9655,369.4416,361.3893,365.8593,656718
20150928,367.043,371.186,358.3832,364.4886,315282
20150929,362.5885,371.4663,362.2147,366.4823,407631
20150930,370.376,381.5901,363.3672,379.9858,1117470
20151001,383.7239,388.2718,378.4751,382.8049,340536
20151005,384.3936,418.9548,384.3936,408.7686,1078818
20151006,408.7375,417.8801,408.7375,411.8525,371817
20151007,412.3042,412.569,397.7882,401.1057,403461
20151008,401.8378,404.2364,393.1469,394.829,223092
20151009,394.7511,401.4951,389.035,391.2623,423111
20151012,392.1812,392.1812,386.9323,389.3465,158610
20151013,392.1189,393.7231,378.8333,385.3748,340032
20151014,384.8609,395.6856,383.4903,387.8202,235791
20151015,387.8201,387.8201,380.2817,381.5433,374319
20151016,381.5901,386.2627,373.8337,375.4847,415278
20151019,376.2946,399.3458,373.8026,376.7152,1607082
20151020,380.0014,387.6021,375.7961,385.11,433317
20151021,385.0166,389.3932,381.5901,387.5865,223680
20151023,388.4432,391.8697,387.3996,391.1221,354270
20151026,397.1652,404.3297,394.0502,400.654,2072721
20151027,399.3457,406.5103,394.0502,402.6165,583839
20151028,404.8905,406.0275,390.2032,400.8098,711732
20151029,403.52,404.9529,392.9756,402.8503,565887
20151030,405.2038,412.1245,390.9415,393.4199,451953
20151102,398.9378,398.9378,389.679,397.3323,141594
20151103,399.0001,404.6427,398.7507,400.9017,315873
20151104,404.6271,404.6271,394.1057,400.1691,719088
20151105,401.7123,406.9028,384.0676,388.9308,690495
20151106,389.6478,412.6077,386.5771,406.1702,756579
20151109,399.343,426.4647,395.9138,421.3676,812169
20151110,420.5416,423.1914,406.2949,411.6725,265740
20151113,412.0621,423.9395,389.6789,391.487,1034634
20151116,391.4871,392.7652,374.1074,375.37,556734
20151117,377.8016,382.883,376.274,379.4382,265512
20151118,382.7738,386.5615,375.9622,377.3651,295011
20151119,378.16,388.0578,378.16,384.2078,744900
20151120,386.5304,386.5304,378.4875,380.6541,488505
20151123,383.1324,387.8241,379.0798,382.8986,322239
20151124,383.4442,392.6406,382.3219,391.1754,298548
20151126,392.7652,395.8982,389.2113,393.6225,678129
20151127,395.9139,404.9388,390.3337,400.2783,1252347
20151130,402.6319,404.0191,379.142,385.0028,1628556
20151201,386.8733,394.8227,386.0939,390.8636,833826
20151202,394.6357,394.9786,385.9692,392.6873,345630
20151203,389.7102,395.4774,379.4538,380.919,422301
20151204,379.0797,381.2619,374.4815,375.8843,385617
20151207,377.521,384.6911,377.521,382.4777,966084
20151208,380.9502,397.4725,380.9502,387.1694,1056852
20151209,390.8636,392.1417,381.5736,386.3901,680775
20151210,386.1874,392.7652,386.1874,387.1694,224406
20151211,389.2113,399.6547,387.4188,393.2484,1681011
20151214,392.4379,397.4726,389.7413,395.2436,528627
20151215,397.4725,412.748,395.3215,409.537,1935702
