Date,Open,High,Low,Close,Volume
20150303,581.8791,588.4362,573.107,584.4814,753348
20150304,584.2183,585.9581,564.5908,567.6684,465680
20150305,568.1363,571.6451,549.3714,553.3262,579547
20150309,551.9079,556.7325,540.9429,542.4706,416679
20150310,542.4049,548.019,537.2878,540.7747,396550
20150311,540.5043,544.0131,532.2001,541.0891,250007
20150312,543.8669,552.4927,542.7923,546.959,303798
20150313,547.7047,553.6624,528.662,536.4838,838350
20150316,539.4809,543.8304,534.0715,539.8245,183722
20150317,541.6958,544.8902,536.491,541.7104,310693
20150318,542.6974,542.6974,533.9253,536.4546,309559
20150319,537.7264,545.1534,525.5918,528.0772,343525
20150320,528.0772,532.1708,519.0127,528.5816,350031
20150323,532.8947,538.75,523.3697,530.6724,313234
20150324,527.8067,535.0947,523.3987,525.3578,377892
20150325,525.5918,531.7103,519.1663,521.9953,601225
20150326,520.4747,526.4689,515.8913,518.8884,1163113
20150327,517.8724,526.1766,517.5507,521.7833,361036
20150330,522.675,536.2571,519.7437,530.8696,524111
20150331,531.0012,534.3565,525.3432,529.5903,552354
20150401,532.1708,544.7002,524.8607,540.0729,266456
20150406,541.0891,545.3289,537.6095,540.6651,190871
20150407,541.1329,553.3699,537.2075,550.636,431870
20150408,548.9839,557.025,548.9839,555.5995,286760
20150409,557.0249,558.9694,549.8538,550.943,213696
20150410,551.1769,556.1404,548.5453,554.4957,172200
20150413,554.2545,555.5631,547.8217,552.7122,184902
20150415,553.37,559.4959,552.8072,556.2356,276754
20150416,555.7092,559.2545,539.649,545.3289,636409
20150417,545.3289,547.6681,530.7088,533.2234,462939
20150420,531.4398,539.1738,523.5669,528.0772,439569
20150421,527.7849,536.4107,521.3521,531.3083,489419
20150422,531.3081,542.4048,529.9777,536.5567,364386
20150423,538.0042,541.6739,525.738,532.0685,288361
20150424,532.3609,540.1534,526.3448,535.5408,165090
20150427,535.1095,536.2645,524.2248,528.3257,504150
20150428,527.2,532.741,519.9046,529.7877,501636
20150429,526.7834,539.4809,516.8271,526.2424,443756
20150430,525.5991,529.2468,521.5274,524.7585,1039784
20150504,523.5449,533.4865,518.289,529.9777,829536
20150505,526.9807,529.9778,519.751,523.4718,452512
20150506,522.6677,525.0362,506.147,508.4863,706933
20150507,506.147,515.767,503.3692,513.2451,257545
20150508,515.767,515.767,508.0476,510.7012,422007
20150511,513.1647,521.7905,510.884,519.9996,158467
20150512,520.3286,522.6678,507.6091,509.9702,649863
20150513,512.4338,519.7438,506.5858,513.7788,209289
20150514,511.9951,519.5975,505.2991,516.1252,152803
20150515,514.6633,523.5011,514.6633,519.0493,218414
20150518,518.5888,522.6532,516.9148,519.254,354380
20150519,520.4747,527.9309,516.381,524.9338,493969
20150520,525.4018,531.396,523.3915,525.6503,264142
20150521,528.5012,539.2543,522.9894,537.361,476931
20150522,538.3113,540.6505,529.9778,532.2366,195764
20150525,531.4398,536.8492,519.3636,521.5931,148940
20150526,522.6677,526.849,519.0126,522.2583,194863
20150527,520.4748,529.2469,519.159,523.2088,504072
20150528,523.7496,524.5976,512.0097,513.4351,897111
20150529,514.6267,535.4457,514.6267,532.2659,569878
20150601,532.2659,538.0188,527.2,528.2892,186950
20150602,527.7848,528.7058,510.2407,512.0463,318703
20150603,509.8021,510.8913,496.0592,498.0621,342792
20150604,500.1967,505.7815,496.3589,504.2318,320453
20150605,500.5987,507.0242,497.0826,498.391,400964
20150608,499.1001,502.7625,493.2813,498.0182,171137
20150609,497.0826,506.5564,497.0533,503.4131,219334
20150610,502.9307,507.7553,501.7684,504.4073,259547
20150611,504.5607,506.0008,489.7726,491.9436,461837
20150612,491.3954,493.4275,485.4157,490.5474,277019
20150615,490.5035,493.5665,486.1175,489.8018,373790
20150616,488.3106,495.4817,486.1176,492.7917,287259
20150617,493.1206,498.5446,489.2609,492.1557,300156
20150618,493.2741,495.3282,489.9188,492.1922,346998
20150619,493.3034,497.8136,491.9656,494.7727,288374
20150622,495.2843,499.8312,492.989,496.8853,420088
20150623,498.5446,503.8078,496.3004,502.0241,315327
20150624,502.0534,508.7787,493.7785,497.1264,704172
20150625,497.0826,500.7377,494.8896,497.9379,677296
20150626,498.106,502.7844,495.6352,496.6659,373343
20150629,494.8823,495.0285,482.6088,493.0256,429926
20150630,493.0255,505.1237,489.9553,503.2888,181033
20150701,503.3766,516.0887,501.1982,514.1151,283818
20150702,518.8518,518.8518,505.7084,507.3312,226508
20150703,505.4599,514.6267,505.4599,512.6896,248076
20150706,507.609,522.5141,507.1704,520.5843,344179
20150707,520.7671,527.4339,520.7671,522.4265,286462
