Date,Open,High,Low,Close,Volume
20180402,467.0726,478.3798,463.0551,475.9982,352730
20180403,472.5813,475.0664,466.5135,467.4454,115130
20180404,468.0253,472.1671,461.8126,462.1853,163364
20180405,464.7119,468.543,459.5346,461.3777,149988
20180406,457.0496,463.4072,455.6207,456.7803,146026
20180409,455.8069,460.57,455.8069,457.4429,119028
20180410,459.6589,459.7418,452.3072,456.5526,107306
20180411,456.4283,458.085,453.529,454.4817,79912
20180412,453.9432,454.7923,447.3577,449.8635,109438
20180413,461.8126,476.309,457.7122,465.1468,289764
20180416,465.9545,480.4094,465.5403,475.4392,270532
20180417,479.2082,482.1075,472.9955,474.8179,123586
20180418,477.9658,478.38,465.9545,468.0254,83918
20180419,471.3387,477.7171,467.6525,472.602,101248
20180420,472.6641,474.6108,463.0551,466.1822,69878
20180423,468.8538,475.8949,464.8569,468.5639,79814
20180424,471.3181,474.031,468.0254,468.3567,60078
20180425,468.4395,474.6109,465.0639,466.1408,69828
20180426,466.7828,471.3388,465.9545,468.2117,32780
20180427,469.1229,470.0755,464.7119,466.2858,33144
20180430,469.8477,469.8477,463.4693,465.6851,37230
20180502,463.4694,468.833,460.2595,461.502,37722
20180503,461.4192,461.8127,451.1267,453.529,38088
20180504,457.6708,457.6708,451.458,452.9284,24564
20180507,451.6652,464.7326,448.1654,458.9755,42232
20180508,457.7537,463.428,455.1857,457.4016,25240
20180509,455.5998,457.2358,451.458,452.8869,19522
20180510,451.4581,452.2243,448.973,449.615,25424
20180511,450.4226,451.8723,443.6508,448.6416,32238
20180514,448.1446,450.609,440.6894,441.7041,35344
20180515,445.2454,448.8281,435.5121,437.1067,30794
20180516,436.7546,438.1628,431.9915,432.53,206278
20180517,433.2341,435.16,427.829,430.6454,19002
20180518,432.4058,432.4058,426.628,427.7877,23104
20180521,427.4148,427.4148,417.9094,423.0245,51328
20180522,424.5362,426.193,418.8412,423.273,21616
20180523,422.4653,424.122,416.6668,420.6636,23970
20180524,420.3944,420.4566,416.2733,417.8058,20556
20180525,417.4951,424.5362,416.4804,423.6043,27830
20180528,422.4653,436.9617,422.4653,431.7223,45700
20180529,428.6781,435.305,428.6781,434.3524,17038
20180530,431.9915,454.7715,418.7377,447.8754,169116
20180531,449.3872,455.165,433.4412,437.8315,684704
20180601,434.8908,434.9115,425.5925,426.545,31148
20180604,430.7489,430.7697,420.3944,421.8647,20846
20180605,422.0512,422.0719,410.0192,411.5931,42304
20180606,410.0399,415.9834,409.6258,412.8978,18688
20180607,412.525,418.3235,412.525,413.9953,21514
20180608,412.3386,413.7468,409.0044,410.2263,27042
20180611,410.2677,411.9866,407.5548,408.8388,29734
20180612,409.0044,410.8682,401.2178,403.3094,46224
20180613,400.9279,405.8774,399.0641,399.4576,38652
20180614,397.6145,417.4952,393.0792,403.0402,412558
20180615,401.777,403.8272,397.6144,401.135,27064
20180618,400.0996,401.135,391.671,392.9963,32204
20180619,392.2508,393.8662,384.7127,385.2719,35686
20180620,385.6032,387.6534,382.2897,383.1595,30550
20180621,383.1595,383.9464,377.3195,377.7337,35406
20180622,377.361,381.4407,371.1068,378.7278,55906
20180625,376.9053,378.5414,371.9352,373.1777,20008
20180626,371.1068,371.521,366.5715,367.3999,36168
20180627,364.4799,366.7165,356.1963,358.3914,54490
20180628,356.217,356.217,347.9127,349.528,45704
20180629,349.5486,352.0544,349.1552,349.735,26608
20180702,349.6522,364.045,345.0755,355.575,38980
20180703,354.9537,355.575,348.7617,349.7143,18650
20180704,348.3683,350.7084,345.8418,346.5666,21490
20180705,345.8417,347.8505,342.1141,342.9424,16684
20180706,341.6999,346.1731,341.2857,343.2531,27932
20180709,343.7708,344.8477,339.6497,340.6852,19422
20180710,339.629,354.4981,339.629,351.2675,43264
20180711,350.9155,352.0338,346.0696,347.6435,18542
20180712,347.6434,351.6195,342.9424,344.4335,15372
20180713,342.549,348.2647,338.8213,342.4247,26036
20180716,339.2976,341.2029,336.3155,336.9782,18462
20180717,335.9014,340.7266,334.6588,338.0758,39086
20180718,336.6883,337.5167,331.9873,333.0642,19868
20180719,333.0021,335.073,327.8455,328.6325,25722
20180720,328.8396,328.8396,323.0617,325.1534,36970
20180723,323.0824,325.0705,318.9406,320.2453,29158
20180724,320.5766,326.2095,319.7483,323.9729,24700
20180725,324.3043,330.5585,324.3043,325.5262,22476
20180726,323.8902,329.2745,320.9909,323.9109,27854
20180727,322.6476,329.7508,322.6476,326.9136,25988
20180730,327.6177,374.3374,327.6177,368.7045,277582
20180731,372.3494,404.6141,371.521,401.1764,603636
20180801,405.0697,410.4126,396.931,405.8773,233110
20180802,402.564,405.0283,388.8338,396.5997,63904
20180803,397.6145,404.3242,393.4726,398.7949,36284
20180806,402.7917,402.7917,390.9254,395.8127,41678
20180807,391.4017,415.1758,391.4017,403.0817,118838
20180808,406.7057,407.5548,400.1202,402.8539,31618
20180809,399.6853,419.5661,397.6766,408.4246,105504
20180810,408.3832,409.2115,401.2592,404.5727,31512
20180813,396.3097,413.7675,396.3097,407.4926,144522
20180814,407.1406,407.1406,398.07,398.7327,21722
