Date,Open,High,Low,Close,Volume
20150303,255.5036,263.4952,252.2613,258.4719,2032666
20150304,261.1205,264.8195,248.3339,254.1335,1938459
20150305,254.8186,257.4672,249.7039,252.7636,571934
20150309,252.2156,260.8922,247.9686,259.7505,1597199
20150310,260.2986,265.6872,257.5129,261.8055,1154212
20150311,263.0386,266.0525,257.0106,258.5633,1603729
20150312,259.8419,269.3405,258.9285,268.7012,1468191
20150313,269.8885,273.3592,264.2259,268.7469,2694057
20150316,268.5185,275.2315,261.7142,269.5688,2217917
20150317,271.1671,273.8615,267.2398,272.8112,1631895
20150318,272.8112,273.3135,266.4179,271.0758,2291214
20150319,273.9071,279.2501,271.9891,273.6788,1786061
20150320,273.0852,275.8252,268.6099,274.3638,1328149
20150323,274.3639,288.4748,273.9072,286.5568,2728886
20150324,287.2417,288.3377,276.5101,278.1541,1572199
20150325,279.2958,281.8988,273.1765,277.2865,1690102
20150326,277.1951,285.8718,273.9985,282.0815,1905101
20150327,282.9948,283.4971,272.9938,276.9668,1870496
20150330,278.5651,282.675,277.2864,281.8987,795726
20150331,282.6751,283.6341,276.0992,278.7935,723425
20150401,277.6518,282.6294,277.1951,278.4281,580787
20150406,278.6565,283.4971,276.5101,277.7888,1406302
20150407,278.5194,279.2044,275.1858,276.4188,640602
20150408,278.0171,278.0171,266.9202,268.2445,1022645
20150409,268.8838,269.2491,258.8372,260.1615,1709240
20150410,261.2119,268.8839,260.5726,267.1486,2582514
20150413,267.5596,271.4869,265.0022,268.4272,1028282
20150415,269.6145,270.8474,263.1298,264.5912,1151958
20150416,265.6415,267.3769,261.4859,263.1755,938691
20150417,263.4039,265.3675,260.2986,260.9379,957354
20150420,260.2986,269.3405,257.7869,265.6872,1301665
20150421,269.7972,270.3452,261.6686,263.4952,1338084
20150422,264.7282,266.5549,257.0106,264.4542,1000321
20150423,265.7786,272.5372,263.3126,263.7236,920184
20150424,264.8652,264.9566,252.5353,255.3209,902525
20150427,255.7319,255.7319,243.128,246.0963,2196270
20150428,245.3199,254.7729,243.4933,252.7636,2015471
20150429,253.9052,259.7505,252.9919,256.5539,906594
20150430,256.4626,257.7412,252.9919,255.5492,2073775
20150504,257.0106,262.9016,255.7319,262.2622,560922
20150505,260.2986,268.3815,260.2986,265.9612,815861
20150506,264.5912,269.3404,249.0189,255.5949,1280899
20150507,253.9052,265.2305,246.5986,256.3256,902482
20150508,260.3899,262.8558,252.0329,254.5446,703016
20150511,252.9919,268.1988,246.1419,260.9835,5061107
20150512,258.4719,268.7469,255.458,259.9789,1924738
20150513,260.6638,263.4951,251.2566,255.5949,2145572
20150514,255.8232,256.3712,252.0329,252.9005,790611
20150515,253.4486,254.3619,245.868,247.1923,1520517
20150518,247.8772,248.1512,242.0319,246.8269,1438844
20150519,246.827,251.5306,245.731,247.375,1251139
20150520,250.6173,250.6173,244.8633,246.3246,866746
20150521,246.553,248.6993,244.5436,245.7766,1010899
20150522,246.4159,248.3339,243.3106,244.8176,1738878
20150525,244.8633,246.553,241.9863,243.813,673364
20150526,243.8586,247.8316,243.8586,246.4159,892044
20150527,246.1419,250.1606,245.32,247.4663,880398
20150528,247.512,249.2473,244.1326,247.8316,602620
20150529,248.8363,252.5352,247.238,251.8503,1680703
20150601,251.1653,255.4123,250.4803,252.8093,782209
20150602,252.8092,255.2752,249.2016,250.9826,919391
20150603,249.7953,252.307,246.279,250.5717,1147242
20150604,250.0693,256.0059,247.6033,252.855,791012
20150605,253.0376,257.5586,251.6219,253.8596,583483
20150608,253.7226,253.7226,246.6443,248.745,724985
20150609,246.553,249.3386,234.8167,246.964,1445869
20150610,248.4253,250.9369,244.1783,246.5986,865826
20150611,248.6079,250.2063,242.032,242.9909,422233
20150612,242.58,248.6993,238.6983,243.539,619359
20150615,246.279,247.8317,240.8447,242.717,451432
20150616,243.7673,248.7906,240.8446,247.6033,695957
20150617,247.0096,250.5716,243.265,247.0096,1037008
20150618,249.5213,256.4169,248.4253,253.6769,1360194
20150619,254.2706,262.7646,252.9919,260.8009,761342
20150622,264.6825,265.7328,259.5678,261.4402,1329299
20150623,262.4449,266.6919,261.6229,265.7329,891144
20150624,265.8242,266.1439,261.1206,262.2166,941226
20150625,262.4905,264.3628,253.9966,258.2892,1447798
20150626,258.2893,263.4953,253.6313,262.308,727745
20150629,259.3543,261.5695,251.9706,260.0004,653548
20150630,259.3544,262.5848,250.8169,260.8773,1391668
20150701,261.5233,267.4765,259.1236,265.446,574301
20150702,266.7381,270.2915,263.9692,264.6614,700477
20150703,265.8151,266.2766,259.7696,261.5233,570494
20150706,256.5854,266.5535,255.9855,264.9383,645536
20150707,264.2,278.7367,264.2,276.1986,1354933
20150708,274.1219,281.9671,272.9681,278.3675,1499742
20150709,280.0289,280.0289,274.1219,275.2756,690940
20150710,276.8907,277.7214,272.2759,274.6295,570678
20150713,275.9678,276.4293,272.5528,274.6756,632480
20150714,276.7984,279.5673,274.2603,276.1062,841874
20150715,276.8908,281.321,274.6757,276.6139,740982
20150716,277.8137,280.1211,275.9677,277.9983,497443
20150717,279.6596,286.1204,279.0597,283.9976,1325307
20150720,285.1053,288.7048,283.4439,286.259,1049309
20150721,288.5664,288.5664,272.5529,274.5373,664276
20150722,273.2451,279.6598,272.6914,276.9832,628018
20150723,277.8137,285.0129,275.5986,280.8134,837914
20150724,280.7673,282.0133,273.2912,275.091,492885
20150727,267.6611,267.6611,256.5855,261.2465,2064366
20150728,261.2003,262.8617,253.3551,254.1858,937075
20150729,254.7395,258.3391,251.2784,252.1552,681882
20150730,253.4473,258.4314,252.8936,256.9546,740314
20150731,259.1698,261.3388,255.9855,257.6007,627460
20150803,257.5084,257.9699,254.0473,255.8009,570059
20150804,257.37,258.5237,250.7708,251.6015,639251
20150805,253.4935,258.2468,250.3093,256.2624,799374
20150806,258.616,258.616,253.9088,255.7547,555311
20150807,254.2319,259.0313,253.8627,256.1701,719636
20150810,256.1701,259.7235,254.3703,256.4008,486969
20150811,256.5393,257.9699,251.9706,254.5088,418453
20150812,252.8936,253.4474,247.8172,249.617,605985
20150813,251.0015,255.5701,242.8332,250.7245,1170014
20150814,252.8936,254.4627,249.2017,249.9401,627385
20150817,250.1247,250.1708,245.5098,246.3405,482238
20150818,247.3558,254.7395,246.5713,253.7243,537037
20150819,253.8165,254.0011,247.4019,248.5095,534277
20150820,248.5095,250.0786,244.6792,245.6483,700207
20150821,243.2024,248.7402,235.3571,245.5098,506030
20150824,239.3721,244.1715,225.1122,228.2964,1168021
20150825,231.6653,241.0334,226.589,236.7878,1597619
20150826,236.0032,241.8179,232.0806,239.0952,1193260
