Date,Open,High,Low,Close,Volume
20150303,396.3373,399.0498,387.3704,396.3763,4306688
20150304,397.5082,400.3768,394.1908,397.3131,3430308
20150305,397.3131,404.9041,397.3033,402.9722,3448716
20150309,401.3623,404.9041,392.4344,403.1088,6555768
20150310,401.0207,403.7527,395.7518,398.9034,5425488
20150311,401.9964,413.1001,397.2252,401.811,10074260
20150312,402.9722,405.7628,398.5327,400.572,4880440
20150313,401.7623,401.8014,386.5899,392.7467,6368968
20150316,394.1908,403.1674,393.0199,401.4111,7937836
20150317,403.3235,403.7333,396.7276,397.918,10007444
20150318,398.0936,400.5817,389.3219,391.566,18927840
20150319,386.385,392.7857,379.3598,382.3455,10163240
20150320,382.4627,384.4336,376.9206,382.4431,6271108
20150323,382.6968,385.4483,375.3593,377.9548,3897136
20150324,378.1889,382.0918,374.8129,378.7158,5298696
20150325,379.3597,397.2349,378.2279,393.0783,7518574
20150326,392.6296,394.1908,381.7406,385.3703,7048128
20150327,383.8091,391.4588,372.6859,375.7887,4280330
20150330,377.0181,384.9019,373.3104,382.6578,3275064
20150331,382.4821,384.0628,377.4084,382.6382,3726676
20150401,369.6026,375.8472,364.9192,367.2023,8281168
20150406,364.1386,366.4803,356.0011,363.7678,7728748
20150407,366.7926,373.1152,361.9725,364.7436,4348138
20150408,368.8025,378.1889,366.8706,374.2275,3587334
20150409,378.1889,378.1889,367.2608,376.296,2674132
20150410,374.4032,381.5845,373.1153,377.506,2837478
20150413,377.7596,381.8966,372.7249,380.9404,3099142
20150415,381.7015,381.7015,366.3827,368.6269,3098572
20150416,370.3832,373.8568,364.3337,372.4322,2057382
20150417,369.9929,371.0467,364.7045,366.9096,3138232
20150420,368.822,369.8758,356.1572,360.743,3223104
20150421,328.154,359.0648,325.9293,347.6098,14596284
20150422,345.2096,348.0978,336.8574,342.3995,7934682
20150423,344.5461,353.9911,344.3315,349.3076,6391380
20150424,349.3076,357.8541,347.8963,351.6403,6406490
20150427,351.2875,355.1687,342.643,346.2498,3789232
20150428,344.4659,346.4653,334.9393,341.2708,5803656
20150429,341.2708,350.1701,336.5467,347.8179,4076096
20150430,345.8186,348.1316,338.1346,345.2109,7338470
20150504,345.2108,363.323,339.4282,360.5984,3352524
20150505,361.8528,364.2051,354.8549,357.5208,3459534
20150506,355.5998,362.9506,345.0736,349.3664,4595278
20150507,351.307,362.6174,345.0344,360.9708,3639964
20150508,363.5975,371.9479,359.089,362.833,3579368
20150511,366.3614,372.242,362.0097,369.2625,3592212
20150512,369.3018,369.8702,356.9525,358.9715,2464630
