Date,Open,High,Low,Close,Volume
20150303,502.5063,505.0733,498.1586,501.0725,3014674
20150304,511.0861,513.0749,490.2726,492.724,6138812
20150305,492.5852,504.1483,491.4289,501.8819,4851226
20150309,498.1587,500.3557,488.4226,489.8102,2877904
20150310,491.1976,491.3133,483.3348,486.8268,2567418
20150311,486.0637,491.1514,485.6474,488.6306,2732768
20150312,490.3188,492.0764,486.1561,487.7749,3765418
20150313,490.2727,492.1227,478.5246,482.2479,2713390
20150316,483.3348,489.3013,482.1785,486.3643,2674386
20150317,490.2726,493.0015,482.3404,489.3707,2684652
20150318,490.342,495.7766,487.1274,491.9146,2574166
20150319,495.3603,496.6554,485.0461,486.6649,2686786
20150320,486.1099,490.0413,483.7741,488.3762,3241618
20150323,488.3994,489.9951,483.7973,484.6068,2723370
20150324,482.5486,488.8851,478.9177,480.074,4486782
20150325,481.0453,484.1211,476.9057,478.3627,5304450
20150326,474.9632,477.4145,463.4927,465.7359,17900310
20150327,469.4361,473.4137,466.2678,469.2973,5420448
20150330,471.7718,480.5597,468.4416,479.5884,3477572
20150331,480.9759,480.9759,469.3898,473.0206,2981128
20150401,474.5931,479.5652,468.5341,477.9001,1922098
20150406,478.7095,479.5652,471.6792,477.2988,3575586
20150407,477.9002,480.1896,473.46,477.6689,3098536
20150408,481.0453,482.1553,476.4201,478.964,2053072
20150409,480.2128,489.8101,476.397,488.4688,3501392
20150410,487.035,487.035,478.6402,482.2479,3059662
20150413,481.0222,483.9361,478.6171,480.4672,2281618
20150415,481.0222,485.0461,474.1768,477.1601,2446998
20150416,475.4719,478.0389,470.8467,476.2351,2805060
20150417,474.1306,475.4026,469.9448,470.9624,2024506
20150420,471.7718,474.0844,463.7239,464.8802,2594440
20150421,464.834,469.1817,460.4863,463.9089,3255372
20150422,465.5277,472.2343,459.5149,468.5803,3382968
20150423,471.7949,473.7143,465.3427,468.7654,4813914
20150424,471.263,471.3092,462.6832,465.5046,3602622
20150427,465.7359,468.3029,460.6713,465.0421,3685352
20150428,462.3132,467.8172,457.9424,464.6258,3971054
20150429,464.3714,466.9153,456.9711,459.3531,3931782
20150430,458.3586,460.2087,452.8315,457.3411,7571842
20150504,459.7693,466.9153,458.8212,462.9608,1570724
20150505,462.0819,464.3252,455.9766,456.8092,2569002
20150506,456.7398,456.7398,446.5643,448.9232,5503848
20150507,447.7206,448.6457,436.7126,439.9965,5868332
20150508,444.7142,456.8785,441.8929,454.1959,5785966
20150511,456.0691,459.168,450.5189,458.0349,3365672
20150512,457.8961,457.8961,447.2581,449.5476,5553784
20150513,451.3514,459.4687,449.3857,458.0117,3895924
20150514,457.4336,460.1394,450.4958,458.3818,2227594
20150515,460.1624,461.3881,455.2135,457.9423,4076812
20150518,460.6712,468.0715,458.8211,467.0771,2856652
20150519,465.4583,470.8467,461.6425,466.0134,2393174
20150520,466.9846,474.9169,466.9384,473.645,2004420
20150521,473.6218,476.3969,469.5054,473.9456,1967190
20150522,473.9456,475.9344,471.0086,473.7606,2344768
20150525,475.657,476.8595,470.6617,473.4137,2184530
20150526,473.83,476.4895,470.8698,475.1944,2453172
20150527,473.5293,481.0222,472.4193,480.1665,1609296
20150528,480.5828,482.7335,472.7893,476.1195,4780580
20150529,476.3738,487.4975,475.0788,485.9018,2529340
20150601,485.1617,488.4225,476.8595,479.2646,1920660
20150602,480.2821,481.1609,464.7877,466.5915,2363004
20150603,466.684,470.3842,461.5963,465.0883,2912416
20150604,466.6146,470.7773,460.2087,469.436,2778794
20150605,467.2622,471.078,463.6776,467.956,3376930
20150608,464.487,468.1872,460.4631,464.117,1905998
20150609,464.834,465.2965,461.1801,463.377,3020130
20150610,461.5963,471.3092,461.1337,469.7366,3993124
20150611,470.6617,471.1011,460.07,462.6138,4547088
20150612,462.9839,467.5397,457.9655,466.7534,3264172
20150615,463.4463,468.881,462.5213,464.9264,2999914
20150616,462.5213,467.3547,461.1569,466.4065,3005262
20150617,466.684,468.7654,462.2901,464.6952,4843134
20150618,465.2502,473.5293,463.562,471.5867,4215858
20150619,473.9919,478.6865,468.6036,476.6283,1871162
20150622,477.3682,488.8387,475.7031,484.3292,2724826
20150623,486.5724,490.8276,482.1785,486.6187,2827590
20150624,487.4974,489.255,482.2709,483.7048,3133698
20150625,484.8379,495.2909,482.2478,492.5852,8286784
20150626,493.5102,495.3372,486.3412,491.5908,2823752
20150629,483.2885,491.0819,476.6281,488.7231,3243918
20150630,486.6881,495.8229,484.7224,493.5797,3645068
20150701,490.897,498.1355,490.2958,495.9847,2485594
20150702,496.2876,497.5458,491.9305,493.1188,2241722
20150703,491.185,501.4835,491.185,500.5981,2019644
20150706,495.845,505.6077,494.0742,504.9087,1633890
20150707,502.5786,508.6366,502.5786,506.4697,2070736
20150708,502.8582,503.5572,496.7537,498.0818,2700338
20150709,495.2159,501.8331,494.0043,500.505,1398982
20150710,498.5244,510.2676,497.9186,508.2871,2450044
20150713,505.6076,515.3469,505.6076,510.8034,3538042
20150714,510.5005,513.4829,506.0735,508.7996,2837058
20150715,509.3357,513.2734,508.3105,511.0599,1924702
20150716,512.0384,521.4516,511.7122,519.4478,3655212
20150717,521.6379,522.7329,515.2071,517.5138,1755494
20150720,520.0301,521.4514,515.8594,519.7039,2275634
20150721,520.3098,525.6455,509.3822,511.6889,5514068
20150722,510.92,520.5429,507.3085,519.308,3643200
20150723,518.609,520.3797,512.6442,516.279,2541586
20150724,514.0654,519.5875,512.8305,516.2556,2380504
20150727,514.4149,514.6945,498.6175,510.6636,1664286
20150728,509.8016,519.075,509.0793,516.5586,3172836
20150729,514.9742,520.939,514.9509,516.4887,1971516
20150730,515.8595,520.5195,513.1101,517.5138,4731094
20150731,519.8672,522.3836,513.9956,518.0265,2824750
20150803,518.5391,520.7526,509.5453,510.454,2172864
20150804,511.7121,513.5295,504.1862,506.2832,2695464
20150805,508.9394,511.5257,505.7007,508.9627,2061390
20150806,508.823,513.2267,505.8173,510.7103,1871856
20150807,509.7782,511.4325,507.2851,509.1725,1613570
20150810,510.2676,515.3702,507.0056,510.1045,1977188
20150811,510.2908,512.0616,505.258,510.1277,1363844
20150812,507.1921,510.221,497.5459,498.8274,3002870
20150813,501.8796,504.5358,497.0332,502.1359,1732526
20150814,504.7221,514.2984,503.231,513.4363,1800830
20150817,512.1549,513.4364,501.3205,508.6366,1250106
20150818,508.6831,510.7801,502.5552,506.2366,928658
20150819,505.5376,506.5395,500.9476,504.1396,1502288
20150820,497.6856,505.4911,497.6856,500.8078,1522426
20150821,495.8216,499.9923,489.7636,494.5634,3879486
20150824,486.8279,486.8279,471.2403,474.8751,7343164
20150825,477.5079,481.0495,468.654,474.5954,6173960
20150826,474.1062,479.5117,470.1918,472.2888,2786500
20150827,477.6478,482.0514,470.2384,476.2964,6936716
20150828,480.467,485.9192,475.0382,479.0224,2776568
20150831,475.8303,481.3291,473.244,478.7894,1720730
20150901,475.9235,475.9235,462.7358,466.0444,5234572
20150902,468.3744,472.4985,459.0078,463.7377,4340844
20150903,467.0696,472.9877,465.5318,470.7975,3253684
20150904,467.023,468.7938,456.6778,464.1571,5702296
20150907,466.4638,470.5645,456.6778,458.7515,2690870
20150908,459.8,470.6577,455.2798,467.885,3722244
20150909,472.7547,477.6477,468.3278,473.5935,3276560
20150910,467.3958,473.8965,464.2736,471.1238,2231870
20150911,472.7547,475.3177,469.1665,470.8907,2150880
20150914,470.1219,476.3896,467.6288,475.178,2530172
20150915,474.3625,475.1547,469.7724,472.1257,2166364
20150916,474.8051,479.0923,471.38,476.8788,2127026
20150918,482.3077,494.8896,480.5136,489.1811,3920584
20150921,483.6824,491.6277,482.9368,490.6724,2138344
20150922,489.321,493.9577,477.7876,480.2806,3012606
20150923,474.9449,490.9053,474.6886,488.9248,2580576
20150924,487.8996,491.1616,482.7736,489.95,4126418
20150928,491.6277,493.9577,486.0823,487.6201,2888554
20150929,480.9098,500.4351,477.6944,496.1945,5209420
20150930,497.6857,500.0157,494.5868,498.0585,4513898
20151001,501.0408,501.8331,493.6548,497.5226,2517394
20151005,501.9728,514.8344,501.9728,511.8287,4026686
20151006,515.8596,516.279,504.6756,506.0503,2379482
20151007,507.0056,511.8286,504.8387,506.8891,2193134
20151008,507.0522,508.2638,501.134,504.7222,1940954
20151009,510.2676,510.2676,503.3708,506.1435,1721614
20151012,506.8657,510.5005,502.2524,503.5339,1108670
20151013,501.204,504.2795,500.1088,501.5767,911826
20151014,498.0584,506.3065,497.2429,505.491,1374574
20151015,505.9338,510.9666,503.7437,505.2116,1962976
20151016,507.9375,513.2965,505.6076,512.6208,2421844
20151019,512.5975,513.5761,509.9413,511.5723,1327110
20151020,511.6656,513.949,508.4968,510.221,1925678
20151021,512.0851,514.4617,505.6077,510.2677,3636602
20151023,512.3413,518.9818,510.7336,516.5586,2233524
20151026,519.0983,519.2148,511.1996,513.2966,2443992
20151027,510.5239,519.1215,510.5239,517.6769,4492016
20151028,514.9509,523.7815,514.9509,517.9565,3847380
20151029,517.2576,519.3546,512.5976,514.252,3351184
20151030,513.5295,518.1895,508.1472,512.4111,4048730
20151102,510.2909,510.687,501.6466,504.7222,1578276
20151103,508.3802,508.8695,502.9047,505.5609,1274296
20151104,507.961,511.7122,502.4622,504.0698,1348222
20151105,502.5786,504.6755,498.3846,503.2076,1798476
20151106,503.6038,507.4716,501.0642,503.6971,2940502
20151109,493.0257,498.4546,489.7637,496.1945,5714716
20151110,493.9809,496.2876,490.4393,491.4412,2201290
20151113,489.0181,491.6277,485.1037,490.253,1970014
20151116,488.7152,496.2876,487.0842,494.4003,2367366
20151117,495.4955,495.7285,489.8569,494.3305,1283702
20151118,494.7498,496.6837,487.5735,488.6453,1223360
20151119,491.6276,499.0602,489.1112,498.105,1638840
20151120,496.2411,503.3942,493.9577,499.0138,2324080
20151123,500.4816,501.1806,493.515,496.7769,1704140
20151124,496.4042,500.2486,494.9362,495.9847,2001126
20151126,493.4916,497.2196,489.8102,495.7983,4395742
20151127,496.2177,504.3027,494.4003,502.998,3462536
20151130,502.9048,503.7436,498.4779,502.2292,2623888
20151201,501.9029,505.561,500.2486,504.6756,947666
20151202,507.9376,509.1957,499.4797,502.2524,1281142
20151203,499.7826,503.7436,497.3594,501.7631,1903856
20151204,500.2952,500.2952,492.0936,493.445,2929914
20151207,497.7788,499.1302,494.4702,494.8663,2907404
20151208,494.4237,494.8431,487.8997,488.9482,2451330
20151209,487.9463,492.5597,486.8978,488.1094,1945308
20151210,486.9677,495.4488,485.7095,494.2372,3257170
20151211,493.9577,494.2372,485.5697,487.5968,1516960
20151214,485.1036,493.8877,484.6842,491.6509,2939008
20151215,490.6957,495.0994,487.1076,493.7014,2278708
20151216,495.3556,500.1786,493.6547,497.3594,3421384
20151217,500.435,505.1416,496.2876,503.3941,2439006
20151218,505.6075,505.6075,497.9186,500.0156,1586064
20151221,499.4331,503.231,498.175,501.134,1548750
20151222,500.7146,501.6466,495.8216,496.9633,1214768
20151223,499.8292,502.3223,498.2215,500.5282,1506984
20151224,501.5068,501.6,497.8254,500.4816,1073176
20151228,500.4817,503.2311,497.5692,501.9962,3877714
20151229,502.7884,503.2078,499.2235,502.3224,2115806
20151230,503.2776,504.1863,499.8059,500.6214,1056280
20151231,500.9476,505.561,500.9476,504.2795,4645004
20160101,504.396,508.0541,501.4835,507.3551,1597538
20160104,505.1416,505.1416,497.7322,498.8506,2593768
20160105,498.7108,500.8544,494.5867,495.076,1580436
20160106,492.3966,501.7632,492.3966,497.2663,2082768
20160107,494.0041,496.241,489.1578,492.1867,3027714
20160108,494.8664,496.0547,492.6762,495.0528,1744178
20160111,490.253,494.4236,487.1075,493.3052,1644456
20160112,495.775,495.775,486.2686,487.8763,2129368
20160113,490.2296,495.2391,483.2396,494.0275,2257574
20160114,489.3675,492.746,484.4046,489.1811,3139592
20160115,488.3656,491.8373,483.7522,485.6396,2708630
20160118,482.6106,485.3134,475.7837,478.0438,3247694
20160119,478.6729,483.496,478.2535,482.6805,3202606
20160120,477.6477,516.3255,469.6792,474.5255,4781794
20160121,475.7837,481.4922,472.2421,476.7157,3150402
20160122,477.9739,486.6182,476.273,480.1176,2118142
20160125,484.6144,487.7599,481.399,485.1736,5071942
20160127,488.5753,488.6918,481.3757,482.6106,2019734
20160128,484.1717,487.8531,479.9777,480.7699,4975986
