Date,Open,High,Low,Close,Volume
20171117,303.7291,361.5356,300.7897,337.6292,168836552
20171120,337.7271,351.6398,337.0412,348.1617,14650240
20171121,349.1904,410.4261,345.3693,377.5058,43078194
20171122,380.1512,399.7467,379.0735,387.2056,15227642
20171123,382.1107,384.0702,363.593,367.2672,12300150
20171124,368.4429,375.2523,358.6942,363.2012,9463228
20171127,363.4951,376.722,363.4951,372.656,3832223
20171128,375.2523,378.5836,370.4515,374.4685,2409447
20171129,374.6645,376.9179,368.4919,370.1575,1657909
20171130,372.1171,372.1171,363.2991,363.985,2536960
20171201,366.1405,371.8721,360.5558,365.2097,1904781
20171204,366.4834,367.3162,354.6772,355.461,1323453
20171205,353.6974,358.4983,349.9253,355.0201,1806017
20171206,353.5994,364.1809,351.2969,360.8987,3331373
20171207,362.5643,382.0128,362.5643,380.4451,3350792
20171208,382.1107,387.7934,377.7997,381.4249,2494845
20171211,379.1714,384.3152,371.3822,373.0968,1029719
20171212,373.1948,379.1714,369.4227,376.0362,2564559
20171213,378.6326,381.3759,370.8434,373.0968,747787
20171214,375.1054,378.1917,369.3737,376.526,1261422
20171215,381.5013,384.2052,373.7336,375.0118,1698848
20171218,373.6353,376.88,366.0151,371.128,1399027
20171219,371.6688,374.5694,366.0151,368.6207,1641589
20171220,371.128,371.3738,365.2776,368.8665,2251770
20171221,372.8978,375.4051,368.719,369.7514,1448962
20171222,369.9481,374.0286,367.9324,368.2766,775946
20171226,369.7023,372.2588,367.1458,370.2431,1310649
20171227,368.8174,371.6196,367.5391,368.5716,589597
20171228,368.719,373.6353,366.1626,371.6196,912189
20171229,372.652,384.2544,369.3581,379.5348,1611972
20180101,381.9929,393.1036,380.0755,383.1236,1445743
20180102,385.1393,391.3338,377.9124,388.8757,1219713
20180103,391.3338,391.6288,377.6666,379.1906,2275082
20180104,383.4678,395.2176,380.7639,392.317,2974278
20180105,394.2835,405.0993,391.3338,400.183,3554479
20180108,403.1328,421.1263,402.6903,415.0302,3806105
20180109,416.8983,440.1522,415.5709,428.2057,6183645
20180110,430.6638,434.4985,419.848,422.0604,2374166
20180111,416.8983,442.2662,416.8983,439.2181,2604294
20180112,442.217,451.0171,436.8583,448.3132,5364763
20180115,452.2954,479.8264,449.3456,466.8966,5635852
20180116,471.862,486.0208,463.3569,474.566,8288750
20180117,477.27,480.0231,462.1279,470.3872,5691140
20180118,475.1068,481.5962,469.9938,476.9258,1772870
20180119,481.0554,483.1203,469.0106,473.4352,3488403
20180122,473.4352,480.6621,461.1446,462.3245,3825798
