Date,Open,High,Low,Close,Volume
20150303,1924.1323,1943.0204,1909.4701,1937.692,438209
20150304,1965.9878,1968.1926,1918.2161,1927.2192,456591
20150305,1933.6503,1937.8763,1899.5488,1917.8121,428419
20150309,1909.4335,1916.4155,1890.4718,1910.3154,801602
20150310,1903.5913,1929.5348,1903.5913,1923.8757,605928
20150311,1918.6575,1931.4456,1904.9874,1920.2008,577880
20150312,1929.0932,1945.7029,1922.7726,1941.9916,589703
20150313,1965.2164,1965.2164,1914.6153,1918.2164,293111
20150316,1921.928,1943.021,1910.867,1933.8341,212151
20150317,1943.9397,1951.2892,1933.6872,1948.6801,503626
20150318,1949.0842,1976.2038,1940.3384,1966.2454,547515
20150319,1981.7523,1982.5976,1950.5906,1957.0214,382445
20150320,1947.6143,1954.9638,1913.2187,1918.1796,307523
20150323,1925.5291,1944.6745,1912.9248,1938.1335,202857
20150324,1944.5272,1946.879,1910.2052,1914.6149,514291
20150325,1930.6733,1930.6733,1904.2519,1907.7429,401570
20150326,1903.5548,1923.9864,1893.1919,1913.6235,715178
20150327,1904.9873,1913.8067,1875.5893,1893.3383,584370
20150330,1896.2417,1959.9985,1882.498,1943.4254,281366
20150331,1946.879,1954.0448,1926.08,1940.1176,493733
20150401,1940.228,1962.2765,1931.4454,1951.9138,375681
20150406,1965.1795,1968.1929,1936.5901,1964.2976,365024
20150407,1964.3715,1964.3715,1926.7421,1934.6428,359998
20150408,1938.0598,1941.8815,1911.9691,1915.1294,1053590
20150409,1925.5652,1935.8177,1912.5567,1919.3917,1041470
20150410,1921.8541,1928.7993,1892.8604,1898.9973,654704
20150413,1910.132,1910.132,1885.6214,1896.6824,420050
20150415,1897.0493,1901.3121,1844.5741,1855.4146,726309
20150416,1849.278,1852.0708,1773.4313,1785.999,1443068
20150417,1785.7785,1793.275,1751.1992,1771.594,1198446
20150420,1771.9613,1783.9777,1691.0433,1702.3984,1710612
20150421,1702.141,1724.7407,1685.6047,1711.7689,901340
20150422,1719.78,1779.3109,1719.78,1770.7854,840590
20150423,1773.2108,1783.7942,1733.7441,1756.9318,1012419
20150424,1749.5086,1762.3335,1709.1232,1729.1874,1960963
20150427,1734.4793,1736.7209,1687.1486,1702.8765,2307119
20150428,1696.997,1741.7921,1690.3824,1731.2089,711394
20150429,1731.7597,1756.5275,1719.8536,1743.3719,295438
20150430,1734.5524,1736.6836,1708.7556,1711.6218,1052575
20150504,1719.78,1763.73,1712.4305,1756.1968,1647793
20150505,1756.1974,1756.8956,1720.4054,1732.6055,775073
20150506,1729.3345,1731.4292,1696.6293,1709.7848,1488751
20150507,1712.5042,1743.5924,1694.3508,1730.4736,1397408
20150508,1696.9969,1701.2596,1654.5904,1690.86,1079192
20150511,1697.7315,1767.2943,1697.7315,1752.3014,887873
20150512,1762.4072,1835.2407,1752.963,1812.6776,2015463
20150513,1827.6708,1859.4206,1822.967,1840.1282,885648
20150514,1837.3719,1873.3844,1824.253,1864.9325,512485
20150515,1865.2629,1878.1613,1850.9682,1859.1996,309635
20150518,1850.6013,1872.6498,1842.5169,1852.4755,812046
20150519,1852.0705,1917.8116,1852.0705,1896.7186,923546
20150520,1903.5175,1907.0085,1893.2282,1895.7269,688445
20150521,1896.1677,1921.8909,1869.489,1912.6305,531936
20150522,1912.4101,1918.2162,1894.7714,1913.4022,138833
20150525,1913.733,1916.6728,1896.2414,1902.121,178329
20150526,1904.1789,1939.1626,1903.0399,1921.0461,428351
20150527,1915.644,1957.7198,1906.8982,1915.4971,396976
20150528,1918.5099,1961.2105,1905.0605,1942.7632,1494418
20150529,1940.2645,1988.0361,1928.5053,1982.0464,701724
20150601,1990.3329,2034.8515,1964.5062,2014.1158,510174
20150602,2000.9242,2000.9242,1933.1058,1938.7543,822000
20150603,1932.3624,1954.5845,1908.0592,1915.2312,555765
20150604,1915.2682,1925.6732,1884.7963,1893.6405,516562
20150605,1895.1647,1930.8762,1878.9255,1915.7517,335801
20150608,1927.7547,1927.7547,1864.0239,1873.3883,411130
20150609,1866.2533,1880.3,1853.5814,1858.0035,531218
20150610,1869.1895,1880.3378,1858.7845,1869.1523,377088
20150611,1881.8237,1893.7151,1858.0408,1861.1622,410240
20150612,1850.6086,1876.3239,1846.2979,1860.6792,332914
20150615,1854.3248,1881.4522,1844.663,1862.5374,253983
20150616,1861.2368,1898.6206,1857.8923,1890.1478,290025
20150617,1906.35,1908.5425,1869.1892,1874.6147,530660
20150618,1876.6217,1892.9352,1871.4936,1877.5879,448303
20150619,1883.4586,1917.7209,1880.3371,1896.2791,374245
20150622,1917.052,1924.1869,1905.0119,1918.65,271426
20150623,1924.9307,1924.9307,1866.9598,1870.9731,350911
20150624,1871.0472,1892.9721,1865.5475,1873.6484,320799
20150625,1880.3378,1913.7825,1878.1081,1896.7629,400609
20150626,1895.2015,1907.5389,1873.6482,1887.1747,200634
20150629,1863.9869,1899.6613,1858.0412,1884.6112,355916
20150630,1889.2557,1898.1743,1859.5271,1875.5062,325449
20150701,1876.6955,1884.0161,1858.338,1873.3511,401143
20150702,1874.0195,1908.579,1873.6479,1879.0734,423277
20150703,1887.7701,1921.1776,1880.3379,1915.0089,271136
20150706,1907.0933,1950.9058,1899.4753,1942.3217,307013
20150707,1950.9429,1961.3479,1902.6338,1905.4209,425371
20150708,1894.8674,1919.6536,1870.3413,1895.1274,510583
20150709,1887.8442,1939.7578,1887.8442,1935.8931,418181
20150710,1939.0517,1946.298,1907.0934,1911.2183,401799
20150713,1917.4983,1939.0516,1895.2762,1932.5112,229719
20150714,1939.7948,1969.4491,1926.417,1961.1251,324900
20150715,1968.743,1985.0565,1968.0369,1975.6549,145475
20150716,1975.4691,1981.4149,1951.6862,1969.0032,201208
20150717,1971.7157,1990.3333,1963.0573,1969.0773,180187
20150720,1982.0091,1988.1034,1972.4959,1978.3672,165950
20150721,1978.368,2002.9685,1975.8783,1997.2086,156870
20150722,1996.2787,2021.4737,1984.6475,2014.8591,196253
20150723,2014.1161,2028.9805,1987.3603,2019.7646,296483
20150724,2006.6843,2042.9533,2006.6843,2036.7102,336553
20150727,2043.4358,2043.4358,1928.6461,1936.1155,453942
20150728,1941.4295,1955.7365,1858.8583,1881.452,614008
20150729,1886.8037,1918.2417,1862.7235,1909.955,412275
20150730,1910.0659,1952.6895,1906.3499,1917.7583,1025263
20150731,1932.3253,2005.5693,1921.5486,1993.8264,471113
20150803,1973.9827,2020.0621,1934.1092,2004.5289,861266
20150804,2073.5736,2076.3978,1942.5073,1950.0883,1657551
20150805,1959.8615,1988.0293,1953.507,1981.4148,404556
20150806,1993.306,1993.306,1961.3477,1970.3407,247050
20150807,1956.9259,1984.0161,1956.9259,1978.3306,175465
20150810,1980.3741,2028.9059,1978.8504,2009.6195,431904
20150811,2013.4473,2020.5449,1983.4957,1998.0626,682348
20150812,1980.6714,2004.4543,1948.7503,1958.2263,347945
20150813,1960.2329,1994.7925,1946.632,1966.9219,346709
20150814,1979.1851,2023.1835,1962.983,2015.9371,316094
20150817,2020.0621,2021.66,1962.8345,1969.7092,191264
20150818,1970.4149,1989.3669,1958.4492,1962.8341,142927
20150819,1955.0678,2013.3359,1944.4769,1995.3129,200364
20150820,1969.5233,1980.1885,1948.193,1953.9901,239882
20150821,1943.5107,1975.4318,1884.0534,1898.955,536661
20150824,1866.9596,1872.1249,1783.7194,1837.6398,589441
20150825,1839.5719,1871.939,1787.2868,1831.6567,588828
20150826,1818.6508,1820.8804,1759.2306,1778.2941,1271762
20150827,1797.0971,1797.0971,1757.1492,1767.2198,937972
20150828,1783.3478,1805.2355,1767.22,1782.679,318325
20150831,1768.8548,1794.8673,1768.8548,1781.6381,358188
20150901,1761.4233,1780.3009,1748.8258,1771.7169,367859
20150902,1757.7067,1776.1385,1709.732,1738.16,493940
20150903,1751.0178,1755.8487,1720.6203,1726.0087,260650
20150904,1726.9376,1731.6569,1683.7939,1702.5973,424019
20150907,1709.3978,1717.6476,1677.5881,1694.9795,257462
20150908,1703.4519,1729.9474,1696.2427,1719.208,174954
20150909,1739.8699,1761.2745,1733.9985,1742.3225,208014
20150910,1729.4644,1757.4464,1709.3976,1745.5179,222191
20150911,1746.6328,1759.8249,1733.2549,1741.3931,193787
20150914,1739.0889,1753.7674,1724.2618,1746.1866,116680
20150915,1738.9032,1740.3524,1713.1508,1717.2385,330037
20150916,1728.8695,1771.753,1722.7752,1760.1962,399414
20150918,1767.9625,1818.2782,1765.2496,1804.9003,753722
20150921,1775.0236,1819.245,1775.0236,1801.3334,239281
20150922,1803.2286,1820.7686,1765.3618,1775.5066,380613
20150923,1768.5207,1788.6247,1768.5207,1784.4254,362950
20150924,1783.7193,1798.5464,1763.3552,1770.1184,391877
20150928,1771.233,1776.2125,1736.0046,1746.1866,325138
20150929,1717.573,1761.7944,1710.5869,1731.1367,460978
20150930,1753.2472,1789.8878,1717.2012,1779.6313,431516
20151001,1783.7193,1837.751,1783.7193,1792.675,541532
20151005,1820.8055,1871.3442,1809.7316,1859.5271,383373
20151006,1872.9053,1897.4315,1866.2164,1882.0841,295211
20151007,1884.0535,1899.2895,1854.3621,1888.327,202418
20151008,1888.5126,1903.9344,1875.3577,1888.9586,146872
20151009,1906.3498,1918.9845,1897.4312,1906.2384,147737
20151012,1907.8363,1929.7611,1890.7423,1897.394,98041
20151013,1898.9181,1905.3098,1876.6216,1886.8408,178225
20151014,1887.584,1894.4587,1852.69,1858.0411,184215
20151015,1868.4085,1917.3493,1858.0406,1905.6437,172463
20151016,1910.3636,1924.9307,1901.7424,1920.4714,137066
20151019,1922.7009,1947.3756,1899.4754,1941.3185,183298
20151020,1944.9972,1953.0612,1922.3663,1936.9705,369501
20151021,1976.1381,1982.6042,1924.9306,1949.3081,643276
20151023,1958.5609,1964.3209,1923.5183,1929.4269,205893
20151026,1934.5179,1956.8887,1930.579,1947.6357,197884
20151027,1943.4735,1965.0639,1922.4776,1947.3011,357084
20151028,1954.6588,1956.7399,1928.832,1951.7231,199328
20151029,1944.3283,1960.0844,1934.7407,1952.1691,265627
20151030,1947.227,1954.362,1905.3839,1918.5388,341083
20151102,1913.9308,1920.7684,1882.3441,1892.1176,367201
20151103,1900.3673,1930.1332,1884.9456,1919.5424,226406
20151104,1932.3627,1957.7807,1926.417,1948.0074,223537
20151105,1945.6292,1975.9152,1936.8964,1961.1251,229100
20151106,1963.5777,1988.0294,1932.437,1961.9799,359043
20151109,1936.1159,1969.449,1929.4641,1942.842,138190
20151110,1938.3086,1985.1312,1936.1533,1979.7057,218330
20151113,1965.8073,1969.5233,1940.5379,1943.808,155474
20151116,1943.5108,1965.8072,1917.4982,1941.0581,153495
20151117,1934.6293,1946.0376,1913.7821,1930.8389,196186
20151118,1924.9304,1935.7071,1907.9479,1913.6708,165550
20151119,1946.2981,1994.6444,1918.5761,1924.7076,736910
20151120,1932.3621,1961.3475,1899.8836,1904.7517,747678
20151123,1911.5521,1982.1576,1911.5521,1959.601,724326
20151124,1962.8347,1982.0097,1953.9161,1966.0677,397339
20151126,1939.7952,2014.1168,1939.7952,1998.2863,1400143
20151127,1997.7657,2017.3865,1976.1752,2009.9916,300797
20151130,2015.9371,2032.1764,1994.904,2006.0522,604367
20151201,2018.5756,2019.7276,1984.5363,1990.6306,439761
20151202,1980.5965,2008.0213,1972.8671,1989.1807,552538
20151203,1992.2289,1994.7929,1940.6867,1945.592,395343
20151204,1942.0246,1957.8923,1934.7038,1945.592,223767
20151207,1958.1519,1979.2594,1939.3485,1949.4935,667088
20151208,1943.5109,1962.0913,1921.6974,1933.7747,231485
20151209,1932.3253,1935.9671,1884.7966,1892.526,247209
20151210,1907.5394,1913.0391,1886.3948,1893.9757,295521
20151211,1895.2017,1905.4581,1870.4153,1876.7327,303901
20151214,1872.7569,1898.9181,1858.3756,1884.6112,178832
20151215,1887.7698,1916.7553,1863.9869,1908.4313,203987
20151216,1910.1405,1943.771,1910.1405,1928.9437,241774
20151217,1932.3623,1982.1578,1932.3623,1973.202,254167
20151218,1969.5234,1980.5972,1951.5004,1964.4323,237868
20151221,1980.6715,2010.4001,1960.5302,2005.1604,351826
20151222,2005.1602,2007.4271,1979.0363,1984.6476,299012
20151223,1988.4008,2002.6707,1980.597,1990.4818,173603
20151224,1990.5936,2008.6908,1990.5936,2004.0085,187156
20151228,2011.8871,2016.718,1994.4215,2013.6708,327048
20151229,2011.8868,2034.9265,2007.0931,2030.3928,283306
20151230,2030.4674,2031.1734,2013.6336,2016.3091,196033
20151231,2020.0247,2023.7408,1985.1307,2002.2991,913225
20160101,1998.5091,2002.9684,1988.2527,1996.3167,141582
20160104,1971.0097,1983.6444,1955.4765,1960.4561,254167
20160105,1963.949,1973.3879,1939.8317,1944.8856,290015
20160106,1935.484,1949.4565,1912.2585,1916.1604,307058
20160107,1900.3298,1926.4168,1865.5103,1872.9796,186980
20160108,1876.6958,1886.5434,1846.8927,1850.3486,198609
20160111,1839.5719,1876.6213,1821.0287,1862.0914,168536
20160112,1858.041,1865.5475,1829.3528,1833.6635,228350
20160113,1843.3624,1846.8926,1799.1038,1838.4943,237742
20160114,1816.421,1838.7547,1797.0974,1811.6273,312029
20160115,1817.1642,1824.5592,1791.3003,1804.3438,177133
20160118,1811.9615,1820.8801,1766.7367,1810.1406,285797
20160119,1824.5959,1857.2602,1818.5387,1845.2573,232059
20160120,1835.0012,1863.2434,1825.1536,1849.4939,349976
20160121,1846.2236,1887.7321,1830.1701,1835.6698,462839
20160122,1853.5816,1931.6193,1837.6396,1926.0452,342135
20160125,1936.0785,1939.7946,1852.9126,1876.7698,235464
20160127,1884.0536,1893.7526,1839.4606,1844.9976,318370
20160128,1846.893,1863.9869,1806.8337,1813.151,373017
20160129,1820.137,1921.2144,1815.3061,1906.8331,494944
20160201,1902.6342,1902.6342,1863.4295,1884.4998,246093
20160202,1888.9589,1895.7593,1864.4328,1871.642,234228
20160203,1858.041,1889.8507,1836.4878,1846.7814,177259
20160204,1850.7941,1879.0363,1837.2304,1868.2969,247401
20160205,1868.2973,1924.1871,1861.7569,1921.0284,208803
20160208,1917.4986,1921.9579,1897.8777,1908.803,200891
20160209,1886.2832,1929.3898,1869.1892,1918.5017,120852
20160210,1915.194,1916.2718,1891.4855,1899.3636,177476
20160211,1900.2555,1904.4546,1843.8824,1855.7367,181663
20160212,1886.246,1886.246,1823.1842,1850.0514,401230
20160215,1866.9599,1887.3612,1846.0755,1863.504,419156
20160216,1873.6484,1907.8363,1860.8651,1867.3311,248550
20160217,1866.2159,1891.4852,1811.9611,1876.2865,303578
20160218,1884.7963,1953.0236,1872.9048,1945.5542,438531
20160219,1944.9975,2014.4882,1934.3323,2011.2924,724742
20160222,2005.9411,2028.089,1987.6579,2008.5796,273758
20160223,2014.8595,2016.0487,1971.1211,1977.8101,305417
20160224,1974.8003,1975.4691,1939.7947,1948.1559,219570
20160225,1947.2273,1963.8383,1928.1267,1948.2307,293356
20160226,1959.0806,1969.4856,1881.5631,1899.2145,455721
20160229,1892.229,1906.2757,1836.5622,1857.9667,733831
20160301,1867.7024,1993.1945,1862.6485,1982.3435,865407
20160302,2017.8322,2124.8554,2010.4744,2085.9851,1278710
20160303,2085.9852,2117.4233,2081.0057,2100.3293,837426
20160304,2084.9072,2121.8822,2072.2353,2107.6497,516906
20160308,2110.7339,2110.7339,2081.3769,2088.103,424372
20160309,2077.2904,2103.2658,2073.6115,2093.2695,398021
20160310,2110.7343,2118.1664,2081.0056,2090.2214,345359
20160311,2077.6984,2109.954,2077.6984,2090.9277,269758
20160314,2107.7617,2107.7617,2081.6005,2093.1204,394258
20160315,2095.8325,2109.0989,2085.7248,2090.7043,334127
20160316,2082.4928,2107.725,2053.1357,2079.7429,368182
20160317,2092.228,2109.9908,2084.7214,2096.6873,247010
20160318,2102.4843,2109.9909,2075.9144,2104.0452,296826
20160321,2114.2224,2128.056,2093.4533,2110.5286,237654
20160322,2110.5285,2163.2993,2074.8705,2157.1929,837215
20160323,2167.3705,2197.299,2159.2664,2164.6565,497247
20160328,2152.2932,2178.6786,2134.9542,2147.0161,453040
20160329,2146.2623,2171.14,2143.2846,2153.688,222145
20160330,2163.5628,2207.8526,2163.5628,2204.1587,493207
20160331,2201.6718,2251.0124,2200.9933,2220.6692,1174177
20160401,2209.6625,2238.5732,2203.5561,2224.7021,348132
20160404,2252.5578,2252.5578,2220.8954,2249.3162,421607
20160405,2231.6377,2271.4042,2223.8728,2233.937,544712
20160406,2234.4647,2268.3887,2233.8615,2255.0076,400657
20160407,2246.8284,2252.1432,2217.126,2237.4805,222700
20160408,2236.5755,2236.5755,2172.4212,2198.0527,437469
20160411,2203.5559,2248.0341,2192.5493,2243.9255,284077
20160412,2247.8081,2310.6053,2246.5266,2300.3904,375312
20160413,2292.8517,2391.2692,2289.1201,2373.2141,679366
20160418,2378.4157,2382.072,2295.6787,2302.6897,533669
20160420,2306.8354,2321.4603,2263.488,2291.0796,461629
20160421,2321.2346,2321.2346,2245.3577,2251.2756,239972
20160422,2238.9884,2279.9613,2225.4188,2259.3806,437862
20160425,2254.8191,2279.3198,2229.3383,2232.8062,306198
20160426,2223.9107,2234.9925,2198.2037,2210.228,711690
20160427,2212.5267,2234.6905,2210.5668,2223.8347,612714
