Date,Open,High,Low,Close,Volume
20150303,146.8613,148.5397,145.6025,147.9803,3718817
20150304,149.1924,149.1924,142.0126,142.7585,5559004
20150305,142.7119,143.5977,136.9773,138.0963,8404364
20150309,139.3084,139.728,130.5434,131.2893,8031261
20150310,132.9678,132.9678,127.4197,128.7251,6588296
20150311,129.4711,129.4711,118.608,121.5452,21561044
20150312,122.8507,126.5338,120.3797,125.7879,14242872
20150313,127.4663,127.5129,122.1979,122.804,6690050
20150316,122.1513,122.5243,114.7849,118.235,10785285
20150317,119.354,125.648,118.235,125.1818,9699896
20150318,124.9487,125.6946,122.8973,124.1561,4154051
20150319,124.9487,127.0001,122.4311,123.3635,4626972
20150320,123.2236,125.8811,121.7317,123.1304,4836454
20150323,123.0372,127.5596,123.0372,126.7203,6306085
20150324,126.6271,126.7203,123.0837,123.8763,4386125
20150325,124.0162,125.3683,123.4101,123.923,2895061
20150326,123.4567,124.3892,119.8668,120.7993,7955596
20150327,122.1513,125.3683,121.2655,124.902,5241353
20150330,125.1818,125.6014,121.4986,122.2912,3651285
20150331,124.0162,124.4358,119.7269,120.2864,8516432
20150401,120.2864,123.923,118.8877,123.2703,7180617
20150406,124.3892,125.9744,123.0838,125.6014,5542921
20150407,125.8811,128.2589,125.1351,127.6994,6514199
20150408,127.9791,129.5177,126.9534,128.6319,6176434
20150409,129.238,131.336,127.3731,130.4501,6142066
20150410,129.6109,129.7974,127.7926,128.5852,4860480
20150413,128.6785,129.5643,125.9744,126.9068,5017864
20150415,126.8136,128.119,125.5081,126.021,8714291
20150416,126.6737,128.5852,126.2541,127.8859,5457847
20150417,128.6785,132.1286,128.3055,130.3103,8674061
20150420,131.3826,132.1286,127.9325,128.9116,5669966
20150421,129.0515,129.9373,124.6689,125.2284,6236971
20150422,124.4824,126.3474,123.6432,125.5548,6263990
20150423,126.3474,127.746,124.7622,125.9278,6782890
20150424,125.7413,126.6271,121.3121,122.2912,7487405
20150427,123.0838,123.9696,119.5871,121.2655,4805160
20150428,122.0581,123.5034,120.8459,122.4777,6154792
20150429,122.5243,122.5243,120.0067,121.7784,7223085
20150430,121.2189,122.0581,118.4681,119.9134,11618447
20150504,121.5918,124.5757,120.7526,124.1561,4003261
20150505,124.4358,130.7299,123.4101,129.9373,8946517
20150506,129.5177,132.4083,125.9278,128.4454,9503948
20150507,127.6528,127.6528,123.3169,125.2284,5764064
20150508,126.0676,130.0772,125.7413,129.5643,4144037
20150511,131.2894,135.2989,130.7299,132.8745,6190079
20150512,132.7813,132.8745,127.0001,128.3055,5822453
20150513,125.7879,127.1866,122.8507,124.4825,9200683
20150514,125.0419,128.6785,123.55,128.1656,3697331
20150515,128.3987,129.3778,125.4615,127.746,3519076
20150518,128.6785,132.2684,128.5852,129.7042,5044666
20150519,129.4711,131.0563,127.3731,130.4968,4364176
20150520,131.1495,131.1495,128.8183,129.5643,3050410
20150521,128.3987,130.4501,127.0467,129.7042,3942179
20150522,129.611,129.611,127.2798,127.6528,2577977
20150525,127.5129,129.0514,124.8554,125.4149,2879752
20150526,126.021,126.4872,124.2027,125.2284,2693352
20150527,124.0162,125.5082,123.2703,124.5291,3168751
20150528,123.6433,124.9487,121.0324,122.7108,10174628
20150529,122.1047,124.2027,119.8668,120.5195,11477479
20150601,120.0533,121.0324,119.1209,119.6803,3272418
20150602,120.2398,120.4729,114.5984,114.9248,4980345
20150603,115.6708,116.4634,111.8943,113.7126,3508099
20150604,114.039,115.2045,110.9619,113.1065,3192106
20150605,112.7802,114.039,111.1018,112.0342,4163808
20150608,112.1275,112.9667,109.7497,110.2159,4663365
20150609,110.0294,113.1065,109.6098,111.9876,4663442
20150610,112.3606,113.5727,111.568,112.1741,3297811
20150611,112.547,113.293,110.5889,111.1484,4749485
20150612,110.7288,111.195,108.2578,108.8639,5422403
20150615,108.351,109.2369,106.1131,106.5794,4287348
20150616,106.9057,107.6983,105.9266,107.2321,5266441
20150617,107.2321,111.1018,107.0456,110.5423,5112962
20150618,110.4956,112.4538,109.7031,111.8943,4713738
20150619,114.5518,115.0647,111.8943,112.6403,7892805
20150622,112.8268,113.7592,111.8011,113.0133,2533356
20150623,114.3187,116.0438,113.0599,113.3863,4076380
20150624,113.7126,114.4586,108.724,109.3301,3604713
20150625,109.097,110.4956,107.8382,110.0294,5509978
20150626,109.9362,110.3558,108.1179,109.097,4253624
20150629,107.2321,107.4186,103.5023,105.2273,6441434
20150630,105.2739,105.8334,103.7354,104.3415,7516460
20150701,104.7145,106.2064,104.5746,105.4138,3867419
20150702,105.88,106.8591,103.2225,103.5489,4764056
20150703,103.5023,103.9219,102.2434,103.1293,4606491
20150706,100.8914,102.1036,100.0056,101.684,4509017
20150707,101.5441,101.6374,99.4927,99.9123,5412336
20150708,98.3738,98.3738,92.3595,94.9703,12611248
20150709,95.2967,97.8143,93.898,96.9751,6650883
20150710,97.9075,98.2339,95.4365,97.5346,3399973
20150713,97.1616,99.7258,95.25,99.4461,4140433
20150714,99.3995,99.5393,97.2548,97.5346,3600749
20150715,97.6278,99.213,97.6278,98.4204,2290566
20150716,98.6069,99.8191,97.5346,99.4927,2705253
20150717,99.8657,100.938,98.9799,99.9589,3325040
20150720,100.2387,102.8495,99.8657,102.0103,4352389
20150721,101.7306,104.2016,98.8866,100.7982,6584314
20150722,100.6117,101.5441,98.4204,100.4252,3385362
20150723,100.6583,101.9171,99.2596,101.3576,2382191
20150724,100.7049,102.8029,100.4718,101.9637,3081533
20150727,101.1711,101.1711,96.9285,97.3481,6011766
20150728,96.1825,99.4461,95.3433,98.3738,4192798
20150729,98.6535,100.8448,98.5603,99.3529,4721020
20150730,99.6326,100.0522,97.2082,97.6278,8222321
20150731,98.3738,100.0522,97.4413,98.094,5201040
20150803,98.1407,99.3062,97.6278,98.5603,2485343
20150804,98.84,102.9428,98.6069,101.8705,4300456
20150805,102.5698,104.3415,100.565,100.938,4508245
20150806,101.5907,102.5698,100.2387,101.3576,2977481
20150807,100.8448,104.6678,100.7049,102.1502,3542555
20150810,102.5698,104.2016,99.5393,100.5184,3049401
20150811,100.7049,100.9846,95.9028,96.2757,4765889
