Date,Open,High,Low,Close,Volume
20150303,802.3417,802.3417,788.1284,793.6345,1510436
20150304,794.8296,806.9514,779.3786,782.0249,1202376
20150305,779.7626,807.8475,779.7626,802.1708,2301603
20150309,799.0123,837.4264,794.7441,833.1581,3529726
20150310,835.1216,835.4204,811.8597,817.067,1323330
20150311,817.0669,835.6337,810.4938,827.0972,1742798
20150312,826.329,830.4265,815.7437,819.9693,1358419
20150313,822.6583,823.6827,801.5306,803.8781,1466001
20150316,801.9574,817.1523,770.4152,795.3843,1244490
20150317,798.116,808.2317,786.5491,795.427,1239535
20150318,795.9393,800.0794,778.098,787.1467,1436285
20150319,794.7441,803.1098,782.4943,787.6162,1249067
20150320,787.0613,787.0613,761.4519,764.6531,1854369
20150323,768.025,776.8175,761.7507,770.3298,989354
20150324,765.0372,769.2628,755.7752,757.3544,1288989
20150325,759.5312,766.2323,753.7691,756.6715,2848966
20150326,755.3483,755.4764,732.5987,739.1718,2570353
20150327,743.0984,743.4399,724.7024,726.7084,2023538
20150330,732.3852,743.5253,727.306,735.8851,1415143
20150331,736.6535,754.6227,732.4279,745.7021,1503993
20150401,745.6595,756.1593,743.9522,754.1959,865861
20150406,754.3239,777.5004,753.3422,775.0675,1482378
20150407,777.9701,784.5432,766.2325,779.7628,1212932
20150408,781.0007,786.7628,776.3056,778.9946,1296825
20150409,780.1467,795.5976,779.8905,790.8599,1237632
20150410,793.8052,798.8416,782.2382,797.1343,1161659
20150413,795.0429,811.7743,792.1832,810.2378,1374251
20150415,804.9025,810.067,796.4514,797.9026,924855
20150416,796.0245,800.5488,783.732,796.5367,1071747
20150417,799.6099,806.0122,792.9087,800.4208,764984
20150420,801.0613,803.0673,773.0617,779.7628,879556
20150421,780.2747,785.2259,742.9704,745.3179,2535704
20150422,757.5679,779.3786,746.94,774.3848,2106687
20150423,777.6711,787.0612,762.1348,770.5432,1027886
20150424,771.653,771.653,745.8729,759.3178,1122637
20150427,755.4765,769.8177,734.3487,739.8121,945769
20150428,736.9949,746.0009,726.8792,734.6474,1844291
20150429,734.4767,746.9399,727.4341,732.1718,1323821
20150430,731.7878,733.6658,710.4039,725.8976,3001302
20150504,734.1352,739.001,720.6049,735.6291,558193
20150505,732.4279,754.1105,729.0133,750.3972,1663346
20150506,750.3545,750.3545,725.6841,732.5987,1989322
20150507,734.1353,744.1656,728.7573,739.4706,982642
20150508,747.5375,774.2993,729.4402,764.1836,5244650
20150511,768.1105,769.1349,736.0134,738.1475,2712131
20150512,740.1107,745.702,718.4708,720.4341,1837756
20150513,725.6842,730.422,706.0504,717.9587,1842567
20150514,719.4526,726.3244,709.3796,722.5684,1458520
