Date,Open,High,Low,Close,Volume
20150303,287.9367,289.1778,284.7098,288.4745,16309976
20150304,297.8656,299.5204,286.3233,289.0537,27007377
20150305,286.6129,289.5088,281.4002,287.7299,12677758
20150309,282.9723,283.7583,274.4914,275.3602,13711772
20150310,275.2774,279.4972,273.333,276.0634,15690129
20150311,276.0222,278.794,272.2162,275.2362,11762499
20150312,279.2904,281.0693,276.8909,279.8282,12265104
20150313,285.4546,286.282,272.2161,273.209,14368069
20150316,272.6297,275.5256,269.4442,274.2432,12496540
20150317,274.6983,278.4216,273.1676,277.0564,11214858
20150318,275.6084,278.463,273.9123,277.015,9603665
20150319,280.9038,282.4759,271.6783,273.209,15488184
20150320,272.1333,272.4229,262.039,263.611,23389273
20150323,266.4656,266.7552,258.5225,259.6395,11517028
20150324,256.9091,261.9976,256.0403,258.0674,18209548
20150325,258.1502,263.942,257.4055,262.2045,15109255
20150326,257.3228,259.5568,250.3726,254.7992,34971712
20150327,258.9775,261.6253,255.0474,260.26,17383920
20150330,261.708,264.3557,259.2672,263.6938,14140124
20150331,263.8593,267.0448,259.6395,261.0461,14317689
20150401,260.6324,268.41,259.8463,267.3757,9190830
20150406,269.2788,269.2788,264.2316,265.8037,10512775
20150407,267.2102,267.6239,260.6324,262.6181,9849292
20150408,263.8593,264.5212,260.2601,260.7151,9158573
20150409,263.1146,266.3415,262.2045,265.2659,13516230
20150410,264.3557,266.1346,262.4527,263.3629,9053218
20150413,264.6867,264.6867,261.4598,262.2045,8810668
20150415,263.4041,266.6724,259.0189,260.6324,11297754
20150416,261.3771,261.4598,256.6195,258.5639,9682703
20150417,259.8464,260.591,255.0474,256.5781,11639567
20150420,258.8949,262.7836,255.0888,257.4469,11663690
20150421,257.3227,261.9562,256.454,257.1986,9953639
20150422,259.1844,260.6324,251.0345,258.9362,12256206
20150423,260.0118,261.3771,256.2885,258.0261,10352840
20150424,258.5225,258.6052,254.0959,255.0474,13482295
20150427,257.0746,258.5225,245.4909,250.1243,24819034
20150428,252.8547,271.885,252.8547,270.4371,37447522
20150429,271.2232,277.015,268.9891,273.1675,24501414
20150430,273.8709,276.0221,269.0719,273.995,20787994
20150504,275.3188,278.7526,269.8993,272.4643,11308400
20150505,272.4643,273.7881,270.644,271.761,10109107
20150506,270.4785,279.6627,256.6195,258.2743,19967506
20150507,258.3156,258.9775,248.7178,252.0274,16086181
20150508,256.4954,263.8593,256.4954,262.2872,15672276
20150511,264.8108,269.5684,264.0248,267.6654,9605442
20150512,267.7067,268.079,254.0132,255.0061,13692241
20150513,259.1017,264.0661,253.5994,262.825,15431501
20150514,262.8664,263.0732,257.5297,260.591,11672149
20150515,260.8806,261.8321,256.9504,258.4398,12014773
20150518,260.6324,262.2044,258.8948,261.6666,7629436
20150519,259.7636,263.8593,258.1502,260.922,9064851
20150520,261.6666,265.5968,261.6666,263.7352,7555070
