Date,Open,High,Low,Close,Volume
20170927,622.8402,663.8783,610.9307,651.6339,34610637
20170928,642.02,660.004,631.4018,656.1298,4535542
20170929,655.2688,657.8517,648.2379,650.6772,1367676
20171003,647.7118,658.5692,644.842,654.7906,1752630
20171004,651.9208,657.0386,650.2467,652.1121,545357
20171005,646.7552,651.3947,636.2805,637.2849,486144
20171006,636.137,650.9643,634.2238,650.486,568793
20171009,640.9199,656.2255,640.9199,654.2645,647645
20171010,650.4858,660.0518,650.4858,656.6559,750266
20171011,653.9297,659.9563,653.9297,657.6126,351011
20171012,652.5904,671.531,652.5904,669.9526,938808
20171013,663.1129,670.5744,663.1129,664.8826,239411
20171016,661.5346,667.2263,644.9854,665.9349,237478
20171017,664.8349,688.6542,660.2433,687.0758,962237
20171018,680.3795,689.515,673.2528,684.2059,338460
20171019,678.8012,691.6196,677.3184,690.8543,154703
20171023,679.1837,683.9667,660.0518,663.0172,450439
20171024,663.0651,674.4008,655.5558,665.9827,643340
20171025,665.9827,669.5699,646.229,653.6426,1108214
20171026,650.3388,660.7772,650.3388,655.9411,221326
20171027,653.1159,655.9888,650.2908,653.9778,342918
20171030,651.1049,656.9465,647.1306,651.3922,287901
20171031,646.556,659.8194,645.9335,648.3276,949376
20171101,648.3276,656.9465,648.2319,651.7751,200249
20171102,646.5561,659.8195,646.4124,652.1583,234604
20171103,652.1583,660.2983,642.5818,646.0294,302434
20171106,642.5819,655.2707,642.5819,652.302,186130
20171107,651.2006,654.0256,650.4345,651.4879,171495
20171108,645.5505,653.5948,645.5505,650.0515,105538
20171109,646.6997,652.1583,639.3737,650.0515,120713
20171110,641.6241,652.1103,641.6241,651.4879,114509
20171113,651.6794,657.9041,647.5616,656.4198,274626
20171114,647.37,660.7771,647.37,656.9465,208105
20171115,648.4234,658.8618,648.4234,657.3296,439900
20171116,653.5949,656.8988,641.6243,649.0461,164254
20171117,652.1583,659.8195,647.6095,656.5635,212775
20171120,654.0736,662.6924,651.4401,660.2504,189081
20171121,655.5101,677.9191,655.5101,669.4438,337085
20171122,666.523,671.3113,660.7772,666.4273,68032
20171123,664.6077,678.0148,656.8986,671.3112,91465
20171124,663.6501,672.269,663.6501,670.4494,163475
20171127,663.2669,673.2265,663.2669,670.9281,66789
20171128,665.6133,683.282,665.6133,676.1475,229161
20171129,670.8325,695.3004,667.5765,688.5011,405626
20171130,681.0793,687.0167,676.1952,684.0958,73339
20171201,679.9301,692.8584,679.9301,689.4587,143549
20171204,681.8455,693.8161,681.8455,690.2249,120194
20171205,685.0055,699.0351,678.1104,696.5452,157420
20171206,694.2948,698.1254,684.862,695.8749,101857
20171207,695.2525,713.4478,688.0701,704.015,174841
20171208,700.0407,736.4313,700.0407,733.319,727030
20171211,729.7278,737.389,718.236,732.3135,157528
20171212,729.7279,757.4518,729.7279,751.0834,261948
20171213,756.5419,756.5419,736.0962,742.2729,140986
20171214,739.3044,747.9232,739.3044,744.2363,305401
20171215,745.0502,761.0429,744.1883,757.308,179103
20171218,747.7315,768.0336,718.2838,766.1183,325541
20171219,761.3302,775.6949,752.2325,762.5751,105430
20171220,757.0209,763.8681,738.7298,743.4222,110134
20171221,745.0502,751.7537,732.6008,742.3688,160212
20171222,742.1773,754.6267,735.4737,744.4277,1273767
20171226,740.4056,756.1588,740.4056,753.0944,209738
20171227,752.7114,756.542,742.704,748.1626,124036
20171228,743.3265,761.3302,743.3265,758.6967,73414
20171229,758.4573,762.0964,733.1275,742.6561,101722
20180101,742.1773,764.2032,742.1773,761.8091,161859
20180102,753.7647,770.9066,742.1772,766.1663,221601
20180103,762.2878,769.9489,752.9028,766.4056,61608
