Date,Open,High,Low,Close,Volume
20160929,318.2835,322.045,284.6708,286.9856,89058658
20160930,286.8409,301.3083,282.6453,299.2346,12045593
20161003,301.7906,302.6104,296.3894,298.7042,3169557
20161004,297.9808,298.5595,292.7243,293.4477,3173993
20161005,294.1711,303.8161,293.3031,302.6104,5485589
20161006,303.6713,311.339,302.8515,305.3109,5753209
20161007,306.7095,308.3492,304.2501,305.9862,1009789
20161010,307.7705,315.3418,306.806,313.0752,3482805
20161013,310.5675,317.0297,304.5394,306.2755,3088238
20161014,308.3492,317.0778,307.8187,315.7275,2771778
20161017,316.3545,319.9231,312.6894,315.9687,2153353
20161018,317.5119,321.1769,316.7885,319.1515,2774228
20161019,319.8267,320.6465,312.4965,313.3646,1227049
20161020,314.329,317.7047,311.0979,312.4965,946203
20161021,313.3163,317.7048,311.5802,315.2453,1122150
20161024,316.2098,318.1388,311.6285,312.4001,684940
20161025,312.8823,316.3545,311.6767,312.6412,964425
20161026,312.4483,313.8468,307.9633,309.0243,940792
20161027,308.6867,308.6867,301.2119,302.948,1243528
20161028,301.887,303.1891,296.1001,297.6432,1188812
20161101,301.7905,304.25,299.0417,300.2473,1028849
20161102,300.0538,300.6346,295.2626,295.9402,881783
20161103,295.2626,297.9244,291.9233,294.2947,1243070
20161104,295.1658,296.1337,292.7944,293.6655,1157870
20161107,295.9885,298.0211,292.9396,295.1174,1228091
20161108,296.1821,297.1017,292.988,293.7624,412371
20161109,280.6955,291.1006,262.3051,288.4872,2590826
20161110,293.23,304.7966,291.3426,303.6351,2123137
20161111,299.7635,299.7635,292.8428,295.0691,1313176
20161115,295.0691,295.2142,285.5351,287.6645,1591246
20161116,293.2784,294.4882,288.4388,289.6971,1270188
20161117,290.3746,292.7944,283.5992,284.0831,1051062
20161118,285.2931,286.1158,275.372,276.2915,899512
20161121,278.7596,278.7596,273.1457,275.0331,1285263
20161122,276.2431,281.5666,272.1778,279.7759,1209797
20161123,280.6955,287.4709,279.05,285.4383,504169
20161124,285.6318,286.5029,281.9537,285.5834,378291
20161125,286.503,298.0212,286.0191,293.8108,827475
20161128,294.1495,299.0859,293.3752,298.4083,545827
20161129,298.9891,304.7966,298.3116,304.0223,923896
20161130,304.845,304.845,298.36,299.8119,527033
20161201,299.1827,300.0538,293.6172,294.2947,398945
20161202,293.3752,293.4236,288.4872,289.068,530891
20161205,288.4387,288.9711,283.212,284.0831,2962323
20161206,284.0831,287.374,282.8732,284.0831,286857
20161207,285.0511,286.019,282.6313,283.2605,287566
20161208,284.3251,288.8744,284.1316,287.5193,384455
20161209,288.1485,289.9391,284.1316,285.4867,490921
20161212,285.535,290.665,285.0511,289.3099,1858187
20161213,289.2132,289.31,285.9707,288.584,448043
20161214,287.1806,292.6009,286.503,287.6645,828122
20161215,286.503,301.8928,285.5351,300.6829,2601377
20161216,300.0054,301.9896,295.8918,300.5862,1466142
20161219,300.0538,307.7487,298.118,305.3773,3045917
20161220,303.7319,309.6361,302.4736,308.0391,1832659
20161221,308.4747,309.6846,303.9254,306.0549,717254
20161222,306.8292,306.8292,295.311,297.2952,467785
20161223,294.3431,297.1016,290.3746,291.0038,461339
20161226,289.4067,290.8586,285.0994,285.5834,483325
20161227,284.7123,287.9549,284.664,285.9706,403888
20161228,290.1327,290.1327,285.0995,285.6319,490137
20161229,285.8254,292.02,285.8254,290.4714,463260
20161230,291.2942,296.1821,290.4714,292.5524,515022
20170102,291.5362,298.0212,291.5362,297.2469,336913
20170103,298.6987,303.6835,298.118,303.0059,675149
20170104,304.5547,310.7009,303.4416,309.4427,1583760
20170105,310.6525,318.1539,310.0234,316.2664,1993192
20170106,317.4279,327.1554,316.1696,320.38,4655888
20170109,320.3801,322.5579,315.6373,318.4926,787856
20170110,319.4121,325.7036,318.8314,324.784,1660190
20170111,326.1875,327.833,323.5258,326.9619,1609150
20170112,326.9618,327.3974,320.0412,323.8161,537489
20170113,323.8645,325.6067,320.3316,321.2511,360639
20170116,319.5089,323.2837,319.4121,320.5252,495389
20170117,321.3479,324.8808,319.5089,321.0576,548693
20170118,324.1065,331.995,322.0255,329.0912,3153477
20170119,329.8656,340.2223,328.3654,338.5285,5040128
20170120,336.5442,350.3854,335.4795,347.8688,5356347
20170123,348.4496,350.7242,344.7715,349.5627,2539069
20170124,348.4495,351.8372,344.723,348.2076,2132140
20170125,346.0782,347.8204,340.2707,342.4969,1595576
20170127,342.6421,344.9167,341.1902,342.5453,1172267
20170130,342.6421,344.5295,336.9314,340.0287,812733
20170131,337.8026,338.2865,327.1555,334.3181,1209329
20170201,331.511,348.3527,331.511,347.4332,1719603
20170202,347.2881,348.4496,344.094,347.772,1097980
20170203,347.772,350.3854,345.2554,348.5947,896563
20170206,346.0298,356.9188,346.0298,355.6605,1838252
20170207,354.2571,355.4186,349.4175,351.9341,608870
20170208,351.3533,353.2891,344.8199,346.6589,1761889
20170209,346.0781,349.2239,340.803,345.0135,516261
20170210,346.3202,350.5306,336.9798,338.964,1036168
20170213,341.6258,343.61,337.6089,340.1255,339348
20170214,340.1255,346.9009,340.1255,345.933,504941
20170215,344.5779,345.5458,336.0603,337.9477,242565
20170216,337.3669,348.4496,337.3669,347.2881,500182
20170217,348.4496,353.5795,343.61,351.2565,1026944
20170220,350.3854,351.1597,345.7394,346.9493,221447
20170221,346.5138,351.3534,344.1424,345.3523,269628
20170222,346.5138,346.6106,338.7704,340.5127,301117
20170223,342.5453,348.8368,340.5611,346.3686,446372
20170227,347.2397,352.3212,345.5942,350.8694,1025217
20170228,351.3049,353.2891,346.6589,349.7563,534927
20170301,348.7399,352.3212,347.4333,350.7726,539631
20170302,356.1929,359.6774,349.5142,351.5469,2018671
20170303,351.3049,353.3859,347.5784,350.9661,512670
20170306,351.9341,358.5643,349.6595,357.6448,1628485
20170307,359.0967,360.8389,348.9819,357.064,854942
20170308,357.6448,362.9683,356.4349,362.0004,1536173
20170309,360.0645,365.872,357.5479,360.6937,1922978
20170310,361.71,362.8715,356.5317,358.5643,1134047
20170314,362.8715,363.8394,360.2582,362.7263,2035563
20170315,361.6616,366.7431,361.6616,364.6621,1202120
20170316,364.9042,366.7432,357.306,358.3224,766241
20170317,359.5806,363.8394,353.4343,359.387,11314052
20170320,360.8389,361.5648,355.4186,356.3865,447618
20170321,356.4833,362.5327,356.4833,359.1935,3806709
20170322,357.2576,357.5964,349.6595,352.4181,614601
20170323,353.2891,356.4832,352.7568,355.9993,553928
20170324,356.6769,362.8715,356.2413,362.0488,672041
20170327,361.8068,364.9042,360.6453,363.0651,680026
20170328,362.4843,364.4202,357.1608,359.6774,333510
20170329,359.5806,361.9036,356.9672,358.9999,237378
20170330,359.0482,363.4039,358.9998,362.3391,1950487
20170331,360.6453,374.5349,360.5485,370.1309,1180554
20170403,370.2761,373.9542,368.7758,372.9862,338548
20170405,374.4865,386.6338,373.6638,384.9884,1333735
20170406,385.5207,388.1341,378.5518,378.8905,464507
20170407,378.455,389.9248,377.5354,387.1662,837076
20170410,387.1662,388.2793,380.3907,382.1814,643998
20170411,380.7296,385.9563,378.9389,380.6812,395927
20170412,379.4229,397.8133,370.8568,388.2793,1234306
20170413,388.2793,392.9737,383.4881,391.3282,1193931
20170417,391.183,392.1994,387.1662,389.828,506568
20170418,392.0058,393.9416,385.6659,389.6828,494894
20170419,390.07,392.635,385.7144,386.9243,500685
20170420,389.102,391.0379,384.2625,386.4403,219296
20170421,389.9731,396.7001,388.2309,394.7643,819153
20170424,395.8774,396.6517,387.9405,389.7796,540438
20170425,390.941,409.283,390.1667,406.4277,1607040
20170426,408.5087,410.3962,382.3266,388.3761,1771631
20170427,389.102,393.7964,384.2625,386.6823,470937
20170428,390.5055,394.7159,389.102,392.9737,472949
20170502,394.9095,395.2967,385.7143,386.8758,278792
20170503,386.2467,391.7638,384.2625,385.908,455632
20170504,386.2951,389.7796,379.1809,380.5844,503425
20170505,381.3587,383.0042,374.5833,379.3745,391334
20170508,383.1977,401.6849,382.2782,397.1357,845382
20170509,397.1357,402.1689,394.1836,396.8454,271823
20170510,398.0552,401.201,396.0226,397.6197,227293
20170511,395.6838,404.5887,392.1026,397.4745,475934
20170512,399.3619,401.5881,393.2157,397.0873,472820
