Date,Open,High,Low,Close,Volume
20151110,811.2902,852.7174,804.8438,831.6246,27351793
20151113,870.2552,978.3261,869.3072,951.8771,8446622
20151116,958.4183,985.91,915.9957,937.5151,3358159
20151117,938.5105,995.2951,925.4282,982.9713,3694092
20151118,964.3433,1013.2122,962.4947,991.2662,3621593
20151119,1000.1299,1106.0204,997.286,1084.3115,4320971
20151120,1095.8769,1102.418,1031.6031,1047.9086,3636764
20151123,1042.7894,1066.2996,977.5676,992.4037,2115930
20151124,995.3425,1041.8415,978.6579,1033.12,2080065
20151126,1042.7894,1056.0612,1006.8605,1031.603,1278254
20151127,1036.4379,1052.0797,1015.8191,1033.7834,830213
20151130,1036.912,1063.6453,1025.2991,1051.3214,953967
20151201,1055.066,1057.0094,1029.2807,1036.3906,566179
20151202,1035.2055,1066.3944,1006.7658,1042.031,1820435
20151203,1038.9975,1084.9276,1034.2575,1055.7769,2008650
20151204,1045.6334,1063.6452,1015.9612,1023.5452,738821
20151207,995.3899,1029.0435,978.5156,990.2234,1975506
20151208,996.0535,1012.8329,957.4703,965.149,1221937
20151209,967.8982,993.3044,943.677,960.0773,1037663
20151210,968.7988,975.4821,930.9266,947.8482,1524682
20151211,961.2622,989.4175,952.7303,981.17,1853964
20151214,979.2742,1046.4867,972.4487,1036.201,1875740
20151215,1037.8599,1134.6497,1028.5696,1123.7952,3012286
20151216,1130.0047,1169.8203,1121.0462,1130.6682,2239135
20151217,1141.2855,1167.687,1118.7233,1128.9142,1460277
20151218,1132.3271,1143.466,1067.4372,1079.998,1615029
20151221,1077.0118,1096.3509,1021.3649,1025.7256,1692348
20151222,1041.2726,1118.0598,1040.4194,1104.1718,2866202
20151223,1111.0448,1126.1652,1080.7091,1121.5201,1833276
20151224,1123.3686,1130.0045,1092.0849,1103.8873,959214
20151228,1109.6228,1145.1725,1086.0179,1132.0428,1752379
20151229,1135.6925,1144.6984,1114.6472,1124.7432,1051880
20151230,1128.4878,1139.7689,1115.3107,1131.1896,735717
20151231,1132.8486,1180.2481,1123.3687,1170.6735,2337650
20160101,1179.3,1322.3044,1178.3995,1273.5776,4914713
20160104,1257.9833,1300.4059,1185.9361,1196.4587,2601131
20160105,1204.0426,1219.9689,1169.2514,1187.7845,1794052
20160106,1193.0458,1215.134,1166.028,1171.1472,1324225
20160107,1167.8767,1213.4277,1132.8485,1185.5094,2676791
20160108,1211.5317,1226.6048,1195.4159,1206.0333,1885516
20160111,1201.1038,1201.1038,1163.2316,1173.7543,1466002
20160112,1187.7371,1214.3756,1178.9207,1185.6041,1461663
20160113,1202.0518,1213.3329,1085.449,1164.8906,2422026
20160114,1160.2927,1165.0801,1120.809,1137.5884,1367813
20160115,1147.0684,1160.9565,1105.1198,1115.0737,1016860
20160118,1118.6286,1125.075,1053.9283,1072.9355,1168284
20160119,1084.3588,1154.0835,1063.1238,1143.9874,1803043
20160120,1121.3305,1151.8084,1090.1891,1139.5793,1715446
20160121,1161.4305,1174.5601,1123.3686,1135.5503,1408475
20160122,1113.8887,1113.8887,908.4592,917.9391,10529075
20160125,890.163,902.9134,840.6778,855.7509,6958344
20160127,862.6712,911.6823,862.6712,887.4612,3802299
20160128,889.215,897.7469,839.0663,856.3671,2430726
20160129,858.8792,866.2262,813.2335,829.2072,2256173
20160201,857.9314,872.1512,826.6477,836.175,1738121
20160202,836.6015,841.6259,789.3442,801.0519,2513511
20160203,794.4159,823.614,778.3001,794.3685,2373514
20160204,798.1131,807.593,740.4753,763.4641,2734418
20160205,765.9763,800.1039,742.5609,793.4206,2379290
20160208,809.5838,810.3422,768.8202,781.4759,1592321
20160209,767.8723,778.3002,744.1725,747.1587,1129062
20160210,747.9644,764.5543,710.9928,731.3272,1875096
20160211,729.9526,734.74,662.0291,682.2687,2840007
20160212,690.611,747.68,676.8651,739.1007,2346261
20160215,757.3021,805.6971,749.8604,795.4114,1907183
20160216,802.9478,812.4277,774.6029,797.1177,1353259
20160217,807.6879,815.2718,785.8841,796.1224,1430128
20160218,801.0518,815.2717,791.6667,804.986,775528
20160219,806.7399,812.7596,794.653,797.4969,577128
20160222,794.4159,800.1039,772.8965,777.2573,549452
20160223,774.5081,785.5996,755.7379,767.9196,669798
20160224,767.8248,782.0921,758.3923,766.4028,753973
20160225,763.2271,770.4318,739.4325,749.9552,607783
20160226,758.2976,800.578,735.5458,789.9604,1149764
20160229,805.8393,809.5839,740.6649,770.0052,1574628
20160301,762.0896,795.2692,758.3924,782.7557,1166246
20160302,797.7339,837.6917,783.9881,824.5146,1154361
20160303,827.5956,829.4916,798.4449,807.4508,598767
20160304,807.6878,835.8905,791.6667,827.4534,801090
20160308,829.1598,829.1598,806.8346,814.7977,645792
20160309,805.7918,812.9965,760.6675,770.5266,1287378
20160310,783.9881,788.728,759.3403,764.6965,908545
20160311,780.0065,804.6543,769.7682,777.8735,1791899
20160314,782.0921,786.832,755.2166,762.8005,792050
20160315,762.1843,774.4134,753.7472,758.4871,682452
20160316,759.3403,765.8814,755.5483,760.1461,500720
20160317,767.8722,774.5082,761.2363,764.9335,548774
20160318,763.1323,770.2422,750.8084,766.7346,661700
20160321,771.4272,815.2717,770.7162,804.7964,1511048
20160322,801.0519,812.0012,793.1836,799.7722,524063
20160323,798.7767,874.6633,794.4159,851.7693,2741028
20160328,843.7115,879.5929,828.5436,834.8004,1924647
20160329,832.3356,859.7325,824.7517,843.5219,799558
20160330,850.3474,859.6377,838.9715,844.6594,438894
20160331,844.6594,853.6653,824.8464,827.7852,503834
20160401,827.5956,864.5672,817.1677,861.2966,1133534
20160404,870.824,923.3427,859.6851,916.7542,2042054
20160405,913.7679,935.3347,903.103,922.8212,2433073
20160406,927.7983,946.8055,918.6028,941.8759,1402312
20160407,940.4065,963.1109,927.5138,939.2215,1267425
20160408,938.4631,955.1003,901.5389,904.6672,1145554
20160411,911.0188,942.3025,906.8002,934.4341,783292
20160412,939.4584,968.3722,937.6099,951.8297,940548
20160413,952.7304,983.777,950.1234,977.2833,1165031
20160418,987.5215,1007.7138,983.0186,998.7553,622498
20160420,1003.7323,1008.6618,962.2103,966.2393,808311
20160421,969.7942,979.2741,943.2504,948.9858,700396
20160422,950.7396,964.1062,943.3927,949.365,470384
20160425,949.8864,969.3202,949.8864,962.2103,492061
20160426,968.6565,980.6486,962.7316,976.4301,542855
20160427,979.2741,999.5611,969.7942,993.2095,677301
20160428,996.3379,1013.4017,996.3379,1008.567,793589
20160429,1018.1416,1023.8295,987.5214,1019.9901,967499
20160502,969.889,989.465,949.8864,971.9746,1249412
20160503,978.1838,1009.0883,978.1838,1004.1113,887436
20160504,999.1819,1016.7197,987.5215,1012.0745,542612
20160505,1017.0041,1038.0494,1000.2246,1031.7927,616887
20160506,1031.6032,1031.6032,1010.7948,1019.5637,258882
20160509,1017.1937,1027.6216,992.072,1021.4122,543566
20160510,1019.7532,1035.2055,1015.5821,1020.1324,576959
20160511,1002.9738,1018.9001,996.0535,1005.5808,287334
20160512,1009.6098,1009.7045,985.91,990.65,270503
20160513,988.754,1001.3623,981.2648,988.3748,275624
20160516,989.702,994.2049,968.8936,976.9041,331833
20160517,986.8579,1004.8698,979.8428,995.3424,650530
20160518,991.0765,991.0765,966.9502,972.2589,312255
20160519,976.4301,981.5966,951.7824,955.9536,240274
20160520,957.4703,959.8403,906.2788,912.4407,404476
20160523,923.3427,945.9522,914.005,940.5961,372105
20160524,939.4586,944.3881,925.1913,929.3151,281858
20160525,937.5624,942.7764,919.5506,934.0549,398977
20160526,934.7185,946.0944,924.2906,942.2076,460731
20160527,944.2459,985.8153,944.2459,976.5724,714190
20160530,984.014,1013.781,967.045,1005.5808,494962
20160531,1002.9738,1013.4017,988.754,1008.9462,235020
20160601,997.0015,1001.0779,961.2149,970.6948,407488
20160602,966.0022,980.222,953.2043,960.2668,173993
20160603,964.0114,965.623,938.6053,941.0701,190957
20160606,942.3025,975.4821,939.6955,966.7606,285232
20160607,969.7942,969.7942,946.2366,954.6737,160922
20160608,952.7303,955.5743,938.6052,940.8804,220461
20160609,938.5578,960.5038,938.5104,952.3511,453064
20160610,957.3756,964.9595,938.5105,946.3788,291713
20160613,936.6145,936.6145,924.2906,929.1254,175622
20160614,933.7231,943.203,927.3242,938.8422,161763
20160615,944.7198,979.2741,943.2504,958.7975,726978
20160616,956.5223,970.5526,943.2505,960.1247,272166
20160617,962.1629,967.8982,953.6784,960.7409,151801
20160620,956.5222,1032.3615,939.4584,1015.9612,1517137
20160621,1027.6216,1033.1673,979.2741,985.2938,1038570
20160622,985.91,987.1425,963.1109,971.9746,364809
20160623,976.3827,976.3827,947.1847,954.1998,220567
20160624,924.2906,957.4229,911.0188,952.2563,394163
20160627,961.7362,971.6427,957.7073,964.7224,161964
20160628,969.8416,987.8061,962.2103,966.9029,265778
20160629,966.8554,976.4301,959.3663,965.2438,181521
20160630,966.9502,971.6427,957.5177,962.5421,221332
20160701,960.3143,972.1641,952.7777,959.7455,404063
20160704,962.1629,999.1819,960.3616,990.3182,389989
20160705,994.2523,995.2951,812.0485,964.3432,667380
20160707,966.9502,979.2741,957.4703,960.3143,260124
20160708,962.1629,974.4867,948.9384,961.1675,300703
20160711,971.6902,975.0556,950.8344,956.238,295623
20160712,962.1628,971.6901,952.8251,959.8876,187568
20160713,962.4947,970.7422,940.9753,946.9002,184937
20160714,947.9904,957.0911,933.8179,940.1221,200105
20160715,940.4064,943.203,914.8581,919.835,259938
20160718,916.7067,927.6086,892.2959,900.8752,491029
20160719,900.3065,904.8094,889.4046,897.8417,182043
20160720,901.5388,905.3308,882.105,901.918,199032
20160721,902.4869,904.9991,893.007,897.3203,115831
20160722,899.6428,925.1438,894.5237,904.3354,324224
20160725,903.4348,918.5079,896.7989,906.7528,307986
20160726,905.3308,907.9852,890.4474,893.481,415932
20160727,899.074,912.1563,886.0866,899.1688,919423
20160728,894.6186,903.3401,887.5087,899.5482,363485
20160729,902.4868,941.7336,900.8278,936.4249,1663688
20160801,941.8758,945.81,914.8581,921.1149,726829
20160802,873.0992,898.1261,815.5087,821.0071,2626192
20160803,824.7042,837.9287,810.5791,817.9734,625649
20160804,819.9643,824.7517,781.1441,784.4147,600633
20160805,786.7846,795.8379,775.4561,778.8215,690586
20160808,782.0447,795.838,773.655,784.4621,634691
20160809,784.4621,784.4621,768.8203,770.6215,627826
20160810,772.6121,776.4041,753.6523,758.9611,594883
20160811,761.2363,765.9762,749.0072,752.2303,997841
20160812,753.6524,763.1323,749.8604,759.1507,396834
20160816,763.8433,800.7201,763.8433,783.4193,822545
20160817,799.9143,818.1157,796.5489,813.5654,873385
20160818,817.4521,837.9761,810.5318,834.5633,524320
20160819,835.7484,838.8768,818.1158,834.8952,307237
20160822,836.0327,856.9833,836.0327,854.9926,500464
20160823,859.6377,859.6377,844.6594,848.4988,232745
20160824,851.5798,851.5798,815.3191,833.1888,693603
20160825,834.2316,839.8248,823.8037,835.464,193479
20160826,829.4916,842.7635,810.5318,812.2382,288516
20160829,815.2717,829.3493,812.4277,823.8984,147557
20160830,824.7516,840.5831,824.7516,835.1321,215703
20160831,838.0235,848.404,828.5436,836.6963,269825
20160901,846.9346,847.3138,828.5436,831.5298,231230
20160902,835.9379,838.9715,816.3145,825.2256,187496
20160906,829.4916,836.9333,801.0519,823.7089,227442
