Date,Open,High,Low,Close,Volume
20150303,889.8723,889.8723,871.9807,883.8456,617171
20150304,903.9032,906.3986,850.4167,855.2192,996972
20150305,856.7256,864.306,841.047,859.9273,739059
20150309,855.0308,856.9142,838.5517,842.9775,1121892
20150310,845.6142,860.257,836.7154,844.4371,949910
20150311,845.7082,852.2057,833.4666,838.2691,661190
20150312,840.9057,849.8515,836.9507,839.7757,678466
20150313,842.7891,844.9549,814.7746,824.1442,789147
20150316,824.1913,836.9509,815.7163,826.0746,637728
20150317,830.6416,855.7841,829.4175,850.4637,578263
20150318,854.4657,867.1782,843.7308,850.5107,1120286
20150319,865.3891,865.3891,823.9559,829.7471,1142631
20150320,836.1974,842.6949,823.2496,834.6437,751604
20150323,836.1975,841.8475,830.1237,836.527,955973
20150324,833.3725,844.1546,827.3459,833.2313,704010
20150325,835.7267,837.9396,813.833,820.2363,715430
20150326,814.0683,827.6283,803.2863,810.1604,2107203
20150327,810.7725,835.7266,801.2617,829.3704,1088061
20150330,834.3613,838.0809,824.9918,836.1505,411951
20150331,839.0225,841.9416,826.31,834.3141,583298
20150401,832.525,874.4762,829.1351,871.2745,954252
20150406,871.9807,872.9224,858.1853,861.5753,573759
20150407,861.6695,866.8016,847.6858,854.0421,738125
20150408,861.7636,861.7636,847.5444,849.3336,456811
20150409,855.0307,892.556,848.439,888.8364,1086130
20150410,893.0739,895.946,881.0206,890.1077,761095
20150413,892.6973,899.1948,885.6348,894.3452,847695
20150415,898.2061,910.589,883.5162,891.332,862700
20150416,899.2889,903.0556,873.8169,879.9377,3431738
20150417,881.3972,881.3972,822.2137,824.8974,2706290
20150420,823.6733,829.8412,781.5809,794.5288,1937207
20150421,799.4726,809.8309,784.6885,788.926,1671993
20150422,790.9977,802.2976,772.1644,796.8831,1350387
20150423,804.9342,819.1533,800.5555,808.6537,1373721
20150424,813.0326,813.0326,776.1193,782.0989,1042505
20150427,785.3476,785.3476,763.2656,775.0364,1087851
20150428,770.4222,786.5717,759.0751,779.4151,1528666
20150429,780.451,792.881,770.3281,784.5001,1119768
20150430,781.6751,786.6659,772.2114,775.7426,1960263
20150504,779.6975,799.9432,778.9441,792.5983,868300
20150505,790.8563,796.6005,783.0876,787.7488,672307
20150506,788.1727,790.056,752.3894,756.109,985312
20150507,750.2237,753.3311,740.1478,748.8112,1753181
20150508,756.2031,768.1151,753.331,763.1714,1407570
20150511,768.7742,774.9892,758.9809,771.8347,1423467
20150512,774.8952,774.8952,747.8694,753.5665,1358401
20150513,758.1335,771.5993,748.764,769.5276,1074443
20150514,769.5277,772.1644,753.6136,769.0098,680132
20150515,772.1173,792.2218,770.2811,784.7356,1234559
20150518,781.3455,802.58,779.2738,796.9771,995778
20150519,796.6476,808.6067,793.0693,796.3651,816702
20150520,799.4255,806.0643,797.8247,801.8738,750251
20150521,805.8759,805.8759,789.1614,798.7193,503688
20150522,801.0734,811.3847,798.7663,802.8625,760999
20150525,802.1092,812.4204,797.5422,804.275,516256
20150526,803.2393,809.6426,792.2218,803.1922,552759
20150527,799.4255,814.5392,795.3293,810.1134,307557
20150528,813.5034,818.4,800.5084,805.405,1570880
20150529,805.0284,828.6642,803.3805,822.9671,739227
20150601,819.2475,833.3724,819.2475,831.442,641892
20150602,831.4891,832.4778,793.3517,797.7305,885470
20150603,795.7059,801.2618,785.3476,793.4459,505601
20150604,798.3426,803.0038,788.408,797.2597,454498
20150605,790.9976,798.3426,781.5809,785.7714,979963
20150608,779.6977,780.0744,761.8061,764.3486,1318893
20150609,760.676,770.6577,743.9144,761.9944,1076855
20150610,763.6892,782.24,763.6892,771.7875,997303
20150611,776.8726,777.8143,746.7394,748.7169,1251145
20150612,743.9144,766.5144,738.2645,763.501,1006880
20150615,762.7477,762.7477,746.2215,748.199,626249
20150616,748.6698,777.108,741.0894,773.6238,854175
20150617,778.756,779.6977,764.1602,770.4694,1319469
20150618,772.1643,782.5226,765.5256,777.3905,721061
20150619,778.2852,788.4552,775.6957,786.0069,497932
20150622,785.1593,815.0101,784.3589,790.2914,1357595
20150623,793.5402,798.0602,780.8278,784.9711,1202887
20150624,785.583,804.6517,785.583,795.235,905000
20150625,795.2351,833.7963,792.6456,816.5638,1929219
20150626,813.9742,833.09,801.3559,818.6826,1457184
20150629,809.3601,813.5976,792.0334,809.4542,696937
20150630,810.7255,823.7675,805.1226,821.79,738228
20150701,821.6958,834.3141,811.7142,824.4737,832607
20150702,831.8658,831.8658,817.3642,819.0121,688412
20150703,807.9475,848.0153,807.9475,841.3766,1092421
20150706,832.2425,848.6746,825.8392,846.8383,940588
20150707,843.7307,858.7974,842.7891,846.5087,698569
20150708,830.5004,843.7308,822.92,840.3408,719187
20150709,839.8228,845.049,824.1912,840.9057,1043039
20150710,845.52,851.2641,835.2558,842.7421,528685
20150713,851.4523,873.5814,842.8361,870.0502,3460092
20150714,878.5723,879.3256,865.7186,870.1444,1362690
20150715,867.602,877.6308,864.4475,873.0637,728864
20150716,875.7472,882.5272,870.0972,877.913,1581760
20150717,878.8548,883.9869,871.1332,881.256,941362
20150720,881.3973,894.5806,876.124,892.1794,757943
20150721,891.7556,895.7577,878.3839,883.6102,378818
20150722,882.3861,903.9973,878.5723,901.0781,668776
20150723,898.4415,908.6115,889.8724,894.3923,714586
20150724,893.639,910.1181,890.2961,900.0894,1061478
20150727,894.3922,897.4056,874.8998,883.5631,568643
20150728,886.1528,896.6994,876.4536,894.4394,1002593
20150729,893.639,903.0556,889.4485,897.9706,900217
20150730,903.0555,925.3259,900.6072,916.898,1155545
20150731,918.1222,931.588,913.5552,920.6647,994608
20150803,920.9472,928.4805,910.2122,917.0393,826349
20150804,916.2389,916.2389,885.2111,896.7465,1183219
20150805,902.1139,906.3514,893.2623,897.076,496812
20150806,897.123,902.3963,891.1434,896.0872,516457
20150807,898.2622,907.4349,890.7917,895.4726,452556
20150810,895.0472,905.922,885.7326,893.0613,547548
20150811,893.7232,901.1465,888.4749,899.0188,535103
20150812,895.4254,901.903,856.9852,864.7394,458811
20150813,862.2807,883.0374,860.5313,874.9995,590548
20150814,884.1722,911.1229,877.7892,906.8676,935467
20150817,907.766,912.2578,893.2504,900.0117,595833
20150818,902.1394,918.6881,898.6405,915.5675,594739
20150819,913.2506,917.1751,902.2813,905.4019,593595
20150820,896.4656,909.2317,868.1437,881.4299,591055
20150821,865.2595,874.6686,844.7392,856.0396,1314813
20150824,832.1621,832.1621,803.8875,818.5449,1626974
20150825,827.4338,835.9446,818.5448,830.318,1189117
20150826,829.2306,829.2306,802.3271,807.1026,1089934
20150827,817.032,823.6515,807.2447,811.831,1888490
20150828,822.7057,833.1078,785.1166,801.5707,1779090
20150831,795.2822,817.9775,792.4453,811.4053,810239
20150901,806.5825,806.5825,770.4119,786.2986,965840
20150902,790.5539,793.3436,765.2581,779.9628,1244494
20150903,784.8802,808.5211,775.4238,803.2256,916326
20150904,796.7007,797.2208,772.5869,795.0931,943412
20150907,803.793,812.8711,768.4734,775.613,1228245
20150908,776.8423,800.8615,771.9722,794.6675,2536360
20150909,806.6298,823.3676,795.3767,811.3107,2014128
20150910,799.5376,827.4339,790.1285,819.7743,1364608
20150911,826.9611,837.7414,815.2825,821.4764,1412833
20150914,820.8143,832.162,820.8143,828.6158,1144929
20150915,828.285,838.687,823.7459,830.8855,1937337
20150916,837.836,858.1672,836.6539,850.2238,1151193
20150918,856.0868,879.9169,855.8031,868.7111,2094161
20150921,855.8031,874.6213,855.8031,863.841,683274
20150922,869.042,870.9333,827.9067,839.7745,808319
20150923,827.4339,858.5455,825.5427,856.3232,955777
20150924,858.64,881.4298,847.6233,876.5126,2909599
20150928,876.6071,886.6308,866.3469,870.8387,1690643
20150929,863.179,905.9219,852.3042,890.177,3261855
20150930,904.8344,906.0164,888.4748,891.2172,2038714
20151001,898.3568,910.8865,890.5553,905.5436,1251550
20151005,913.487,917.175,900.6736,907.5295,1399766
20151006,911.5957,911.5957,895.2835,900.4372,1149797
20151007,900.9573,902.7541,890.0352,896.7965,1390453
20151008,899.3025,901.7611,885.307,893.4395,1367019
20151009,902.8959,905.1654,883.463,888.9477,3827106
20151012,892.683,905.9219,888.9005,893.2504,1028185
20151013,896.4655,898.0259,885.5907,894.527,819594
20151014,895.5199,909.7045,894.527,898.2623,1071537
20151015,902.0448,913.487,900.3426,905.7328,1103270
20151016,905.922,913.4872,898.4042,912.0214,744451
20151019,912.0686,920.4375,906.9621,909.7518,811801
20151020,908.286,917.3642,901.2883,904.6926,702126
20151021,905.9219,915.1419,900.1536,905.4019,737124
20151023,910.6501,913.7235,905.1182,907.6241,329508
20151026,911.5958,912.4469,904.0307,905.8747,774154
20151027,903.2742,907.4823,899.3025,902.1395,529820
20151028,897.4111,911.1229,868.9947,873.9593,1653036
20151029,870.0349,873.581,859.1128,864.7866,1155093
20151030,864.3139,872.1154,853.2972,862.3281,905083
20151102,862.328,867.0088,855.0466,863.9828,777036
20151103,865.2122,870.9333,859.1128,862.2806,1077484
20151104,865.5904,869.4203,859.822,864.0302,539364
20151105,861.4769,863.179,852.2569,858.1199,1329817
20151106,861.4769,873.7702,859.2074,870.886,1027490
20151109,853.9117,875.2831,851.0748,873.2028,1281696
20151110,864.3139,868.0019,842.5642,845.1647,1005017
20151113,840.5783,847.056,832.1621,843.7462,780686
20151116,841.0512,867.6708,841.0512,862.8008,641386
20151117,865.5432,866.5361,852.0206,856.9852,370477
20151118,855.803,863.3681,848.6162,852.0677,720317
20151119,859.5855,867.4816,851.6894,864.4556,654116
20151120,864.4556,880.8624,860.5312,871.737,1277692
20151123,872.8245,879.3967,868.1436,869.7039,561734
20151124,868.8056,877.5527,862.4698,869.5621,758435
20151126,872.73,873.8647,863.8409,865.7795,1010152
20151127,870.9332,876.1342,861.0985,873.1554,1152436
20151130,875.0941,887.9548,872.1626,884.4086,1180438
20151201,888.9003,893.6285,882.7537,891.4063,856641
20151202,893.1558,893.6286,884.3614,891.3591,795995
20151203,888.5695,897.884,882.281,895.2363,766241
20151204,888.9949,893.5813,884.0303,891.69,1331500
20151207,891.7372,902.5175,889.8459,900.9572,884329
20151208,897.3167,905.3073,890.319,892.8722,768665
20151209,891.7373,897.4111,874.0538,877.4108,620237
20151210,877.6472,881.7608,869.4675,879.5385,978676
20151211,877.5528,886.631,857.789,866.347,1189304
20151214,862.1388,871.8789,854.621,864.6447,1665452
20151215,865.2595,873.6757,856.9379,868.2383,1122718
20151216,871.217,890.2244,869.0893,882.0446,822684
20151217,887.0092,900.059,878.8767,897.4585,799986
20151218,894.2906,896.9383,879.2549,884.2195,1605306
20151221,885.1179,900.9573,883.0847,898.9715,497381
20151222,898.3568,898.3568,879.7277,883.8885,491307
20151223,885.2598,893.2504,885.2598,888.5695,460487
20151224,892.0211,897.8368,883.0375,894.007,528850
20151228,895.0471,907.3404,893.1558,905.5436,918653
20151229,903.085,909.7044,900.248,906.6311,748840
20151230,909.7045,917.1751,907.8132,915.8984,647879
20151231,916.3239,919.1136,910.8865,916.2767,1943876
20160101,915.3784,919.4446,909.0899,911.454,500233
20160104,909.5154,909.5626,881.2881,883.4158,1210344
20160105,889.6569,894.9052,881.5244,884.4086,780609
20160106,885.2598,900.059,876.1344,892.6358,1030625
20160107,883.3212,886.1108,870.6969,875.1887,1976106
20160108,883.7467,897.1275,881.3353,895.5671,744102
20160111,888.8532,890.9809,877.5528,885.8271,1193326
20160112,888.9004,890.6025,855.8976,863.6046,4267340
20160113,864.172,893.3923,864.1247,885.4962,3876447
20160114,870.9333,879.3495,863.3681,867.1507,1625707
20160115,869.7984,881.4298,865.8267,871.4533,1139012
20160118,866.7252,879.3968,845.3538,850.2238,1123421
20160119,848.4744,856.2759,839.7272,847.7179,1086798
20160120,836.3702,907.8132,819.6796,826.1573,1179428
20160121,832.1621,847.5287,821.0981,825.9209,1192113
20160122,839.6327,856.1813,832.9186,849.1836,1018517
20160125,855.8031,861.3824,850.6967,857.8835,666497
20160127,858.4982,868.0964,832.2094,858.8765,1054242
20160128,857.6944,867.8127,851.0749,857.8362,1679264
20160129,857.2215,884.1722,851.0748,878.3092,1369077
20160201,878.2619,888.5221,873.7701,876.7016,916513
20160202,876.6072,881.3354,854.6684,858.8765,688338
20160203,846.3468,865.4487,842.5643,856.4179,773012
20160204,862.4225,868.3327,854.4318,863.5573,812359
20160205,864.2665,867.529,859.5856,862.2806,1654488
20160208,861.0986,861.1459,830.7909,834.9517,1754784
20160209,825.5427,830.7437,812.7293,821.1454,2083698
20160210,818.9232,819.8688,782.7525,789.7029,2329955
20160211,784.8801,787.9062,755.5653,767.0549,5158251
20160212,770.6956,786.6296,756.511,767.8114,3788481
20160215,780.1519,786.7714,772.8232,778.9226,2167942
20160216,786.7241,793.3436,774.9509,789.4191,2242516
20160217,784.8801,789.9866,769.1825,786.3458,1141968
20160218,791.7833,804.1239,788.2844,801.618,1064050
20160219,797.268,802.5636,789.7029,795.755,1035996
20160222,799.0646,808.9466,794.5256,798.6863,613082
20160223,796.2278,799.5848,785.5894,794.0056,1908481
20160224,790.2231,792.4453,774.3836,777.2205,1034245
20160225,777.3151,779.1591,761.0028,763.8397,1480299
20160226,770.6956,777.7879,768.9934,771.9722,1045114
20160229,773.0597,793.8165,758.4023,784.8802,3045853
20160301,791.4997,820.4362,788.6628,814.0059,1330369
20160302,827.3394,847.7651,823.6513,834.6207,2349698
20160303,836.8902,849.2781,836.181,847.0558,1973901
20160304,849.9402,871.2171,833.0606,866.1107,1327247
20160308,866.205,877.1271,854.8573,870.9805,1879422
20160309,863.3681,886.489,862.6589,883.6521,1631962
20160310,883.2266,884.4086,869.042,876.8435,1128913
20160311,870.9805,882.4228,868.1436,876.3234,1436095
20160314,878.4983,881.3352,868.1908,871.0277,1238350
20160315,871.7845,881.2882,866.9617,868.4748,1027959
20160316,871.6899,876.6072,859.8694,865.8742,1558572
20160317,876.1344,877.5528,852.3515,862.9427,2374275
20160318,861.9969,883.9358,854.1482,878.4984,1678210
20160321,879.444,885.5906,872.6354,881.5244,1120071
20160322,881.7136,886.0635,872.5409,877.5527,1462833
20160323,878.4985,883.6995,874.7159,877.6001,1426779
20160328,876.6071,887.9548,862.0916,865.0703,4743485
20160329,868.0019,879.9169,863.1791,877.6001,1120607
20160330,887.9548,897.2221,884.6451,895.2363,1817471
20160331,894.7634,917.2696,885.6853,915.0001,2973760
20160401,914.1017,916.3239,899.066,909.0425,933728
20160404,909.0425,917.2695,904.0306,909.0425,1501960
20160405,907.624,911.5957,894.9525,899.5861,1278350
20160406,899.4916,906.9621,895.5672,903.4633,1055612
20160407,903.085,906.8202,886.5363,888.5221,865013
20160408,888.9004,895.3307,884.1722,886.0635,1035958
20160411,887.9548,909.7045,885.5907,908.5697,921823
20160412,908.7588,918.0261,905.4964,916.2767,1045525
20160413,921.9977,940.3904,921.0521,932.778,2933470
20160418,932.7781,939.634,924.0782,934.5748,1475787
20160420,934.2911,935.1895,920.6266,930.3667,1424974
20160421,939.0193,939.7758,912.0686,919.2554,3279337
20160422,921.7142,935.2368,918.0262,928.1445,1648861
20160425,928.9955,933.3454,921.194,928.9482,904348
20160426,928.6172,969.2797,921.9978,965.8754,3199405
20160427,966.3483,985.3556,964.5516,983.4644,3437073
20160428,983.1805,991.5967,973.0623,978.7361,1892339
20160429,975.9938,996.2305,971.3129,991.8333,922119
20160502,986.3014,997.6491,983.8427,988.24,1190614
20160503,988.1925,999.7766,976.4194,981.384,993373
20160504,980.6273,990.0364,973.1568,985.3555,1490442
20160505,985.3555,987.5305,970.4617,981.1475,1012279
20160506,981.4311,987.5306,969.5161,985.5446,858079
20160509,985.3556,1001.6206,982.4242,997.5544,2193370
20160510,997.6489,997.6489,990.3202,997.3652,1037333
20160511,979.7764,1002.1881,979.7764,996.4669,1502284
20160512,995.2847,1013.1573,989.3744,1008.1453,1085566
20160513,1002.377,1010.8878,997.6488,1007.2943,1078609
20160516,1005.214,1026.0181,1000.5332,1022.0464,806795
20160517,1024.1269,1040.0137,1018.4531,1025.498,1890354
20160518,1021.2898,1026.9636,1008.3818,1024.1267,692837
20160519,1019.3986,1022.33,1007.0579,1013.8193,778327
20160520,1010.8878,1017.8855,1001.4314,1012.2589,687097
20160523,1014.0557,1021.2426,993.2045,998.8783,1038361
20160524,998.9728,998.9728,982.6605,986.9159,1287874
20160525,997.8852,1039.1624,997.8852,1036.5619,1011656
20160526,1035.5216,1048.7132,1028.8548,1043.8905,1356124
20160527,1041.3847,1051.4084,1039.3988,1044.0797,1377065
20160530,1046.0655,1053.016,1037.2711,1040.4863,927569
20160531,1041.2428,1046.8695,1035.4745,1042.8977,1043245
20160601,1043.0396,1047.5787,1036.9402,1043.7488,692901
20160602,1044.9307,1063.749,1039.3988,1060.8175,1139626
20160603,1068.5716,1070.9357,1058.2641,1062.8505,771905
20160606,1063.7964,1068.5719,1054.9075,1060.7704,453741
20160607,1065.2622,1067.5789,1044.4108,1049.5646,886165
20160608,1052.496,1058.7372,1033.7723,1053.0634,644739
20160609,1054.2453,1063.8435,1043.3704,1061.0066,862716
20160610,1053.5362,1065.0257,1047.9097,1049.5646,1033099
