Date,Open,High,Low,Close,Volume
20150303,444.291,446.8035,442.0211,445.814,4905552
20150304,446.2313,448.9281,436.8992,441.313,4375228
20150305,439.8384,445.9887,433.3002,436.0649,5684916
20150309,438.2766,438.2766,422.7556,424.8994,7984720
20150310,426.4613,428.1783,419.1081,426.4419,6329916
20150311,425.6851,434.5903,420.8348,423.3763,6780912
20150312,422.7556,431.9615,422.3675,430.3803,5688564
20150313,431.6802,432.6502,425.3553,430.7877,6179684
20150316,428.8766,442.7389,428.8766,439.7607,6818632
20150317,439.7607,442.2538,430.1765,434.6873,5539312
20150318,437.4036,439.0236,431.2048,432.5532,4905564
20150319,433.5427,436.3364,431.2436,432.7375,6891740
20150320,434.7845,440.1974,433.2226,437.976,6430896
20150323,437.1125,441.3808,431.7772,433.3195,5078700
20150324,433.6008,437.1901,427.9939,429.0512,6736532
20150325,431.2727,432.4853,426.9753,430.5355,6170968
20150326,428.3819,429.7206,413.6369,416.421,15740840
20150327,419.8454,431.622,419.6514,427.247,10074220
20150330,427.9163,434.5903,425.8403,432.2622,4623088
20150331,435.5604,441.1189,427.6738,430.39,8016412
20150401,426.6163,426.7328,418.623,421.7757,6738488
20150406,422.7555,423.8613,419.1468,422.6003,7741752
20150407,421.9794,423.4928,414.8009,418.9722,8542268
20150408,423.4347,427.7806,421.6013,426.9366,10185576
20150409,429.0416,430.4967,423.8032,429.7401,10581548
20150410,428.8086,434.2022,428.8086,433.4164,7123776
20150413,434.2023,435.3663,429.9534,434.3575,4872336
20150415,433.9113,435.5604,425.8694,429.4878,6237784
20150416,431.098,432.8442,419.1662,425.7917,9007812
20150417,422.9593,425.8501,417.7985,422.8041,6450316
20150420,422.1734,422.9494,410.3676,413.6659,12825384
20150421,416.7411,418.1186,411.3281,415.6935,8881648
20150422,417.3329,418.0992,407.0307,414.7428,12350984
20150423,416.8768,417.1291,409.7566,411.6967,11891800
20150424,414.3935,417.1679,384.1468,387.0958,43565452
20150427,388.0271,388.4152,377.9578,385.049,19822640
20150428,384.5348,384.5348,378.7144,380.4411,10393500
20150429,380.4411,382.5946,375.9885,380.4896,8289056
20150430,380.2665,381.2366,374.8924,376.8228,13134260
20150504,380.1695,388.0271,378.307,386.6884,13361592
20150505,388.0271,388.745,378.7242,380.8001,9408516
20150506,383.1768,383.1768,371.5942,372.9038,10508408
20150507,372.894,381.644,370.5658,377.1623,6779984
20150508,379.8785,381.7314,377.4049,379.8688,5777676
20150511,381.2365,388.027,378.7531,386.795,4785512
20150512,386.7952,386.9795,376.7744,377.7638,8284892
20150513,378.6659,381.2172,374.1551,379.6263,7099084
20150514,380.2666,380.4218,370.1779,375.3774,6233844
20150515,375.4163,381.5471,374.8924,380.6061,5189344
20150518,382.2067,387.8137,380.5769,386.6787,6469976
20150519,385.5631,394.9533,385.3109,392.3633,10272076
20150520,395.7876,398.1158,394.5459,397.2039,5882188
20150521,397.5143,400.0365,395.2541,397.427,10059312
20150522,396.5637,398.0286,393.8669,397.0391,6888824
20150525,397.8248,398.9986,389.3949,391.2865,4675808
20150526,391.9074,394.1288,388.4442,389.4434,3965040
20150527,389.3853,389.7733,379.2966,381.9157,8454708
20150528,383.2155,394.2355,383.2155,391.2477,10980540
20150529,388.9681,398.9792,388.2211,392.5185,18993044
20150601,394.3908,400.444,392.538,397.301,5724892
20150602,397.3591,398.7172,388.9971,389.7052,4673140
20150603,391.5581,395.6809,389.5792,392.082,5495796
20150604,393.8475,398.6978,390.4716,393.4691,7489464
20150605,393.8475,396.5637,389.6083,390.2874,6125788
20150608,391.9073,392.8095,385.5049,388.0368,6141048
20150609,388.7547,389.5113,384.7289,386.4944,7561740
20150610,386.0871,395.6616,385.117,393.1685,6385840
20150611,395.0019,396.7092,387.0668,387.5712,9229464
20150612,388.9972,392.9842,379.3935,383.1865,9852924
20150615,384.831,393.438,381.3055,390.1488,5236426
20150616,391.685,395.0924,388.002,393.6546,5223444
20150617,398.2437,402.1828,390.8382,392.2169,6412068
20150618,396.1165,397.0422,392.2562,394.6788,3474426
20150619,397.9679,398.0073,391.1926,392.0789,6670458
20150622,395.8408,405.2356,392.7289,403.3054,5710868
20150623,403.7585,404.7039,393.182,394.0683,6952116
20150624,399.8194,399.8194,390.4443,391.9806,7073694
20150625,393.5956,395.2894,389.0459,390.1488,7117466
20150626,393.5167,398.48,393.1622,395.9787,5320284
20150629,388.7898,393.7137,387.0172,390.0306,5690668
20150630,389.9715,391.3305,386.0324,387.7459,6212530
20150701,389.5776,395.8802,388.3959,392.8865,6880852
20150702,393.5167,394.4621,388.0216,389.1837,4007568
20150703,389.1837,391.1533,386.8203,390.0897,2695306
20150706,388.002,389.1837,384.0629,387.3323,4305602
20150707,388.0021,389.9716,385.6386,386.2295,3497418
20150708,385.6385,385.6385,376.1059,377.1694,7024178
20150709,377.1694,380.5177,367.9322,369.4882,8587772
20150710,373.4667,375.0424,367.3808,369.2913,7411522
20150713,370.6699,376.1847,367.9322,374.2742,6531768
20150714,376.1847,383.4721,372.4426,382.5858,5367074
20150715,382.0933,388.3762,381.3055,387.6081,4129566
20150716,389.0656,390.5624,385.8355,389.5974,3472938
20150717,390.3655,395.6832,389.617,394.6394,3447978
20150720,394.4622,398.1649,388.9474,394.4031,4377180
20150721,407.6976,452.6034,407.6976,438.2848,38310112
20150722,435.2714,438.0287,424.104,434.5426,12665660
20150723,434.8577,439.9982,429.3627,432.5139,7710748
20150724,431.5489,435.8425,426.6447,428.4173,4480302
20150727,428.1415,428.5551,417.7226,419.6331,6752244
20150728,420.8936,423.8479,415.2803,418.668,8476602
20150729,423.06,430.1504,419.5148,427.5506,7071334
20150730,429.3626,429.3626,416.7574,421.4844,11956598
20150731,424.8523,425.9553,417.5453,424.2615,7931012
20150803,424.6357,430.1504,421.0708,425.0099,7961012
20150804,424.6357,425.0099,414.0001,416.4621,9099054
20150805,418.3331,429.3626,418.3134,427.9248,4753476
20150806,430.9382,435.4682,424.2417,428.1611,7238252
20150807,425.2267,433.6957,424.8327,431.5686,4988058
20150810,432.5139,435.8031,420.3027,427.787,3992754
20150811,432.8291,439.9589,431.6079,436.9061,7574406
20150812,439.2104,452.6033,437.6347,450.7914,10168440
20150813,451.8155,459.6346,415.7924,456.1485,9787960
20150814,458.906,460.3634,450.2793,452.7019,5109066
20150817,452.9974,454.3563,442.1648,449.9052,3107436
20150818,452.9973,463.9086,452.9973,458.6499,4150446
20150819,460.8755,467.2568,458.0393,463.0617,6869518
20150820,456.5425,460.2847,444.3313,446.9114,8369114
20150821,449.4128,457.3107,440.1953,452.958,10822142
20150824,437.2211,442.3617,424.872,430.1702,14122684
20150825,433.3017,440.786,411.4396,427.6491,13735078
20150826,429.2839,432.12,417.1514,419.3573,11498212
20150827,428.5748,433.3411,424.6554,426.5265,15343392
20150828,433.932,443.1101,433.932,437.6545,7208820
20150831,447.0295,447.0295,426.4083,431.0959,9917064
20150901,429.3626,439.0528,426.2113,428.9687,9071550
20150902,432.5139,439.2104,429.3626,433.0851,11171830
20150903,437.2999,438.0287,430.3474,433.0457,8590536
20150904,434.4835,437.6348,420.3027,423.0404,7318888
20150907,427.3733,427.393,415.5757,417.0529,5180988
20150908,418.3332,423.0601,414.5122,417.0727,5459496
20150909,428.2203,433.1442,422.2723,428.8506,9148664
20150910,427.3537,429.9535,417.9392,425.6008,8363004
20150911,429.9733,435.8229,427.5901,429.6581,9883810
20150914,432.9078,434.8774,426.4674,433.2033,6557076
20150915,433.0653,434.5622,428.6338,432.9865,5291886
20150916,436.453,437.1423,432.6321,433.9517,7478240
20150918,437.9499,440.3527,432.9275,435.0546,11576876
20150921,433.3017,436.7878,430.3474,435.1334,4351234
20150922,439.2104,447.4628,433.735,436.2364,9626986
20150923,436.2364,443.6813,432.2973,439.7028,4758254
20150924,438.6195,454.0608,437.2408,449.2748,13399262
20150928,449.0385,450.1809,433.6957,435.488,9788464
20150929,434.0896,446.4584,432.317,441.9087,8699370
20150930,446.8523,460.4619,443.5237,457.7045,9495692
20151001,460.8361,471.8065,456.9364,462.077,10864394
20151005,462.0572,468.4976,457.7241,465.5039,6881760
20151006,467.5917,469.7582,452.2489,454.8093,8711880
20151007,455.3608,460.3832,444.5085,446.3796,9182488
20151008,447.6401,452.8397,443.5631,445.966,9080874
20151009,447.4825,462.0178,447.4825,459.8513,11782138
20151012,472.2989,480.4922,436.8469,442.3223,30404970
20151013,436.2364,437.6348,427.4719,433.0654,15326862
20151014,429.9338,439.4271,428.2597,432.3564,8865510
20151015,433.2623,435.0152,429.0081,432.2578,8255666
20151016,436.8891,437.8432,433.3113,435.2592,6418992
20151019,438.0818,443.6473,437.4855,442.0372,7347494
20151020,442.4546,449.2127,441.5005,447.6026,8788310
20151021,447.2251,455.9112,447.2251,452.5521,7278098
20151023,453.9037,458.356,447.2648,457.1237,6033362
20151026,458.7535,460.5424,454.4402,458.018,3195942
20151027,457.1633,459.151,454.8178,456.9248,5263748
20151028,454.9769,460.3436,452.7905,458.4354,5255472
20151029,458.3957,459.5088,451.6178,455.1956,5887324
20151030,455.1756,455.1756,449.2126,451.3791,4044676
20151102,449.2126,451.5183,442.8918,449.6896,3544988
20151103,450.5642,457.3421,450.5642,455.3744,3614682
20151104,457.2031,460.1846,450.127,451.9159,3205572
20151105,454.3607,455.1756,444.9988,446.3902,2345306
20151106,446.4298,454.7383,446.3901,452.5121,3026172
20151109,445.2373,453.1879,443.3291,451.0413,6125676
