Date,Open,High,Low,Close,Volume
20150303,31.5283,32.4129,31.1086,32.1692,6942954
20150304,32.3136,32.3858,30.5084,30.7882,4021098
20150305,30.7792,31.5735,30.6077,31.4742,5449146
20150309,31.5464,31.7269,30.9958,31.587,4896720
20150310,31.411,31.4832,30.725,31.235,3703890
20150311,31.1989,31.5644,30.5129,30.7837,4312578
20150312,30.6438,31.3929,30.6257,31.2124,4008762
20150313,31.3704,31.4516,30.4948,30.6031,3182934
20150316,30.7792,31.235,30.6663,30.8198,3185022
20150317,31.1131,31.7269,30.8108,31.3252,7264404
20150318,31.587,31.9435,31.3478,31.5644,11856552
20150319,31.6818,32.1286,31.3388,31.6276,6286308
20150320,31.596,31.8081,30.8694,31.059,4130466
20150323,31.0906,31.1898,30.7792,30.8649,1617660
20150324,30.9597,31.6637,30.8017,31.3433,3244128
20150325,31.411,31.8894,31.2846,31.7585,3513276
20150326,31.6863,32.1331,31.3388,31.5509,7019994
20150327,31.5464,31.8623,30.725,31.2756,3753294
20150330,31.4967,32.1331,31.3207,31.9977,2952924
20150331,32.0834,33.8842,32.0834,33.2749,13902816
20150401,33.3742,33.821,33.2614,33.4509,5079258
20150406,33.3561,33.8932,33.2659,33.7578,3780102
20150407,33.7758,33.839,33.4103,33.5953,6784962
20150408,33.5773,34.8409,33.4193,34.0421,16499136
20150409,34.2768,34.5701,33.6269,33.848,5714130
20150410,33.9383,34.2813,33.5773,33.8526,4706664
20150413,33.5773,34.4799,33.5773,34.0241,4241178
20150415,33.8526,34.367,33.487,33.663,4252992
20150416,33.3967,33.7217,32.3497,32.8462,3800088
20150417,32.8552,33.2298,32.3497,32.44,3117276
20150420,32.2549,32.8552,32.0609,32.4445,5612826
20150421,32.2595,32.6882,31.9029,32.0654,2566998
20150422,32.2188,33.0628,32.0564,32.8055,5996208
20150423,33.0763,33.5412,32.8191,33.2614,7098750
20150424,33.1756,33.487,31.9661,32.115,6135828
20150427,32.2504,32.3091,31.1718,31.5554,3226470
20150428,31.7224,32.282,31.2801,31.7224,6696174
20150429,31.772,32.1602,31.4155,31.578,4432842
20150430,31.5915,32.9184,31.3704,32.6024,6674658
20150504,33.2568,33.3245,32.3271,32.9229,4222446
20150505,32.9815,33.1214,32.3317,32.8732,3672384
20150506,32.7469,32.7469,30.2421,30.3549,10602486
20150507,30.5986,30.6889,29.4704,29.863,7405134
20150508,30.0977,30.7521,30.0165,30.2692,4109454
20150511,30.4136,30.6528,30.2286,30.5941,3700230
20150512,30.8649,30.8649,29.4343,29.9984,7172562
20150513,29.8359,30.364,29.1906,30.2376,9560850
20150514,30.3279,30.3279,29.5245,30.1428,6036018
20150515,30.1067,30.6618,30.03,30.3865,3221058
20150518,30.5716,31.2124,30.54,30.9958,5454390
20150519,31.0499,31.3975,30.8288,31.1176,2608722
20150520,31.3162,31.3523,30.8784,31.0138,2337354
20150521,31.1357,31.5735,30.8288,31.4922,3420252
20150522,31.5013,31.6637,31.1808,31.4516,3376914
20150525,31.587,31.9165,31.235,31.4877,2749308
20150526,31.5058,31.5689,30.9777,31.3794,2215770
20150527,31.2801,32.4896,31.2169,32.3723,4154688
20150528,32.4896,32.7649,32.1421,32.5528,5864682
20150529,32.6747,33.8165,31.9526,32.1511,18899490
20150601,32.2233,32.5528,31.8533,32.0203,5566392
20150602,32.0428,32.1466,31.3659,31.5103,3776832
20150603,31.5915,31.6818,30.3459,30.5896,4770900
20150604,30.6889,31.772,30.6889,31.6366,8533614
20150605,31.6141,32.2233,31.2666,32.0428,5735328
20150608,31.9887,32.0157,31.5012,31.6727,2293350
20150609,31.5013,31.8172,31.4291,31.5644,6162282
20150610,31.5012,31.9526,31.1853,31.2756,3381372
