Date,Open,High,Low,Close,Volume
20191014,120.4446,143.1097,120.2522,140.0216,226353035
20191015,141.609,143.8023,133.9224,137.2125,52650205
20191016,137.3761,138.7229,134.3457,134.8075,17381530
20191017,134.7017,141.0317,132.21,139.3578,25164650
20191018,139.4925,151.9795,137.7705,149.9112,48666150
20191022,151.4119,166.7657,150.2671,162.5232,46733940
20191023,166.6214,175.0679,166.6214,173.2208,45116345
20191024,177.9636,183.4567,165.9768,173.5575,59356565
20191025,174.1251,176.2415,168.5454,172.9803,19247675
20191027,175.2796,177.9732,172.2011,174.6446,6711285
20191029,174.5099,174.5869,169.0553,169.9115,10118740
20191030,169.5074,177.0112,169.4786,171.3257,16381015
20191031,173.1631,174.6446,168.7378,169.6421,9198590
20191101,170.2771,174.6927,169.9115,171.3353,9411150
20191104,172.2011,172.7783,169.3631,169.9788,4195835
20191105,170.6041,174.5099,167.6411,169.6036,10190335
20191106,170.277,172.2011,169.5074,170.1423,4950450
20191107,171.0467,171.6239,169.3343,169.6036,3875510
20191108,169.2669,171.4315,167.8335,168.7186,4743845
20191111,170.4695,181.5038,170.0847,179.4932,27509375
20191113,183.7453,188.7285,173.7788,179.3297,30872350
20191114,176.0492,182.2061,172.5859,174.5677,14336980
20191115,177.0112,180.8208,173.5479,178.5889,15970190
20191118,179.7241,180.4552,176.4436,177.4249,5720000
20191119,177.5403,177.7808,173.1631,173.6537,5522965
20191120,174.8948,176.434,171.2391,172.3358,6322985
20191121,172.7783,174.3175,169.3343,170.2386,6485590
20191122,171.0467,171.0467,167.8528,168.5262,3738365
20191125,169.1226,171.2391,167.9874,169.7287,3437825
20191126,170.6619,172.2011,168.4492,169.0649,3971740
20191127,169.5267,171.4315,169.315,169.9403,2933130
20191128,170.2674,170.8158,168.9495,169.7864,2078740
20191129,169.7287,176.7611,168.9303,172.634,8998765
20191202,173.5479,173.7115,168.9591,169.5171,2332100
20191203,170.4694,171.0467,167.5834,168.353,2754285
20191204,167.7758,170.2771,165.9095,168.1799,3705230
20191205,169.2188,171.0274,167.7758,168.5358,2634880
20191206,168.7378,169.0553,167.0351,167.8432,1776855
20191209,168.6512,168.6512,166.2654,166.8907,1771245
20191210,167.3525,167.3525,164.5627,165.6401,1974045
20191211,166.2173,167.3814,164.6012,166.3616,2205205
20191212,166.429,168.9302,165.4862,167.3718,1451385
20191213,168.2088,173.8173,167.4103,171.3353,7002525
20191216,172.1049,172.1049,169.7287,170.6041,1780960
20191217,171.0467,172.8745,169.8923,170.6138,2816655
20191218,170.6234,170.7581,168.0259,168.4204,1424660
20191219,167.8143,168.5454,166.6599,167.3333,1513725
20191220,168.1606,168.1606,166.5252,166.7849,1306000
20191223,167.0062,167.391,165.6594,166.3809,1641045
20191224,170.2771,173.1247,168.3915,170.7677,12020790
20191226,170.4695,170.8543,168.2568,168.7186,1962805
20191227,169.6902,170.354,168.7378,169.4305,2102615
20191230,170.3251,180.3686,169.95,178.1944,15237855
20191231,179.32,183.6876,177.2613,179.599,19445900
20200101,181.2248,183.5241,179.8588,181.6962,8593275
20200102,181.6289,181.6289,178.3676,179.0122,3287655
20200103,178.5504,181.5327,178.4638,179.2046,4342850
20200106,178.358,178.3676,171.2583,172.0953,3923670
20200107,172.5859,177.2998,172.5859,174.5869,3486795
20200108,172.9707,173.6634,170.5272,172.4224,2770350
20200109,175.1545,177.1266,175.0872,175.7894,2997000
20200110,175.472,178.435,174.8274,176.4821,2543885
20200113,177.0112,181.398,176.2512,180.6957,3914925
20200114,181.8213,189.2673,181.2537,187.4298,14487235
20200115,188.1706,191.6338,187.3721,189.5944,8562850
20200116,189.4789,194.01,189.4693,193.1057,7607070
20200117,194.3275,197.2135,194.3275,196.6075,5496735
20200120,197.6368,197.8292,190.1042,191.124,4438240
20200121,190.9412,191.326,188.1706,189.0845,2882445
20200122,190.4794,193.5579,189.9022,191.7974,2970515
20200123,192.1341,192.5478,190.287,191.5377,1633700
20200124,192.4035,194.8277,190.8835,192.9229,2432850
20200127,192.769,195.7609,191.4415,193.8657,2760640
20200128,195.0202,203.9284,194.3564,201.7735,6514465
20200129,206.3527,217.3967,204.6211,214.7992,14390900
20200130,217.9546,223.9576,214.7319,218.7916,19073065
20200131,221.668,237.6183,220.504,232.8659,16631450
20200203,229.797,243.0056,228.2001,240.6678,14263290
20200204,248.2005,276.6762,247.4309,271.7987,32973625
20200205,280.3318,297.8021,277.2534,290.2502,54801510
20200206,294.7621,300.7266,283.2179,289.4325,27968115
20200207,288.6052,293.9925,285.1419,291.2026,11897055
20200210,293.2036,295.9165,282.0635,284.7956,14954080
20200211,287.6817,289.5673,265.2475,270.9041,14445050
20200212,268.4029,278.985,259.7447,272.299,26712510
20200213,304.6708,309.731,291.5585,304.0648,56906935
20200214,307.6531,308.5959,297.956,299.6491,16647740
20200217,301.0922,301.1114,290.5292,292.1935,7844795
20200218,291.4912,317.0809,285.7191,315.2723,37932555
20200219,320.6019,360.314,319.0819,352.4639,66560220
20200220,359.7944,380.3816,358.2648,371.3483,60260010
20200224,367.4705,384.8577,350.4508,372.0156,49287130
20200225,371.9768,385.6506,370.7583,377.5179,28821120
20200226,378.8814,383.6586,375.2067,377.4599,18443625
20200227,380.4287,381.0089,365.3044,369.2886,17376895
20200228,356.253,360.8754,334.843,337.2606,25451290
20200302,350.064,362.3839,316.4985,333.2861,24522045
20200303,342.3278,349.8706,326.1881,336.3903,21576015
20200304,338.8465,341.3607,302.757,302.757,22030465
20200305,291.4621,294.9337,272.9145,276.7343,38036670
20200306,262.9058,262.9058,262.9058,262.9058,1160040
20200309,249.7639,249.7639,249.7639,249.7639,675325
20200311,237.2796,262.2482,237.2796,248.5938,20419620
20200312,236.1675,236.1675,236.1675,236.1675,677425
20200313,224.3601,245.3929,224.3601,237.4536,15914735
20200316,228.4313,231.6998,225.5882,225.5882,6725625
20200317,222.8032,227.9864,214.3127,214.3127,8989995
20200318,208.2204,210.4155,203.598,203.598,2059540
20200319,193.4249,199.7879,193.4249,193.4249,3359100
20200320,187.6517,194.3726,183.7546,183.9287,15339665
20200323,174.7322,174.7322,174.7322,174.7322,831170
20200324,166.5222,169.8004,166.0,166.0,1346635
20200325,158.6409,159.5595,157.7029,157.7029,1476345
20200326,149.8216,165.5841,149.8216,165.5841,5266130
20200327,173.8619,173.8619,173.8619,173.8619,797295
20200330,172.1116,182.5458,165.971,180.9889,9125940
20200331,190.0306,190.0306,190.0306,190.0306,323060
20200401,199.5268,199.5268,199.5268,199.5268,280930
20200403,209.4969,209.4969,209.4969,209.4969,1114130
20200407,214.6801,219.9698,212.5527,219.9698,2977140
20200408,230.9649,230.9649,230.9649,230.9649,481645
20200409,242.5112,242.5112,242.5112,242.5112,513775
20200413,243.4976,254.6281,232.106,249.6479,18673095
20200415,237.1732,249.2611,237.1732,237.9952,7513670
20200416,236.7284,249.8896,230.1526,249.8896,6640150
20200417,262.3836,262.3836,253.1001,262.3836,9751210
20200420,272.1216,275.4966,264.9656,275.4966,5904465
20200421,272.7018,287.2072,266.8996,282.7782,12942850
20200422,286.2401,291.8489,270.9805,277.4305,10123290
20200423,278.504,280.2349,264.1049,265.2267,7430780
20200424,257.2294,260.6623,251.9688,251.9688,4558270
20200427,244.0778,257.21,239.9873,245.1705,7345540
20200428,247.5591,257.4228,238.8559,256.9199,10009745
20200429,263.8051,263.8051,252.5006,255.1019,6271095
20200430,259.1634,260.1207,254.3283,256.1366,3995625
20200504,245.6444,252.2008,245.6444,248.0136,3829230
20200505,252.3942,253.3226,243.691,244.0778,3284695
20200506,244.4646,245.4123,232.5218,235.2198,4604495
20200507,235.8387,241.5538,230.1526,234.9007,5116205
20200508,237.8888,246.6404,236.3416,240.113,9340630
20200511,252.1138,252.1138,252.1138,252.1138,646280
20200512,264.7141,264.7141,264.7141,264.7141,860400
20200513,277.9431,277.9431,266.126,277.9431,11339175
20200514,284.2964,285.2731,267.4121,268.6789,19010370
20200515,259.5502,266.3968,256.388,257.2487,6426190
20200518,253.4579,254.3186,244.3872,244.3872,4313685
20200519,244.658,253.3516,240.9156,245.6057,6044500
20200520,257.8773,257.8773,257.8773,257.8773,2592840
20200521,270.7678,270.7678,270.7678,270.7678,932825
20200522,280.2445,282.372,270.7677,275.158,13014475
20200526,280.2446,280.2446,265.5458,266.4644,5837790
20200527,260.5172,273.6495,257.4227,269.1721,6029400
20200528,268.6403,271.5413,263.4183,267.1511,3602915
20200529,266.8996,275.0226,264.2596,272.7694,6210850
20200601,280.4381,280.4381,272.9726,273.8139,4756855
20200602,275.0226,275.6029,271.1545,272.6728,3180730
