Date,Open,High,Low,Close,Volume
20210129,21.2507,22.0188,20.7813,21.1653,381938573
20210201,21.5494,21.6774,21.2507,21.4214,72044464
20210202,21.7201,21.7201,21.08,21.1227,36735442
20210203,21.1653,21.2507,20.5252,20.6959,45816269
20210204,20.6959,22.0188,20.3546,21.6347,88486029
20210205,21.8481,22.3601,21.8054,21.9334,56318695
20210208,22.1041,22.1468,21.8481,21.9761,28324374
20210209,21.9761,22.0188,21.5067,21.592,25243532
20210210,21.6774,22.0188,21.336,21.6774,33132159
20210211,21.6774,21.8908,21.5494,21.6774,13586295
20210212,21.7627,21.8054,21.592,21.6774,15658220
20210215,22.3601,22.3601,21.8908,21.9761,45629832
20210216,22.1041,22.1895,22.0188,22.1041,34557518
20210217,22.5044,22.7712,22.1486,22.5044,28638408
20210218,22.6378,22.9491,22.5933,22.8157,21022422
20210219,22.8157,22.8602,22.4154,22.5489,14542153
20210222,22.5044,22.5933,22.1931,22.2375,16652770
20210223,22.2375,22.371,22.1486,22.1931,13021961
20210224,22.1486,22.4154,22.1041,22.1486,10958830
20210225,22.1931,22.4154,22.1486,22.1931,22761296
20210226,22.1041,22.1931,21.7928,21.9262,36424500
20210301,21.9262,23.7497,21.9262,23.0381,93579588
20210302,23.216,23.3939,22.6378,22.8157,48494934
20210303,22.9491,23.0826,22.6378,22.6823,18806435
20210304,22.4599,22.8602,22.4599,22.5933,21742960
20210305,22.5933,22.7268,22.0596,22.1931,25255199
20210308,22.3265,22.4599,22.0596,22.1041,16353985
20210309,22.1931,22.6823,22.0596,22.1931,21380757
20210310,22.2375,22.3265,22.1041,22.1041,11360743
20210312,22.1486,22.282,22.0596,22.1041,17086939
20210315,22.1486,22.1931,21.7928,21.9262,17382950
20210316,21.9262,22.0596,21.7928,21.8373,9649363
20210317,21.8373,21.8817,21.437,21.4815,14312130
20210318,21.5259,21.8817,21.2591,21.3925,16168159
20210319,21.348,21.437,20.9033,21.3036,15260549
20210322,21.348,21.7928,21.2146,21.2591,13817385
20210323,21.2591,21.437,21.1257,21.1701,13742805
20210324,21.1701,21.2591,20.8143,20.8588,16788250
20210325,20.8588,20.9478,20.3696,20.4141,19233029
20210326,20.6364,20.7254,20.3696,20.503,16323314
20210330,20.592,20.7254,20.3696,20.4141,14301425
20210331,20.4141,20.5475,20.3696,20.3696,11770453
20210401,20.4585,20.6364,20.1917,20.3251,18367745
20210405,20.3251,20.3696,19.8359,20.0138,20106460
20210406,20.0138,20.0138,19.4801,19.569,25085603
20210407,19.569,19.8359,19.4801,19.7025,14507382
20210408,19.658,19.8804,19.4801,19.5246,18025782
20210409,19.569,19.6135,19.4801,19.5246,16396258
20210412,19.4356,19.4356,18.5016,18.5461,25942981
20210413,18.5461,19.1243,18.5016,19.0798,14831755
20210415,18.9464,18.9909,18.5906,18.7685,18166238
20210416,18.9019,19.569,18.724,19.3467,22174311
20210419,18.8574,18.9909,18.5906,18.813,10477070
20210420,18.813,19.2577,18.7685,18.9019,12199610
20210422,18.813,18.9464,18.6795,18.724,8974995
20210423,18.7685,19.1243,18.6795,18.7685,15602661
20210426,18.7685,18.9909,18.6351,18.6795,12051423
20210427,18.7685,19.1243,18.724,18.8574,14181276
20210428,18.9464,18.9909,18.7685,18.813,14514238
20210429,18.9464,18.9464,18.7685,18.813,9521946
20210430,18.724,19.0353,18.6795,18.9464,11713860
20210503,18.813,18.9019,18.6351,18.724,17512189
20210504,18.813,18.813,18.5906,18.6351,26418223
20210505,18.6795,18.8574,18.6351,18.6795,9381211
20210506,18.7685,18.813,18.6795,18.7685,7525053
20210507,18.7685,18.813,18.6795,18.7685,8322642
20210510,18.813,20.1917,18.7685,20.0583,51346170
20210511,19.8804,20.5475,19.7469,20.4141,33120701
20210512,20.4585,21.1701,20.4585,20.8143,34159626
20210514,21.0812,21.2146,20.4585,20.503,18230175
20210517,20.592,20.8588,20.4585,20.503,13816130
20210518,20.6809,20.6809,20.3696,20.5475,9997457
20210519,20.5475,20.9478,20.503,20.5475,19146895
20210520,20.6364,21.0367,20.4141,20.5475,21995952
20210521,20.6364,20.8143,20.592,20.7699,14712804
20210524,21.2146,21.4815,21.0812,21.348,32823856
20210525,21.5259,21.5704,21.2146,21.3036,15738661
20210526,21.437,21.437,21.1701,21.2146,10671045
20210527,21.2146,21.3036,20.9478,21.0367,10133530
20210528,21.0367,21.1257,20.7254,20.8588,10532654
20210531,20.8588,21.3036,20.7699,21.1257,19396582
20210601,21.1701,21.2591,20.9033,20.9922,11780039
20210602,20.9478,21.348,20.8588,20.9033,12961145
20210603,20.9922,21.0812,20.9478,20.9922,10748652
20210604,20.9478,21.3036,20.8588,21.0812,21328589
20210607,21.348,22.1041,21.2591,21.9707,42832019
20210608,22.1931,22.2375,21.7038,22.0152,25856634
20210609,22.1041,22.1931,21.5259,21.6149,28032813
20210610,21.7928,21.9707,21.6149,21.7928,17127778
20210611,21.8817,22.0152,21.6594,21.7483,15835535
20210614,21.9707,22.0596,21.5259,21.9707,18111116
20210615,22.2375,22.7712,22.0596,22.4154,54064001
20210616,22.5044,22.6823,22.1041,22.1931,27411596
20210617,22.1486,22.4599,21.8373,21.9707,24326370
20210618,22.2375,22.4154,21.5259,21.8373,78058672
20210621,21.7928,22.1931,21.6149,22.1486,14319848
20210622,22.4154,22.5044,22.1486,22.1931,19440926
20210623,22.3265,22.3265,21.9707,22.1041,13104410
20210624,22.1931,22.2375,21.9262,21.9707,8410959
20210625,21.9707,22.1041,21.8817,21.9707,8120462
20210628,22.2375,22.3265,21.9707,22.0152,14044388
20210629,22.1486,23.5273,21.9707,22.5044,100006129
20210630,22.5933,22.6378,21.8817,22.1041,34846415
20210701,22.1931,22.2375,21.5259,21.5704,23822346
20210702,21.7483,21.8817,21.5704,21.6594,14428073
20210705,21.7928,21.9262,21.5704,21.6594,20315538
20210706,21.6594,21.7928,21.1257,21.3925,17324102
20210707,21.2146,21.6594,21.0367,21.1701,16098633
20210708,21.2146,21.5259,21.0812,21.1701,14740358
20210709,21.2146,21.2591,21.0367,21.0812,8652360
20210712,21.3036,21.348,21.0367,21.2146,13596595
20210713,21.3036,21.3925,21.0812,21.0812,13753544
20210714,21.1701,21.2146,20.8588,20.9033,15287631
20210715,20.9478,20.9922,20.6364,20.6364,13068468
20210716,20.7699,20.9478,20.6809,20.7254,16212009
20210719,20.6809,20.8588,20.592,20.7699,9181862
20210720,20.7699,20.8588,20.6364,20.6809,7502994
20210722,20.8143,21.0367,20.7254,20.9478,9446372
20210723,20.9922,20.9922,20.6809,20.7254,6701681
20210726,20.6809,20.8143,20.6364,20.6809,7567068
20210727,20.6809,20.7699,20.4585,20.5475,8964578
20210728,20.503,20.5475,20.3251,20.4585,8776723
20210729,20.4585,20.5475,20.3251,20.3251,6718597
20210730,20.4141,20.6364,20.3251,20.4585,7024120
20210802,20.592,21.1701,20.5475,20.7254,18872464
