Date,Open,High,Low,Close,Volume
20150303,170.5122,171.505,168.2785,169.5443,44994019
20150304,171.2568,174.136,170.2144,170.8846,32171962
20150305,172.2496,173.2921,169.6187,171.8773,20499397
20150309,170.6115,171.2072,167.4098,167.9558,16301916
20150310,168.7749,170.1152,166.3425,168.0551,13036884
20150311,168.9486,169.1223,167.5587,167.8813,12702703
20150312,168.3033,172.8701,168.1792,172.0759,27323128
20150313,172.895,173.7388,167.1368,168.477,15651522
20150316,169.2713,169.5691,166.2929,166.4914,8595247
20150317,168.5266,169.0975,166.9134,168.7748,10940511
20150318,169.3953,169.3953,166.7893,167.1119,8757088
20150319,168.0303,169.1968,164.5555,165.4738,10462350
20150320,165.6476,165.6476,162.0239,162.5451,10572912
20150323,161.999,163.7116,161.3289,162.5203,11393547
20150324,162.3713,163.7116,161.8253,162.0983,10715485
20150325,163.1408,163.1408,161.8253,162.1976,7249756
20150326,161.8253,163.2897,159.1448,160.0383,24193096
20150327,160.8325,161.453,156.4146,157.6059,21403252
20150330,158.6732,163.5627,158.6732,162.5947,16516767
20150331,163.2152,163.2152,160.8325,161.7508,12279565
20150401,161.7509,165.3001,160.907,165.0271,10839778
20150406,163.4883,169.5939,163.3641,169.2713,19315927
20150407,169.3209,170.264,167.2857,169.0727,10549575
20150408,169.7676,172.2248,169.5194,171.8773,12381639
20150409,172.2,173.2176,170.7604,172.3241,7667536
20150410,172.2496,172.5475,169.8918,172.0759,5593371
20150413,172.2496,174.9302,171.1824,174.4834,10891653
20150415,175.7244,178.0078,174.4338,176.196,17492244
20150416,175.1536,176.9158,172.0759,173.7885,7865737
20150417,173.987,175.3521,172.5971,174.6572,8807338
20150420,174.7813,174.7813,169.0727,169.718,11275531
20150421,169.6932,173.0935,169.2713,169.7429,10890328
20150422,168.7749,171.2569,168.0551,170.4626,10768515
20150423,170.4626,172.0014,167.931,169.8173,8924629
20150424,169.7676,173.714,169.3457,172.7212,17318818
20150427,173.1928,174.6323,170.8597,171.1824,9371889
20150428,171.2072,171.2568,165.5979,167.5587,10686607
20150429,166.3177,166.7893,162.4706,162.8925,10091041
20150430,162.7188,163.0167,159.4426,160.0135,20037666
20150504,160.5347,164.2577,158.8966,163.9102,7209372
20150505,163.116,163.3145,160.634,161.9494,13458043
20150506,161.8253,162.7436,156.9606,158.0279,20211861
20150507,158.1023,160.6836,156.6628,160.1127,10601880
20150508,161.6019,163.4634,160.1624,162.8181,12156900
20150511,163.8109,164.1832,161.0311,162.0487,8795974
20150512,162.5699,162.8181,160.3858,160.9566,14296276
20150513,162.2472,163.7116,159.3433,162.7436,10627956
20150514,162.3217,162.3217,160.0383,161.18,8038297
20150515,161.3785,162.7685,161.2544,162.0239,5449191
20150518,162.4706,165.7469,161.9494,165.3001,6909570
20150519,164.6796,166.7397,164.1832,165.0767,8570938
20150520,165.0519,165.8958,164.0591,164.7789,5162050
20150521,165.3001,165.4986,161.8253,162.5203,7181827
