Date,Open,High,Low,Close,Volume
20150303,187.2299,193.2568,186.0442,191.0831,7098665
20150304,194.5412,198.6909,182.0922,186.2913,15468255
20150305,186.5383,189.9963,179.9185,183.2778,7760617
20150309,192.7628,198.5921,189.6011,192.2688,13528386
20150310,193.6026,197.6041,179.9185,187.7733,10825621
20150311,185.7478,190.5891,183.7718,188.5637,6414497
20150312,190.2927,194.0472,189.6999,192.2688,5321593
20150313,193.0592,193.8496,182.7838,184.0682,6056356
20150316,185.3526,190.3915,174.0892,188.1685,9295910
20150317,184.3646,185.5502,154.724,171.9155,31629739
20150318,174.682,181.697,171.0263,173.0518,13787371
20150319,173.8916,175.0278,169.4949,171.8168,7347702
20150320,172.0144,173.1012,160.2075,162.5788,8832192
20150323,148.2031,154.5264,138.3229,152.5504,28075463
20150324,157.5399,158.1327,152.254,154.7734,9496630
20150325,153.9336,154.6252,150.4261,151.1671,5454208
20150326,150.0803,151.8093,148.0055,148.4501,13358728
20150327,157.0952,157.9351,152.501,155.3168,8747632
20150330,157.9845,158.5279,152.1552,153.8348,5125187
20150331,157.7869,159.5653,153.3408,154.9216,6887458
20150401,154.8228,155.4156,152.6492,153.6866,2562581
20150406,153.6372,154.724,150.8213,152.4516,3232815
20150407,152.5998,167.5683,151.6117,163.5174,11597714
20150408,164.5054,166.0368,160.6521,161.8872,4929518
20150409,162.5294,162.5294,157.1447,159.0713,4463353
20150410,159.6641,160.9485,154.3288,155.5638,6287496
20150413,155.0204,162.9246,152.8468,156.3542,7549543
20150415,156.3542,159.6147,155.4156,156.453,2793736
20150416,157.0952,161.5413,153.983,155.5638,4302701
20150417,159.5653,159.8617,156.5024,157.2928,3669268
20150420,157.2929,159.7629,150.8707,152.995,4302660
20150421,153.1432,155.4156,149.5369,150.5249,3570618
20150422,151.1671,153.2914,146.721,150.9201,4294785
20150423,152.1058,154.724,150.7225,152.2046,3772240
20150424,151.8093,152.8468,144.992,146.6222,3041075
20150427,147.6102,149.0923,143.263,144.0534,4121122
20150428,144.5968,146.0294,140.2001,141.5833,5752844
20150429,141.7315,145.6342,141.7315,144.004,3690841
20150430,133.3828,141.0893,133.3828,137.9277,9896184
20150504,138.3229,141.781,138.3229,140.3483,2557279
20150505,140.7929,145.9306,139.9531,144.9426,3508024
20150506,144.1522,146.721,130.7151,133.2346,5646508
20150507,130.1223,136.3468,127.1088,135.3588,5289069
