Date,Open,High,Low,Close,Volume
20230821,262.0,262.05,248.9,248.9,74715306
20230822,236.45,236.45,236.45,236.45,7281398
20230823,224.65,224.65,224.65,224.65,4289046
20230824,213.45,213.45,213.45,213.45,27673350
20230825,202.8,224.1,202.8,214.5,281040100
20230828,213.35,222.25,207.55,211.15,87522120
20230829,212.0,221.7,207.25,220.25,92693420
20230830,224.9,231.25,224.7,231.25,21403170
20230831,241.7,242.8,231.15,233.5,124122100
20230901,235.0,245.15,234.2,245.15,39481020
20230904,255.3,266.95,249.0,253.45,99246730
20230905,257.0,260.0,253.0,255.05,47127070
20230906,247.0,259.8,246.05,252.85,225413100
20230907,252.0,257.3,251.25,251.8,43856830
20230908,254.0,255.0,249.5,253.2,36090000
20230911,256.95,257.7,250.0,250.15,24982850
20230912,251.75,252.0,240.9,244.25,39500710
20230913,244.8,247.8,236.6,240.2,27810990
20230914,242.0,244.55,241.25,242.55,14055230
20230915,243.8,244.65,237.65,239.4,27416100
20230918,240.0,240.85,232.1,233.2,24694410
20230920,230.4,232.0,229.0,229.65,18317600
20230921,230.0,235.6,226.8,227.65,33101550
20230922,227.95,232.25,226.35,227.8,38327550
20230925,230.0,230.85,227.5,229.75,13392150
20230926,231.1,231.7,230.0,230.4,8058261
20230927,231.2,231.2,227.0,227.35,10984320
20230928,228.0,228.85,224.75,225.05,9143582
20230929,225.9,232.9,225.0,231.2,12411230
20231003,231.5,233.9,230.55,231.4,13185430
20231004,230.0,230.0,223.5,224.65,23296540
20231005,225.9,227.9,224.2,225.4,13894930
20231006,226.5,227.65,223.7,225.1,7531900
20231009,223.0,223.0,218.85,219.65,9696908
20231010,221.0,223.9,219.75,220.15,10451280
20231011,222.0,227.7,220.6,225.1,11765080
20231012,227.0,227.4,224.75,225.15,7780605
20231013,224.0,225.9,222.0,224.55,10137210
20231016,224.9,225.95,224.0,224.8,10850720
20231017,231.5,233.0,220.5,220.95,34190040
20231018,221.6,222.9,215.55,216.0,27712060
20231019,216.0,216.0,209.05,214.2,42127110
20231020,215.5,217.0,213.0,214.2,11101460
20231023,214.0,214.2,204.25,206.6,17817780
20231025,206.6,211.8,206.5,210.15,22079260
20231026,208.0,217.0,206.45,215.85,23734030
20231027,219.6,225.6,216.45,222.9,20929440
20231030,224.5,226.2,218.15,219.0,13508660
20231031,222.0,223.2,215.55,219.0,17538200
20231101,216.0,222.05,215.3,217.65,15862620
20231102,218.5,219.6,216.7,217.35,13261560
20231103,219.0,220.65,217.65,219.05,8569115
20231106,220.4,220.7,216.75,217.15,11494090
20231107,217.9,218.8,216.5,217.2,7558170
20231108,217.8,217.9,213.8,214.15,17101600
20231109,214.85,217.7,214.85,215.15,17250090
20231110,214.85,222.95,214.35,221.95,18467210
20231113,223.0,225.9,222.25,224.75,12086990
20231115,226.95,227.35,223.2,224.15,15782000
20231116,225.5,229.3,223.85,226.95,17856030
20231117,226.0,226.0,220.4,220.8,19607100
20231120,221.75,221.75,215.05,215.5,20403360
20231121,217.4,223.15,216.55,220.2,25625460
20231122,219.7,223.4,218.5,221.9,15012270
20231123,222.5,223.25,219.6,221.25,11267950
20231124,221.9,227.85,220.5,226.5,31420610
20231128,228.05,232.3,225.3,226.35,25668670
20231129,229.35,229.35,224.2,226.05,14007700
20231130,226.05,231.8,222.65,229.4,45432210
20231201,231.45,231.6,224.85,225.5,17634910
20231204,229.75,232.0,227.9,230.1,21079660
20231205,231.0,246.0,229.4,242.5,60847480
20231206,244.9,251.6,243.0,247.05,45262700
20231207,249.0,250.7,245.1,249.15,23000400
20231208,249.0,250.5,240.0,244.25,19056790
20231211,244.85,247.0,243.05,245.6,8875953
20231212,246.05,247.3,238.3,240.55,12749590
20231213,242.0,242.4,235.35,239.75,13774940
20231214,242.9,243.75,238.05,238.6,14352890
20231215,240.0,242.6,236.4,237.65,26225280
20231218,241.0,242.2,237.6,240.15,17001750
20231219,240.3,240.8,237.9,238.3,13053450
20231220,238.9,248.2,230.05,232.1,44628840
20231221,230.85,238.7,229.0,238.0,17015300
20231222,238.75,239.75,234.6,236.75,10871310
20231226,237.25,238.0,233.7,234.7,11865880
20231227,236.0,237.25,233.0,234.0,12430460
20231228,235.0,236.35,232.55,233.35,10533950
20231229,233.9,235.2,232.25,232.95,11614920
20240101,233.35,236.4,233.3,234.55,7919961
20240102,235.0,236.0,232.0,235.35,9216592
20240103,235.4,236.0,233.55,234.5,9864949
20240104,238.85,243.25,236.8,241.4,32808930
20240105,244.5,248.2,241.5,243.65,29722060
20240108,246.85,246.9,240.3,242.4,21118010
20240109,243.9,244.65,241.5,242.15,10689240
20240110,242.0,242.3,239.3,240.95,11798540
20240111,243.0,253.4,240.65,251.55,45792810
20240112,255.0,259.35,253.7,255.05,46763290
20240115,258.0,269.7,257.05,266.75,68617370
20240116,254.1,258.0,246.5,248.85,70456850
20240117,247.0,247.0,242.15,242.55,28318080
20240119,245.85,249.15,245.4,246.25,16563070
20240123,247.85,248.05,240.0,240.4,13184700
20240124,240.0,241.55,237.1,239.75,15276800
20240125,240.4,242.65,238.9,239.85,12352490
20240129,242.0,254.4,240.0,251.0,41148260
20240130,253.15,253.95,247.1,247.7,15292450
20240131,247.65,250.6,246.1,248.25,15183900
20240201,251.0,254.7,249.2,252.4,24323320
20240202,252.5,257.3,250.6,253.8,30218950
20240205,256.35,295.7,255.7,289.1,211028600
20240206,285.7,285.7,266.05,270.95,86635610
20240207,273.45,275.7,267.4,268.5,30963700
20240208,270.0,270.4,261.95,262.8,21948920
20240209,264.4,276.3,258.4,273.0,51120880
20240212,276.1,281.1,267.7,271.45,47043870
20240213,270.45,275.4,263.7,272.75,31220100
20240214,269.9,275.0,268.55,273.0,21374190
20240215,275.0,279.0,273.0,274.05,19477720
20240216,275.3,276.75,271.0,271.9,14337050
20240219,273.25,277.1,271.9,274.0,18390280
20240220,274.2,289.3,273.6,281.7,55688590
20240221,284.0,294.5,283.2,290.1,64130100
20240222,291.7,305.3,291.1,302.85,75689290
20240223,305.8,347.0,305.35,333.95,270077100
20240226,340.45,348.0,325.75,327.8,107359700
20240227,329.3,338.7,316.55,318.5,57002010
20240228,320.0,322.45,306.05,308.3,48176150
20240229,312.0,322.0,308.0,310.0,81356670
20240301,313.5,321.6,311.55,317.9,37623310
20240304,329.95,331.5,320.6,322.6,24183880
20240305,324.0,327.9,319.5,321.7,18301430
20240306,322.95,333.9,321.35,326.35,53717380
20240307,329.0,337.4,324.2,333.9,35988720
20240311,336.9,359.85,332.45,355.65,121739300
20240312,360.0,374.5,358.75,361.85,111054000
20240313,363.7,366.9,324.5,328.2,99102080
20240314,328.0,341.5,318.0,338.35,74698600
20240315,340.0,348.85,336.45,344.75,55087410
20240318,346.95,359.7,342.5,352.55,48365400
20240319,353.4,357.9,347.0,353.3,42007910
