Date,Open,High,Low,Close,Volume
20150303,99.9096,101.3131,99.2079,100.085,1804621
20150304,101.2254,103.6376,98.0237,98.9447,4011135
20150305,98.5939,100.2166,96.8395,99.4272,2022788
20150309,98.6816,100.3482,97.5413,99.9096,1637631
20150310,99.9973,100.6113,96.5325,97.8044,2091288
20150311,97.015,98.3307,93.594,95.6992,3814396
20150312,96.4448,98.1553,95.7431,97.2781,1471030
20150313,97.9798,102.6288,97.8044,101.357,4167651
20150316,102.1025,102.278,99.2079,100.1728,1503173
20150317,100.8306,105.6551,100.6552,105.0849,3931388
20150318,106.5323,107.1901,102.6289,103.3744,3895150
20150319,104.3832,105.6112,101.4885,102.3218,1348571
20150320,102.585,105.1288,101.3131,104.12,3150098
20150323,103.5937,104.3832,102.4534,103.506,2437835
20150324,103.9446,107.4533,102.1025,106.6638,7012652
20150325,107.4533,108.5936,106.2252,107.234,4076042
20150326,106.5761,107.0147,104.3832,105.3481,4391899
20150327,105.8744,106.5761,102.2341,105.041,1872251
20150330,104.6463,106.7077,101.9271,104.2955,6695995
20150331,105.2604,105.2604,101.8394,104.5586,13820711
20150401,104.7779,106.6638,101.9271,104.6463,7329876
20150406,105.1288,105.9621,103.5937,104.6902,1988121
20150407,105.1726,105.2604,103.3306,104.3393,3290253
20150408,104.8218,105.2604,103.199,104.3393,4723474
20150409,104.3832,107.7164,104.1639,105.1726,4830854
20150410,105.3481,106.0498,104.2078,105.1288,1896154
20150413,105.2165,105.6112,104.12,104.8218,4842048
20150415,104.8218,105.2165,100.1289,101.8832,8381218
20150416,101.5324,101.9271,98.4623,100.4798,3125909
20150417,100.4359,100.9184,98.243,98.9886,2285371
20150420,98.55,99.164,96.8834,97.4535,2495567
20150421,98.243,100.5236,97.1465,99.8219,2583911
20150422,100.6114,101.4008,99.6903,100.8745,2120644
20150423,101.664,101.7517,100.0412,100.7429,1110610
20150424,100.8745,100.8745,99.2956,100.6552,2350455
20150427,99.6026,100.0851,92.6291,93.5063,4490539
20150428,92.8923,97.1027,89.9099,96.5325,4347696
20150429,96.0501,98.6816,95.4799,98.0676,1919539
20150430,96.4887,101.0499,95.3045,100.4359,3799891
20150504,99.9973,105.5235,99.9973,102.585,2533269
20150505,102.892,103.0236,100.6113,101.4008,1250716
20150506,101.3131,101.3131,92.7168,93.8133,2067850
20150507,92.98,94.208,89.2082,91.9274,3350772
20150508,92.3221,96.0501,92.3221,94.5589,2141785
20150511,95.5676,96.4887,93.594,95.5676,1773829
20150512,94.9536,95.4361,88.2871,89.3397,1951232
20150513,89.7783,93.6817,89.2958,93.0238,2109148
20150514,91.2256,98.1114,91.2256,97.6728,2849841
20150515,98.6377,98.9009,94.8659,97.936,1493792
20150518,96.5325,99.5587,96.0501,98.9009,888518
20150519,97.8483,99.0324,95.8308,96.9711,1075391
20150520,97.322,99.4272,97.322,98.9447,788188
20150521,98.857,100.0412,97.7167,99.2956,937704
20150522,99.0763,99.7342,94.822,95.4799,1619259
20150525,95.1729,97.015,93.8572,96.4009,1203035
20150526,96.0501,97.1904,94.8659,95.4361,589872
20150527,94.9097,96.7079,93.901,96.1378,1558366
20150528,96.8834,99.9973,96.3571,98.0676,6311965
20150529,98.4184,99.8219,97.5413,98.3746,738720
20150601,98.5939,100.2605,97.7167,99.3833,1018773
20150602,99.2956,99.471,92.366,93.3308,1441410
20150603,92.8923,93.1993,84.2522,90.3485,1511659
20150604,90.6116,90.9625,87.0152,89.0766,843909
20150605,86.8836,93.4624,86.8836,91.3572,1059615
20150608,92.1028,93.3308,90.0853,91.6642,1730113
20150609,90.3923,92.3659,89.8222,91.2695,1010057
20150610,92.1028,93.3747,91.3572,92.0151,912105
20150611,92.1028,92.3221,86.1819,87.4099,1120618
20150612,86.3135,87.1907,82.9364,85.831,1691834
20150615,85.8749,89.9099,84.5591,88.0678,1266488
20150616,87.4538,88.5064,84.7346,86.9275,1461701
20150617,86.9714,89.0327,85.4802,87.4977,1375006
20150618,88.4626,88.4626,85.6118,86.2696,1045444
20150619,86.7959,87.8485,85.1732,86.6205,1128635
20150622,87.1907,90.6555,86.8398,90.173,914882
