Date,Open,High,Low,Close,Volume
20150303,87.3333,89.0747,86.6149,87.2157,7891180
20150304,88.8135,88.9615,85.7747,86.3711,9128560
20150305,88.0298,88.6132,85.6092,86.3406,6330360
20150309,86.7064,86.7064,83.2496,83.563,4438780
20150310,84.0245,84.2422,81.8477,82.2439,4668640
20150311,82.7184,82.9927,80.7332,81.0336,4492530
20150312,81.4124,84.0158,81.4124,82.9056,4538010
20150313,83.2409,83.6022,81.2469,82.1002,4327990
20150316,82.7315,82.9448,79.6709,80.0105,4202320
20150317,80.6984,82.0828,79.758,81.63,7781370
20150318,82.8055,82.9753,81.1511,81.7955,5779120
20150319,82.7185,84.0245,82.1655,82.701,8020320
20150320,82.6749,82.9231,79.7145,80.189,7733800
20150323,80.2761,81.3253,78.9961,79.9496,6487970
20150324,79.9496,80.3457,77.9077,78.5869,6518910
20150325,78.2691,79.4097,78.0253,79.2225,6553330
20150326,79.0658,79.0658,76.6408,77.0457,9654280
20150327,77.1937,80.0192,77.1937,79.401,5649210
20150330,79.9278,80.2891,78.0166,79.4097,5256430
20150331,80.5504,80.5895,78.5433,78.9352,6867990
20150401,79.1398,79.6883,78.3648,79.2051,6922890
20150406,79.6709,79.6709,77.6944,78.4345,4374650
20150407,78.8002,82.0524,78.4606,81.6388,7755090
20150408,82.0219,82.3571,79.6927,81.1512,5392850
20150409,81.4124,83.5892,79.9757,82.9535,12583240
20150410,82.9797,84.1987,81.5996,82.8839,7937210
20150413,82.8926,83.9375,81.4994,82.048,6359160
20150415,82.0219,82.8229,80.2804,80.8682,2821510
20150416,80.8595,82.5356,80.6287,81.987,5075540
20150417,82.2744,85.3045,81.4646,83.2626,8209560
20150420,83.7764,85.5483,82.4616,83.8243,9552170
20150421,84.0942,84.8082,82.2831,82.7576,7361470
20150422,83.1538,84.2857,82.2831,83.6283,6337680
20150423,84.4599,86.4625,84.2857,85.8139,9871930
20150424,85.9532,86.4887,82.614,83.2931,6996390
20150427,83.5021,84.1029,80.7332,81.6475,6627080
20150428,81.3253,82.8926,80.8508,82.3005,5288140
20150429,82.4093,83.7938,81.7737,83.341,7560010
20150430,82.8055,82.9797,80.4241,81.1686,11020710
20150504,81.4211,82.1786,80.7158,81.6692,5246220
20150505,81.8303,85.3306,81.6257,84.7385,10561070
20150506,84.3728,85.9271,80.3762,81.0205,10232380
20150507,81.0205,81.0205,76.188,77.1328,11635160
20150508,77.4941,78.8786,77.0675,77.5159,5131440
20150511,78.3648,79.9278,78.121,78.6435,5153220
20150512,78.7784,78.8481,76.1924,76.6452,4680170
20150513,76.9717,77.9295,75.9268,77.2242,4058420
20150514,77.32,79.4097,76.7366,78.9003,7651120
20150515,78.2778,78.3648,75.7527,76.3012,9518340
20150518,75.5785,79.6535,75.1519,79.3966,11468510
20150519,79.4097,80.8464,78.7262,80.3327,5676590
20150520,80.6635,81.1816,79.3226,80.2674,7037340
20150521,80.2891,81.0292,78.4519,80.4328,4802760
20150522,80.5068,80.8333,79.6709,80.2935,3927750
20150525,80.8986,80.8986,78.3518,78.9918,5750540
20150526,79.2312,80.2021,78.539,79.8625,7177390
20150527,79.0962,80.4328,78.8002,80.1019,4805630
20150528,80.0192,80.4546,78.896,79.7667,11219240
20150529,79.4358,81.3253,78.896,79.7841,10605550
20150601,79.6796,80.0192,78.8263,79.1702,4258610
20150602,79.4924,79.4924,75.8136,76.4754,5754810
20150603,76.5102,77.1894,75.1911,76.5886,8761200
20150604,76.188,77.2329,75.3565,76.3056,7729490
20150605,75.7483,77.2068,75.3478,76.3186,8229870
20150608,76.9717,77.2068,75.3609,75.7353,5166440
20150609,75.744,76.6931,74.9211,76.3578,4727310
20150610,76.2316,78.3648,75.8441,77.7249,5654990
20150611,78.0165,79.0614,75.4392,76.027,4452290
20150612,75.9094,76.2751,72.9141,73.4192,4580260
20150615,72.9881,74.7731,72.7269,73.3451,4378810
20150616,73.11,73.5585,72.4004,73.1362,4280320
20150617,73.6238,77.1458,72.8271,75.5393,10907940
20150618,74.9951,77.4941,74.0983,76.9891,7617470
20150619,77.9991,79.3836,76.9499,78.8612,7238090
20150622,79.192,79.6709,78.539,78.8089,3951510
20150623,78.7393,79.5403,78.552,79.0658,3884370
20150624,79.4097,79.758,77.4941,77.7684,5687440
20150625,76.9064,79.4968,76.6974,79.0222,8601380
20150626,78.3126,78.8873,76.8062,77.7074,3960230
20150629,76.4493,76.6234,74.882,75.8789,5583010
20150630,75.7527,76.5363,75.1911,75.9486,7938510
20150701,76.188,77.8424,76.101,77.6247,3296610
20150702,78.539,78.6348,76.8933,77.1589,3106730
20150703,77.1458,77.9295,75.5002,75.6612,3720950
20150706,75.7318,78.0203,74.4442,77.716,4158290
20150707,77.7822,78.3686,76.7239,77.2971,5258970
20150708,76.6754,76.9885,74.3737,74.8543,5448450
20150709,75.0483,75.7979,73.6021,73.9901,4946930
20150710,74.9513,74.9513,72.1381,73.1876,8017040
20150713,73.6461,74.1224,72.3101,73.6197,6870270
20150714,74.0827,74.5104,72.9362,73.289,8426850
20150715,73.6241,74.2106,72.4468,72.7202,8968070
20150716,73.1964,76.9444,72.7863,76.5828,8516860
20150717,76.4417,76.4417,75.2688,75.6921,6176700
20150720,75.5731,76.3271,74.9602,75.1453,3209170
20150721,75.3129,75.3923,73.2184,73.7299,3706860
20150722,73.5403,76.0184,73.1964,75.7583,3978610
20150723,76.0184,76.5035,75.185,75.798,3992610
20150724,75.7538,76.6093,74.1224,74.5589,3543340
20150727,74.2546,74.5986,71.5208,71.781,3971970
20150728,71.9618,72.7555,70.5507,71.4106,5514530
20150729,71.3929,72.2043,70.5551,71.7016,6404220
20150730,71.4282,75.4011,70.7624,74.9734,17834280
20150731,74.9602,75.2909,72.7907,73.3243,5538730
20150803,73.2846,74.2987,72.2263,73.5535,4551710
20150804,73.9901,78.8096,72.7995,77.5838,10741830
20150805,78.4877,80.5601,77.9586,78.157,7235960
20150806,78.3113,80.4278,76.8254,79.5724,7855920
20150807,79.6341,82.0858,79.2373,81.3494,6474440
20150810,81.3097,82.4518,80.0751,80.7894,5391170
20150811,80.4322,81.2347,78.4524,79.0433,7367360
20150812,79.0433,79.0433,79.0433,79.0433,0
20150813,78.0468,79.1932,75.0704,75.6039,11228220
20150814,76.283,79.6782,75.4187,79.4225,9206130
20150817,79.3696,86.1336,79.3696,85.2606,14490780
20150818,85.7632,89.3349,84.145,87.0508,20205650
20150819,86.8656,87.7475,84.3522,85.9661,8608640
20150820,84.7976,86.4246,84.0524,84.7976,16718320
20150821,83.0735,84.0436,82.1122,83.5277,11999950
20150824,80.2515,80.6704,75.4011,76.4417,9891320
20150825,77.522,79.3696,73.0818,78.329,7624140
20150826,78.1349,80.2956,75.842,78.6067,7803800
20150827,79.2814,82.6811,79.0653,82.2004,12623000
20150828,83.779,83.8539,80.4807,81.6536,5894790
20150831,81.927,82.3636,80.4323,81.1378,4991240
20150901,79.6474,80.9041,78.7523,79.5504,5320170
20150902,79.6341,81.5743,78.0732,78.5803,7482190
20150903,79.105,82.8971,78.8846,82.0152,8770500
20150904,81.5743,81.7904,78.6685,79.6738,5668230
20150907,79.9031,81.0011,78.0953,78.5583,6717090
20150908,78.9286,83.779,78.5759,83.1308,9845560
20150909,85.4369,88.1002,84.1979,86.5613,11875490
20150910,85.2341,86.9979,83.9951,86.041,8878750
20150911,86.7818,87.1081,84.3963,84.9784,6720540
20150914,86.4423,88.1443,84.9784,87.5931,8455250
20150915,88.0561,88.6999,83.1705,83.6203,9069490
20150916,84.3963,85.1371,82.9853,83.8187,6624530
20150918,84.7491,86.1601,81.6801,83.2763,14930770
20150921,82.465,83.5762,81.4244,81.6757,8287470
20150922,81.8433,82.3415,79.643,80.4058,7904700
20150923,79.3608,79.3608,76.3315,77.1075,10533450
20150924,76.7239,78.9727,76.2036,77.6323,9277560
20150928,77.694,78.2672,75.6745,76.2786,5006510
20150929,74.1003,75.8376,73.2052,74.0915,6367450
20150930,75.6657,78.911,75.1586,78.4215,9580920
20151001,78.3113,78.4436,76.9003,77.2883,5778190
20151005,77.8704,80.516,77.5353,80.0927,8785890
20151006,80.5866,80.7718,79.1579,79.4005,7584600
20151007,79.8017,81.4596,79.1535,80.6968,9421310
20151008,80.6042,81.83,79.5459,80.5601,7572770
20151009,81.4861,82.1034,79.859,80.1941,7588200
20151012,80.5954,81.5611,78.7523,79.5989,10185530
20151013,79.7223,81.1818,78.6023,80.9173,9713860
20151014,80.516,82.9853,79.4269,79.8414,10874710
20151015,80.2514,81.3097,79.374,80.4896,8789130
20151016,80.6042,81.1333,78.9507,79.1006,6739690
20151019,79.1315,79.9781,77.8219,78.545,8540960
20151020,78.3995,79.7223,78.0027,78.8008,11650600
20151021,78.6244,80.5866,78.2231,79.9119,11028970
20151023,81.0451,81.2215,79.5371,80.7409,11081350
20151026,81.0452,81.5743,79.9119,80.1456,6851330
20151027,79.8414,80.6924,79.0874,80.3573,6490770
20151028,80.1368,80.8555,79.8149,80.4014,5870970
20151029,80.1809,81.5699,79.8723,81.2656,13032360
20151030,81.2215,82.8795,80.0001,80.2823,8594130
20151102,80.3308,80.7629,78.2804,79.0124,5215560
20151103,79.299,79.859,78.3113,78.8052,4467130
20151104,79.105,79.7885,78.4965,78.6773,3418680
20151105,78.5318,78.836,76.5652,76.8783,6709440
20151106,76.3756,77.694,75.4981,77.0326,4956020
20151109,75.745,82.4209,75.5422,78.1482,4956590
20151110,77.6146,77.7866,76.5476,76.9576,3870870
20151113,77.0855,80.8688,76.768,80.3,5458020
20151116,79.8017,81.1333,78.7258,79.934,6734140
20151117,80.0927,80.957,78.5759,78.889,5019240
20151118,78.911,79.5636,77.5176,78.1041,5359600
20151119,78.3686,80.0663,78.3686,79.8149,4458160
20151120,79.9869,80.5601,78.7258,78.9374,6360600
20151123,79.0345,79.5415,77.8086,78.4789,3245890
20151124,78.0423,79.2373,77.7249,78.1923,5396450
20151126,78.5759,79.2814,77.7028,78.7346,7810390
20151127,78.7434,79.6694,76.7327,76.9047,8163250
20151130,76.8121,80.2338,76.7857,79.8546,12445090
20151201,78.6641,83.6644,78.5891,83.2278,16148990
20151202,83.4483,86.8303,82.8089,86.5349,19082900
20151203,86.2483,87.6593,85.2782,86.1424,12941730
