Date,Open,High,Low,Close,Volume
20150303,700.263,704.4874,697.6041,700.1138,3255940
20150304,713.6818,724.4914,695.9392,700.8842,8026142
20150305,697.7779,706.7238,696.7839,701.8781,2860518
20150309,698.2501,698.2501,675.2641,678.1964,1453044
20150310,679.8117,681.7251,655.5336,669.847,1457326
20150311,667.4615,688.2855,665.8214,683.8126,1083842
20150312,689.3292,691.1432,673.3509,680.8803,821594
20150313,690.82,690.82,663.6842,666.5916,766498
20150316,664.4794,667.8092,648.0538,653.5207,1653222
20150317,658.5154,669.3747,652.6012,665.7964,873056
20150318,665.8213,670.1949,658.0931,667.4117,1164130
20150319,670.9404,677.277,654.2165,658.8634,1522830
20150320,656.5274,667.9583,649.5695,665.8212,1589774
20150323,666.7159,668.0578,659.261,663.9079,935200
20150324,659.0622,676.9043,659.0622,666.3432,648632
20150325,665.0261,667.2129,655.0614,659.2859,737574
20150326,653.3964,665.3988,646.0906,648.7744,3992738
20150327,656.0305,658.0185,634.0137,645.6682,977138
20150330,646.7865,655.8069,641.4935,651.98,1703312
20150331,653.5207,658.3664,646.2149,652.6758,764502
20150401,657.4719,680.2839,648.6751,676.4322,965228
20150406,680.8802,697.7779,672.1082,694.5972,2215802
20150407,695.7403,702.3006,680.9299,689.2545,3148298
20150408,689.2545,693.305,679.5383,681.6754,603424
20150409,685.353,717.8067,678.8425,710.9979,3218446
20150410,714.6758,715.0734,702.2013,706.9227,1766572
20150413,706.6989,722.4536,700.8096,718.4528,1626396
20150415,719.0989,733.2135,710.9482,717.6079,5041804
20150416,717.1606,718.8256,699.7659,704.9346,1456492
20150417,702.2509,706.4008,682.0481,689.1055,1171412
20150420,686.8938,689.3042,676.0097,681.3275,2429584
20150421,681.3275,685.7507,669.1759,672.4313,1987334
20150422,673.4005,686.3223,648.1036,677.0286,1699618
20150423,680.3832,689.7267,670.17,684.6325,1011246
20150424,683.8621,690.5715,664.0073,680.0104,1692720
20150427,680.2839,687.8381,658.5156,664.4049,1189048
20150428,662.1187,677.1527,652.5516,666.9893,1947616
20150429,665.4734,665.4734,651.1103,660.9011,1226298
20150430,656.0305,665.7715,644.7488,662.4417,4313068
20150504,649.2466,666.7656,649.2466,665.374,1275432
20150505,669.8717,710.4263,666.9892,707.345,6681372
20150506,710.9732,713.1351,667.3869,671.5367,4703840
20150507,671.9343,671.9343,642.1147,650.166,2909284
20150508,654.5395,671.4373,653.5456,660.752,2174128
20150511,663.4358,671.5368,658.0435,665.4984,1419012
20150512,663.734,663.734,650.0667,655.459,1370796
20150513,657.0741,671.5615,651.5575,666.7158,1818170
20150514,662.1932,662.889,653.5456,659.4101,1692246
20150515,662.9885,671.8349,660.0065,668.2318,1562252
20150518,664.7776,680.085,663.4855,678.0722,1048270
20150519,677.8983,692.5844,676.954,684.5083,1568460
20150520,686.5956,693.802,685.3531,688.2108,1066220
20150521,686.5211,696.287,679.8863,694.5475,1083812
20150522,692.5098,697.4052,684.881,689.4781,887516
20150525,688.335,693.0068,674.9162,683.4148,1237058
20150526,682.3462,690.2236,677.0533,687.0428,761044
20150527,683.3155,687.3909,680.1348,683.1416,1303186
20150528,683.3651,688.3599,678.1218,679.9607,3195610
20150529,674.4689,698.2749,674.4689,695.442,1312368
20150601,695.79,700.76,689.3291,692.1868,1002462
20150602,691.0934,692.9819,672.1082,675.5624,1474098
20150603,677.7988,677.7988,663.9824,668.9274,1610798
20150604,670.9652,680.8802,665.9704,678.3952,1451878
20150605,674.469,678.8922,670.99,674.0963,1067676
20150608,675.9102,676.8545,667.014,672.3567,709838
20150609,670.4433,678.3207,658.6894,661.4726,983554
20150610,661.4726,668.9275,658.5404,663.2866,838304
20150611,665.026,667.8589,631.6778,636.5981,1574396
20150612,632.2743,655.8814,628.2983,651.6073,1578962
20150615,652.5267,653.5207,625.217,640.9716,1959250
20150616,629.69,643.9536,627.3044,640.6984,1224088
20150617,644.227,647.0847,636.3993,643.6306,1671708
20150618,645.8189,653.7017,641.318,650.2203,2018224
20150619,650.7673,665.4388,627.8898,660.54,860144
20150622,664.9167,683.169,660.6147,675.3359,1245476
20150623,676.0818,688.6147,670.2629,686.5508,1480000
20150624,686.3271,693.7871,679.4638,688.217,1178136
20150625,683.8403,703.336,680.9557,699.5562,2672836
20150626,691.3005,692.2952,683.3182,686.4763,1010374
20150629,675.3857,686.0535,667.478,680.5828,1065982
20150630,685.3325,698.0146,683.3431,689.2117,1879370
20150701,686.1281,711.1939,684.835,700.3768,1844408
20150702,703.2366,715.8441,697.5918,713.8547,1677786
20150703,717.6594,726.5618,705.3752,710.6221,3296574
20150706,716.1673,728.1034,711.1939,718.1069,4311906
20150707,721.1159,725.6169,706.7926,709.0057,2347024
20150708,700.1034,708.4587,689.3609,703.3361,2341692
20150709,707.2153,716.1674,697.368,701.4462,779560
20150710,703.2366,707.7126,692.9914,705.6238,1384925
20150713,709.1053,713.9792,699.258,711.1941,955100
20150714,711.1443,711.4427,700.2526,706.9169,1172753
20150715,707.1656,711.1941,703.734,708.5084,893968
20150716,710.1497,739.045,708.409,737.3043,2218833
20150717,733.0769,734.0716,723.2794,729.2474,1157806
20150720,731.2865,736.0609,721.2402,732.679,823832
20150721,731.0876,740.8354,714.178,716.814,968228
20150722,715.2721,729.7945,713.6807,724.7714,657798
20150723,725.1195,731.187,714.2775,716.5155,922877
20150724,716.1672,726.114,713.78,720.8422,749749
20150727,715.6701,720.6435,709.3042,711.1941,786515
20150728,714.0785,727.5067,713.6807,725.5173,845718
20150729,728.0538,733.3753,717.3113,722.0857,934479
20150730,729.5955,730.0431,710.0003,712.9844,2401018
20150731,693.5384,704.9275,680.16,691.6983,4943619
20150803,691.2508,701.7943,683.4923,686.5261,1457009
20150804,690.3057,695.2791,676.5295,687.1725,1465951
20150805,691.3005,691.8972,679.7124,688.217,1479018
20150806,690.5048,706.2206,687.1228,703.0377,1185758
20150807,702.1425,708.7073,697.6167,701.2473,877326
20150810,704.2313,712.686,698.2632,703.535,966468
20150811,703.0872,707.1655,696.1743,700.9487,691182
20150812,699.2081,700.5012,678.9167,682.4976,786631
20150813,684.3377,691.3004,679.4638,687.0731,592486
20150814,688.8138,715.67,688.3164,713.8796,822516
20150817,714.9737,720.892,701.7445,715.9684,762387
20150818,716.0182,717.7589,695.2792,701.3467,473957
20150819,700.9489,714.8744,693.5883,708.6079,945270
20150820,709.1549,711.194,689.3111,693.7374,815752
20150821,685.929,696.2737,676.3802,684.3376,1230793
20150824,668.4228,671.1582,627.3427,644.1527,2496993
20150825,654.4975,656.9842,618.5897,636.0463,1764531
20150826,636.0462,644.0533,619.9821,623.9111,1274155
20150827,621.6731,651.8118,621.6731,646.9379,1949517
20150828,655.492,658.4761,637.5879,644.0035,1217068
20150831,638.5826,655.3927,634.1066,648.231,582636
20150901,643.357,643.9538,605.2609,610.4829,2257583
20150902,614.6606,615.705,597.8008,605.4598,1747255
20150903,606.4545,626.5967,601.7795,623.7618,1835581
20150904,620.4794,620.4794,591.3354,603.0726,1696206
20150907,602.0282,609.9857,591.8328,597.4528,1236366
20150908,600.7848,621.1757,597.3532,617.0975,1557330
20150909,624.7565,635.7975,622.7672,631.3214,1266193
20150910,620.4794,636.3942,608.9909,631.9182,1181160
20150911,629.6305,638.5826,624.1598,627.8898,951314
20150914,628.5363,645.8437,626.9945,642.3126,951046
20150915,639.2291,641.9147,631.769,636.5932,735590
20150916,639.8756,643.556,631.7193,637.5879,761647
20150918,639.5773,664.4442,631.222,653.9007,2944603
20150921,655.5915,665.4389,650.5187,661.9078,1022871
20150922,666.3341,666.4335,635.1509,639.2789,1051333
20150923,627.6411,658.4761,627.6411,655.1439,920135
20150924,654.4975,658.2276,638.5827,650.9664,1813214
20150928,649.5737,656.3872,635.2503,637.6873,847600
20150929,627.6908,653.5027,620.6784,648.032,1491149
20150930,649.524,654.2487,639.0799,644.6501,922880
20151001,642.5613,651.0161,634.6039,637.4387,961145
20151005,646.4405,656.4867,634.0568,649.5737,1276715
20151006,655.492,658.4761,638.5825,652.2593,1058174
20151007,651.7621,661.4602,647.5347,656.9841,777099
20151008,659.9682,660.2168,645.9433,650.1208,1466553
20151009,652.4582,658.476,650.3196,655.9893,920867
20151012,657.6306,666.1351,652.8064,658.5258,606173
20151013,657.0836,661.2115,647.5347,652.5578,456531
20151014,652.5081,658.9735,647.5347,649.3748,654482
20151015,652.0108,660.4655,648.6786,649.9717,849035
20151016,648.032,658.4761,641.7158,655.7905,912296
20151019,656.437,659.4708,649.9716,654.8455,655123
20151020,655.4921,658.3269,643.556,650.5684,964026
20151021,650.469,656.4868,646.5897,653.1049,1116109
20151023,660.4655,664.4442,656.7355,661.6591,861832
20151026,665.2896,665.4388,651.1155,658.3766,578519
20151027,657.9787,662.4548,653.8011,656.9343,600518
20151028,655.1937,673.3963,654.4477,667.8759,1506140
20151029,669.4176,671.407,657.3323,660.4655,1849449
20151030,661.3607,690.1069,658.128,683.9896,4415610
20151102,684.3377,685.3324,676.3803,682.8457,932811
20151103,684.4371,686.327,672.1032,679.4637,1076363
20151104,683.8404,685.2826,666.4335,669.2683,437218
20151105,668.3234,668.3234,644.4511,647.1367,931220
20151106,645.048,661.9575,643.7052,653.0054,569044
20151109,639.6767,660.1671,631.2717,656.5862,1169502
20151110,649.6235,654.5472,641.5667,643.4068,652634
20151113,649.9219,670.263,643.5559,666.0356,888356
20151116,662.4548,685.8297,662.4548,675.485,1111593
20151117,677.1759,677.3749,668.9201,673.5454,471769
20151118,667.4779,679.2648,664.096,669.2186,702561
20151119,672.3519,680.359,666.4833,678.4691,635557
20151120,676.43,688.963,674.938,678.668,1021787
20151123,684.7357,690.3058,676.3803,680.4585,588043
20151124,679.4638,681.6521,671.7053,673.993,458845
20151126,676.4798,683.8404,672.7,681.5527,467400
20151127,681.5527,699.2082,679.3644,695.0305,1230913
20151130,693.986,693.986,685.034,688.6645,680738
20151201,689.8083,691.7977,682.945,684.9344,435334
20151202,687.3218,688.6646,673.3964,676.828,389654
20151203,672.4016,679.8616,667.3287,671.2079,400981
20151204,668.3233,671.7549,657.4813,661.1119,1263578
20151207,661.4104,670.2133,660.4654,668.025,451691
20151208,664.4442,674.391,663.4993,670.4123,691564
20151209,669.1191,672.9983,662.2558,665.0409,297119
20151210,665.8368,676.9274,661.4602,674.2916,616494
20151211,678.3696,678.3696,660.366,664.1458,572988
20151214,660.3661,673.8937,659.4709,670.5118,871886
20151215,670.3626,685.233,663.9469,682.9452,1056697
20151216,686.2277,693.2899,680.3591,690.8032,1193181
20151217,693.1904,701.2473,684.7356,699.4568,1441821
20151218,694.9311,702.2419,689.3608,698.7108,1124253
20151221,698.2632,704.2313,695.2792,702.1425,834005
20151222,702.043,702.1425,690.6043,694.4835,744406
20151223,697.9648,701.2472,692.693,698.8102,439560
20151224,697.2685,700.6504,693.2898,697.6166,484103
20151228,695.3288,709.6522,694.6823,704.2312,1050620
20151229,704.2313,710.6967,701.2472,702.4409,1091896
20151230,704.2313,706.718,700.7499,705.3752,467293
20151231,702.3911,719.9968,702.3911,716.217,1164210
20160101,716.1674,725.965,707.464,723.3788,622438
20160104,723.1301,723.1301,700.1033,701.5456,1222447
20160105,704.3307,709.0056,701.2472,703.9825,689842
20160106,700.2524,707.2152,693.2897,699.8546,601664
20160107,693.7872,699.2579,685.4816,687.9683,632696
20160108,690.5047,700.2525,689.8581,691.3998,446029
20160111,686.327,700.9985,677.375,697.1193,577659
20160112,696.1744,696.9701,680.9061,688.3164,834020
20160113,694.3342,696.9204,678.6183,685.4816,673206
20160114,678.3697,687.2721,669.4176,680.4585,890445
20160115,675.7835,685.4319,667.4282,672.0037,1088741
20160118,672.4015,683.144,659.5701,663.8473,2206808
20160119,666.4833,672.4016,660.0179,665.1405,1105205
20160120,656.4867,696.2738,649.1261,659.1226,710377
20160121,667.9255,673.5455,647.5347,657.3322,850780
20160122,667.4282,685.3324,660.6644,679.4141,1001784
20160125,681.3536,681.3536,670.9095,677.3749,706865
20160127,676.3803,678.7676,662.8029,671.009,655762
20160128,671.4069,676.3803,656.7354,659.7194,1468731
20160129,660.9628,682.3483,660.9628,679.9611,1645577
20160201,679.5135,687.3217,675.8829,684.0392,592570
20160202,683.343,687.3217,667.9255,673.5454,601307
20160203,668.4228,668.4228,658.1777,662.0071,1207032
20160204,666.8314,677.176,665.0907,672.6503,482546
20160205,673.3963,693.5882,671.8545,688.3164,1868377
20160208,691.0518,691.0518,666.7319,669.517,573936
20160209,664.3945,676.3804,658.8243,673.446,897961
20160210,673.3963,676.3306,657.6307,663.7976,996355
20160211,663.4494,663.4494,621.6729,625.6019,1585567
20160212,626.6465,633.6092,610.4333,618.6891,1300513
20160215,623.6624,633.0124,618.7388,621.9218,1276295
20160216,626.547,626.6465,611.7263,616.9484,740669
20160217,615.7051,626.5471,606.753,621.9716,955916
20160218,626.6464,634.3552,620.8276,632.1669,849665
20160219,629.1829,636.4939,621.9715,627.8401,586848
20160222,630.6251,638.7815,628.785,636.7921,444582
20160223,635.5985,635.5985,616.6997,619.6837,635282
20160224,617.0479,626.5968,613.2184,615.4564,669471
20160225,617.6943,618.1917,601.2822,603.6196,1023867
20160226,610.7316,618.0922,603.371,612.4723,586436
20160229,611.7262,636.9412,582.6319,627.0443,2099387
20160301,616.6997,637.7869,616.6997,635.0515,1980463
20160302,643.8047,656.4371,638.2843,652.8065,1243691
20160303,654.4975,657.9788,646.4903,654.1494,922424
20160304,654.4974,666.2843,641.5666,662.1067,716481
20160308,661.4103,662.2558,644.6003,647.087,663558
20160309,646.4902,660.6146,644.2522,656.3873,812862
20160310,666.4335,666.4335,647.6341,651.1155,3566707
20160311,653.5027,655.5915,637.0905,639.2291,4293624
20160314,646.4406,646.6395,629.1829,633.4103,2566102
20160315,634.5044,639.5772,628.6855,636.0958,2150997
20160316,633.1118,649.8721,632.1172,647.7833,2153716
20160317,652.4086,653.7514,640.7709,647.7833,5790597
20160318,646.54,657.4317,645.3464,655.2932,1939198
20160321,656.5364,661.4601,649.126,660.167,1164363
20160322,656.5366,666.2844,651.5135,662.7533,1179559
20160323,662.4549,672.2027,651.6129,656.4371,3269570
20160328,660.913,674.2914,657.0338,666.0356,2904848
20160329,666.4832,678.3696,665.3891,667.9255,1966330
20160330,671.4566,682.8457,661.9575,680.2098,2827418
20160331,673.4958,691.2011,673.4958,677.0269,3982132
20160401,678.3696,682.9949,673.5455,676.2808,1470326
20160404,677.8724,685.6308,670.661,683.6415,2059957
20160405,680.3589,681.105,661.2114,665.1901,2892523
20160406,665.4388,670.7106,660.7638,664.4442,1683758
20160407,663.4495,664.4442,652.0107,658.9734,1619424
20160408,654.5969,666.8315,654.5969,661.8083,1007741
20160411,667.3287,671.3572,656.7851,667.7266,1990818
20160412,666.2842,678.4193,666.1848,673.7443,1185688
20160413,683.343,696.2241,679.5632,688.6645,2437798
20160418,687.4211,687.4211,654.199,679.7124,1638201
20160420,683.7409,688.3164,676.5792,683.4922,1087651
20160421,685.3324,685.9292,679.5136,683.0447,2137424
20160422,676.43,680.1103,669.3678,672.501,1975006
20160425,667.5277,679.2152,667.5277,676.828,1211689
20160426,676.3306,701.2472,675.2364,697.1193,2108459
20160427,698.6611,715.9685,697.2686,708.7073,1929112
20160428,711.1939,714.5758,694.7818,697.7161,1515244
20160429,695.2792,715.5208,691.7978,713.3326,1490141
20160502,710.3982,720.8921,708.3094,714.377,1296560
20160503,715.1726,719.1016,695.2791,703.6841,1358193
20160504,702.2917,716.7642,701.0483,708.8566,2111368
20160505,710.0999,711.4427,700.3023,705.3752,975973
20160506,702.2917,706.2207,692.3946,699.2082,667263
20160509,699.2578,712.1886,699.1584,710.05,1885335
20160510,713.9294,726.1142,707.6132,719.0022,1576803
20160511,713.9791,733.0769,710.1993,727.6559,4117417
20160512,731.7838,739.791,717.1621,722.8815,2785763
20160513,723.13,725.02,703.2365,704.4799,1429506
20160516,704.3307,716.1674,699.2579,714.4267,2438969
20160517,715.1727,721.1407,704.2312,705.1265,2471677
20160518,704.2312,709.8512,696.5225,705.1265,1147912
20160519,704.4799,706.718,697.9151,702.2916,964151
20160520,706.1212,706.9169,696.5225,698.4124,600500
20160523,702.2418,706.8671,697.2685,699.407,1437987
20160524,699.1585,699.2082,688.8138,694.6824,2068972
20160525,700.2526,711.6914,696.7712,708.956,2907812
20160526,712.2881,735.0662,710.5474,726.313,1936113
20160527,730.4906,740.6861,729.1975,738.5972,1293521
20160530,744.7147,750.4838,736.1107,738.6471,729005
20160531,739.3433,746.0076,735.5635,742.576,1167685
20160601,745.7591,745.7591,736.4589,741.3825,918251
20160602,745.013,746.0077,732.4801,742.3274,1605981
20160603,746.0076,768.3382,739.1443,765.2049,2480775
20160606,766.0007,770.8747,758.4909,761.1766,1157650
20160607,765.9012,774.704,756.7999,767.9402,1857761
20160608,764.0113,765.9012,750.981,755.3079,1227612
20160609,757.8444,757.8444,746.1071,748.743,1301396
20160610,747.1018,753.4678,739.3931,746.704,1510634
20160613,742.0291,753.4181,741.0344,751.8764,1629842
20160614,754.4625,754.4625,745.3114,748.0965,663569
20160615,752.9705,764.0114,748.9918,761.475,887211
20160616,761.8231,761.8231,742.3771,750.434,1079000
20160617,751.9758,756.8,744.7644,747.1019,814258
20160620,737.8513,752.7715,736.0609,747.9473,894007
20160621,746.1071,749.5388,738.846,742.775,702853
20160622,743.0236,746.9526,729.496,735.4143,2686930
20160623,737.0556,746.1071,734.2208,743.2723,987665
20160624,726.1141,734.1213,706.9666,729.9934,2002188
20160627,719.2012,740.6364,719.2012,735.4642,774869
20160628,734.4695,743.8194,733.7732,739.3434,761264
20160629,741.0343,749.9863,738.6968,748.7927,1477280
20160630,755.855,762.4695,750.235,759.2866,3334365
20160701,759.9331,761.9225,746.9029,749.3896,1565210
20160704,751.4784,752.2244,737.2546,739.9899,1172694
20160705,740.4872,743.4215,734.4694,736.4588,1125300
20160707,737.0556,747.4997,735.2154,741.9295,963213
20160708,741.1337,743.7199,733.6737,739.4926,604463
20160711,746.9527,758.9386,743.1232,756.5016,1871614
20160712,760.9278,762.6684,753.9153,759.585,1541569
20160713,759.386,772.6152,756.402,770.8745,2018597
20160714,775.3535,780.3301,770.7751,776.5479,1555879
20160715,775.3536,777.3442,764.0567,768.5356,2059278
20160718,771.3723,779.1855,765.7487,773.1638,2358938
20160719,775.8512,777.7921,765.7985,774.1592,1608870
20160720,774.3583,780.6785,774.3583,778.5386,1316948
20160721,782.8185,783.8138,755.4472,757.0895,3849134
20160722,758.4331,761.3196,749.7241,756.4922,1429617
20160725,758.3834,769.5807,746.4893,760.8219,3393118
20160726,761.9168,762.4144,742.8564,748.1814,1749020
20160727,748.5795,756.4425,742.0104,750.4706,1076756
20160728,752.4611,756.4921,742.1596,746.8375,3435526
20160729,747.9823,762.5637,745.7925,759.9261,1457598
20160801,762.4145,765.8483,744.4987,749.6246,1750650
20160802,746.7879,759.4284,746.3898,756.542,1495743
20160803,755.4472,760.4238,751.2668,752.6603,1344312
20160804,756.1936,757.7363,747.4846,752.8593,1249512
20160805,756.2433,772.3675,753.0583,770.7252,2365366
20160808,773.3629,778.1404,764.3553,767.8887,1659840
20160809,769.1826,769.2822,756.542,761.1703,877535
20160810,766.0972,766.0972,755.0989,757.6867,1093959
20160811,757.4379,765.3507,755.5966,761.0709,1006546
