Date,Open,High,Low,Close,Volume
20220517,853.7745,899.7433,842.0253,856.9566,48792877
20220518,867.0414,872.3775,855.8307,858.0336,8919761
20220519,848.879,848.879,820.4852,823.2756,7372427
20220520,830.8147,838.8922,807.7569,808.8829,7078291
20220523,808.8829,834.878,786.8532,799.7772,12444648
20220524,800.9032,817.2542,799.7772,805.8966,4287864
20220525,814.1211,823.8631,797.2316,803.1552,4013031
20220526,803.155,807.561,784.2584,794.6859,2796468
20220527,801.4417,807.4142,797.3294,804.4279,2215807
20220530,812.5545,823.8142,808.0506,820.2404,3133717
20220531,793.0703,804.8195,793.0703,794.3431,4373090
20220601,794.4412,800.3647,791.6018,793.4621,1670031
20220602,793.0215,796.791,787.1958,788.8603,1565763
20220603,791.7486,793.8047,783.2794,783.5242,2052785
20220606,783.5242,784.9439,758.8999,761.1028,3033514
20220607,756.7458,756.7458,736.0868,737.2617,3774512
20220608,737.1638,737.1638,720.7149,722.6241,4103499
20220609,714.6446,720.6171,705.0494,706.616,3729113
20220610,698.0977,704.7066,693.2512,694.8667,3464178
20220613,676.4598,676.4598,653.0593,654.2831,7781730
20220614,650.2198,669.7039,649.1428,660.2066,5348769
20220615,666.7665,694.8667,664.9062,675.7253,9204318
20220616,688.7474,691.2441,653.0592,655.3601,4049782
20220617,655.1153,655.36,637.3936,640.8694,4043000
20220620,646.6461,652.7654,636.4145,647.5762,3522551
20220621,653.0591,657.3672,649.1427,651.2968,2355354
20220622,652.0801,670.5851,650.2198,654.6257,3472810
20220623,656.1923,660.5982,644.8347,651.2479,1798979
20220624,655.3111,659.4723,645.3243,647.821,1743400
20220627,655.9965,655.9965,647.87,650.9052,1405766
20220628,649.3876,650.9052,645.2265,649.4855,1004747
20220629,646.3035,682.2854,644.0515,664.3189,4653282
20220630,664.3188,669.4102,656.9756,659.815,1681412
20220701,660.892,665.7385,655.0174,662.5075,1330472
20220704,663.8293,679.4949,663.8293,677.8304,1832039
20220705,683.4113,697.9999,682.4322,687.9641,3662593
20220706,692.2232,698.6852,686.8381,688.2578,1253320
20220707,693.2023,699.7622,681.4531,683.4602,1843219
20220708,686.5934,695.9438,686.5934,693.3002,2152750
20220711,693.1533,706.8118,689.6285,703.1891,1638255
20220712,703.6787,709.2595,699.4196,702.6016,1355821
20220713,704.8535,708.7699,700.4965,703.8254,887093
20220714,705.0494,706.1754,694.1814,697.4124,874964
20220715,704.413,706.1753,690.3139,693.6918,999239
20220718,695.1604,698.7341,678.5157,681.9426,1620545
20220719,682.4321,684.3903,673.6202,674.4525,1592940
20220720,679.7886,682.1874,672.3964,673.3266,1377738
20220721,673.6203,678.5158,672.6901,673.1797,799923
20220722,674.6483,679.7886,673.3266,674.2567,948078
20220725,673.6202,675.5784,667.7457,669.6549,671602
20220726,669.7039,670.4872,660.892,661.2347,662692
20220727,660.892,665.3958,658.8359,660.2556,690747
20220728,662.8502,665.0531,659.9129,660.7941,741896
20220729,662.018,669.5081,660.892,663.6335,1519288
20220801,665.7875,671.2704,664.2209,668.6269,949173
20220802,668.1374,674.5505,665.9833,671.1725,1061968
20220803,670.6829,673.6202,662.8501,664.1229,951585
20220804,667.7457,669.1654,656.6818,659.6191,1036357
20220805,660.892,680.425,660.0108,672.9838,3867024
20220808,666.1302,673.6203,664.3189,665.7875,1215231
20220810,668.2352,673.5713,666.5218,668.3331,1133206
20220811,671.1235,675.3826,667.0603,668.3821,1055646
20220812,668.9696,672.7391,666.8156,668.1374,867471
20220816,678.5158,691.8315,676.8513,683.0686,4029367
20220817,687.3276,689.2858,682.4321,683.3623,1443441
20220818,684.2925,688.7963,680.474,681.6979,1010173
20220819,683.3134,684.3414,668.8227,671.6132,1403378
20220822,670.5851,670.5851,660.892,661.1857,1331779
20220823,660.4024,664.6126,656.2413,657.0735,1053329
20220824,659.0317,668.7248,657.9547,662.1158,1473399
20220825,665.7957,670.0152,664.3728,665.1578,865146
20220826,668.1508,669.6227,665.3541,666.1391,691903
20220829,657.4548,662.3121,654.7072,657.602,1400803
20220830,660.8893,664.2748,659.6137,660.8893,689256
20220901,660.3986,664.1765,655.5413,656.1791,1019021
20220902,658.436,660.3005,651.5671,652.205,914138
20220905,653.5297,656.6208,646.808,647.4458,1467031
20220906,649.6046,651.4199,638.8106,640.5768,1984406
20220907,640.5769,643.1282,638.8106,640.9203,1236249
