Date,Open,High,Low,Close,Volume
20210419,217.3251,238.2601,210.6459,231.9048,22102730
20210420,233.2756,256.1296,227.9671,250.7713,11705072
20210422,248.2292,270.5349,245.0391,261.0643,4728296
20210423,260.5908,267.619,258.0487,264.5286,2300838
20210426,265.1765,292.0929,265.1765,289.152,4139576
20210427,287.1084,305.4266,284.6411,301.2645,4373976
20210428,301.4638,309.0403,297.1771,306.872,1970340
20210429,308.4172,308.5418,289.6754,299.8937,3749610
20210430,295.0836,309.9874,293.1396,295.931,689580
20210503,294.0868,301.5635,284.2174,298.7224,848474
20210504,299.6943,303.0589,290.4481,297.9248,587900
20210505,294.5852,305.0527,292.8406,302.062,582008
20210506,302.062,305.1773,296.8532,300.0433,281584
20210507,300.5666,318.0125,300.5666,314.8971,2697842
20210510,314.0248,377.8765,313.95,344.8042,3202552
20210511,341.34,350.2623,336.53,344.7793,938596
20210512,348.9165,354.0256,316.4922,322.3241,1409480
20210514,331.4208,334.6857,306.2988,322.9471,1291314
20210517,322.997,327.483,312.8285,322.6979,2173164
20210518,322.9222,322.9222,306.2988,315.4454,1331362
20210519,310.7849,320.0062,310.7849,316.1682,676842
20210520,316.1682,321.5764,307.0714,313.3021,415756
20210521,317.4642,327.4332,313.2772,321.1776,1315414
20210524,323.4705,324.9908,318.0125,321.1029,601734
20210525,320.5047,323.9939,313.0279,315.3458,872216
20210526,309.0403,313.8753,308.0434,311.5824,481392
20210527,309.1151,311.5326,304.0558,306.5231,207686
20210528,307.0465,320.5047,306.548,316.5919,832566
20210531,316.4423,319.7571,310.0123,314.5981,471108
20210601,317.0156,317.4143,308.0683,312.1806,327116
20210602,314.0249,317.8629,307.545,308.0434,279100
20210603,309.3145,316.9906,308.6914,310.3861,580872
20210604,313.0279,316.0187,309.5388,312.8784,380764
20210607,315.8691,343.4335,314.7974,333.9878,2295650
20210608,330.4737,353.901,330.4737,344.3058,2462672
20210609,346.9227,350.2374,324.7665,332.0688,1648102
20210610,333.8383,349.1159,332.1186,346.0504,1125198
20210611,345.9258,348.4928,329.7012,335.4084,998786
20210614,334.0875,351.4087,324.8911,341.4895,1202520
20210615,344.8042,356.3933,343.9319,353.3278,1744190
20210616,353.901,357.9136,335.9567,339.8447,975476
20210617,338.3992,345.4273,329.9753,334.2869,533454
20210618,336.8539,342.0378,315.0715,339.4459,1099232
20210621,336.4552,352.9041,332.3679,350.9352,656338
20210622,352.9041,355.4462,346.9227,348.8168,691016
20210623,350.2623,351.1844,338.9474,339.9692,402636
20210624,339.4459,347.4211,337.0035,342.9351,314878
20210625,342.4366,342.8104,335.4832,337.0782,227050
20210628,335.9567,345.4273,334.9847,342.5612,755846
20210629,342.935,343.6827,335.4583,336.7792,288388
20210630,345.2279,351.1097,338.9475,340.7668,1182746
20210701,343.8073,346.3494,337.9505,339.72,279824
20210702,342.8104,342.8104,333.2152,337.0533,289698
20210705,341.3899,342.9351,331.6451,334.4365,700086
20210706,335.4583,337.3275,321.5016,324.4175,982870
20210707,326.4862,335.1841,326.4862,331.0968,812308
20210708,334.91,349.9134,332.9909,342.8603,958542
20210709,341.0659,393.2787,337.477,385.129,4419464
20210712,393.7772,406.6372,386.6244,394.0015,1616146
20210713,397.7648,397.7648,383.6337,387.9702,650124
20210714,386.3253,412.195,386.3253,394.3255,1570018
20210715,393.8519,418.2013,384.805,413.4411,2022148
20210716,417.2543,434.8995,411.3476,424.9803,1764134
20210719,410.7245,422.5379,409.2292,414.6125,1110652
20210720,414.4629,416.4817,392.7803,395.3722,769106
20210722,401.7026,432.158,399.7337,426.7996,1395546
20210723,423.1858,425.6532,414.2635,421.1172,716396
20210726,419.6718,426.0769,414.8118,420.4194,580478
20210727,422.5378,441.1301,416.681,437.1425,1263070
20210728,438.1394,438.1394,406.7618,425.2544,820236
20210729,428.6688,441.3046,424.1828,426.5753,449450
20210730,426.675,431.1611,419.4225,425.5784,350354
20210802,428.6688,462.6134,425.08,458.0027,3402276
20210803,461.0682,470.9874,455.3858,459.2987,841332
20210804,459.0246,463.2863,436.644,440.1332,403084
20210805,440.9806,441.9027,416.3072,432.6564,463746
20210806,435.6471,441.0803,429.6657,435.697,514600
20210809,438.2142,440.9806,423.8338,427.8962,526400
20210810,426.3759,431.9087,392.2818,401.0296,659950
20210811,403.8957,421.6406,379.4965,416.5564,1117712
20210812,418.6998,433.6035,411.4473,424.756,789418
20210813,427.4227,437.3419,418.4256,434.4509,520180
20210816,433.6533,440.1332,426.1766,433.6783,242652
20210817,433.6783,433.6783,419.8711,424.108,139248
20210818,423.6095,437.1425,417.5534,429.3417,480416
20210820,421.7154,439.7594,421.192,425.1049,465826
20210823,425.1796,433.5038,399.2601,403.5468,303248
20210824,402.7244,421.7403,401.7773,418.5503,225588
20210825,423.1609,428.1704,420.7684,424.3572,424412
20210826,425.5784,438.6379,422.6126,431.9836,368752
20210827,434.6253,452.0711,434.6253,444.2704,620758
20210830,443.6224,472.1837,443.6224,465.4546,706930
20210831,467.9468,485.1185,459.6974,477.7663,800842
20210901,482.9503,510.9134,481.0063,495.6608,2093950
20210902,493.3928,523.3747,491.6233,517.3933,1464952
20210903,522.8762,548.2973,519.3871,542.59,2532386
20210906,543.0636,549.2943,521.5803,542.8892,1292892
20210907,540.3221,540.8206,506.4274,512.4586,703248
20210908,518.3902,526.3654,511.1626,524.5959,606406
20210909,520.8824,528.4589,511.4617,516.3216,688002
20210913,520.3591,535.0385,518.5896,529.73,343822
20210914,533.2939,533.2939,520.8825,522.6769,266326
20210915,523.3747,527.3623,502.4397,509.2436,290150
20210916,514.3527,518.3404,497.9537,505.8791,414828
20210917,500.9444,519.736,493.4676,501.0939,936826
20210920,496.4832,510.415,484.0219,489.8538,430956
20210921,485.0437,510.9134,466.626,507.499,677092
20210922,512.7576,535.5868,506.5519,525.7673,1049552
20210923,535.3376,574.2168,526.6396,551.5123,3459764
20210924,556.123,559.2633,514.901,529.3561,1250308
20210927,533.8422,551.7865,527.3623,549.2444,753626
20210928,550.2662,550.2662,519.8856,524.9449,427030
20210929,522.3778,540.3221,518.3902,533.1443,456410
20210930,535.7862,537.8299,524.6458,527.1132,280948
20211001,528.8577,535.3376,523.6489,525.9418,303420
20211004,542.2163,548.1977,523.6489,527.9106,706526
20211005,528.3592,548.1478,517.3933,539.4996,2286168
20211006,545.8798,548.2973,523.3747,524.7205,646294
20211007,545.8051,570.7277,534.6647,559.7867,2913302
20211008,570.2292,589.2452,556.0732,580.0487,1872180
20211011,588.1735,603.1271,583.189,593.0334,815064
20211012,595.2515,599.1395,579.6002,594.9525,1093142
20211013,591.6626,595.6503,581.7933,588.4725,464342
20211014,593.0584,610.6038,587.4757,596.697,601920
20211018,600.5352,606.7658,586.2047,590.2172,295274
20211019,595.6503,599.6379,543.9109,551.313,619186
20211020,554.827,564.7462,513.929,524.2719,685170
20211021,527.8608,543.2878,498.9505,511.9851,818354
20211022,527.8608,539.8237,513.5303,524.4963,1183770
20211025,526.814,528.3592,473.5295,482.0281,929288
20211026,478.514,533.3438,476.0467,527.6863,1214192
20211027,529.8546,552.0607,522.8015,533.8173,737406
20211028,537.0821,538.9264,515.8979,521.7049,282240
20211029,520.8825,547.0762,503.5364,530.4528,841916
20211101,523.275,578.1048,521.6301,573.2449,1199966
20211102,572.223,593.158,559.7617,587.2264,647448
20211103,589.0458,597.4447,548.4718,589.1205,546436
20211104,595.0522,595.0522,575.3134,583.1641,138674
20211108,583.189,586.6532,569.7308,574.8399,214294
20211109,581.0955,608.1115,578.5284,590.0177,922452
20211110,587.1766,618.0806,581.1204,614.8905,847110
20211111,624.5605,631.0404,605.6194,616.2613,1290202
20211112,615.5884,635.5264,607.1895,624.8596,826108
20211115,635.028,651.3274,626.978,640.3116,971626
20211116,643.0032,727.0672,640.511,706.0325,4838454
20211117,702.7677,728.737,694.1444,712.1884,1156958
20211118,696.836,697.8329,672.4119,686.1941,1148046
20211122,694.7924,738.6064,677.8949,685.3966,1063008
20211123,686.3187,688.1879,663.988,676.7235,546854
20211124,680.113,696.4622,672.9104,693.3967,1670310
20211125,700.724,718.2196,693.4216,704.9359,488030
20211126,701.8206,701.8206,663.4398,677.6207,486842
20211129,654.5175,737.7092,580.1983,700.7241,532176
20211130,717.7711,756.6503,675.4026,706.7054,1579478
20211201,704.9609,767.1178,693.6709,742.8931,1657866
20211202,751.3916,751.3916,710.2942,715.0295,733008
20211203,722.0577,729.7339,700.2504,712.4625,357996
20211206,716.6246,725.2229,704.7615,714.1323,428438
20211207,722.7556,728.4629,710.7928,712.7866,358724
20211208,717.7711,732.2262,710.2943,718.3443,499964
20211209,725.6217,727.7401,711.7896,716.4501,365538
20211210,722.2571,722.7805,697.833,702.2194,417044
20211213,709.6463,711.5903,678.0195,683.4028,416282
20211214,687.3654,687.7642,628.7475,650.9535,1238144
20211215,651.9504,652.4738,629.2459,637.0966,1066986
20211216,630.7164,668.1003,624.2614,629.4952,1241892
20211217,635.5015,639.6387,579.4007,590.2421,5157754
20211220,563.2509,571.1514,529.4808,535.8361,2037696
20211221,548.0481,574.0673,546.5527,566.6404,2229748
20211222,570.7526,607.5135,563.2758,604.2984,1216016
20211223,606.4916,638.9658,606.068,635.5763,1196650
20211224,641.4082,646.642,617.1336,621.171,560720
20211227,627.95,634.5295,592.1861,613.0463,655276
20211228,614.093,625.5574,598.1425,605.4199,419708
20211229,608.6101,632.9096,608.6101,622.3175,1027698
20211230,623.0402,625.5574,611.1771,618.4295,270284
20211231,621.5698,628.8722,608.2113,614.8657,173134
20220103,614.6911,666.7793,613.0961,618.8532,687116
20220104,626.9032,627.8254,609.6069,614.5416,506730
20220105,625.5574,634.0311,614.1927,617.8563,412058
20220106,615.5884,621.1212,593.806,598.1675,418062
20220107,617.2333,617.2333,589.6938,600.9588,772460
20220110,609.1085,615.5385,603.6753,610.5042,279504
20220111,612.6725,626.5543,611.7254,621.6446,470536
20220112,626.5543,640.0374,614.093,618.8781,654450
20220113,620.6476,622.2427,604.1489,607.6131,219734
20220114,607.6132,610.3048,594.5537,599.9868,444188
20220117,606.9402,624.062,594.6534,619.3517,572394
20220118,627.4016,636.5732,613.3703,618.0557,635700
20220119,616.9342,623.9873,603.8997,617.308,561364
20220120,620.4483,640.511,616.6849,635.8255,438652
20220121,628.0497,647.9379,621.0713,636.1993,474180
20220124,638.0187,658.1562,581.1952,604.0492,652578
20220125,588.1236,647.4893,576.2854,640.0623,438828
20220127,637.5202,655.4645,611.6007,631.6136,670708
20220128,647.9628,661.5207,629.0465,639.514,565806
20220131,652.2993,662.9413,638.2928,645.0718,287734
20220201,652.9473,662.9413,640.0125,646.592,242314
20220202,647.9878,693.8454,647.9878,684.0259,493516
20220203,680.2376,683.8763,655.4645,664.1127,237370
20220204,665.4336,667.9009,647.9878,652.4988,187602
20220207,639.5639,666.904,639.5639,657.5331,331554
20220208,667.8012,667.8012,633.0342,644.349,311824
20220209,647.9877,652.9722,640.0872,646.0687,277774
20220210,658.9537,667.5022,642.2805,647.1653,1001048
20220211,645.4457,645.4457,628.598,641.6075,363374
20220214,613.0961,627.7506,606.5165,609.6318,205274
20220215,617.9809,633.0342,583.8868,614.0432,1020658
20220216,623.5387,645.4955,619.3766,641.4331,314104
20220217,641.4331,652.2744,619.875,630.3176,188246
20220218,628.0247,635.5264,623.763,633.2336,119448
20220221,620.5728,639.0405,619.8002,632.0622,517192
20220222,625.5574,633.2834,588.1735,590.7405,1086082
20220223,590.7405,604.2735,587.2514,594.3293,843200
20220224,548.7958,577.6063,510.9134,525.4183,2256080
20220225,548.3471,588.1735,543.9857,585.5815,1043360
20220228,568.2354,575.4131,551.3379,562.0048,1024496
20220302,555.2756,560.1605,544.3346,547.9235,743440
20220303,560.6091,563.2509,529.3562,539.724,811090
20220304,525.8919,536.0852,515.8979,519.8606,632932
20220307,491.2246,505.9289,487.7603,495.586,884690
20220308,492.5205,519.5366,483.5733,513.6299,747400
20220309,523.2751,550.6899,514.4275,537.5557,461218
20220310,545.8051,550.2164,526.5648,543.3128,642334
20220311,542.3159,552.2849,529.6801,546.7023,982412
20220314,543.3128,544.6088,513.9041,531.8983,843020
20220315,536.808,536.808,509.4181,516.3964,838446
20220316,527.2128,541.8175,518.6145,526.7891,460234
20220317,535.3375,557.2694,529.5057,553.5809,2051924
20220321,560.7587,564.6964,538.8517,552.4594,347298
20220322,557.12,560.2104,525.543,530.5525,816958
20220323,536.7333,539.8486,530.8515,534.241,427146
20220324,536.16,546.129,529.2564,542.2411,525926
20220325,543.8112,546.4281,531.3499,537.0323,279930
20220328,540.8205,540.8205,529.4309,537.132,667086
20220329,538.8267,545.7801,530.8515,534.4653,534052
20220330,541.8175,560.2602,538.5277,557.0452,1622862
20220331,559.2633,562.7524,551.7865,561.3568,1967048
20220401,563.7493,594.0553,563.7493,588.4227,1046568
20220404,594.1549,608.6101,590.3916,598.8653,732002
20220405,599.6379,601.5569,584.4351,590.1423,345362
20220406,578.7527,598.641,558.9144,579.2512,1514968
20220407,597.6441,609.0587,576.111,579.949,1281558
20220408,588.0738,592.6596,579.1515,582.6407,352462
20220411,586.6283,588.1237,574.3664,579.1017,242484
20220412,573.2199,581.1453,561.3817,567.2136,266472
20220413,572.223,578.7029,564.3475,566.6653,165306
20220418,566.6652,566.6652,543.4374,545.2069,202330
20220419,548.2974,548.2974,509.2187,519.4619,391534
20220420,520.8825,526.8639,495.262,500.7201,813002
20220421,510.7888,519.3871,488.4831,509.6673,732252
20220422,509.418,521.9043,502.4646,510.3651,293028
20220425,509.9165,509.9165,489.48,491.399,511596
20220426,503.4367,508.3215,494.8134,504.4336,145858
20220427,520.8825,520.8825,494.1156,504.8074,752950
20220428,513.4057,523.7984,505.9788,518.2407,502314
20220429,525.867,527.8858,481.2555,502.988,239760
20220502,502.988,518.3653,500.0472,512.5334,156000
20220504,514.4026,522.3778,503.4366,508.9944,366616
20220505,510.9134,518.4898,505.6048,513.3807,222192
20220506,506.9258,506.9258,478.9876,493.1436,508016
20220509,489.48,494.963,459.7723,468.7195,360746
20220510,468.7194,473.4797,437.292,442.6255,789232
20220511,443.6473,456.0588,416.706,446.9371,879468
