Date,Open,High,Low,Close,Volume
20150303,1054.0371,1059.1649,1041.5595,1054.9772,3566704
20150304,1065.4319,1078.992,1035.2353,1047.1431,4956996
20150305,1049.6215,1052.0145,1022.7008,1040.3916,2831550
20150309,1035.3491,1037.856,999.9107,1004.0699,2366515
20150310,1007.8875,1019.6243,982.2772,998.4581,2668429
20150311,1005.5227,1005.893,986.9204,991.1935,2817523
20150312,997.0621,1005.6083,991.45,995.5807,2488366
20150313,1006.3492,1008.0869,959.003,964.1022,3480124
20150316,967.435,974.2151,952.2227,957.0656,1994878
20150317,966.2955,981.6787,959.0027,977.4911,2178091
20150318,982.8467,984.2426,964.4153,968.0332,1931079
20150319,980.568,990.7665,951.4823,958.5471,3146062
20150320,959.0027,967.1216,941.8247,951.6814,2528511
20150323,958.4901,962.8771,947.4939,953.1059,1682382
20150324,953.5045,962.1932,943.5054,952.7069,2093748
20150325,953.1914,955.385,926.6125,930.259,2524261
20150326,924.1342,948.6334,919.2628,931.2275,5232288
20150327,940.144,960.3701,935.529,955.8976,4774842
20150330,962.877,987.946,959.1737,984.9548,3359008
20150331,988.5442,995.3527,974.9843,979.7701,2813583
20150401,980.9097,990.8518,978.8301,988.0885,1500330
20150406,989.399,1005.2096,981.2231,1001.5632,2732079
20150407,1008.5996,1015.693,996.0651,1008.2863,2142483
20150408,1011.249,1018.2854,1003.4434,1013.8414,2066943
20150409,1017.0034,1018.7126,1000.2527,1008.9129,1702879
20150410,1008.457,1013.015,997.062,1005.0385,1415592
20150413,1014.2971,1029.5379,1009.1694,1027.5438,2358313
20150415,1027.8285,1036.9161,1007.2606,1018.5132,2280493
20150416,1018.7126,1018.7126,991.3646,999.512,2251882
20150417,1002.8164,1006.4058,985.7239,991.222,1497997
20150420,992.447,992.447,950.9121,967.6913,2375331
20150421,967.4351,980.1975,957.1796,962.165,2067291
20150422,965.612,998.2017,960.4558,994.5552,2776149
20150423,999.9109,1004.1271,976.0099,982.3057,2547232
20150424,981.1089,983.274,951.482,956.3818,2187252
20150427,957.151,966.21,944.3601,950.1716,2775021
20150428,959.7434,959.7434,932.1105,948.8897,3310885
20150429,946.6962,952.7641,937.8082,943.0783,2125135
20150430,943.3917,943.9045,926.1852,929.4328,3737527
20150504,934.8172,940.3438,921.9123,928.2935,2455548
20150505,931.5407,948.6332,926.8403,935.7569,2135422
20150506,935.814,936.6116,887.7841,891.4589,4843735
20150507,888.8096,903.0533,879.4657,893.8804,3978019
20150508,905.3322,920.1457,901.0876,912.3116,3842286
20150511,918.0376,929.8315,916.0151,920.3167,3087799
20150512,920.0889,920.0889,885.9609,888.4678,3287785
20150513,894.5356,908.7509,889.2654,905.7313,2439559
20150514,903.7086,906.9847,894.7351,898.4099,1777146
20150515,904.1074,912.7391,897.6408,907.0132,2762061
20150518,910.1184,920.8867,905.3325,918.6362,1792155
20150519,920.1173,931.5408,916.7273,923.3934,2281797
20150520,927.5241,931.7973,916.1576,918.7499,1442643
20150521,922.9946,934.9594,916.9268,933.421,2451279
20150522,934.3897,946.9241,930.2874,942.0528,2647665
20150525,939.9732,939.9732,925.8434,928.8346,1397434
20150526,932.5093,932.5093,916.4424,922.0829,2059530
20150527,922.9947,937.7512,916.8699,931.7689,1575588
20150528,932.7373,934.8739,914.4483,926.8404,2633245
20150529,928.977,951.3396,926.2422,942.6225,4191568
20150601,953.761,973.7023,936.0988,971.7366,5386807
20150602,974.842,978.7163,949.773,953.5048,4373604
20150603,954.3307,961.4811,936.6685,942.1666,3209997
20150604,944.6451,957.1795,937.5517,947.1805,1967170
20150605,945.7845,970.8535,945.0724,959.2307,2404830
20150608,959.2877,971.9932,952.1088,956.4674,2129532
20150609,954.872,960.4841,943.5055,949.7158,1416730
20150610,952.0518,978.7731,951.4821,972.0215,2389308
20150611,977.0639,982.5049,951.6245,954.986,2981295
20150612,954.103,959.0028,940.0871,944.3318,1835109
20150615,948.7473,965.384,941.2266,950.5706,1700772
20150616,951.4821,960.0283,943.4201,955.6982,2043630
20150617,960.5981,981.394,954.9006,974.7563,3984108
20150618,977.1207,985.3821,973.5597,978.3457,2842159
20150619,982.8183,992.5611,972.7053,977.7476,2126232
20150622,982.8186,990.7951,978.0042,987.0917,1613481
20150623,991.9345,1009.5968,989.9404,1006.4916,2350728
20150624,1007.3174,1011.1347,994.2132,998.9136,1816593
20150625,991.4216,1035.2355,991.4216,1031.1047,4201746
20150626,1027.6005,1027.8284,1011.3057,1014.5532,1818054
20150629,995.3527,1022.7007,979.3997,1020.1653,3110302
20150630,1017.3452,1030.6204,1007.3176,1015.7499,3076677
20150701,1015.8352,1036.3747,1015.8352,1032.2156,2471292
20150702,1032.3864,1035.8049,1020.9914,1025.7488,1335757
20150703,1025.5494,1039.7931,1021.2763,1029.7086,1830951
20150706,1011.3343,1037.7992,1011.3058,1034.694,2029512
20150707,1035.2066,1039.2233,1022.8146,1032.016,1728982
20150708,1019.8522,1033.925,1008.4572,1029.2246,2385891
20150709,1034.2382,1054.6068,1034.2382,1053.4103,2888308
20150710,1054.037,1071.1295,1053.7806,1069.0784,2696910
20150713,1069.0784,1071.1295,1050.6185,1058.4241,2160397
20150714,1059.5635,1066.5429,1054.6636,1058.3385,1669578
20150715,1062.5834,1071.1297,1061.1305,1065.0903,1757511
20150716,1065.432,1069.4203,1058.0253,1064.321,2124406
20150717,1065.9449,1075.6875,1062.042,1066.3436,2513529
20150720,1067.1412,1071.0725,1054.037,1063.8937,1654725
