Date,Open,High,Low,Close,Volume
20160721,586.0862,623.8698,585.2075,612.9741,11824029
20160722,615.0828,622.7274,611.7438,615.0828,820402
20160725,615.9615,615.9615,608.0533,608.976,260240
20160726,610.6015,616.4008,606.2959,608.1851,312995
20160727,608.1412,613.018,603.7038,606.2081,168708
20160728,607.7018,612.4467,595.6198,597.4211,375033
20160729,606.2961,615.083,601.9026,607.8777,726870
20160801,610.5576,611.8757,599.7937,603.5721,347573
20160802,601.9466,606.2962,599.706,600.7165,268056
20160803,601.9025,604.5386,595.4881,597.509,116318
20160804,599.3103,601.0238,596.7182,598.4316,134769
20160805,599.2226,628.2633,598.8271,613.018,593783
20160808,615.0828,622.1123,611.8317,615.8737,347844
20160809,617.8948,624.7485,611.8318,613.5892,341932
20160810,614.995,615.9176,606.296,606.5156,84904
20160811,607.1747,612.4469,599.7059,601.0678,96842
20160812,603.3524,607.2625,600.1451,602.0782,74615
20160816,602.0784,604.5387,598.6515,599.2227,64845
20160817,599.3543,607.614,595.0488,596.5865,90769
20160818,597.3334,599.1347,592.237,593.0718,152898
20160819,593.1156,597.4212,582.2638,583.9772,222490
20160822,585.1635,586.0861,575.5419,576.4645,132422
20160823,575.6296,581.6048,565.8762,567.5897,221090
20160824,567.6336,570.6651,560.9116,562.2296,188676
20160825,562.4055,584.1531,562.4055,574.5754,283053
20160826,575.5858,579.8475,568.1608,569.2153,86564
20160829,566.3157,568.9079,562.1859,563.1525,66739
20160830,565.8763,579.8035,563.6795,572.6861,141778
20160831,569.8743,579.9353,569.8743,573.6967,182760
20160901,574.6631,575.5418,565.9201,567.2821,75558
20160902,568.5122,572.9935,562.4053,565.8322,90488
20160906,567.5898,582.5714,566.755,572.5104,186480
20160907,574.5753,583.4501,572.9936,575.7176,142947
20160908,577.2993,577.2993,566.755,571.412,112310
20160909,571.4119,572.8618,563.0644,565.0414,148925
20160912,561.1313,572.027,561.1313,562.1418,122512
20160914,563.2403,570.0062,557.9682,559.6816,135473
20160915,559.7254,564.0749,557.968,558.5392,69618
20160916,560.5601,562.3175,557.0893,557.968,76717
20160919,560.4722,569.3909,557.968,562.625,96094
20160920,564.0309,567.8972,560.0768,561.4827,69882
20160921,563.9432,564.119,560.6481,561.7904,41634
20160922,555.8152,568.3365,555.8152,561.0434,102008
