Date,Open,High,Low,Close,Volume
20150303,567.5486,567.5486,550.2018,555.6608,2632558
20150304,566.1951,568.7442,543.7278,546.3896,2727706
20150305,549.9537,556.518,543.1864,554.3073,1604900
20150309,552.2094,554.375,541.8329,544.4496,1868972
20150310,545.9834,561.4579,545.9834,554.1267,1823950
20150311,552.5253,570.9323,549.5928,568.5863,1966554
20150312,568.5862,569.0148,556.3825,559.9467,1995764
20150313,565.2928,565.2928,550.6303,553.9012,1215886
20150316,555.8186,555.8186,544.788,550.292,1130904
20150317,552.7733,558.6383,543.9759,555.9314,5156560
20150318,554.9388,556.2246,545.8932,548.3746,1164304
20150319,554.014,555.751,541.833,544.7203,1550130
20150320,543.6376,543.6376,520.8093,525.7269,3144054
20150323,528.9525,541.3818,522.5462,534.8401,2470122
20150324,530.1031,551.9162,529.7421,537.7952,2037534
20150325,537.7951,548.149,537.7951,546.0511,1495138
20150326,543.3444,551.3072,526.4262,541.8781,5380628
20150327,542.8254,543.6375,528.8849,536.1935,1580906
20150330,540.4794,546.976,533.9828,541.5171,1381266
20150331,542.5097,545.8933,532.3588,535.8778,1622908
20150401,535.9681,544.9911,531.5242,542.3293,1379942
20150406,539.487,561.6837,537.2313,560.6235,1813774
20150407,561.1873,579.1883,555.6156,572.4435,1322082
20150408,575.2182,578.2184,567.1426,574.8572,1054736
20150409,575.2181,577.4062,568.902,575.0151,1213928
20150410,574.7669,581.9853,571.1803,580.5191,928554
20150413,578.7822,578.7822,559.8789,562.9468,1573142
20150415,561.2776,562.1348,543.1188,545.3971,3648224
20150416,545.916,557.1722,541.9458,554.2397,2282350
20150417,555.8186,558.5255,547.7656,552.435,914614
20150420,549.5024,552.4349,533.5317,535.8325,3364204
20150421,536.8703,545.7805,530.103,537.0733,1125000
20150422,539.1259,550.8559,530.757,547.2241,1662436
20150423,550.8561,550.8561,533.7123,540.863,1658818
20150424,540.1411,543.6376,526.945,528.7947,4042390
20150427,526.9675,533.3739,518.3505,526.0201,2429722
20150428,526.3583,537.7724,518.8241,533.3511,1349770
20150429,533.7121,534.4791,523.7868,529.0427,1009096
20150430,527.8473,529.6293,513.2751,516.5685,3247284
20150504,519.2753,545.4195,519.2753,542.5096,1616036
20150505,542.2841,542.2841,527.148,532.0204,1315182
20150506,532.0204,535.0657,522.6365,524.7569,2243846
20150507,524.5314,531.4565,516.1174,528.1857,1957782
20150508,530.5542,545.2618,530.1031,532.5167,954900
20150511,533.7122,545.8933,533.7122,538.7877,707060
20150512,538.7877,538.7877,527.8473,531.0504,1630000
20150513,536.4191,553.6757,531.0279,544.4948,2096774
20150514,544.9459,555.5479,539.3742,553.6306,2122604
20150515,554.9163,566.7364,553.7207,563.5107,1670000
20150518,561.6611,572.2858,555.6609,570.0977,942950
20150519,570.0976,576.1204,561.5257,565.6763,1390012
20150520,565.6764,571.7669,557.6233,564.2778,1165122
20150521,566.1952,569.669,560.1272,563.4657,1292072
20150522,566.1951,568.3155,561.1648,566.4884,1502662
20150525,566.4884,574.5188,563.3528,568.4058,756930
20150526,568.4057,574.2707,564.8416,569.8268,705404
20150527,566.6462,567.7741,547.6752,551.668,1997572
20150528,552.1868,552.1868,534.1859,540.5471,2378236
20150529,539.126,571.9473,527.6894,567.5937,6907312
20150601,567.5937,572.9624,559.4279,567.5937,1242246
20150602,567.9546,570.5938,549.9085,552.48,1425648
20150603,553.2245,554.2396,541.4269,543.5699,1276568
20150604,544.5398,549.3897,532.3813,539.3967,1169336
20150605,539.69,555.2322,536.9154,544.0211,1311658
20150608,544.9911,550.856,536.2613,544.2692,1142562
20150609,544.1339,551.2395,540.254,543.7278,962068
20150610,542.2841,554.9164,541.472,550.6304,936760
20150611,553.1118,553.1118,534.6146,535.7875,1028418
20150612,536.8702,540.9306,530.5541,538.2011,1206728
20150615,539.1259,554.1267,537.3213,550.5401,1435222
20150616,557.1494,558.9766,549.4348,556.2471,1340132
20150617,557.3976,567.9771,551.9838,565.541,2391462
20150618,566.2628,571.8119,561.7062,565.7214,1893300
20150619,565.7439,597.6403,565.5634,589.0008,3766568
20150622,591.0085,596.693,585.5947,591.9108,1686240
20150623,592.3619,604.0918,589.655,602.7834,1157398
20150624,604.5205,605.4003,583.5194,587.5572,1481094
20150625,577.8122,591.3242,576.346,586.4067,2473112
20150626,586.542,594.5725,583.3388,588.3466,1320310
20150629,581.9855,584.2412,575.8949,579.3463,1287240
20150630,581.1508,581.7824,570.7743,578.5341,2502056
20150701,577.4739,587.3993,574.3384,581.0831,1826964
20150702,582.8878,597.6856,581.6471,592.5649,1513902
20150703,595.5201,599.9865,590.1062,592.2041,1733252
20150706,586.0458,597.9787,584.2412,596.3095,1210678
20150707,594.6176,601.836,591.4596,594.5274,1246580
20150708,591.9108,591.9559,574.9926,577.0905,2030192
20150709,582.7298,582.7298,568.902,570.2554,958292
20150710,567.5486,573.797,561.8415,563.7364,3604156
20150713,572.9624,573.8647,564.4131,571.8796,1739946
20150714,572.9623,574.7669,564.3904,572.9397,913798
20150715,573.8647,583.79,572.985,581.0831,1395890
20150716,581.9939,587.322,577.0984,581.4702,1644288
20150717,584.6806,592.7866,579.2614,590.4641,2085314
20150720,594.2895,599.7543,588.7793,598.5703,1363818
20150721,599.7087,602.4866,586.9122,591.375,836144
20150722,591.1474,614.7824,589.7357,611.2531,1867150
20150723,613.8715,622.9793,612.7558,618.8353,2399756
20150724,620.5658,620.5658,602.9421,605.5378,719700
20150727,600.6651,610.2284,597.0675,599.2761,900076
20150728,601.1205,610.0007,594.9955,598.3881,1242534
20150729,602.8965,604.3082,592.0125,599.0939,1372156
20150730,603.6935,611.8222,597.113,600.0958,1368146
20150731,605.0368,629.3549,602.4866,620.9756,2508732
20150803,616.6037,616.6037,606.5851,609.2719,831716
20150804,610.8204,623.8447,608.7939,621.2945,1124208
20150805,622.0685,632.9752,614.6228,631.5635,1282268
20150806,631.4041,640.9446,625.5751,636.2996,1255418
20150807,635.2751,656.7014,630.7212,633.1348,4958870
20150810,628.4442,635.2523,615.6931,619.1996,1431622
20150811,620.6568,623.4119,607.9513,610.0234,1486050
20150812,609.773,610.0007,589.7356,591.7394,1515180
20150813,593.4243,613.8715,592.468,610.0462,1535240
20150814,613.8715,629.2639,612.5054,627.6017,1466162
20150817,628.3986,628.3986,612.5963,615.2604,790168
20150818,616.6494,624.6871,615.2832,621.5904,844484
20150819,622.524,630.5845,614.1903,621.9092,1065202
20150820,623.8901,626.2581,604.6042,607.8375,1406780
20150821,602.4867,605.5834,586.5479,602.1451,1548770
20150824,585.1362,591.1018,557.8581,566.169,2079760
20150825,569.2428,580.1495,558.3134,569.6754,2133382
20150826,571.5881,574.7076,548.7956,553.5317,2001506
20150827,567.74,567.8767,553.304,560.226,4865668
20150828,563.1406,567.8995,555.1257,561.9338,3995432
20150831,560.5904,565.5997,551.8012,555.9909,3746160
20150901,549.8886,554.8296,532.3559,536.0901,3174664
20150902,539.6422,540.9629,512.5463,516.6676,4493220
20150903,520.9483,527.3466,497.3589,519.4455,2712720
20150904,518.2387,519.8326,501.3892,505.7609,2989644
20150907,505.9431,511.1346,497.6321,505.8975,1389426
20150908,505.9431,529.3504,502.2999,521.8364,2745142
20150909,530.5798,539.1412,524.2498,533.0845,3132170
20150910,530.9897,538.9819,522.8381,532.8568,1425516
20150911,538.6859,544.1507,528.2802,531.2175,1622658
20150914,533.0846,537.2742,525.0924,534.0637,1439596
20150915,531.0352,533.6082,521.472,524.5687,1468462
20150916,527.802,532.8113,524.1816,531.8777,1953384
20150918,535.1111,553.2586,532.6975,546.1317,5269170
20150921,538.276,545.5395,536.0218,539.7788,2274848
20150922,545.1069,547.5661,536.796,540.7352,4025672
20150923,535.0883,556.2641,534.2003,550.2302,3068924
20150924,548.7501,561.5012,545.3347,556.0364,4290468
20150928,557.8353,564.5979,552.325,556.3097,1689472
20150929,549.2056,582.4949,547.2018,569.1063,6506062
20150930,569.7437,577.827,567.2391,575.5273,5297210
20151001,581.5386,581.994,566.1235,569.2657,2110700
20151005,571.7476,582.9047,571.7476,578.6696,2226118
20151006,581.5385,587.4586,573.4553,575.7322,2787718
20151007,574.275,591.5344,573.7968,586.4796,1427976
20151008,589.4852,589.6218,577.0757,579.5576,9205452
20151009,582.9047,586.3657,576.7341,579.8763,1427498
20151012,578.4192,584.0433,573.7969,580.5823,1496340
20151013,579.3072,587.4587,578.3508,584.2482,2852984
20151014,584.248,587.4586,579.7169,586.5933,567184
20151015,588.3695,592.6502,577.1213,580.5594,2148492
20151016,581.9939,589.7128,577.5538,586.9349,1478824
20151019,587.4586,591.967,581.0603,583.4739,1646242
20151020,583.8154,584.7262,567.8994,569.5388,3016880
20151021,568.3092,575.5273,561.0457,572.2712,1502156
20151023,576.8023,582.8818,564.871,567.7172,1629182
20151026,569.2429,573.7513,563.1634,567.1026,1165248
20151027,565.5998,573.9563,561.6379,569.2657,1624822
20151028,565.5997,570.7001,555.6721,558.7233,3883340
20151029,559.2241,563.3226,552.8485,559.133,2387748
20151030,556.7196,558.7006,534.3142,539.0048,1933272
20151102,546.4959,563.095,546.4959,550.5034,2576854
20151103,551.8923,562.6396,551.2548,561.4783,1311030
20151104,561.4783,573.5691,561.4783,571.201,908280
20151105,569.6982,578.2369,567.2391,573.6829,1734508
20151106,571.5199,577.8954,552.3933,569.038,2328754
20151109,556.0364,576.0737,553.0991,568.8329,1149942
20151110,567.9222,577.44,562.6397,574.3206,1205674
20151113,567.148,573.5691,565.9184,569.8804,3279020
20151116,569.2429,586.8439,563.8692,581.9484,4053098
20151117,582.4492,591.1017,578.123,586.9121,3017600
20151118,585.1816,593.8341,580.3089,582.1305,1383404
20151119,585.2273,591.0791,580.6961,588.415,921622
20151120,588.4149,603.3974,588.0507,598.9573,3969672
20151123,598.9572,607.6325,595.2913,602.7142,1826316
20151124,602.7143,603.83,597.3862,600.9155,2482202
20151126,603.3747,616.5811,599.7543,613.0746,1818860
20151127,617.5147,624.801,614.5091,615.3288,3275350
20151130,616.1486,623.7992,615.5565,621.841,4884086
20151201,623.8901,629.1272,617.7423,623.3892,2366346
20151202,626.1672,627.0552,620.9302,624.0952,2032040
20151203,623.207,623.3209,610.5015,612.824,1129668
20151204,608.2247,611.6857,597.5912,598.9802,1567306
20151207,600.4375,606.3121,595.5192,602.8055,1126844
20151208,601.1205,606.9723,592.9689,598.502,1853618
20151209,597.9327,605.1279,594.8133,597.5228,2248652
20151210,598.3881,601.0066,584.7262,587.7773,1494658
20151211,585.637,590.1454,566.5104,574.662,1292080
20151214,560.6359,590.3276,559.4519,585.0906,2761612
20151215,589.7356,594.039,582.0622,587.026,1552806
20151216,571.6337,571.6337,550.344,554.6931,6682490
20151217,553.3041,571.2011,544.4239,568.1272,4996832
20151218,566.9887,573.091,562.4348,566.1918,2740974
20151221,564.6889,584.7262,564.6889,582.3809,1876456
20151222,581.4702,581.4702,570.6774,572.2258,1222278
20151223,574.0244,578.4417,567.9905,570.0853,1002636
20151224,570.2675,578.8062,570.2675,572.7722,693062
20151228,573.7968,576.5747,566.9659,568.9696,1232286
20151229,569.2429,578.3052,569.2429,575.8916,862010
20151230,576.0965,580.5822,573.3642,575.163,940950
20151231,573.3414,581.9256,571.6565,579.4209,1163700
20160101,579.2387,582.6542,573.7968,576.2332,486818
20160104,575.163,575.163,564.5523,565.8274,727368
20160105,567.4212,579.216,564.5522,568.8785,1466066
20160106,564.7344,568.4231,555.581,558.3817,1178150
20160107,555.1257,555.1485,535.0883,545.3119,1954754
20160108,546.0177,550.2756,542.6933,545.5623,3530992
20160111,541.0084,541.0084,525.5705,529.4413,2263750
20160112,530.079,540.5302,526.4586,538.2305,1162522
20160113,540.5985,553.0535,535.9535,548.7729,1652518
20160114,543.3309,546.3821,524.8875,541.2589,1620082
20160115,545.5623,546.2682,532.8113,536.0901,925828
20160118,534.4963,540.5986,526.5042,530.8304,1228894
20160119,531.3541,531.3541,516.2122,524.8419,2012000
20160120,518.2387,528.5306,501.3891,524.045,2616840
20160121,525.9804,529.8057,515.5974,518.5574,1634526
20160122,520.288,548.7502,519.5366,545.9723,1505188
20160125,549.2055,554.693,534.724,536.5911,1650040
20160127,537.092,545.4713,523.7945,535.8624,2116716
20160128,536.2267,552.5526,536.2267,548.363,1347616
20160129,551.9379,564.689,547.5206,561.6151,2034158
20160201,558.3133,563.9602,550.0479,558.4727,1027972
20160202,559.2013,565.2809,546.4731,549.5015,1032894
20160203,544.1051,559.2242,541.9192,547.8393,1042488
20160204,550.1163,556.4463,541.4638,548.5225,887888
20160205,548.2947,557.0839,544.0368,555.3533,1290006
20160208,559.2242,563.6415,543.6952,547.2701,1042654
20160209,542.3746,554.1238,536.4545,538.8225,759394
20160210,537.3652,547.3611,528.9176,538.4127,1233280
20160211,535.9991,537.8207,509.1081,513.0472,1382986
20160212,513.0016,536.7049,496.949,530.6481,4933968
20160215,529.6236,560.5676,528.9861,558.6778,1493674
20160216,559.6796,564.8711,546.5415,549.2283,1198744
20160217,550.1163,550.1163,539.8699,546.6553,1079510
20160218,552.1656,556.9244,541.1678,552.6665,1406810
20160219,551.0271,568.6964,547.1335,560.2488,1361338
20160222,561.0457,568.7874,560.9546,563.3455,1101500
20160223,563.3227,565.1898,548.1581,550.4351,1709506
20160224,546.4732,557.4026,544.0595,554.9435,1284148
20160225,554.3287,565.8957,554.2376,559.7023,2585106
20160226,563.7781,568.2637,559.2013,560.1577,1777842
20160229,557.4937,577.8954,553.3269,559.2698,3427866
