Date,Open,High,Low,Close,Volume
20150303,3381.067,3395.9354,3355.1952,3372.5642,206296
20150304,3410.1672,3446.2695,3316.7286,3345.0557,340907
20150305,3343.7824,3374.9286,3311.3631,3345.3738,152837
20150309,3303.1334,3356.4228,3294.6761,3338.5991,218786
20150310,3354.6951,3354.6951,3310.363,3316.2739,182667
20150311,3311.9998,3339.2356,3287.7194,3325.0947,198508
20150312,3335.0523,3382.8401,3330.2328,3351.2393,308505
20150313,3369.245,3380.3394,3296.5858,3319.8657,363024
20150316,3320.1389,3343.7827,3308.1351,3316.5469,182829
20150317,3332.8697,3354.6493,3295.1761,3329.7324,185250
20150318,3331.0511,3344.6917,3312.227,3332.7788,177261
20150319,3338.3259,3360.151,3317.4102,3323.7759,252139
20150320,3310.1353,3339.963,3282.854,3295.449,206403
20150323,3296.5405,3309.4081,3258.3467,3268.668,192986
20150324,3296.4949,3305.5887,3243.7965,3262.2114,227226
20150325,3264.6667,3300.0414,3249.4802,3287.1738,201854
20150326,3278.3073,3294.6306,3217.3335,3238.7039,489101
20150327,3246.4788,3291.7203,3224.2901,3282.8994,204071
20150330,3300.1327,3341.0547,3274.1699,3329.1873,152167
20150331,3328.1867,3389.8878,3328.1867,3362.2883,294635
20150401,3364.6523,3417.0326,3273.76,3314.4092,694487
20150406,3315.5921,3338.2355,3291.0389,3300.0872,262771
20150407,3310.1351,3319.2289,3253.7537,3273.6689,306684
20150408,3287.4012,3332.7791,3279.2168,3299.8596,256031
20150409,3309.2261,3334.6887,3296.4948,3327.5955,238584
20150410,3328.323,3354.1039,3304.1334,3334.325,201302
20150413,3329.2324,3346.5106,3312.6363,3333.0518,218690
20150415,3323.7762,3391.0702,3319.593,3346.738,232802
20150416,3343.1,3381.703,3330.3687,3344.6003,206305
20150417,3333.9154,3349.1475,3306.8161,3316.3191,99056
20150420,3298.3137,3317.7743,3259.7562,3281.0811,175033
20150421,3278.3076,3280.3537,3155.5416,3173.8655,482786
20150422,3174.6837,3190.1887,3079.2446,3149.1301,422446
20150423,3173.7292,3215.1514,3164.6354,3177.7759,234616
20150424,3170.091,3241.9319,3122.8944,3220.4705,332449
20150427,3240.295,3350.1479,3201.1917,3317.7739,1804129
20150428,3331.9606,3490.9199,3328.3231,3476.188,1129937
20150429,3491.1014,3522.0203,3407.1203,3424.8987,703698
20150430,3419.2607,3449.2702,3373.7463,3388.2056,592304
20150504,3452.9077,3492.0109,3389.0239,3417.2146,478823
20150505,3412.8953,3460.1829,3397.9361,3449.3159,458196
20150506,3444.7234,3444.7234,3295.1763,3305.1794,430929
20150507,3297.4041,3297.4041,3201.01,3222.4714,469950
20150508,3238.7037,3291.9478,3238.7037,3283.3542,495595
20150511,3304.5884,3341.4182,3288.447,3320.7754,288810
20150512,3319.2293,3321.9119,3232.8384,3253.2539,332314
20150513,3291.9483,3302.8608,3223.1992,3277.4893,337505
20150514,3278.2617,3322.412,3230.1102,3316.0464,287801
20150515,3310.1355,3350.1481,3297.4042,3338.5081,208258
20150518,3341.9638,3370.5182,3321.0481,3362.5159,183483
20150519,3360.151,3391.8882,3351.0572,3370.8362,175567
20150520,3371.1552,3410.1219,3371.0642,3375.52,218115
20150521,3375.5195,3391.8883,3356.9227,3362.9702,198709
20150522,3367.4265,3390.8885,3359.7878,3367.0173,135158
20150525,3361.2425,3380.1576,3347.42,3358.1052,81113
20150526,3361.0607,3391.9796,3339.2356,3388.7512,252919
